"Product Korporat Code","Reference","BoM Lines/Product Template/Korporat Code","BoM Lines/Product Template/General Subcategory","BoM Lines/Quantity","BoM Lines/Product Unit of Measure"
"","","GODE-ESSWA33-178538","Regular","1.3","Pc(s)"
"ES-W0N-02-RP-W1,1GR","2","GODE-ESSWA33-178538","Regular","1.3","Pc(s)"
"","","ES-W0N-02 BULK","Bulk","0.0011","kg"
"ES-W0N-03-RP-W1,1GR","2","GODE-ESSWA33-178538","Regular","1.3","Pc(s)"
"","","ES-W0N-03 BULK","Bulk","0.0011","kg"
"ES-W0N01RNFS1,3-W","2","ES-W0N-01 BULK","Bulk","0.00133","kg"
"","","GODE-ESSWA33-178538","Regular","1.05","Pc(s)"
"ES-W0N02RNFS1,3-W","2","ES-W0N-02 BULK","Bulk","0.00133","kg"
"","","GODE-ESSWA33-178538","Regular","1.05","Pc(s)"
"ES-W0R101RNFS1,-W","2","ES-W0R-01 BULK","Bulk","0.00133","kg"
"","","GODE-ESSWA33-178538","Regular","1.05","Pc(s)"
"ES-W1A-01-RP-W1,1GR","2","GODE-ESSWA33-178538","Regular","1.3","Pc(s)"
"","","ES-W1A-01 BULK","Bulk","0.0011","kg"
"ES-W1A-02-RP-W1,1GR","2","GODE-ESSWA33-178538","Regular","1.3","Pc(s)"
"","","ES-W1A-02 BULK","Bulk","0.0011","kg"
"ES-W1A-03-RP-W1,1GR","2","GODE-ESSWA33-178538","Regular","1.3","Pc(s)"
"","","ES-W1A-03 BULK","Bulk","0.0011","kg"
"ES-W1A01RNFS1,3-W","3","ES-W1A-01 BULK","Bulk","0.00153","kg"
"","","GODE-ESSWA33-178538","Regular","1.05","Pc(s)"
"ES-W1A02RNFS1,3-W","3","ES-W1A-02 BULK","Bulk","0.00133","kg"
"","","GODE-ESSWA33-178538","Regular","1.05","Pc(s)"
"ES-W1A3RNFS1,3W-W","3","ES-W1A-03 BULK","Bulk","0.00133","kg"
"","","GODE-ESSWA33-178538","Regular","1.05","Pc(s)"
