"Product Korporat Code","Reference","BoM Lines/Product Template/Korporat Code","BoM Lines/Product Template/Material Type","BoM Lines/Quantity","BoM Lines/Product Unit of Measure"
"","","PS-PVCEESBOR1-WPVC","Packaging Material","1.0","Pc(s)"
"","","KB-W6040R2-W","Packaging Material","0.00833","Pc(s)"
"L-GS02-EM","5","L-GS02-BULK","Semi Finished Goods","0.003","kg"
"","","CAPA-GS02ASR0-E","Packaging Material","1.0","Pc(s)"
"","","BOTO-GS02ASR1-E","Packaging Material","1.0","Pc(s)"
"","","STIC-BGS02ASR0-E","Packaging Material","1.0","Pc(s)"
"","","DUS-GS02ASR2-E","Packaging Material","1.0","Pc(s)"
"","","IBOX-12EDR1-WD31","Packaging Material","0.08333","Pc(s)"
"","","KB-EAR0-KMM125","Packaging Material","0.01042","Pc(s)"
"L-REMO29-W","5","L-REMO29-BULK","Semi Finished Goods","0.0035","kg"
"","","CAPC-EMLRLR0-WRL","Packaging Material","1.0","Pc(s)"
"","","CONT-EMLRLR0-WRL","Packaging Material","1.0","Pc(s)"
"","","STIC-BTEMO29R1-WCNF","Packaging Material","1.0","Pc(s)"
"","","DUS-EMOR0-WIMVG","Packaging Material","1.0","Pc(s)"
"","","STIC-BCEMO29R1-WCNF","Packaging Material","1.0","Pc(s)"
"","","IBOX-12ELRLR1-W","Packaging Material","0.08333","Pc(s)"
"","","KB-WLER1-KMK125CF","Packaging Material","0.00694","Pc(s)"
"BO-W1C-W4GR","13","BO-W1C1&2RNFS4G-W","Semi Finished Goods","1.0","Pc(s)"
"","","CONT-BOEW-SAN","Packaging Material","1.0","Pc(s)"
"","","KUAS-BOBKWC-BTS","Packaging Material","1.0","Pc(s)"
"","","PLAS-DMESBOR0-W","Packaging Material","1.0","Pc(s)"
"","","STIC-BOTBOCR1-W","Packaging Material","1.0","Pc(s)"
"","","PS-PVCEESBOR1-WPVC","Packaging Material","1.0","Pc(s)"
"","","KB-W6040R2-W","Packaging Material","0.00833","Pc(s)"
"MY-CUS-IPD-W","1","CUS-IPD-W","Finished Goods","1.0","Pc(s)"
"","","STIC-PALLCR1-WM","Packaging Material","1.0","Pc(s)"
"","","KB-WIPSKMMR1-W","Packaging Material","0.0208333","Pc(s)"
"L-REMO26-W","5","L-REMO26-BULK","Semi Finished Goods","0.0035","kg"
"","","CONT-EMLRLR0-WRL","Packaging Material","1.0","Pc(s)"
"","","CAPC-EMLRLR0-WRL","Packaging Material","1.0","Pc(s)"
"","","STIC-BTEMO26R1-WCNF","Packaging Material","1.0","Pc(s)"
"","","DUS-EMOR0-WIMVG","Packaging Material","1.0","Pc(s)"
"","","STIC-BCEMO26R1-WCNF","Packaging Material","1.0","Pc(s)"
"","","IBOX-12ELRLR1-W","Packaging Material","0.08333","Pc(s)"
"","","KB-WLER1-KMK125CF","Packaging Material","0.00694","Pc(s)"
"LB-EVLNH-W4G","5","LB-EVLNH-BULK","Semi Finished Goods","0.004","kg"
"","","CONT-EMLNHR0-WASSM","Packaging Material","1.0","Pc(s)"
"","","CAPC-EMLNHT-W","Packaging Material","1.0","Pc(s)"
"","","STIC-BTEMLNHR0-WCNF","Packaging Material","1.0","Pc(s)"
"","","DUS-EMLNHR2-W","Packaging Material","1.0","Pc(s)"
"","","IBOX-12ELBR0-WDNF","Packaging Material","0.08333","Pc(s)"
"","","KB-WLTWCLFR1-KMK125","Packaging Material","0.02083","Pc(s)"
"F-IPSF12-W","2","F-IPSF12-BULK","Semi Finished Goods","0.03","kg"
"","","TUBE-POSFCF22LI30R0-IP","Packaging Material","1.0","Pc(s)"
"","","DUS-SFCF30R0-IP","Packaging Material","1.0","Pc(s)"
"","","STIC-VSFCF22LI30R0-IP","Packaging Material","1.0","Pc(s)"
"","","KB-WELTWCB-KMM125CF","Packaging Material","0.02778","Pc(s)"
