"Product Korporat Code","Reference","BoM Lines/Product Template/Korporat Code","BoM Lines/Product Template/Material Type","BoM Lines/Quantity","BoM Lines/Product Unit of Measure"
"DUSS-PMFC62R0-MO","2","DUS-PPFR1-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-VPPFC62R0-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-BCPPFC62R0-MO","Packaging Material","1.0","Pc(s)"
"CONP-PSETWCR0-W","1","CONT-ETWCRLR0-WASBS","Packaging Material","1.0","Pc(s)"
"DUSS-LMP4R0-W","1","DUS-LMP4R3-W","Packaging Material","1.0","Pc(s)"
"","","STIC-PILMPR0-W","Packaging Material","1.0","Pc(s)"
"","","STIC-PQLMP4R0-W","Packaging Material","1.0","Pc(s)"
"DUSS-LBBCL30R1-WM","2","DUS-LBBCL30CR1-WILD","Packaging Material","1.0","Pc(s)"
"","","STIC-PACESR1-WM","Packaging Material","1.0","Pc(s)"
"DUSS-LMP3R0-W","1","DUS-LMP3R3-W","Packaging Material","1.0","Pc(s)"
"","","STIC-PILMPR0-W","Packaging Material","1.0","Pc(s)"
"","","STIC-PQLMP3R0-W","Packaging Material","1.0","Pc(s)"
"DUSS-LBBCN30R1-WM","2","DUS-LBBCN30CR1-WILD","Packaging Material","1.0","Pc(s)"
"","","STIC-PACESR1-WM","Packaging Material","1.0","Pc(s)"
"DUSS-PMFN50R0-MO","2","DUS-PPFR1-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-VPPFN50R0-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-BCPPFN50R0-MO","Packaging Material","1.0","Pc(s)"
"DUSS-PMFN40R0-MO","2","DUS-PPFR1-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-VPPFN40R0-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-BCPPFN40R0-MO","Packaging Material","1.0","Pc(s)"
"TUBS-PBCFLS100-WM","1","STIC-PAPHUR0-WM","Packaging Material","1.0","Pc(s)"
"","","TUBE-PBCFLS100R-W2L","Packaging Material","1.0","Pc(s)"
"TUBS-PBCFLOC100-WM","1","STIC-PAPHUR0-WM","Packaging Material","1.0","Pc(s)"
"","","TUBE-PBCFLOC100-W2L","Packaging Material","1.0","Pc(s)"
"TUBS-NDSBFW60-WM","1","STIC-PALFT125-WM","Packaging Material","1.0","Pc(s)"
"","","TUBE-SBFW60R1-W2L","Packaging Material","1.0","Pc(s)"
"TUBS-CDECW100-WM","1","TUBE-CDECW100R0-W2L","Packaging Material","1.0","Set"
"","","STIC-PALFT125-WM","Packaging Material","1.0","Pc(s)"
"TUBS-RYAAFW100-WM","2","STIC-PALLCR0-WM","Packaging Material","1.0","Pc(s)"
"","","TUBE-RYAAFW100-W2L","Packaging Material","1.0","Pc(s)"
"DUSS-ADM40-WM","1","DUS-ADM40CR1-WACLG","Packaging Material","1.0","Pc(s)"
"","","STIC-PALLCR0-WM","Packaging Material","1.0","Pc(s)"
"PAPS-UVSAFE-WM","1","STIC-PALLCR0-WM","Packaging Material","1.0","Pc(s)"
"","","PAP-UVSAFER1-W","Packaging Material","1.0","Pc(s)"
"TUBS-LMGW100-WM","1","STIC-PAAR0-WM","Packaging Material","1.0","Pc(s)"
"","","TUBE-LMGW100R0-W","Packaging Material","1.0","Pc(s)"
"TUBS-LWFF100-WM","1","STIC-PAAR0-WM","Packaging Material","1.0","Pc(s)"
"","","TUBE-LWFF100R0-W","Packaging Material","1.0","Pc(s)"
"TUBS-CDEWF100-WM","1","STIC-PABBM01B-WMIP","Packaging Material","1.0","Pc(s)"
"","","TUBE-CDEWF100R1-W","Packaging Material","1.0","Pc(s)"
"TUBS-AJFS60-EM","1","STIC-PAER0-EM","Packaging Material","1.0","Pc(s)"
"","","TUBE-AJFS60R1-E2L","Packaging Material","1.0","Pc(s)"
"DUSS-MPASMG-EM","1","DUS-MPASMGR0-ELG","Packaging Material","1.0","Pc(s)"
"","","STIC-PAGR0-EM","Packaging Material","1.0","Pc(s)"
"TUBS-BSFW100-EM","2","TUBE-BSFW100R1-EPBL","Packaging Material","1.0","Pc(s)"
"","","STIC-PAHR1-EM","Packaging Material","1.0","Pc(s)"
"TUBS-AVG-EM","2","STIC-PAHR1-EM","Packaging Material","1.0","Pc(s)"
"","","TUBE-AVGR2-E2L","Packaging Material","1.0","Pc(s)"
"TUBS-CMB-EM","1","STIC-PALR0-EM","Packaging Material","1.0","Pc(s)"
"","","TUBE-CMBR1-E","Packaging Material","1.0","Pc(s)"
"TUBS-CMSC-EM","1","STIC-PALR0-EM","Packaging Material","1.0","Pc(s)"
"","","TUBE-CMSCR0-E","Packaging Material","1.0","Pc(s)"
"TUBS-CMSS-EM","1","STIC-PALR0-EM","Packaging Material","1.0","Pc(s)"
"","","TUBE-CMSSR0-E","Packaging Material","1.0","Pc(s)"
"TUBS-SBDBFW-EM","2","TUBE-SBDBFWR0-E","Packaging Material","1.0","Pc(s)"
"","","STIC-PANR1-EM","Packaging Material","1.0","Pc(s)"
"TUBS-AASG15-WM","1","STIC-PT1AASGR1-WM","Packaging Material","1.0","Pc(s)"
"","","TUBE-ASATG15-W19LN","Packaging Material","1.0","Pc(s)"
"","","STIC-PT2AASGR0-WM","Packaging Material","1.0","Pc(s)"
"TUBS-BSAPFW100-EM","1","STIC-PAHR0-EM","Packaging Material","1.0","Pc(s)"
"","","TUBE-BSAPFW100-EPBL","Packaging Material","1.0","Pc(s)"
"DUSS-PMFW50R0-MO","2","STIC-BCPPFW50R0-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-VPPFW50R0-MO","Packaging Material","1.0","Pc(s)"
"","","DUS-PPFR1-MO","Packaging Material","1.0","Pc(s)"
"DUSS-PMFW60R0-MO","2","DUS-PPFR1-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-BCPPFW60R0-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-VPPFW60R0-MO","Packaging Material","1.0","Pc(s)"
"BOTS-BSFT100-E","1","BOTO-PET100ML39-X","Packaging Material","1.0","Pc(s)"
"","","STIC-SBSFT100-E","Packaging Material","1.0","Pc(s)"
"BOTS-SCBMB100-W","2","BOTO-PETRF100B-X","Packaging Material","1.0","Pc(s)"
"","","STIC-SBMB100-WGCC","Packaging Material","1.0","Pc(s)"
"BOTS-SCBMJF100-W","2","BOTO-PETRF100B-X","Packaging Material","1.0","Pc(s)"
"","","STIC-SBMJ100-WGCC","Packaging Material","1.0","Pc(s)"
"BOTS-SCBMPC100-W","2","BOTO-PETRF100B-X","Packaging Material","1.0","Pc(s)"
"","","STIC-SBMPC100-WGCC","Packaging Material","1.0","Pc(s)"
"BOTS-SCBMPR100-W","2","BOTO-PETRF100B-X","Packaging Material","1.0","Pc(s)"
"","","STIC-SBMPR100-WGCC","Packaging Material","1.0","Pc(s)"
"DUSS-CDDDCL20-WM","2","STIC-PAPBBPR0-WM","Packaging Material","1.0","Pc(s)"
"","","DUS-CDDDCL20R1-W","Packaging Material","1.0","Pc(s)"
"TUBS-MPASFW-EM","1","STIC-PAHR0-EM","Packaging Material","1.0","Pc(s)"
"","","TUBE-MPASFWR1-EOVG","Packaging Material","1.0","Pc(s)"
"DUSS-PMFC41R0-MO","2","DUS-PPFR1-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-VPPFC41R0-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-BCPPFC41R0-MO","Packaging Material","1.0","Pc(s)"
"DUSS-PMFC31R0-MO","2","STIC-BCPPFC31R0-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-VPPFC31R0-MO","Packaging Material","1.0","Pc(s)"
"","","DUS-PPFR1-MO","Packaging Material","1.0","Pc(s)"
"DUSS-PMFC51R0-MO","2","STIC-VPPFC51R0-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-BCPPFC51R0-MO","Packaging Material","1.0","Pc(s)"
"","","DUS-PPFR1-MO","Packaging Material","1.0","Pc(s)"
"DUSS-PMFW12R0-MO","2","STIC-VPPFW12R0-MO","Packaging Material","1.0","Pc(s)"
"","","DUS-PPFR1-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-BCPPFW12R0-MO","Packaging Material","1.0","Pc(s)"
"DUSS-PMFW21R0-MO","2","DUS-PPFR1-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-VPPFW21R0-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-BCPPFW21R0-MO","Packaging Material","1.0","Pc(s)"
"DUSS-PMFW32R0-MO","2","DUS-PPFR1-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-VPPFW32R0-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-BCPPFW32R0-MO","Packaging Material","1.0","Pc(s)"
"TUBS-BSTUC20R0-E","1","STIC-PKTUBDBSTUC-E","Packaging Material","1.0","Pc(s)"
"","","TUBE-BSTUCR1-E","Packaging Material","1.0","Pc(s)"
"","","STIC-PKTBSTUC-E","Packaging Material","1.0","Pc(s)"
"TUBS-CDECW100R1-WM","1","STIC-PALFT125-WM","Packaging Material","1.0","Pc(s)"
"","","TUBE-CDECW100R1-W2L","Packaging Material","1.0","Pc(s)"
"BOTS-ROFOHE60-W","5","STIC-BROFHER5-W","Packaging Material","1.0","Pc(s)"
"","","BOTO-RO60-60-P","Packaging Material","1.0","Pc(s)"
"","","STIC-FROFHER5-W","Packaging Material","1.0","Pc(s)"
"TUBS-LGE50R1-WM","1","TUBE-LGE50-WPBL","Packaging Material","1.0","Pc(s)"
"","","STIC-PAGR0-WM","Packaging Material","1.0","Pc(s)"
"TUBS-CDEWF100R1-WM","1","TUBE-CDEWF100R1-W","Packaging Material","1.0","Pc(s)"
"","","STIC-PALFT125-WM","Packaging Material","1.0","Pc(s)"
"DUSS-EMLC09R0-WM","1","STIC-PADEMLC01-WMV","Packaging Material","1.0","Pc(s)"
"","","DUSS-EMLC09H-W","Intermediate","1.0","Pc(s)"
"DUSS-PMFN20R0-MO","2","DUS-PPFR1-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-BCPPFN20R0-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-VPPFN20R0-MO","Packaging Material","1.0","Pc(s)"
"DUSS-PMFW30R0-MO","2","STIC-VPPFW30R0-MO","Packaging Material","1.0","Pc(s)"
"","","DUS-PPFR1-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-BCPPFW30R0-MO","Packaging Material","1.0","Pc(s)"
"DUSS-EMLC16H-W","2","DUS-EMLC16C-WILD","Packaging Material","1.0","Pc(s)"
"","","STIC-HEMLCR1-W","Packaging Material","1.0","Pc(s)"
"DUSS-EMLC17H-W","2","DUS-EMLC17C-WILD","Packaging Material","1.0","Pc(s)"
"","","STIC-HEMLCR1-W","Packaging Material","1.0","Pc(s)"
"BOTP-CVMPB12R0-W","1","BOTO-CVML12R0-W","Packaging Material","1.0","Pc(s)"
"DUSS-EMLC18H-W","2","DUS-EMLC18C-WILD","Packaging Material","1.0","Pc(s)"
"","","STIC-HEMLCR1-W","Packaging Material","1.0","Pc(s)"
"DUSS-PMFN10R0-MO","2","STIC-BCPPFN10R0-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-VPPFN10R0-MO","Packaging Material","1.0","Pc(s)"
"","","DUS-PPFR1-MO","Packaging Material","1.0","Pc(s)"
"DUSS-PMFW22R0-MO","2","STIC-BCPPFW22R0-MO","Packaging Material","1.0","Pc(s)"
"","","DUS-PPFR1-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-VPPFW22R0-MO","Packaging Material","1.0","Pc(s)"
"DUSS-PMFC21R0-MO","2","STIC-VPPFC21R0-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-BCPPFC21R0-MO","Packaging Material","1.0","Pc(s)"
"","","DUS-PPFR1-MO","Packaging Material","1.0","Pc(s)"
