"Product Korporat Code","Reference","BoM Lines/Product Template/Korporat Code","BoM Lines/Product Template/Material Type","BoM Lines/Quantity","BoM Lines/Product Unit of Measure"
"ES-W1B-01-RP-W1,1GR","2","GODE-ESSWA33-178538","Packaging Material","1.3","Pc(s)"
"","","ES-W1B-01 BULK","Semi Finished Goods","0.0011","kg"
"ES-W1B-02-RP-W1,1GR","2","GODE-ESSWA33-178538","Packaging Material","1.3","Pc(s)"
"","","ES-W1B-02 BULK","Semi Finished Goods","0.0011","kg"
"ES-W1B-03-RP-W1,1GR","2","GODE-ESSWA33-178538","Packaging Material","1.3","Pc(s)"
"","","ES-W1B-03 BULK","Semi Finished Goods","0.0011","kg"
"ES-W1C-01-RP-W1,1GR","2","GODE-ESSWA33-178538","Packaging Material","1.3","Pc(s)"
"","","ES-W1C-01 BULK","Semi Finished Goods","0.0011","kg"
"ES-W1C-02-RP-W1,1GR","2","GODE-ESSWA33-178538","Packaging Material","1.3","Pc(s)"
"","","ES-W1C-02 BULK","Semi Finished Goods","0.0011","kg"
"ES-W1C-03-RP-W1,1GR","2","GODE-ESSWA33-178538","Packaging Material","1.3","Pc(s)"
"","","ES-W1C-03 BULK","Semi Finished Goods","0.0011","kg"
"ES-W1C3RNFS1,3W-W","3","ES-W1C-03 BULK","Semi Finished Goods","0.00133","kg"
"","","GODE-ESSWA33-178538","Packaging Material","1.05","Pc(s)"
"ES-W1D-02-RP-W1,1GR","2","GODE-ESSWA33-178538","Packaging Material","1.3","Pc(s)"
"","","ES-W1D-02 BULK","Semi Finished Goods","0.0011","kg"
"ES-W1E-02-RP-W1,1GR","2","GODE-ESSWA33-178538","Packaging Material","1.3","Pc(s)"
"","","ES-W1E-02 BULK","Semi Finished Goods","0.0011","kg"
"ES-W1E-03-RP-W1,1GR","2","GODE-ESSWA33-178538","Packaging Material","1.3","Pc(s)"
"","","ES-W1E-03 BULK","Semi Finished Goods","0.0011","kg"
"ES-W1E01RNFS1,3-W","2","ES-W1E-01 BULK","Semi Finished Goods","0.00133","kg"
"","","GODE-ESSWA33-178538","Packaging Material","1.05","Pc(s)"
"ES-W1E02RNFS1,3-W","2","ES-W1E-02 BULK","Semi Finished Goods","0.00133","kg"
"","","GODE-ESSWA33-178538","Packaging Material","1.05","Pc(s)"
"ES-W1E3RNFS1,3W-W","2","ES-W1E-03 BULK","Semi Finished Goods","0.00133","kg"
"","","GODE-ESSWA33-178538","Packaging Material","1.05","Pc(s)"
"ES-W1F-01-RP-W1,1GR","2","GODE-ESSWA33-178538","Packaging Material","1.3","Pc(s)"
"","","ES-W1F-01 BULK","Semi Finished Goods","0.0011","kg"
"ES-W1F-02-RP-W1,1GR","2","GODE-ESSWA33-178538","Packaging Material","1.3","Pc(s)"
"","","ES-W1F-02 BULK","Semi Finished Goods","0.0011","kg"
"ES-W1F-03-RP-W1,1GR","2","GODE-ESSWA33-178538","Packaging Material","1.3","Pc(s)"
"","","ES-W1F-03 BULK","Semi Finished Goods","0.0011","kg"
"ES-W1F01RNFS1,3-W","2","ES-W1F-01 BULK","Semi Finished Goods","0.00133","kg"
"","","GODE-ESSWA33-178538","Packaging Material","1.05","Pc(s)"
"ES-W1F02RNFS1,3-W","2","ES-W1F-02 BULK","Semi Finished Goods","0.00133","kg"
"","","GODE-ESSWA33-178538","Packaging Material","1.05","Pc(s)"
"ES-W1F3RNFS1,3W-W","2","GODE-ESSWA33-178538","Packaging Material","1.05","Pc(s)"
"","","ES-W1F-03 BULK","Semi Finished Goods","0.00133","kg"
"ES-W1G-01-RP-W1,1GR","2","GODE-ESSWA33-178538","Packaging Material","1.3","Pc(s)"
"","","ES-W1G-01 BULK","Semi Finished Goods","0.0011","kg"
"ES-W1C01RNFS1,3-W","3","ES-W1C-01 BULK","Semi Finished Goods","0.00133","kg"
"","","GODE-ESSWA33-178538","Packaging Material","1.05","Pc(s)"
"ES-W1C02RNFS1,3-W","3","ES-W1C-02 BULK","Semi Finished Goods","0.00133","kg"
"","","GODE-ESSWA33-178538","Packaging Material","1.05","Pc(s)"
"ES-W1D-01-RP-W1,1GR","2","GODE-ESSWA33-178538","Packaging Material","1.3","Pc(s)"
"","","ES-W1D-01 BULK","Semi Finished Goods","0.0011","kg"
"ES-W1G-02-RP-W1,1GR","2","GODE-ESSWA33-178538","Packaging Material","1.3","Pc(s)"
"","","ES-W1G-02 BULK","Semi Finished Goods","0.0011","kg"
"ES-W1G-03-RP-W1,1GR","2","GODE-ESSWA33-178538","Packaging Material","1.3","Pc(s)"
"","","ES-W1G-03 BULK","Semi Finished Goods","0.0011","kg"
"ES-W1G01RNFS1,3-W","3","ES-W1G-01 BULK","Semi Finished Goods","0.00133","kg"
"","","GODE-ESSWA33-178538","Packaging Material","1.05","Pc(s)"
"ES-W1G02RNFS1,3-W","3","ES-W1G-02 BULK","Semi Finished Goods","0.00133","kg"
"","","GODE-ESSWA33-178538","Packaging Material","1.05","Pc(s)"
"ES-W1G3RNFS1,3W-W","3","ES-W1G-03 BULK","Semi Finished Goods","0.00133","kg"
"","","GODE-ESSWA33-178538","Packaging Material","1.05","Pc(s)"
"ES-W1K01RNFS1,3-W","2","ES-W0K-01 BULK","Semi Finished Goods","0.00133","kg"
"","","GODE-ESSWA33-178538","Packaging Material","1.05","Pc(s)"
"ES-W1K02RNFS1,3-W","2","ES-W0K-02 BULK","Semi Finished Goods","0.00133","kg"
"","","GODE-ESSWA33-178538","Packaging Material","1.05","Pc(s)"
"ES-W1K3RNFS1,3-W","2","ES-W0K-03 BULK","Semi Finished Goods","0.00133","kg"
"","","GODE-ESSWA33-178538","Packaging Material","1.05","Pc(s)"
"ES-W1L01RNFS1,3-W","3","ES-W0L-01 BULK","Semi Finished Goods","0.00133","kg"
"","","GODE-ESSWA33-178538","Packaging Material","1.05","Pc(s)"
"ES-W1L02RNFS1,3-W","3","ES-W0L-02 BULK","Semi Finished Goods","0.00133","kg"
"","","GODE-ESSWA33-178538","Packaging Material","1.05","Pc(s)"
"ES-W1L3RNFS1,3-W","3","ES-W0L-03 BULK","Semi Finished Goods","0.00133","kg"
"","","GODE-ESSWA33-178538","Packaging Material","1.05","Pc(s)"
"BO-02IPRNFSN3,5-MO","4","GODE-PESBOR2-MOAL","Packaging Material","1.30769","Pc(s)"
"","","BO-SIP02-BULK","Semi Finished Goods","0.004","kg"
"BO-03PP1RNFS3,5-MO","4","BO-SPS03-BULK","Semi Finished Goods","0.004","kg"
"","","GODE-PESBOR2-MOAL","Packaging Material","1.30769","Pc(s)"
"BO-04RERNFSN3,5-MO","3","GODE-PESBOR2-MOAL","Packaging Material","1.30769","Pc(s)"
"","","BO-SRE04-BULK","Semi Finished Goods","0.004","kg"
"BO-05BSRNFSN3,5-MO","4","BO-SBS05-BULK","Semi Finished Goods","0.004","kg"
"","","GODE-PESBOR2-MOAL","Packaging Material","1.30769","Pc(s)"
"BO-06CSRNFS3,5G-MO","4","GODE-PESBOR2-MOAL","Packaging Material","1.30769","Pc(s)"
"","","BO-SCS06-BULK","Semi Finished Goods","0.004","kg"
"BO-07SSRNFSN3,5-MO","4","GODE-PESBOR2-MOAL","Packaging Material","1.30769","Pc(s)"
"","","BO-SSS07-BULK","Semi Finished Goods","0.0035","kg"
"BO-08CCRNFSN3,5-MO","4","BO-SCC08-BULK","Semi Finished Goods","0.004","kg"
"","","GODE-PESBOR2-MOAL","Packaging Material","1.30769","Pc(s)"
"POTP-PTCHM250-IX","1","POT-R250BLACK-PP","Packaging Material","1.0","Pc(s)"
"POTP-RSPAR1720-P","1","POT-R720WHITE-PP","Packaging Material","1.0","Pc(s)"
"BO-SKPP10-RP-MO3,5GR","4","GODE-PESBOR2-MOAL","Packaging Material","1.30769","Pc(s)"
"","","BO-SKPP10-BULK","Semi Finished Goods","3.5","kg"
"TC-PC06-RP-MO12GR","2","TC-PC06-BULK","Semi Finished Goods","0.012","kg"
"","","GODE-TWC5,4B-SM-P","Packaging Material","1.0","Pc(s)"
"TC-PPHC-07-RP-MO3,5G","3","TC-PPHC-07-BULK","Semi Finished Goods","3.5","kg"
"","","GODE-PESBOR2-MOAL","Packaging Material","1.30769","Pc(s)"
"TC-PPHC-08-RP-MO3,5G","3","TC-PPHC-08-BULK","Semi Finished Goods","3.5","kg"
"","","GODE-PESBOR2-MOAL","Packaging Material","1.30769","Pc(s)"
"TC-W1C1RNFSWNL1-W","1","TC-W1C1-BULK","Semi Finished Goods","0.013","kg"
"","","GODE-TWC5,4B-SM-P","Packaging Material","1.02","Pc(s)"
"TC-W1C212GRRNFS-W","1","TC-W1C2-BULK","Semi Finished Goods","0.0131","kg"
"","","GODE-TWC5,4B-SM-P","Packaging Material","1.02","Pc(s)"
"TC-W1C312GRRNFS-W","1","TC-W1C3-BULK","Semi Finished Goods","0.0141","kg"
"","","GODE-TWC5,4B-SM-P","Packaging Material","1.02","Pc(s)"
"TC-W1I2C412GRRN-W","1","TC-W1I2C4-BULK","Semi Finished Goods","0.012","kg"
"","","GODE-TWC5,4B-SM-P","Packaging Material","1.02","Pc(s)"
"TC-W1LLF0412RNF-W","1","TC-W1LNC4-BULK","Semi Finished Goods","0.012","kg"
"","","GODE-TWC5,4B-SM-P","Packaging Material","1.02","Pc(s)"
"BO-SST09-RP-MO3,5GR","4","GODE-PESBOR2-MOAL","Packaging Material","1.30769","Pc(s)"
"","","BO-SST09-BULK","Semi Finished Goods","0.0035","kg"
"BO-W0D1&2RNFS4G-W","2","BO-W0D-02 BULK","Semi Finished Goods","0.002","kg"
"","","GODE-BOER0-WAL","Packaging Material","1.0","Pc(s)"
"","","BO-W0D-01 BULK","Semi Finished Goods","0.002","kg"
"BO-W0D1&2RNFS4G-W","4","GODE-BOER0-WAL","Packaging Material","1.125","Pc(s)"
"","","BO-W0D-01 BULK","Semi Finished Goods","0.002","kg"
"","","BO-W0D-02 BULK","Semi Finished Goods","0.002","kg"
"BO-W1A1&2RNFS4G-W","2","BO-W1A-02 BULK","Semi Finished Goods","0.0021","kg"
"","","GODE-BOER0-WAL","Packaging Material","1.0","Pc(s)"
"","","BO-W1A-01 BULK","Semi Finished Goods","0.0021","kg"
"BO-W1A1&2RNFS4G-W","4","GODE-BOER0-WAL","Packaging Material","1.125","Pc(s)"
"","","BO-W1A-01 BULK","Semi Finished Goods","0.0021","kg"
"","","BO-W1A-02 BULK","Semi Finished Goods","0.0021","kg"
"BO-W1B1&2RNFS4G-W","2","BO-W1B-02 BULK","Semi Finished Goods","0.00215","kg"
"","","BO-W1B-01 BULK","Semi Finished Goods","0.00215","kg"
"","","GODE-BOER0-WAL","Packaging Material","1.0","Pc(s)"
