"Last Updated on","Created on","Korporat Code","Internal Reference","Name","Internal Name","Material Type","Unit of Measure/Display Name","PO Conversion Coeff","Brand/Display Name","Source","NFG Type/Display Name","Type of RM/PM","Customized UOM PO/Display Name"
"2021-10-05 00:20:53","2021-08-19 02:40:04","CAPA-PSNFSMPLTR0-E","CAPA-PSNFSMPLTR0-E","PS Cap+Wiper NFS Magic Potion Lip Tint Emina,Sanjin,Cap:PP,Wiper:LLDPE+EVA,Cap:Injection Color White,Wiper:Injection Natural,No Finishing","PS Cap+Wiper NFS Magic Potion Lip Tint 0.5 mL Emina","Packaging Material","Pc(s)","0.0","Emina","","CAP","Irregular","Pc(s)"
"2022-06-06 06:50:48","2022-02-02 06:39:36","BOTO-PSFSUAR0-IP","BOTO-PSFSUAR0-IP","PS Final Bottle Step Up Anna IP,HCP,65Q,InjectionTransparent,MetalizingRoseGoldCollar,1PassPrinting,HotstampingRoseGold,SprayMatte","PS Final Bottle Step Up Anna IP","Packaging Material","Pc(s)","0.0","Instaperfect","Imported","BOTPOT","Irregular","Pc(s)"
"2022-06-06 06:52:26","2021-11-24 01:20:53","DUS-PSFMLMPFE14R0-IP","DUS-PSFMLMPFE14R0-IP","PS Final Dus Mattesetter Lip Matte Paint Festive Edition 14 Instaperfect,Ivory 250 gsm,20x20x87mm,4W(Tinta ULR),Varnish Matte,Spot UV","PS Final Dus Mattesetter Lip Matte Paint Festive Edition 14 IP","Packaging Material","Pc(s)","0.0","Instaperfect","","DUS","Irregular","Pc(s)"
"2022-06-06 07:15:50","2021-04-21 05:01:14","PLAS-DMCTWCRP-P85","PLAS-DMCTWCRP-P85","Plastik Dalam Mica Container TWC Refill Puffin,PVC 80 micron,d=55mm","Case/Container Plastik Dalam Mica TW Refill Puffin Wardah","Packaging Material","Pc(s)","0.0","Wardah","Local","PLASTIK","Irregular","Pc(s)"
"2022-03-18 01:37:54","2021-10-12 01:01:03","PLAS-DMEXER0-W","PLAS-DMEXER0-W","Plastik Dalam Mica PET EyeXpert Eyebrow Kit Wardah, PET 100 mic,1W, 60x40mm","Plastik Dalam Mica PET EyeXpert Eyebrow Kit W","Packaging Material","Pc(s)","0.0","Wardah","","PLASTIK MICA","Irregular","Pc(s)"
"2022-03-18 01:37:53","2021-10-12 01:15:45","PLAS-DM62R0-P","PLAS-DM62R0-P","Plastik Dalam Mica PET Lulur 150 ml Putri, PET 100 mic, D=62 mm","Plastik Dalam Mica PET Lulur 150 ml P","Packaging Material","Pc(s)","0.0","Putri","","PLASTIK MICA","Irregular","Pc(s)"
"2022-07-01 06:48:33","2022-07-01 06:48:06","PLU-PGCUVCM20R0-BL","PLU-PGCUVCM20R0-BL","Plug Pot Glass GC UV Care Moist 30 Beyondly, S10002-SW101-30g, white solid, no finishing","Plug Pot Glass GC UV Care Moist 30 BL","Packaging Material","Pc(s)","0.0","Beyondly","","PLUG","Irregular","Pc(s)"
"2022-07-01 06:46:08","2022-07-01 06:45:45","POT-GGCUVCM20R0-BL","POT-GGCUVCM20R0-BL","Pot Glass GC UV Care Moist 30 Beyondly, Glass, S10002-SW101-30g, Clear, Frosted Blue, 1 pass print","Pot Glass GC UV Care Moist 30 BL","Packaging Material","Pc(s)","0.0","Beyondly","","BOTPOT","Irregular","Pc(s)"
"2022-06-30 06:57:35","2021-11-04 06:00:31","CUS-PDCCC31R0-MO","CUS-PDCCC31R0-MO","Powerstay DMC Cushion C31 Pink Beige Make Over, Cont(BlackDoff+HS),Puff(black),UB","Powerstay DMC Cushion C31 MO","Packaging Material","Pc(s)","0.0","Make Over","Local","FINISHED GOOD OEM","Irregular","Pc(s)"
"2022-06-30 07:00:48","2021-11-04 06:02:35","CUS-PDCCC41R0-MO","CUS-PDCCC41R0-MO","Powerstay DMC Cushion C41 Cool Sand Make Over, Cont(BlackDoff+HS),Puff(black),UB","Powerstay DMC Cushion C41 MO","Packaging Material","Pc(s)","0.0","Make Over","Local","FINISHED GOOD OEM","Irregular","Pc(s)"
"2022-02-10 03:59:46","2022-02-10 01:38:21","CUS-PDCCC51R1-MO","CUS-PDCCC51R1-MO","Powerstay DMC Cushion C51 Cool Tan REV-1 Make Over, Cont(BlackDoff+HS),Puff(black),UB","Powerstay DMC Cushion C51 R1 MO","Packaging Material","Pc(s)","0.0","Make Over","","FINISHED GOOD OEM","Irregular","Pc(s)"
"2022-06-30 07:08:38","2021-04-21 05:04:25","CUS-PDCCC62R0-MO","CUS-PDCCC62R0-MO","Powerstay DMC Cushion C62 RichCocoa Make Over, Cont(BlackDoff+HS+seal),Puff(black),UB","Powerstay DMC Cushion C62 MO","Packaging Material","Pc(s)","0.0","Make Over","Local","FINISHED GOOD OEM","Irregular","Pc(s)"
"2022-06-30 05:03:35","2021-11-04 06:04:15","CUS-PDCCN20R0-MO","CUS-PDCCN20R0-MO","Powerstay DMC Cushion N20 Ivory Make Over, Cont(BlackDoff+HS),Puff(black),UB","Powerstay DMC Cushion N20 MO","Packaging Material","Pc(s)","0.0","Make Over","Local","FINISHED GOOD OEM","Irregular","Pc(s)"
"2022-06-30 06:59:53","2021-11-05 01:20:04","CUS-PDCCN40R0-MO","CUS-PDCCN40R0-MO","Powerstay DMC Cushion N40 Sand Make Over, Cont(BlackDoff+HS),Puff(black),UB","Powerstay DMC Cushion N40 MO","Packaging Material","Pc(s)","0.0","Make Over","Local","FINISHED GOOD OEM","Irregular","Pc(s)"
"2022-06-30 05:04:16","2021-11-05 01:20:54","CUS-PDCCW12R0-MO","CUS-PDCCW12R0-MO","Powerstay DMC Cushion W12 Warm Marble Make Over, Cont(BlackDoff+HS),Puff(black),UB","Powerstay DMC Cushion W12 MO","Packaging Material","Pc(s)","0.0","Make Over","Local","FINISHED GOOD OEM","Irregular","Pc(s)"
"2022-06-30 05:02:29","2021-11-05 01:22:01","CUS-PDCCW21R0-MO","CUS-PDCCW21R0-MO","Powerstay DMC Cushion W21 Coral Ivory Make Over, Cont(BlackDoff+HS),Puff(black),UB","Powerstay DMC Cushion W21 MO","Packaging Material","Pc(s)","0.0","Make Over","Local","FINISHED GOOD OEM","Irregular","Pc(s)"
"2022-02-10 04:02:17","2022-02-10 01:41:46","CUS-PDCCW41R1-MO","CUS-PDCCW41R1-MO","Powerstay DMC Cushion W41 Coral Sand REV-1 Make Over, Cont(BlackDoff+HS),Puff(black),UB","Powerstay DMC Cushion W41 R1 MO","Packaging Material","Pc(s)","0.0","Make Over","","FINISHED GOOD OEM","Irregular","Pc(s)"
"2022-06-30 07:01:49","2021-11-05 01:24:00","CUS-PDCCW50R0-MO","CUS-PDCCW50R0-MO","Powerstay DMC Cushion W50 Creme Tan Make Over, Cont(BlackDoff+HS),Puff(black),UB","Powerstay DMC Cushion W50 MO","Packaging Material","Pc(s)","0.0","Make Over","Local","FINISHED GOOD OEM","Irregular","Pc(s)"
"2022-06-30 07:03:13","2021-11-05 01:24:50","CUS-PDCCW60R0-MO","CUS-PDCCW60R0-MO","Powerstay DMC Cushion W60 Creme Cocoa Make Over, Cont(BlackDoff+HS),Puff(black),UB","Powerstay DMC Cushion W60 MO","Packaging Material","Pc(s)","0.0","Make Over","Local","FINISHED GOOD OEM","Irregular","Pc(s)"
"2022-06-06 07:58:41","2021-04-21 04:49:37","PUFF-DMCPR0-E","PUFF-DMCPR0-E","Puff Daily Matte Compact Powder Emina.Polyester.White.d=54mm.t=5mm","Puff Daily Matte Compact Powder E","Packaging Material","Pc(s)","0.0","Emina","Local","PUFF","Irregular","Pc(s)"
"2022-06-14 08:59:10","2021-04-21 05:01:20","PUFF-LPMOD58FP-PH","PUFF-LPMOD58FP-PH","Puff Loose Powder Make Over,D=58mm,Flocked puff,Black Ribbon","Case/Container Puff Loose Powder d=58mm Pita Hitam Make ove","Packaging Material","Pc(s)","0.0","Make Over","Imported","PUFF","Irregular","Pc(s)"
"2021-12-09 07:25:36","2021-12-09 07:25:12","PUFF-PPFR0-MO","PUFF-PPFR0-MO","Puff Powerstay Matte Powder Foundation Revamp Make Over. Dual sided NBR + Flock. D=54.5 mm, T= 5.5 mm. Black","Puff Powerstay Matte Powder Foundation Revamp MO","Packaging Material","Pc(s)","0.0","Make Over","","PUFF","Irregular","Pc(s)"
"2022-07-01 06:26:25","2022-07-01 06:25:50","PU-LS20-BL","PU-LS20-BL","Pump Lotion Serum 20 ml Beyondly, SWC-TPP201AG, 20/410, 2.5 cc, net length 46 mm, Colar White Doff, Actuator White Doff, PP","Pump Lotion Serum 20 BL","Packaging Material","Pc(s)","0.0","Beyondly","","PUMP","Irregular","Pc(s)"
"2022-06-06 09:22:08","2021-04-21 05:27:42","STIC-BCESTNNMO-PW1W3","STIC-BCESTNNMO-PW1W3","Sticker Barcode Eye Shadow Trivia Natural Nude Make Over,PP White,1W,3x1,5cm,Pond","Sticker Barcode Trivia ES Natural Nude Make over","Packaging Material","Pc(s)","0.0","Make Over","Local","STICKER","Regular","Pc(s)"
"2022-06-06 10:12:44","2021-05-03 05:42:27","STIC-BCLPF12RR0-W","STIC-BCLPF12RR0-W","Sticker Bottom Crystallure PLS Powder Foundation 12 Refill Wardah.PETSilverMatte.2W.45x35mm.Gold.VarMatte","Sticker Bottom Crystallure PLS Powder Foundation 12 Refill W","Packaging Material","Pc(s)","0.0","Crystallure","","STICKER","Irregular","Pc(s)"
