Attribute number;Attribute value;Attribute description;Attribute name
10;BOTP Caractere Color Activate 40Vol 150 IX;BOTP Caractere Color Activate 40Vol 150 IX;Product Name
10;BOTP Encapsulated Retinol BSAS 30 T;BOTP Encapsulated Retinol BSAS 30 T;Product Name
10;BOTP Niacinamide ZASS 30 T;BOTP Niacinamide ZASS 30 T;Product Name
10;BOTP PB Squalane + Ceramide MBS 30 T;BOTP PB Squalane + Ceramide MBS 30 T;Product Name
10;BOTP Putri Setting Lotion 200 R2;BOTP Putri Setting Lotion 200 R2;Product Name
10;BOTP Putri Style HSB 200 R2;BOTP Putri Style HSB 200 R2;Product Name
10;BOTP Putri Style HSB 450 R2;BOTP Putri Style HSB 450 R2;Product Name
10;BOTP Putri Style HSH 200 R2;BOTP Putri Style HSH 200 R2;Product Name
10;BOTP Putri Style HSH 450 R2;BOTP Putri Style HSH 450 R2;Product Name
10;BOTS Seaweed Cleansing Micellar Water W;BOTS Seaweed Cleansing Micellar Water W;Product Name
10;BRICK 01;BRICK 01;Product Name
10;Bag Pouch Paket Haji Wardah Bahan Jala;Bag Pouch Paket Haji Wardah Bahan Jala;Product Name
10;Bag Tas Serut Paket Haji Wardah Bahan Furing;Bag Tas Serut Paket Haji Wardah Bahan Furing;Product Name
10;Bahan Anti Acne;Bahan Anti Acne;Product Name
10;Bahan Anti Iritant SG;Bahan Anti Iritant SG;Product Name
10;Bahan HT 3;Bahan HT 3;Product Name
10;Bahan Lulur Halus;Bahan Lulur Halus;Product Name
10;Ball Eyexpert Perfect Precision Liner W;Ball Eyexpert Perfect Precision Liner W;Product Name
10;Ball Steel Powerstay Precision Liquid Liner MO;Ball Steel Powerstay Precision Liquid Liner MO;Product Name
10;Ball Total Eclipse Pen Liner E;Ball Total Eclipse Pen Liner E;Product Name
10;Bare With Me Mineral Cushion 01 Light Emina;Bare With Me Mineral Cushion 01 Light Emina;Product Name
10;Bare With Me Mineral Cushion 02 Natural Emina;Bare With Me Mineral Cushion 02 Natural Emina;Product Name
10;Bare With Me Mineral Cushion 03 Caramel Emina;Bare With Me Mineral Cushion 03 Caramel Emina;Product Name
10;Bare With Me Mineral Cushion 04 Mocca Emina (Pc(s));Bare With Me Mineral Cushion 04 Mocca Emina (Pc(s));Product Name
10;Bare With Me Mineral Loose Powder 01 Fair (LPF);Bare With Me Mineral Loose Powder 01 Fair (LPF);Product Name
