SKU code;SKU Description;COGS Currency;COGS;Uom1;Coef Uom2;Uom2;Coef Uom3;Uom3;Coef Uo4;Uom4;Coef Uom5;Uom5;Coef Uom6;Uom6;Coef Uom7;Uom7;Attribute 1;Attribute 2;Attribute 3;Attribute 4;Attribute 5;Attribute 6;Attribute 7;Attribute 8;Attribute 9;Attribute 10;Attribute 11;Attribute 12;Attribute 13;Attribute 14;Attribute 15;Attribute 16;Attribute 17;Attribute 18;Attribute 19;Attribute 20;Attribute 21;Attribute 22;Attribute 23;Attribute 24;Attribute 25;Attribute 26;Attribute 27;Attribute 28;Attribute 29;Attribute 30
HBW-NFSBWN1A-BD;Biodef NFS Natural Protection Mint + Sea Salt Body Wash Antiseptik Alami 15 ml;;;Pc(s);15.0;g;;g;;;;KOLI;;PLT;;TRL;FG;sample;Biodef;existing;;JTK02;OTHERS;OTHERS;OTHERS;HBW-NFSBWN1A-BD;a;x;;;;;;local;STD;False;;;;;False;;Pc(s);;;
L-NFSCUML01-W;Sample Pajangan Wardah NFS Colorfit Ultralight Matte Lipstick 01 Parfait Pink 3.6 g;;;Pc(s);3.6;g;;g;;;;KOLI;;PLT;;TRL;FG;sample;Wardah;existing;;JTK06;OTHERS;OTHERS;OTHERS;L-NFSCUML01-W;a;x;;202148;202203;;;local;STD;False;;;;;False;;Pc(s);;;
L-NFSCUML05-W;Sample Pajangan Wardah NFS Colorfit Ultralight Matte Lipstick 05 Blossom Pink 3.6 g;;;Pc(s);3.6;g;;g;;;;KOLI;;PLT;;TRL;FG;sample;Wardah;existing;;JTK06;OTHERS;OTHERS;OTHERS;L-NFSCUML05-W;a;x;;202148;202203;;;local;STD;False;;;;;False;;Pc(s);;;
L-NFSCUML08-W;Sample Pajangan Wardah NFS Colorfit Ultralight Matte Lipstick 08 Woodsy Brown 3.6 g;;;Pc(s);3.6;g;;g;;;;KOLI;;PLT;;TRL;FG;sample;Wardah;existing;;JTK06;OTHERS;OTHERS;OTHERS;L-NFSCUML08-W;a;x;;202148;202203;;;local;STD;False;;;;;False;;Pc(s);;;
L-NFSEMLB05-W;Sample Pajangan Wardah NFS Exclusive Matte Lip Cream Blister 05 Speachless 4 g;;;Pc(s);4.0;g;;g;;;;KOLI;;PLT;;TRL;FG;sample;Wardah;existing;;JTK06;OTHERS;OTHERS;OTHERS;L-NFSEMLB05-W;a;x;;202148;202203;;;local;STD;False;;;;;False;;Pc(s);;;
L-NFSEMLB08-W;Sample Pajangan Wardah NFS Exclusive Matte Lip Cream Blister 08 Pinkcredible 4 g;;;Pc(s);4.0;g;;g;;;;KOLI;;PLT;;TRL;FG;sample;Wardah;existing;;JTK06;OTHERS;OTHERS;OTHERS;L-NFSEMLB08-W;a;x;;202148;202203;;;local;STD;False;;;;;False;;Pc(s);;;
L-NFSEMLB09-W;Sample Pajangan Wardah NFS Exclusive Matte Lip Cream Blister 09 Mauve On ! 4 g;;;Pc(s);4.0;g;;g;;;;KOLI;;PLT;;TRL;FG;sample;Wardah;existing;;JTK06;OTHERS;OTHERS;OTHERS;L-NFSEMLB09-W;a;x;;202148;202203;;;local;STD;False;;;;;False;;Pc(s);;;
LB-NFSEFSG4-W;Sample Pajangan Wardah NFS Wardah Everyday Fruity Sheer Lip Balm Grape 4 g;;;Pc(s);4.0;g;;g;;;;KOLI;;PLT;;TRL;FG;sample;Wardah;existing;;JTK06;OTHERS;OTHERS;OTHERS;LB-NFSEFSG4-W;a;x;;202148;202203;;;local;STD;False;;;;;False;;Pc(s);;;
LB-NFSEFSS4-W;Sample Pajangan Wardah NFS Everyday Fruity Sheer Lip Balm Strawberry 4 g;;;Pc(s);4.0;g;;g;;;;KOLI;;PLT;;TRL;FG;sample;Wardah;existing;;JTK06;OTHERS;OTHERS;OTHERS;LB-NFSEFSS4-W;a;x;;202148;202203;;;local;STD;False;;;;;False;;Pc(s);;;
M-NFSBRERMC-L;LABORE Sensitive Skin Care NFS BiomeRepair Barrier Revive Cream 10 ml;;;Pc(s);10.0;g;;g;;;48;KOLI;;PLT;;TRL;FG;sample;Labore;;;JTK02;OTHERS;OTHERS;OTHERS;M-NFSBRERMC-L;a;x;;202136;202139;;;local;STD;False;;;;;False;;Pc(s);;;
M-NFSCSDC9-W;Sample Pajangan Wardah NFS Crystal Secret Day Cream 9 ml;;;Pc(s);9.0;g;;g;;;;KOLI;;PLT;;TRL;FG;sample;Wardah;existing;;JTK06;OTHERS;OTHERS;OTHERS;M-NFSCSDC9-W;a;x;;202148;202203;;;local;STD;False;;;;;False;;Pc(s);;;
M-NFSLDC20-W;Sample Pajangan Wardah NFS Lightening Day Cream 20 ml;;;Pc(s);20.0;g;;g;;;;KOLI;;PLT;;TRL;FG;sample;Wardah;existing;;JTK06;OTHERS;OTHERS;OTHERS;M-NFSLDC20-W;a;x;;202148;202203;;;local;STD;False;;;;;False;;Pc(s);;;
M-NFSLNC20-W;Sample Pajangan Wardah NFS Lightening Night Cream 20 ml;;;Pc(s);20.0;g;;g;;;;KOLI;;PLT;;TRL;FG;sample;Wardah;existing;;JTK06;OTHERS;OTHERS;OTHERS;M-NFSLNC20-W;a;x;;202148;202203;;;local;STD;False;;;;;False;;Pc(s);;;
M-NFSPB20-W;Sample Pajangan Wardah NFS Perfect Bright Moisturizer SPF 20 ml;;;Pc(s);20.0;g;;g;;;;KOLI;;PLT;;TRL;FG;sample;Wardah;existing;;JTK06;OTHERS;OTHERS;OTHERS;M-NFSPB20-W;a;x;;202148;202203;;;local;STD;False;;;;;False;;Pc(s);;;
M-NFSPBNS20-W;Sample Pajangan Wardah NFS Perfect Bright Moisturizer Normal Skin 20 ml;;;Pc(s);20.0;g;;g;;;;KOLI;;PLT;;TRL;FG;sample;Wardah;existing;;JTK06;OTHERS;OTHERS;OTHERS;M-NFSPBNS20-W;a;x;;202148;202203;;;local;STD;False;;;;;False;;Pc(s);;;
