"Last Updated on","Created on","Internal Reference","Korporat Code","Name","Material Type","Unit of Measure/Display Name","Netto Claim","Netto Claim UOM/Display Name","Gross Weight","Master Box - Quantity","Pallet - Quantity","Trolly - Quantity","General Subcategory/Display Name","Brand/Display Name","Lifecycle","Factory/Display Name","Subcategory/Display Name","Format/Display Name","Variant/Display Name","Brand ABC Class","XYZ Class","Destination","Copackaging Routing Type/Display Name","Shrink machine","FG Brand Position/Display Name","Freeze Status","Shelf Life Year","Shelf Life Month","Production Start Date","Distribution Start Date","Purchase Start Date","Net Weight"
"2022-06-06 01:06:55","2021-09-23 01:57:07","04073","CUS-RVPDMCN10-MO","MAKE OVER Powerstay Demi-Matte Cover Cushion N10 Marble 15 g Relaunch","Finished Goods","Pc(s)","15.0","g","0.0","0","0","0","Sellable","Make Over","new product","JTK06","FACE MAKE UP","CUSHION","MAKE OVER POWERSTAY MATTE CUSHION","A","X","Local","OEMNDC","","MASSTIGE","","0","0.0","2021-12-04","2022-03-14","2021-12-03","15.0"
"2022-06-06 01:06:55","2021-06-14 04:20:16","03773","CUS-PDMCN20-MO","MAKE OVER Powerstay Demi-Matte Cover Cushion N20 Ivory 15 g","Finished Goods","Pc(s)","15.0","g","0.0","0","0","0","Sellable","Make Over","new product","JTK06","FACE MAKE UP","CUSHION","MAKE OVER POWERSTAY MATTE CUSHION","A","X","Local","OEMNDC","","MASSTIGE","","0","0.0","2021-07-09","2022-03-31","2021-07-08","15.0"
"2022-06-06 01:06:55","2021-09-23 01:59:39","04075","CUS-RVPDMCN30-MO","MAKE OVER Powerstay Demi-Matte Cover Cushion N30 Natural Beige 15 g Relaunch","Finished Goods","Pc(s)","15.0","g","0.0","0","0","0","Sellable","Make Over","new product","JTK06","FACE MAKE UP","CUSHION","MAKE OVER POWERSTAY MATTE CUSHION","A","X","Local","OEMNDC","","MASSTIGE","","0","0.0","2021-12-04","2022-03-14","2021-12-03","15.0"
"2022-06-06 01:06:55","2021-06-16 02:53:00","03778","CUS-PDMCN40-MO","MAKE OVER Powerstay Demi-Matte Cover Cushion N40 Sand 15 g","Finished Goods","Pc(s)","15.0","g","0.0","0","0","0","Sellable","Make Over","new product","JTK06","FACE MAKE UP","CUSHION","MAKE OVER POWERSTAY MATTE CUSHION","A","X","Local","OEMNDC","","MASSTIGE","","0","0.0","2021-07-09","2022-03-31","2021-07-08","15.0"
"2022-06-06 01:06:55","2021-09-23 02:31:56","04077","CUS-RVPDMCN50-MO","MAKE OVER Powerstay Demi-Matte Cover Cushion N50 Tan 15 g Relaunch","Finished Goods","Pc(s)","15.0","g","0.0","0","0","0","Sellable","Make Over","new product","JTK06","FACE MAKE UP","CUSHION","MAKE OVER POWERSTAY MATTE CUSHION","A","X","Local","OEMNDC","","MASSTIGE","","0","0.0","2021-12-04","2022-03-14","2021-12-03","15.0"
"2022-06-06 01:06:55","2021-06-14 04:18:28","03772","CUS-PDMCW12-MO","MAKE OVER Powerstay Demi-Matte Cover Cushion W12 Warm Marble 15 g","Finished Goods","Pc(s)","15.0","g","0.0","0","0","0","Sellable","Make Over","new product","JTK06","FACE MAKE UP","CUSHION","MAKE OVER POWERSTAY MATTE CUSHION","A","X","Local","OEMNDC","","MASSTIGE","","0","0.0","2021-07-09","2022-03-31","2021-07-08","15.0"
"2022-06-06 01:06:55","2021-06-14 04:23:36","03774","CUS-PDMCW21-MO","MAKE OVER Powerstay Demi-Matte Cover Cushion W21 Coral Ivory 15 g","Finished Goods","Pc(s)","15.0","g","0.0","0","0","0","Sellable","Make Over","new product","JTK06","FACE MAKE UP","CUSHION","MAKE OVER POWERSTAY MATTE CUSHION","A","X","Local","OEMNDC","","MASSTIGE","","0","0.0","2021-07-09","2022-04-11","2021-07-08","15.0"
"2022-06-06 01:06:55","2021-09-23 01:58:12","04074","CUS-RVPDMCW22-MO","MAKE OVER Powerstay Demi-Matte Cover Cushion W22 Warm Ivory 15 g Relaunch","Finished Goods","Pc(s)","15.0","g","0.0","0","0","0","Sellable","Make Over","new product","JTK06","FACE MAKE UP","CUSHION","MAKE OVER POWERSTAY MATTE CUSHION","A","X","Local","OEMNDC","","MASSTIGE","","0","0.0","2021-12-04","2022-03-14","2021-12-03","15.0"
"2022-06-06 01:06:55","2021-09-23 02:36:24","04081","CUS-RVPDMCW30-MO","MAKE OVER Powerstay Demi-Matte Cover Cushion W30 Creme Beige 15 g Relaunch","Finished Goods","Pc(s)","15.0","g","0.0","0","0","0","Sellable","Make Over","new product","JTK06","FACE MAKE UP","CUSHION","MAKE OVER POWERSTAY MATTE CUSHION","A","X","Local","OEMNDC","","MASSTIGE","","0","0.0","2021-12-04","2022-03-14","2021-12-03","15.0"
"2022-06-06 01:06:55","2021-06-16 02:51:13","03777","CUS-PDMCW32-MO","MAKE OVER Powerstay Demi-Matte Cover Cushion W32 Warm Beige 15 g","Finished Goods","Pc(s)","15.0","g","0.0","0","0","0","Sellable","Make Over","new product","JTK06","FACE MAKE UP","CUSHION","MAKE OVER POWERSTAY MATTE CUSHION","A","X","Local","OEMNDC","","MASSTIGE","","0","0.0","2021-07-09","2022-04-11","2021-07-08","15.0"
