"Last Updated on","Created on","Internal Reference","Korporat Code","Name","Material Type","Unit of Measure/Display Name","Netto Claim","Netto Claim UOM/Display Name","Gross Weight","Master Box - Quantity","Pallet - Quantity","Trolly - Quantity","General Subcategory/Display Name","Brand/Display Name","Lifecycle","Factory/Display Name","Subcategory/Display Name","Format/Display Name","Variant/Display Name","Brand ABC Class","XYZ Class","Destination","Copackaging Routing Type/Display Name","Shrink machine","FG Brand Position/Display Name","Freeze Status","Shelf Life Year","Shelf Life Month","Production Start Date","Distribution Start Date","Purchase Start Date","Net Weight"
"2022-07-08 04:56:50","2022-03-21 10:10:01","04760","L-R2EMC16-W","Wardah Exclusive Matte Lip Cream Tukar Guling Shade 16 4 g","Finished Goods","Pc(s)","4.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK04","LIP MAKE UP","LIP CREAM","WARDAH EXCLUSIVE LIP CREAM","A","X","Local","","","MASS","","0","0.0","2022-11-28","2023-02-13","2022-03-22","4.0"
"2022-07-08 04:56:50","2022-03-21 10:11:59","04761","L-R2EMC17-W","Wardah Exclusive Matte Lip Cream Tukar Guling Shade 17 4 g","Finished Goods","Pc(s)","4.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK04","LIP MAKE UP","LIP CREAM","WARDAH EXCLUSIVE LIP CREAM","A","X","Local","","","MASS","","0","0.0","2022-11-28","2023-02-13","2022-03-22","4.0"
"2022-07-08 04:56:50","2022-03-21 10:18:34","04763","L-EMCA-W","Wardah Exclusive Matte Lip Cream Tukar Guling Shade A 4 g","Finished Goods","Pc(s)","4.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK04","LIP MAKE UP","LIP CREAM","WARDAH EXCLUSIVE LIP CREAM","A","X","Local","","","MASS","","0","0.0","2022-11-28","2023-02-13","2022-03-22","4.0"
"2022-07-08 04:56:50","2022-03-21 10:20:39","04764","L-EMCB-W","Wardah Exclusive Matte Lip Cream Tukar Guling Shade B 4 g","Finished Goods","Pc(s)","4.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK04","LIP MAKE UP","LIP CREAM","WARDAH EXCLUSIVE LIP CREAM","A","X","Local","","","MASS","","0","0.0","2022-11-28","2023-02-13","2022-03-22","4.0"
"2022-07-08 04:56:50","2022-03-21 10:22:33","04765","L-EMCC-W","Wardah Exclusive Matte Lip Cream Tukar Guling Shade C 4 g","Finished Goods","Pc(s)","4.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK04","LIP MAKE UP","LIP CREAM","WARDAH EXCLUSIVE LIP CREAM","A","X","Local","","","MASS","","0","0.0","2022-11-28","2023-02-13","2022-03-22","4.0"
"2022-07-08 04:56:50","2022-03-21 10:25:03","04766","L-EMCD-W","Wardah Exclusive Matte Lip Cream Tukar Guling Shade D 4 g","Finished Goods","Pc(s)","4.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK04","LIP MAKE UP","LIP CREAM","WARDAH EXCLUSIVE LIP CREAM","A","X","Local","","","MASS","","0","0.0","2022-11-28","2023-02-13","2022-03-22","4.0"
"2022-07-08 04:56:50","2022-03-21 10:27:11","04767","L-EMCE-W","Wardah Exclusive Matte Lip Cream Tukar Guling Shade E 4 g","Finished Goods","Pc(s)","4.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK04","LIP MAKE UP","LIP CREAM","WARDAH EXCLUSIVE LIP CREAM","A","X","Local","","","MASS","","0","0.0","2022-11-28","2023-02-13","2022-03-22","4.0"
"2022-07-08 04:56:50","2022-03-21 10:29:06","04768","L-EMCF-W","Wardah Exclusive Matte Lip Cream Tukar Guling Shade F 4 g","Finished Goods","Pc(s)","4.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK04","LIP MAKE UP","LIP CREAM","WARDAH EXCLUSIVE LIP CREAM","A","X","Local","","","MASS","","0","0.0","2022-11-28","2023-02-13","2022-03-22","4.0"
"2022-06-07 01:51:52","2021-04-22 02:05:52","00948","EL-W1B-WTA","Wardah Eye Liner Black","Finished Goods","Pc(s)","1.14","g","0.0","120","0","0","Sellable","Wardah","existing","JTK06","EYE MAKE UP","EYE LINER PENCIL","WARDAH EYEXPERT EYE LINER PENCIL","B","X","Local","OEMNDC","","MASS","","0","0.0","","","","1.14"
"2022-06-06 10:27:08","2021-04-22 02:38:47","03445","EB-REPBL-W","Wardah EyeXpert Eyebrow Pencil Black 1.14 g (Blister)","Finished Goods","Pc(s)","1.14","g","0.0","0","0","0","Sellable","Wardah","new product","JTK06","EYE MAKE UP","EYEBROW PENCIL BLISTER","WARDAH EYEXPERT EYEBROW PENCIL BLISTER","C","Y","Local","OEMNDC","","MASS","","0","0.0","2021-01-19","2021-06-21","2021-01-18","1.14"
"2022-06-06 10:27:15","2021-04-22 02:38:49","03446","EB-REPBR-W","Wardah EyeXpert Eyebrow Pencil Brown 1.14 g (Blister)","Finished Goods","Pc(s)","1.14","g","0.0","0","0","0","Sellable","Wardah","new product","JTK06","EYE MAKE UP","EYEBROW PENCIL BLISTER","WARDAH EYEXPERT EYEBROW PENCIL BLISTER","C","X","Local","OEMNDC","","MASS","","0","0.0","2021-01-19","2021-06-21","2021-01-18","1.14"
"2022-06-06 10:27:29","2021-04-22 02:10:56","03448","EB-EXPMBD01-W","Wardah EyeXpert Matic Brow Definer 01 LIGHT BROWN 0.25 g","Finished Goods","Pc(s)","0.25","g","0.0","0","0","0","Sellable","Wardah","new product","JTK06","EYE MAKE UP","EYEBROW MATIC","WARDAH EYEXPERT MATIC BROW DEFINER","A","X","Local","OEMNDC","","MASS","","0","0.0","2020-10-27","2021-11-02","2020-10-26","0.25"
"2022-06-06 10:27:32","2021-04-22 02:10:57","03449","EB-EXPMBD02-W","Wardah EyeXpert Matic Brow Definer 02 DARK BROWN 0.25 g","Finished Goods","Pc(s)","0.25","g","0.0","0","0","0","Sellable","Wardah","new product","JTK06","EYE MAKE UP","EYEBROW MATIC","WARDAH EYEXPERT MATIC BROW DEFINER","A","X","Local","OEMNDC","","MASS","","0","0.0","2020-10-27","2021-11-02","2020-10-26","0.25"
"2022-06-06 10:27:36","2021-04-22 02:10:58","03450","EB-EXPMBD03-W","Wardah EyeXpert Matic Brow Definer 03 DARK GREY 0.25 g","Finished Goods","Pc(s)","0.25","g","0.0","0","0","0","Sellable","Wardah","new product","JTK06","EYE MAKE UP","EYEBROW MATIC","WARDAH EYEXPERT MATIC BROW DEFINER","B","X","Local","OEMNDC","","MASS","","0","0.0","2020-10-27","2021-11-02","2020-10-26","0.25"
"2022-06-06 10:33:14","2021-04-22 02:40:14","03122","EB-IPEM01-W","Wardah Instaperfect BROWFLASH 3-in-1 Brow Perfector 01 True Brown 0.6 g","Finished Goods","Pc(s)","0.6","g","0.0","0","0","0","Sellable","Instaperfect","new product","JTK06","EYE MAKE UP","EYEBROW MATIC","INSTAPERFECT EYEBROW MATIC","B","Y","Local","STD","","MASSTIGE","","0","0.0","2021-04-23","2021-08-09","2021-04-22","0.6"
"2022-06-06 10:33:18","2021-04-22 02:40:15","03123","EB-IPEM02-W","Wardah Instaperfect BROWFLASH 3-in-1 Brow Perfector 02 Ash Brown 0.6 g","Finished Goods","Pc(s)","0.6","g","0.0","0","0","0","Sellable","Instaperfect","new product","JTK06","EYE MAKE UP","EYEBROW MATIC","INSTAPERFECT EYEBROW MATIC","A","Y","Local","STD","","MASSTIGE","","0","0.0","2021-04-23","2021-08-09","2021-04-22","0.6"
"2022-07-08 04:56:50","2021-04-22 02:04:55","01748","B-L01LB-W20G","Wardah Lightening Loose Powder 01 Light Beige 20 g","Finished Goods","Pc(s)","20.0","g","61.5","28","0","0","Sellable","Wardah","existing","JTK01","FACE MAKE UP","LOOSE POWDER","WARDAH LIGHTENING LOOSE POWDER","C","Z","Local","STD","","MASS","","3","0.0","","","","20.0"
"2022-07-08 04:56:50","2021-04-22 02:04:56","01749","B-L02B-W20G","Wardah Lightening Loose Powder 02 Beige 20 g","Finished Goods","Pc(s)","20.0","g","61.5","28","0","0","Sellable","Wardah","existing","JTK01","FACE MAKE UP","LOOSE POWDER","WARDAH LIGHTENING LOOSE POWDER","C","Z","Local","STD","","MASS","","3","0.0","","","","20.0"
"2022-07-08 04:56:50","2021-04-22 02:04:57","01750","B-L03I-W20G","Wardah Lightening Loose Powder 03 Ivory 20 g","Finished Goods","Pc(s)","20.0","g","61.5","28","0","0","Sellable","Wardah","existing","JTK01","FACE MAKE UP","LOOSE POWDER","WARDAH LIGHTENING LOOSE POWDER","C","Z","Local","STD","","MASS","","3","0.0","","","","20.0"
"2022-06-07 02:34:08","2021-04-22 02:30:15","01973","MA-NDSVC-W","Wardah Nature Daily Sheet Mask Vitamin C 20 ml","Finished Goods","Pc(s)","20.0","ml","0.0","120","0","0","Sellable","Wardah","to be discontinued","JTK06","FACE MOISTURIZER","SHEET MASK","WARDAH NATURE DAILY SHEET MASK","B","X","Local","OEMNDC","","MASS","","3","0.0","","","","20.0"
"2022-07-04 05:01:06","2022-04-28 08:51:07","04787","CUS-RREFC01-W","Wardah Refill Exclusive Flawless Cover Cushion 01 Light Beige 15 g","Finished Goods","Pc(s)","15.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK02","FACE MAKE UP","CUSHION","WARDAH EXCLUSIVE REFILL CUSHION","A","X","Local","STD","","MASS","","0","0.0","2022-10-24","2022-12-12","2022-06-24","15.0"
"2022-07-04 05:00:36","2022-04-28 08:53:19","04788","CUS-RREFC02-W","Wardah Refill Exclusive Flawless Cover Cushion 02 Honey Beige 15 g","Finished Goods","Pc(s)","15.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK02","FACE MAKE UP","CUSHION","WARDAH EXCLUSIVE REFILL CUSHION","A","X","Local","STD","","MASS","","0","0.0","2022-10-31","2022-12-12","2022-06-24","15.0"
"2022-07-04 05:01:26","2022-04-28 08:54:35","04789","CUS-RREFC03-W","Wardah Refill Exclusive Flawless Cover Cushion 03 Sandy Beige 15 g","Finished Goods","Pc(s)","15.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK02","FACE MAKE UP","CUSHION","WARDAH EXCLUSIVE REFILL CUSHION","A","X","Local","STD","","MASS","","0","0.0","2022-10-31","2022-12-12","2022-06-24","15.0"
"2022-07-05 00:25:27","2022-04-28 08:56:04","04790","CUS-RREFC04-W","Wardah Refill Exclusive Flawless Cover Cushion 04 Natural 15 g","Finished Goods","Pc(s)","15.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK02","FACE MAKE UP","CUSHION","WARDAH EXCLUSIVE REFILL CUSHION","A","X","Local","STD","","MASS","","0","0.0","2022-10-31","2022-12-12","2022-06-24","15.0"
"2022-07-08 03:12:08","2022-04-22 04:00:43","04779","TC-R2RE01-W","Wardah Refill Exclusive Two Way Cake 01 Sheer Pink 12 g","Finished Goods","Pc(s)","12.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK01","FACE MAKE UP","TWC","WARDAH EXCLUSIVE REFILL TWC","A","X","Local","STD","","MASS","","0","0.0","2022-10-10","2022-12-12","2022-06-24","12.0"
"2022-07-08 03:12:25","2022-04-22 04:02:50","04780","TC-R2RE02-W","Wardah Refill Exclusive Two Way Cake 02 Light Beige 12 g","Finished Goods","Pc(s)","12.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK01","FACE MAKE UP","TWC","WARDAH EXCLUSIVE REFILL TWC","A","X","Local","STD","","MASS","","0","0.0","2022-10-17","2022-12-12","2022-06-24","12.0"
"2022-07-08 03:12:34","2022-04-22 04:04:28","04781","TC-R2RE03-W","Wardah Refill Exclusive Two Way Cake 03 Sandy Beige 12 g","Finished Goods","Pc(s)","12.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK01","FACE MAKE UP","TWC","WARDAH EXCLUSIVE REFILL TWC","A","X","Local","STD","","MASS","","0","0.0","2022-10-17","2022-12-12","2022-06-24","12.0"
"2022-07-08 03:12:46","2022-04-22 04:06:03","04782","TC-R2RE04-W","Wardah Refill Exclusive Two Way Cake 04 Natural 12 g","Finished Goods","Pc(s)","12.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK01","FACE MAKE UP","TWC","WARDAH EXCLUSIVE REFILL TWC","A","X","Local","STD","","MASS","","0","0.0","2022-10-17","2022-12-12","2022-06-24","12.0"
"2022-07-07 05:23:07","2022-04-22 04:07:33","04783","TC-R2RE05-W","Wardah Refill Exclusive Two Way Cake 05 Coffee Beige 12 g","Finished Goods","Pc(s)","12.0","g","0.0","0","0","0","Sellable","Wardah","new product","JTK01","FACE MAKE UP","TWC","WARDAH EXCLUSIVE REFILL TWC","A","X","Local","STD","","MASS","","0","0.0","2022-10-17","2022-12-12","2022-06-24","12.0"
