Korporat Code,Variant Seller/Vendor/Reference,Variant Seller/Percentage,Variant Seller/Delivery Lead Time,Variant Seller/QC Leadtime in days,Variant Seller/Min Qty,Variant Seller/Lot Size,Variant Seller/Vendor/Display Name,Variant Seller/Purchase Start Date,Variant Seller/Purchase End Date,Variant Seller/Incoterms,Variant Seller/Company/Display Name
BASE-MMB03-MO,2303771,1,16,2,3000,100,"ZHONGSHAN FULIN COSMETICS CO.,",2022-01-18,,FREE ON BOARD,PT PARAGON TECHNOLOGY AND INNOVATION
BASE-MMB04-MO,2303771,1,16,2,3000,100,"ZHONGSHAN FULIN COSMETICS CO.,",2022-01-18,,FREE ON BOARD,PT PARAGON TECHNOLOGY AND INNOVATION
BASE-MMB05-MO,2303771,1,16,2,3000,100,"ZHONGSHAN FULIN COSMETICS CO.,",2022-01-18,,FREE ON BOARD,PT PARAGON TECHNOLOGY AND INNOVATION
BASE-PCSS-W,2200115,1,14,2,10000,100,"NINGBO YUNWU PLASTICS CO.,LTD",,2021-01-25,FREE ON BOARD,PT PARAGON TECHNOLOGY AND INNOVATION
BASE-PSMT-MO,2303771,1,6,2,100,100,"ZHONGSHAN FULIN COSMETICS CO.,",,2021-02-22,EX WORKS,PT PARAGON TECHNOLOGY AND INNOVATION
BASE-PSMTQP02-MO,2303771,1,6,2,300,100,"ZHONGSHAN FULIN COSMETICS CO.,",,2021-02-22,EX WORKS,PT PARAGON TECHNOLOGY AND INNOVATION
BASE-PSMTRH01-MO,2303771,1,6,2,300,100,"ZHONGSHAN FULIN COSMETICS CO.,",,2021-02-22,EX WORKS,PT PARAGON TECHNOLOGY AND INNOVATION
BO-EDTKITR0-K,2302356,1,11,2,10000,100,"NINGBO SOMEWANG PACKAGING CO., LTD",2021-02-22,,FREE ON BOARD,PT PARAGON TECHNOLOGY AND INNOVATION
BOTO-ADS170-WHDPE,2200019,1,4,2,50000,255,"BUMIMULIA INDAH LESTARI, PT",2022-02-17,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
BOTO-ADS1702R0-W,2200028,1,4,2,100100,200,"DYNAPLAST, PT",2021-01-25,2021-03-01,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
BOTO-ADS1702R0-W,2200028,1,4,2,100100,200,"DYNAPLAST, PT",2022-01-07,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
BOTO-ADS1702R0-W,2200028,1,4,2,100100,200,"DYNAPLAST, PT",2022-05-12,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
BOTO-ADS1702R1-W,2200028,1,4,2,100000,200,"DYNAPLAST, PT",2022-07-25,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
BOTO-ADS170R2-WHDPE,2200019,1,4,2,100980,255,"BUMIMULIA INDAH LESTARI, PT",2021-02-15,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
BOTO-ADS170R2-WHDPE,2200019,1,4,2,100980,255,"BUMIMULIA INDAH LESTARI, PT",2022-02-17,2022-02-22,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
BOTO-AFRBW-K,2200036,1,4,2,30000,185,"HIDAYAT PUTRA INDUSTRI, PT",2022-07-13,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
BOTO-AFRBW-K,2200036,1,4,2,30000,185,"HIDAYAT PUTRA INDUSTRI, PT",2022-07-13,2022-07-20,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
BOTO-AHRMS30R0-W,2200120,1,14,2,50000,100,SHAMROCK (HK) LIMITED,2021-01-25,2021-01-25,FREE ON BOARD,PT PARAGON TECHNOLOGY AND INNOVATION
BOTO-AHRMS30R0-W,2200120,1,14,2,50000,100,SHAMROCK (HK) LIMITED,2022-02-09,,FREE ON BOARD,PT PARAGON TECHNOLOGY AND INNOVATION
BOTO-AHRMS30R0-W,2200120,1,14,2,50000,100,SHAMROCK (HK) LIMITED,2022-02-09,2022-07-18,FREE ON BOARD,PT PARAGON TECHNOLOGY AND INNOVATION
BOTO-AHRMS30R0-W,2200120,1,14,2,50000,100,SHAMROCK (HK) LIMITED,2022-02-09,2022-07-26,FREE ON BOARD,PT PARAGON TECHNOLOGY AND INNOVATION
BOTO-ALMR1-WPETG,2200032,1,16,2,24000,100,"ESMIN CO., LTD.",2021-01-25,2021-01-25,FREE ON BOARD,PT PARAGON TECHNOLOGY AND INNOVATION
BOTO-ALMR1-WPETG,2200032,1,16,2,24000,100,"ESMIN CO., LTD.",2022-02-03,2022-03-08,FREE ON BOARD,PT PARAGON TECHNOLOGY AND INNOVATION
BOTO-ALMR1-WPETG,2200032,1,16,2,24000,100,"ESMIN CO., LTD.",2022-02-03,2022-07-14,FREE ON BOARD,PT PARAGON TECHNOLOGY AND INNOVATION
BOTO-ALMR1-WPETG,2200032,1,17,2,24000,100,"ESMIN CO., LTD.",2022-02-03,,FREE ON BOARD,PT PARAGON TECHNOLOGY AND INNOVATION
BOTO-BCBW-K,2200036,1,4,2,30000,185,"HIDAYAT PUTRA INDUSTRI, PT",2022-07-13,,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
BOTO-BCBW-K,2200036,1,4,2,30000,185,"HIDAYAT PUTRA INDUSTRI, PT",2022-07-13,2022-07-20,DELIVERED DUTY PAID,PT PARAGON TECHNOLOGY AND INNOVATION
