SKU code;Supplier code;Percentage;Supplier lead time;QC lead time;MOQ;Lot size;Supplier description;No;Material start date;Material end date
DUS-CHCL11R1-MO;2200043;1;4;2;5000;100;Kalingga Jaya, CV;1910;202104;
DUS-CHCL12R1-MO;2200043;1;4;2;5000;100;Kalingga Jaya, CV;1911;202104;
DUS-CHCL1R1-MO;2200043;1;4;2;5000;100;Kalingga Jaya, CV;1912;202104;
DUS-CHCL2R1-MO;2200043;1;4;2;5000;100;Kalingga Jaya, CV;1913;202104;
DUS-CHCL3R1-MO;2200043;1;4;2;5000;100;Kalingga Jaya, CV;1914;202104;
DUS-CHCL4R1-MO;2200043;1;4;2;5000;100;Kalingga Jaya, CV;1915;202104;
DUS-CHCL5R1-MO;2200043;1;4;2;5000;100;Kalingga Jaya, CV;1916;202104;
DUS-CHCL6R1-MO;2200043;1;4;2;5000;100;Kalingga Jaya, CV;1917;202104;
DUS-CHCL7R1-MO;2200043;1;4;2;5000;100;Kalingga Jaya, CV;1918;202104;
DUS-CHCL8R1-MO;2200043;1;4;2;5000;100;Kalingga Jaya, CV;1919;202104;
DUS-CHCL9R1-MO;2200043;1;4;2;5000;100;Kalingga Jaya, CV;1920;202104;
DUS-CLBPER0-E;2200043;1;4;2;20000;100;Kalingga Jaya, CV;1921;202104;
DUS-CLBPIR0-E;2200043;1;4;2;20000;100;Kalingga Jaya, CV;1922;202104;
DUS-CLCBNBR0-EILD;2200043;1;4;2;5000;100;Kalingga Jaya, CV;1923;202104;
DUS-CLCBPER1-EILD;2200043;1;4;2;5000;100;Kalingga Jaya, CV;1924;202104;
DUS-CLCBPIR1-EILD;2200043;1;4;2;5000;100;Kalingga Jaya, CV;1925;202104;
DUS-CLCBVR0-EILD;2200043;1;4;2;5000;100;Kalingga Jaya, CV;1926;202104;
DUS-CLHNTR0-E;2200043;1;4;2;10000;100;Kalingga Jaya, CV;1927;202104;
DUS-CLHNTR1-E;2200152;1;4;2;5000;100;Kalingga Jaya Prima, PT;1928;202143;
DUS-CLHPNSR0-E;2200043;1;4;2;10000;100;Kalingga Jaya, CV;1929;202104;
DUS-CLL0115R0-MOILG;2200043;1;4;2;5000;100;Kalingga Jaya, CV;1930;202104;
DUS-CLMRC100-W;2200126;1;4;2;10000;100;DNP Indonesia, PT;1931;202144;
DUS-CLR0-WIMLG;2200037;1;6;2;50000;100;Indah Kencana, CV;1932;202104;
DUS-CM16R0-E;2200043;1;4;2;10000;100;Kalingga Jaya, CV;1933;202104;
DUS-CM17R0-E;2200043;1;4;2;10000;100;Kalingga Jaya, CV;1934;202104;
DUS-CM18R0-E;2200043;1;4;2;10000;100;Kalingga Jaya, CV;1935;202104;
DUS-CM19R0-E;2200043;1;4;2;10000;100;Kalingga Jaya, CV;1936;202104;
DUS-CMABR0-EILD;2200043;1;4;2;5000;100;Kalingga Jaya, CV;1937;202104;
DUS-CMBBR0-EILD;2200043;1;4;2;5000;100;Kalingga Jaya, CV;1938;202104;
DUS-CMBFR0-EILD;2200043;1;4;2;5000;100;Kalingga Jaya, CV;1939;202104;
DUS-CMCCR1-EILD;2200043;1;4;2;5000;100;Kalingga Jaya, CV;1940;202104;
DUS-CMCPR0-EILD;2200043;1;4;2;5000;100;Kalingga Jaya, CV;1941;202104;
DUS-CMFBR1-EILD;2200043;1;4;2;5000;100;Kalingga Jaya, CV;1942;202104;
DUS-CMFMR1-EILD;2200043;1;4;2;5000;100;Kalingga Jaya, CV;1943;202104;
DUS-CMFR0-W;2200043;1;4;2;50000;100;Kalingga Jaya, CV;1944;202104;
DUS-CMFWR1-EILD;2200043;1;4;2;5000;100;Kalingga Jaya, CV;1945;202104;
DUS-CMGAR0-EILD;2200043;1;4;2;5000;100;Kalingga Jaya, CV;1946;202104;
DUS-CMJBR1-EILD;2200043;1;4;2;5000;100;Kalingga Jaya, CV;1947;202104;
DUS-CMMOI300-30774LG;2200053;1;4;2;5000;100;Mega Putra, PT;1948;202104;
DUS-CMMVR1-EILD;2200043;1;4;2;5000;100;Kalingga Jaya, CV;1949;202104;
DUS-CMPPR0-EILD;2200043;1;4;2;5000;100;Kalingga Jaya, CV;1950;202104;
DUS-CMPR0-W;2200043;1;4;2;20000;100;Kalingga Jaya, CV;1951;202104;
DUS-CMPSR0-EILD;2200043;1;4;2;5000;100;Kalingga Jaya, CV;1952;202104;
DUS-CMSFR0-EILD;2200043;1;4;2;5000;100;Kalingga Jaya, CV;1953;202104;
DUS-CMTWR1-EILD;2200043;1;4;2;5000;100;Kalingga Jaya, CV;1954;202104;
DUS-CPADCCR0-W;2200126;1;4;2;10000;100;DNP Indonesia, PT;1955;202104;
