SKU code;Packing line code;DATE;Qty
CUS-HLGNW33-MO;CUP01;202211;2088
CUS-REFC01-W;CUP01;202210;1584
CUS-REFC01-W;CUP01;202211;2196
CUS-REFC01-W;EMP02;202211;300
CUS-REFC04-W;CUP01;202211;1536
DDC-CDL-W20ML;TUP06;202210;17136
DDC-CDL-W20ML;TUP06;202211;22608
DDC-CDN-W20ML;TUP06;202210;22608
DDC-CDN-W20ML;TUP07;202211;22752
D-RO-KA;BOP10;202210;10704
DUSS-PMFN10R0-MO;PLB01;202211;1233
D-W1R1HER-W60ML;BOP10;202211;16140
EB-DK01-MO;SAP01;202210;876
EB-DK01-MO;FOP03;202210;76
EB-DK01-MO;SAP01;202210;800
EB-EK-W3G;SAP01;202210;2640
EB-EK-W3G;SAP01;202211;3330
EB-IPB3M01-W5.5G;BTP02;202211;2358
EB-SMUEMB-EM;LIP11;202210;5232
EB-SMUEMB-EM;LIP11;202210;5209
ES-ECL-W3,3GR;PCP04;202211;4080
ES-PPR-MO;LIP08;202210;79
ES-PPR-MO;LIP18;202210;96
ES-PPR-MO;LIP18;202210;96
ES-PPR-MO;LIP18;202210;96
ES-PPR-MO;LIP18;202210;59
ES-PRPNS-EM3.3GR;PCP03;202211;1503
ES-PRPNS-EM3.3GR;PCP05;202211;704
ES-PRPPH-EM3.3GR;PCP03;202211;868
ES-TEB-MO6G;PCP03;202210;828
ES-TEB-MO6G;PCP03;202211;828
ES-TIS-MO6G;PCP05;202210;3600
ES-TN-MO6G;PCP05;202210;642
ES-W1G-W3,3GR;PCP04;202210;1800
FA-CPFTSN-TA;LIP11;202210;165
FA-EGH-W;PCP03;202211;240
FA-PFMS-MO50ML;EMP07;202211;1692
FA-RGH-MO13G;PCP03;202211;695
FA-RGH-MO13G;PCP03;202211;94
FA-RGH-MO13G;PCP03;202211;90
FA-RGH-MO13G;PCP03;202211;67
F-BWMM02-EM;BOP10;202211;756
F-CLCMA-W;TUP06;202211;6882
F-CLCMA-W;VMP01;202211;6882
F-CLCMA-W;VMP10;202211;0
F-CLCMD-W;TUP06;202211;1240
F-CLCMG-W;TUP06;202211;3534
F-EVLLF03-W;BOP10;202210;1080
F-EVLLF04-W;BOP10;202210;9936
F-EVLLF04-W;BOP10;20229;5400
F-HGFC21-MO;EMP15;202210;450
F-HGFC21-MO;EMP15;202210;475
F-HGFW22-MO;EMP15;202210;2250
F-HGFW41-MO;EMP15;202210;3275
F-L01-OMG;BOP10;202211;35596
F-L01VC-OMG;BOP10;202211;0
F-L02-OMG;BOP10;202210;17954.288
F-L02VC-OMG;BOP10;202210;0
F-L03-OMG;VMP10;202210;34012
F-L03VC-OMG;BOP10;20229;2508
F-L04-OMG;EMP02;202210;0
F-L04VC-OMG;BOP10;202210;35200
F-L05-OMG;BOP10;202211;20812
F-L05VC-OMG;BOP10;202211;0
F-LLF01-W;BLP01;202210;9180
F-LLF01-W;TUP07;202210;9269
F-LLF02-W;BLP01;202210;15768
F-LLF02-W;BLP01;202210;4320
F-LLF02-W;TUP07;202210;19462
F-LLF03-W;BLP01;202210;9738
F-LLF03-W;TUP07;202210;9749
F-LLF03-W;TUP02;202211;9692
F-LLF04-W;BLP01;202211;4500
F-LLF04-W;BLP01;202211;1008
F-LLF04-W;TUP09;202211;9633
F-LPWC21-MO33ML;BOP10;202210;2550
