"Korporat Code","Variant Seller/Vendor/Reference","Variant Seller/Percentage","Variant Seller/Delivery Lead Time","Variant Seller/QC Leadtime in days","Variant Seller/Min Qty","Variant Seller/Lot Size","Variant Seller/Vendor/Display Name","Variant Seller/Purchase Start Date","Variant Seller/Purchase End Date","Variant Seller/Incoterms","Variant Seller/Company/Display Name"
"WARN-CLRG-X","2100025","1.0","16","2","25.0","25.0","DWIPAR LOKA AYU, PT","2021-01-25","2021-05-24","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100025","1.0","16","2","20.0","20.0","DWIPAR LOKA AYU, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"SERI-A790TS-X","2100085","1.0","20","7","20.0","20.0","TRITUNGGAL ARTHA MAKMUR, PT","2021-01-25","2022-04-04","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2100085","1.0","20","7","20.0","20.0","TRITUNGGAL ARTHA MAKMUR, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"SAMP-AA2G-X","2100021","1.0","6","","0.1","0.1","DKSH INDONESIA, PT","","","DELIVERED BY AIR","PT PARAGON TECHNOLOGY AND INNOVATION"
"HYA-AC511H-X","2100057","1.0","16","2","20.0","20.0","MEGA SETIA AGUNG KIMIA, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"ACTI-AGTV-X","2100052","1.0","8","","2.0","1.0","LAUTAN LUAS, PT","2022-03-21","","DELIVERED BY AIR","PT PARAGON TECHNOLOGY AND INNOVATION"
"AMP-95--K","2308470","1.0","12","2","25.0","25.0","MAHA KIMIA INDONESIA, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"ASO--KB-K","2100050","1.0","20","2","25.0","25.0","KEMIKO INDONESIA, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"VITC-ASYA-X","2100040","1.0","10","7","15.0","15.0","IMCD INDONESIA, PT","2021-01-25","","DELIVERED BY AIR","PT PARAGON TECHNOLOGY AND INNOVATION"
"ABIL-EM90-X","2303754","1.0","20","2","180.0","180.0","EVONIK INDONESIA, PT","2021-01-25","2021-05-07","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2303754","1.0","20","2","180.0","180.0","EVONIK INDONESIA, PT","2021-01-25","2021-12-29","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2303754","1.0","20","2","180.0","180.0","EVONIK INDONESIA, PT","2021-01-25","","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"ABIL-WE09-X","2303754","1.0","20","2","190.0","190.0","EVONIK INDONESIA, PT","2021-01-25","2021-12-08","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2303754","1.0","20","2","190.0","190.0","EVONIK INDONESIA, PT","2021-05-10","2021-12-08","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
"","2303754","1.0","20","2","190.0","190.0","EVONIK INDONESIA, PT","2021-05-10","2022-05-06","DELIVERED BY SEA","PT PARAGON TECHNOLOGY AND INNOVATION"
