"Last Updated on","Created on","Internal Reference","Korporat Code","Name","Material Type","Unit of Measure/Display Name","Netto Claim","Netto Claim UOM/Display Name","Gross Weight","Master Box - Quantity","Pallet - Quantity","Trolly - Quantity","General Subcategory/Display Name","Brand/Display Name","Lifecycle","Factory/Display Name","Subcategory/Display Name","Format/Display Name","Variant/Display Name","Brand ABC Class","XYZ Class","Destination","Copackaging Routing Type/Display Name","Shrink machine","FG Brand Position/Display Name","Freeze Status","Shelf Life Year","Shelf Life Month","Production Start Date","Distribution Start Date","Purchase Start Date","Net Weight"
"2022-07-13 03:58:46","2022-03-10 07:29:01","80093","SRM-AN1VC-OMG","OMG Oh My Glow Mugwort Acne Serum 20 ml","Finished Goods","Pc(s)","20.0","ml","0.0","0","0","0","Sellable","OMG","initial","JTK02","","","","A","X","Local","STD","True","","","3","0.0","","","","21.0"
"2022-07-13 03:59:41","2022-03-10 07:31:04","80094","SRM-PGN1VC-OMG","OMG Oh My Glow Peach Glowing Serum 20 ml","Finished Goods","Pc(s)","20.0","ml","0.0","0","0","0","Sellable","OMG","new product","JTK02","","","","A","X","Local","STD","True","","","3","0.0","","","","20.72"
"2022-07-18 06:57:08","2022-07-04 04:05:28","80099","P-RDB-OMG","OMG Ramadan Package Deco B","Finished Goods","Pc(s)","0.0","g","0.0","0","0","0","Sellable","OMG","initial","JTK06","","","","A","X","Local","","","","","3","0.0","","","","0.0"
"2022-07-18 06:58:19","2022-07-04 04:07:09","80100","P-RPSC-OMG","OMG Ramadan Package Skin Care","Finished Goods","Pc(s)","0.0","g","0.0","0","0","0","Sellable","OMG","initial","JTK06","","","","A","X","Local","","","","","3","0.0","","","","0.0"
"2022-07-11 03:30:43","2022-04-19 05:37:17","80097","SS-UVFM1VC-OMG","OMG UV Fresh Matte Sunscreen 20 ml","Finished Goods","Pc(s)","20.0","ml","0.0","0","0","0","Sellable","OMG","initial","JTK02","","","","A","X","Local","","","","","0","0.0","2023-07-24","2023-07-31","","0.0"
