LIFE CYCLE,FACTORY,Kode Item Baru,Nama Item,MPQ Olah,MPQ Kemas,MPQ Supply,W23/2023,W24/2023,W25/2023,W26/2023,W27/2023,W28/2023,W29/2023,W30/2023,W31/2023,W32/2023,W33/2023,W34/2023,W35/2023,W36/2023,W37/2023,W38/2023,W39/2023,W40/2023,W41/2023,W42/2023,W43/2023,W44/2023,W45/2023,W46/2023,W47/2023,W48/2023,W49/2023,W50/2023,W51/2023,W52/2023,W01/2024,W02/2024,W03/2024,W04/2024,W05/2024,W06/2024,W07/2024,W08/2024,W09/2024,W10/2024,W11/2024,W12/2024,W13/2024,W14/2024,W15/2024,W16/2024,W17/2024,W18/2024,W19/2024,W20/2024,W21/2024,W22/2024,W23/2024,W24/2024,W25/2024,W26/2024,W27/2024,W28/2024,W29/2024,W30/2024,W31/2024,W32/2024,W33/2024,W34/2024,W35/2024,W36/2024,W37/2024,W38/2024,W39/2024,MPQ Kemas,MPQ Supply,Sum
existing,Powder factory,B-CLCLPB-W,Wardah Colorfit Mattifying Powder 23W Warm Ivory 15 g,20,1152,1172,1152,2304,1152,2304,1152,1152,2304,2304,2304,1152,2304,2304,2304,2304,1152,2304,2304,2304,2304,2304,2304,2304,1152,2304,2304,2304,2304,1152,2304,2304,2304,2304,1152,2304,2304,2304,1152,2304,2304,2304,2304,1152,2304,2304,2304,2304,1152,2304,2304,2304,1152,2304,2304,2304,2304,1152,2304,2304,2304,1152,2304,1152,2304,1152,2304,1152,0,1152,1152,1152,1172,"133,632"
existing,Powder factory,B-CLCLPC-W,Wardah Colorfit Mattifying Powder 32N Neutral Beige 15 g,20,1152,1172,2304,2304,1152,2304,1152,1152,2304,1152,2304,1152,2304,1152,2304,1152,2304,2304,2304,1152,2304,2304,2304,2304,1152,2304,2304,2304,2304,1152,2304,2304,2304,2304,1152,2304,2304,2304,2304,1152,2304,2304,2304,2304,1152,2304,2304,2304,2304,1152,2304,2304,2304,2304,1152,2304,2304,2304,2304,1152,2304,2304,1152,2304,1152,2304,2304,0,1152,1152,0,1152,1172,"131,328"
existing,Powder factory,B-CLCLPD-W,Wardah Colorfit Mattifying Powder 43W Golden Sand 15 g,10,480,500,1440,480,480,480,0,480,480,480,480,480,0,480,480,480,480,480,960,480,480,480,480,480,480,480,960,480,480,480,480,480,480,960,480,480,480,480,480,480,480,480,960,480,480,480,480,480,480,960,480,480,480,480,480,480,480,960,480,480,480,480,480,480,480,480,480,0,0,0,0,480,500,"34,080"
existing,Powder factory,B-CPGR01-W,CRYSTALLURE Precious Glow Radiance Powder 12 IVORY 18 g,7,240,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,240,0,0,0,240,0,0,240,0,0,240,0,0,240,0,0,240,0,0,240,0,0,0,240,0,0,240,0,0,240,0,0,240,0,0,240,0,0,240,0,0,0,240,0,0,240,0,0,0,0,240,260,"3,840"
existing,Powder factory,B-CPGR02-W,CRYSTALLURE Precious Glow Radiance Powder 13 BEIGE 18 g,7,240,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,240,0,0,0,240,0,0,0,240,0,0,0,240,0,0,0,240,0,0,0,240,0,0,0,240,0,0,0,240,0,0,240,0,0,0,240,0,0,0,240,0,0,0,240,0,0,0,0,0,240,260,"3,120"
existing,Powder factory,B-DMCP01-EM,Emina Daily Matte Compact Powder 01 Light 11 g,40,3276,3296,3276,6552,3276,6552,3276,6552,3276,3276,6552,3276,3276,6552,3276,6552,3276,3276,6552,3276,6552,3276,6552,3276,3276,6552,3276,6552,3276,6552,3276,6552,3276,3276,6552,3276,6552,3276,6552,3276,6552,3276,3276,6552,3276,6552,3276,6552,3276,6552,3276,3276,6552,3276,6552,3276,6552,3276,6552,3276,3276,6552,3276,6552,3276,3276,6552,0,3276,0,3276,3276,3296,"311,220"
existing,Powder factory,B-DMCP02-EM,Emina Daily Matte Compact Powder 02 Natural 11 g,80,6840,6860,6840,6840,6840,6840,6840,13680,6840,6840,6840,6840,6840,13680,6840,6840,6840,6840,13680,6840,6840,6840,6840,13680,6840,6840,6840,13680,6840,6840,6840,6840,13680,6840,6840,6840,6840,13680,6840,6840,6840,6840,13680,6840,6840,6840,6840,13680,6840,6840,6840,6840,13680,6840,6840,6840,6840,13680,6840,6840,6840,6840,6840,13680,6840,6840,6840,6840,0,0,0,6840,6860,"533,520"
existing,Powder factory,B-DMCP03-EM,Emina Daily Matte Compact Powder 03 Caramel 11 g,40,3276,3296,3276,3276,0,3276,3276,3276,6552,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,6552,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,6552,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,3276,0,3276,0,0,3276,3296,"222,768"
existing,Powder factory,B-DMCP04-EM,Emina Daily Matte Compact Powder 04 Mocca 11 g,10,684,704,684,0,1368,1368,1368,1368,1368,1368,1368,1368,684,1368,1368,1368,1368,1368,1368,1368,1368,1368,1368,1368,1368,1368,1368,1368,1368,1368,1368,1368,1368,1368,1368,1368,1368,1368,1368,1368,1368,1368,1368,1368,1368,1368,1368,1368,1368,1368,684,1368,1368,1368,1368,1368,1368,1368,1368,1368,1368,1368,684,1368,684,1368,1368,684,0,0,0,684,704,"84,816"
existing,Powder factory,B-DMLP01-EM,Emina Daily Matte Loose Powder 01 Light Beige 20 g,60,2784,2804,2784,0,5568,2784,5568,2784,2784,2784,5568,2784,2784,2784,5568,2784,2784,2784,5568,2784,2784,5568,2784,2784,2784,5568,2784,2784,2784,5568,2784,2784,2784,5568,2784,2784,2784,5568,2784,2784,2784,5568,2784,2784,2784,5568,2784,2784,2784,5568,2784,2784,2784,5568,2784,2784,5568,2784,2784,2784,5568,2784,2784,2784,5568,2784,2784,0,0,2784,0,2784,2804,"228,288"
existing,Powder factory,B-DMLP02-EM,Emina Daily Matte Loose Powder 02 Natural Beige 20 g,100,4768,4788,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,9536,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,4768,0,0,4768,4768,4788,"324,224"
initial,Powder factory,B-EL01-W,Wardah Elevate Loose Powder 01 15 g,100,6421,6614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6421,6614,"6,421"
initial,Powder factory,B-EL02-W,Wardah Elevate Loose Powder 02 15 g,100,6421,6614,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6421,6614,"6,521"
