"Product Korporat Code","Reference","BoM Lines/Product Template/Korporat Code","BoM Lines/Product Template/General Subcategory","BoM Lines/Quantity","BoM Lines/Product Unit of Measure","Created on"
"","","CAP-TLC04SCR0-E","Regular","1.0","Pc(s)",""
"","","DUS-LC04SCR0-E","Regular","1.0","Pc(s)",""
"","","STIC-PAHR2-EM","Regular","1.0","Pc(s)",""
"","","IBOX-12EG-ED31","Regular","0.08333","Pc(s)",""
"","","KB-ECR1-KMK125CF","Regular","0.01042","Pc(s)",""
"TC-R2E03-W","1","TC-PC03-BULK","Bulk","0.012","kg","2022-08-03 04:36:34"
"","","CONP-ETWCR0-W","Intermediate Pack","1.0","Pc(s)",""
"","","GODE-CPTZ59R1-MO","Regular","1.0","Pc(s)",""
"","","PLAS-DM60R0-W","Regular","1.0","Pc(s)",""
"","","PUFF-TWCNBRR1-W","Regular","1.0","Pc(s)",""
"","","STIC-BTETC3R0-WRL","Regular","1.0","Pc(s)",""
"","","DUS-ETWCR4-W","Regular","1.0","Pc(s)",""
"","","STIC-VETWC03R0-W","Regular","1.0","Pc(s)",""
"","","KB-W12X250R1-W","Regular","0.03333","Pc(s)",""
"MY-EBSMUEMA-EM","3 (INLINE)","EB-SMUEMA-BULK","Bulk","0.008","kg","2023-05-03 07:12:01"
"","","TUBE-SMUBCWR0-E","Regular","1.0","Pc(s)",""
"","","CAPA-SMUBCR0-E","Regular","1.0","Pc(s)",""
"","","DUS-SMUBWR1-E","Regular","1.0","Pc(s)",""
"","","STIC-PACR2-EM","Regular","1.0","Pc(s)",""
"","","KB-EAR0-KMM125","Regular","0.01389","Pc(s)",""
"MY-EBTS-EM","4 (INLINE)","EB-TS-01-RP-EM1,1GR","Refill","1.0","Pc(s)","2023-05-03 07:14:25"
"","","EB-TS-02-RP-EM1,1GR","Refill","1.0","Pc(s)",""
"","","EB-TS-03-BULK","Bulk","0.0007","kg",""
"","","CONP-TSEB-E","Intermediate Pack","1.0","Pc(s)",""
"","","GODE-ESSWA33-178538","Regular","1.0","Pc(s)",""
"","","APPL-EBR0-ENPS","Regular","1.0","Pc(s)",""
"","","PLAS-DMESBOR0-E","Regular","1.0","Pc(s)",""
"","","STIC-MAGNIR0-EPSM","Regular","1.0","Pc(s)",""
"","","STIC-BOTTSEBR0-ECNF","Regular","1.0","Pc(s)",""
"","","DUS-TSEBR0-EILD","Regular","1.0","Pc(s)",""
"","","STIC-BCTSEBR0-ECNF","Regular","1.0","Pc(s)",""
"","","STIC-QRTSEBAR0-E","Regular","1.0","Pc(s)",""
"","","STIC-QRTSEBBR0-E","Regular","1.0","Pc(s)",""
"","","STIC-PAFR2-EM","Regular","1.0","Pc(s)",""
"","","KB-EBR1-KMK125CF","Regular","0.00793","Pc(s)",""
"MY-LCM02-EM","3 (INLINE)","L-CM02-BULK","Bulk","0.0055","kg","2023-05-04 00:52:05"
"","","CAPA-CMR0-EM","Regular","1.0","Pc(s)",""
"","","BOTO-PCMR1-E","Regular","1.0","Pc(s)",""
"","","STIC-BOTCMFWR1-EOPP","Regular","1.0","Pc(s)",""
"","","DUS-CMFWR2-E","Regular","1.0","Pc(s)",""
"","","STIC-PANR2-EM","Regular","1.0","Pc(s)",""
"","","IBOX-12EE-ED31","Regular","0.08333","Pc(s)",""
"","","KB-ECR1-KMK125CF","Regular","0.00694","Pc(s)",""
"MY-LCM08-EM","3 (INLINE)","L-CM08-BULK","Bulk","0.0055","kg","2023-05-03 07:22:50"
"","","BOTO-PCMR1-E","Regular","1.0","Pc(s)",""
"","","CAPA-CMR0-EM","Regular","1.0","Pc(s)",""
"","","STIC-BOTCMPSR1-EOPPT","Regular","1.0","Pc(s)",""
"","","DUS-CMPSR1-E","Regular","1.0","Pc(s)",""
"","","STIC-PANR2-EM","Regular","1.0","Pc(s)",""
"","","IBOX-12EE-ED31","Regular","0.08333","Pc(s)",""
"","","KB-ECR1-KMK125CF","Regular","0.00694","Pc(s)",""
"CUS-R2EFC03-W","2","CUS-R2EFC03-BULK","Bulk","0.015","kg","2022-09-21 06:12:36"
"","","CONP-EFCCR0-W","Intermediate Pack","1.0","Pc(s)",""
"","","CONT-ICEFCCR0-W","Regular","1.0","Pc(s)",""
"","","CONT-REFCCR0-W","Regular","1.0","Pc(s)",""
"","","ISPO-IPE4712R0-X","Regular","1.0","Pc(s)",""
"","","STIC-SEFCCR0-W","Regular","1.0","Pc(s)",""
"","","PUFF-EFCCR0-W","Regular","1.0","Pc(s)",""
"","","STIC-BEFCC03R0-W","Regular","1.0","Pc(s)",""
"","","DUS-EFCC03R2-W","Regular","1.0","Pc(s)",""
"","","DUS-SEFCCR0-W","Regular","1.0","Pc(s)",""
"","","KB-WIPSKMMR1-W","Regular","0.02083","Pc(s)",""
"FW-FWN1-OMG","3","FW-FW-BULK","Bulk","0.009","kg","2022-09-21 07:17:29"
"","","SACH-PGFW9-OMG","Regular","1.0","Pc(s)",""
"","","CAP-SPGFW9-OMG","Regular","1.0","Pc(s)",""
"","","KB-BERYLR0-OMG","Regular","0.008333","Pc(s)",""
"","","PLAS-FPGFW9R1-OMG","Regular","0.0002","Pc(s)",""
"MY-LCM12-EM","3 (INLINE)","L-CM12-BULK","Bulk","0.0055","kg","2023-05-03 07:23:55"
"","","BOTO-PCMR1-E","Regular","1.0","Pc(s)",""
"","","CAPA-CMR0-EM","Regular","1.0","Pc(s)",""
"","","STIC-BOTCMPPR1-EOPPT","Regular","1.0","Pc(s)",""
"","","DUS-CMPPR1-E","Regular","1.0","Pc(s)",""
"","","STIC-PANR2-EM","Regular","1.0","Pc(s)",""
"","","IBOX-12EE-ED31","Regular","0.08333","Pc(s)",""
"","","KB-ECR1-KMK125CF","Regular","0.00694","Pc(s)",""
"MY-LCM13-EM","3 (INLINE)","L-CM13-BULK","Bulk","0.0055","kg","2023-05-03 07:24:52"
"","","BOTO-PCMR1-E","Regular","1.0","Pc(s)",""
"","","CAPA-CMR0-EM","Regular","1.0","Pc(s)",""
"","","STIC-BOTCMBBR1-EOPPT","Regular","1.0","Pc(s)",""
"","","DUS-CMBBR1-E","Regular","1.0","Pc(s)",""
"","","STIC-PANR2-EM","Regular","1.0","Pc(s)",""
"","","IBOX-12EE-ED31","Regular","0.08333","Pc(s)",""
"","","KB-ECR1-KMK125CF","Regular","0.00694","Pc(s)",""
"MY-LBLMOR-EM","2","LB-LMOR-EM","Sellable","1.0","Pc(s)","2023-02-16 01:16:39"
"","","STIC-PAOR2-EM","Regular","1.0","Pc(s)",""
"","","KB-EBR1-KMK125CF","Regular","0.04167","Pc(s)",""
"M-MN1-OMG","3","M-M-BULK","Bulk","0.0075","kg","2022-09-21 07:19:22"
"","","SACH-PGM75-OMG","Regular","1.0","Pc(s)",""
"","","PLAS-FPGM75R1-OMG","Regular","0.000191","Pc(s)",""
"","","CAP-SPGM75-OMG","Regular","1.0","Pc(s)",""
"","","KB-BERYLR0-OMG","Regular","0.008333","Pc(s)",""
"L-CM01-EM5.5GR","11","L-CM01-BULK","Bulk","0.0055","kg","2022-09-22 02:00:49"
"","","BOTO-PCMR1-E","Regular","1.0","Pc(s)",""
"","","CAPA-CMR0-EM","Regular","1.0","Pc(s)",""
"","","STIC-BOTCMCCR2-EOPP","Regular","1.0","Pc(s)",""
"","","DUS-CMCCR1-EILD","Regular","1.0","Pc(s)",""
"","","STIC-QRCMCC01R0-E","Regular","1.0","Pc(s)",""
"","","IBOX-12EE-ED31","Regular","0.08333","Pc(s)",""
"","","KB-ECR1-KMK125CF","Regular","0.00694","Pc(s)",""
"L-CM02-EM5.5GR","9","L-CM02-BULK","Bulk","0.0055","kg","2022-09-22 02:03:15"
"","","CAPA-CMR0-EM","Regular","1.0","Pc(s)",""
"","","BOTO-PCMR1-E","Regular","1.0","Pc(s)",""
"","","STIC-BOTCMFWR1-EOPP","Regular","1.0","Pc(s)",""
"","","DUS-CMFWR1-EILD","Regular","1.0","Pc(s)",""
"","","STIC-QRCMFW02R0-E","Regular","1.0","Pc(s)",""
"","","IBOX-12EE-ED31","Regular","0.08333","Pc(s)",""
"","","KB-ECR1-KMK125CF","Regular","0.00694","Pc(s)",""
"L-CM13-EM5.5GR","6","L-CM13-BULK","Bulk","0.0055","kg","2022-09-22 02:13:10"
"","","BOTO-PCMR1-E","Regular","1.0","Pc(s)",""
"","","CAPA-CMR0-EM","Regular","1.0","Pc(s)",""
"","","STIC-BOTCMBBR1-EOPPT","Regular","1.0","Pc(s)",""
"","","DUS-CMBBR0-EILD","Regular","1.0","Pc(s)",""
"","","STIC-QRCMBB13R0-E","Regular","1.0","Pc(s)",""
"","","IBOX-12EE-ED31","Regular","0.08333","Pc(s)",""
"","","KB-ECR1-KMK125CF","Regular","0.00694","Pc(s)",""
"FW-RPBCFLO100-W","2","FW-RPBCFLO-BULK","Bulk","0.1","kg","2022-09-23 06:34:02"
"","","TUBE-PBCFBOCRV100R1-W","Regular","1.0","Pc(s)",""
"","","KB-WT100R1-KMM125BF","Regular","0.0333333","Pc(s)",""
"","","STIC-ECPBCFBOCRV100-W","Regular","1.0","Pc(s)",""
"MY-FWRPBCFLO100-W","3 (INLINE)","FW-RPBCFLO-BULK","Bulk","0.1","kg","2022-09-23 06:36:49"
"","","TUBE-PBCFBOCRV100R1-W","Regular","1.0","Pc(s)",""
"","","KB-WT100R1-KMM125BF","Regular","0.0333333","Pc(s)",""
"","","STIC-ECPBCFBOCRV100-W","Regular","1.0","Pc(s)",""
"FW-RPBCFLS100-W","2","FW-RPBCFLS-BULK","Bulk","0.1","kg","2022-09-23 06:54:46"
"","","TUBE-PBCFBSGRV100R1-W","Regular","1.0","Pc(s)",""
"","","KB-WT100R1-KMM125BF","Regular","0.0333333","Pc(s)",""
"","","STIC-ECPBCFBSGRV100-W","Regular","1.0","Pc(s)",""
"MY-FWRPBCFLS100-W","3 (INLINE)","FW-RPBCFLS-BULK","Bulk","0.1","kg","2022-09-23 06:59:30"
"","","TUBE-PBCFBSGRV100R1-W","Regular","1.0","Pc(s)",""
"","","KB-WT100R1-KMM125BF","Regular","0.0333333","Pc(s)",""
"","","STIC-ECPBCFBSGRV100-W","Regular","1.0","Pc(s)",""
"M-MN2-OMG","5","M-M-BULK","Bulk","0.025","kg","2022-09-23 07:42:04"
"","","TUBE-PGM25-OMG","Regular","1.0","Pc(s)",""
"","","DUS-PGM25-OMG","Regular","1.045","Pc(s)",""
"","","PS-DPGM25-OMG","Regular","1.045","Pc(s)",""
"","","KB-BERYLR0-OMG","Regular","0.0166667","Pc(s)",""
"L-LTA-OMG","4","L-LTA-BULK","Bulk","0.0053","kg","2022-09-26 04:12:44"
"","","BOTO-WJKLTSR1-OMG","Regular","1.0","Pc(s)",""
"","","CAPA-JKLTS01R1-OMG","Regular","1.0","Pc(s)",""
"","","STIC-BJKLTS01R0-OMG","Regular","1.0","Pc(s)",""
"","","DUS-JKLTS01R1-OMG","Regular","1.0","Pc(s)",""
"","","IBOX-RRPJKLTSR0-OMG","Regular","0.083333","Pc(s)",""
"","","KB-ARGONR0-OMG","Regular","0.010417","Pc(s)",""
"MY-FWPCSAC-KA","3 (INLINE)","FW-PCSAC-BULK","Bulk","0.1","kg","2022-11-21 06:01:36"
"","","TUBE-PCSAFWR1-K","Regular","1.0","Pc(s)",""
"","","STIC-PAGR1-EM","Regular","1.0","Pc(s)",""
"","","KB-KAHFBR0-K","Regular","0.0666667","Pc(s)",""
"MY-LEMC02DP-W","3 (INLINE)","L-EMC02-BULK","Bulk","0.004","kg","2023-05-19 09:12:40"
"","","BOTP-EMLCR0-W","Intermediate Pack","1.0","Pc(s)",""
"","","CAPA-WEMLNSR0-W","Regular","1.0","Pc(s)",""
"","","STIC-BOTEMLC02R2-W","Regular","1.0","Pc(s)",""
"","","DUSS-EMLC02-WM","Intermediate Pack","1.0","Pc(s)",""
"","","STIC-HEMLCR1-W","Regular","1.0","Pc(s)",""
"","","IBOX-RRPEMLCR0-W","Regular","0.08333","Pc(s)",""
"","","KB-WIOTAR1-W","Regular","0.00694","Pc(s)",""
"MY-FWFW01-KA","2 (INLINE)","FW-FW01-BULK","Bulk","0.1","kg","2022-05-25 08:00:08"
"","","TUBE-GEFS100R0-K","Regular","1.0","Pc(s)",""
"","","STIC-PAGR1-EM","Regular","1.0","Pc(s)",""
"","","KB-KAHFBR0-K","Regular","0.0666667","Pc(s)",""
"L-LTC-OMG","3","L-LTC-BULK","Bulk","0.0053","kg","2022-09-26 04:35:01"
"","","BOTO-WJKLTSR1-OMG","Regular","1.0","Pc(s)",""
"","","CAPA-JKLTS03R1-OMG","Regular","1.0","Pc(s)",""
"","","STIC-BJKLTS03R0-OMG","Regular","1.0","Pc(s)",""
"","","DUS-JKLTS03R1-OMG","Regular","1.0","Pc(s)",""
"","","IBOX-RRPJKLTSR0-OMG","Regular","0.083333","Pc(s)",""
"","","KB-ARGONR0-OMG","Regular","0.010417","Pc(s)",""
"HT-P1SRL-P200D","4","HT-SPARL-BULK","Bulk","0.2","kg","2022-09-26 08:50:48"
"","","BOTP-HTSPALREV1-P","Intermediate Pack","1.0","Pc(s)",""
"","","PLU-BL200NAT-LDPE","Regular","1.0","Pc(s)",""
"","","CAP-BL200NAT-PP","Regular","1.0","Pc(s)",""
"","","DUS-HTSLA20PR2-P","Regular","1.0","Pc(s)",""
"","","DUS-PYNGHTP-","Regular","1.0","Pc(s)",""
"","","KB-PHT200D-315X268X1","Regular","0.04166","Pc(s)",""
"F-L04-OMG","2","CAP-BCLFR0-OMG","Regular","1.0","Pc(s)","2022-09-27 04:44:43"
"","","F-L04-BULK","Bulk","0.025","kg",""
"","","BOTO-CLFR0-OMG","Regular","1.0","Pc(s)",""
"","","PS-CLFR0-OMG","Regular","1.0","Pc(s)",""
"","","PLU-BCLFR0-OMG","Regular","1.0","Pc(s)",""
"","","STIC-FCLF32NNR0-OMG","Regular","1.0","Pc(s)",""
"","","STIC-BCLF32NNR1-OMG","Regular","1.0","Pc(s)",""
"","","KB-XENONR0-OMG","Regular","0.02273","Pc(s)",""
"MY-TCR2E02-W","1 (INLINE)","TC-PC08-BULK","Bulk","0.012","kg","2022-11-10 01:02:50"
"","","CONP-ETWCR0-W","Intermediate Pack","1.0","Pc(s)",""
"","","GODE-CPTZ59R1-MO","Regular","1.0","Pc(s)",""
"","","PLAS-DM60R0-W","Regular","1.0","Pc(s)",""
"","","PUFF-TWCNBRR1-W","Regular","1.0","Pc(s)",""
"","","STIC-BTETC2R0-WRL","Regular","1.0","Pc(s)",""
"","","DUS-ETWCR4-W","Regular","1.0","Pc(s)",""
"","","STIC-VETWC02R0-W","Regular","1.0","Pc(s)",""
"","","STIC-PAEAR2-WM","Regular","1.0","Pc(s)",""
"","","KB-W12X250R1-W","Regular","0.03333","Pc(s)",""
"MY-FWPCSRB-KA","3 (INLINE)","FW-PCSRB-BULK","Bulk","0.1","kg","2023-02-16 06:44:04"
"","","TUBE-PCEBFWR1-K","Regular","1.0","Pc(s)",""
"","","STIC-PAGR1-EM","Regular","1.0","Pc(s)",""
"","","KB-KAHFBR0-K","Regular","0.0666667","Pc(s)",""
"L-MLCI-OMG","9","L-MLCI-BULK","Bulk","0.0035","kg","2022-12-20 01:35:10"
"","","CAPA-MKLCR0-OMG","Regular","1.0","Pc(s)",""
"","","BOTO-MKLCR0-OMG","Regular","1.0","Pc(s)",""
"","","STIC-BMKLC09R3-OMG","Regular","1.0","Pc(s)",""
"","","DUS-MKLCR2-OMG","Regular","1.0","Pc(s)",""
"","","STIC-VMKLC09R2-OMG","Regular","1.0","Pc(s)",""
"","","IBOX-RRPMKLCR2-OMG","Regular","0.08333","Pc(s)",""
"","","KB-NEONR0-OMG","Regular","0.00694","Pc(s)",""
"M-LDGN2-W","5","TUBS-KLDG20-W","Intermediate Pack","1.0","Pc(s)","2022-09-28 02:50:03"
"","","M-LDGN-BULK","Bulk","0.02","kg",""
"","","KB-WLS20R2-KMK125CF","Regular","0.02778","Pc(s)",""
"","","DUS-LDG20R1-W","Regular","1.0","Pc(s)",""
"ES-TBG-MO6G","7","PLAS-DMESBOR0-MO","Regular","1.0","Pc(s)","2022-07-28 05:06:03"
"","","CONT-ESLB3MOASA-2PSC","Regular","1.0","Pc(s)",""
"","","ES-SGC2GRNFS-MO","Refill","1.0","Pc(s)",""
"","","KB-MOTWC3252-K150M12","Regular","0.02778","Pc(s)",""
"","","DUS-TESR2-MO","Regular","1.0","Pc(s)",""
"","","ES-SGBS2GRNFS-MO","Refill","1.0","Pc(s)",""
"","","STIC-BTESBGR1-MOMSF","Regular","1.0","Pc(s)",""
"","","ES-SGR12GRNFS-MO","Refill","1.0","Pc(s)",""
"","","PO-TWCMOC105-9288T1P","Regular","1.0","Pc(s)",""
"","","STIC-BCESTBGMO-PW1W3","Regular","1.0","Pc(s)",""
"","","KUAS-ESMO2KSNBR-THG","Regular","1.0","Pc(s)",""
"L-MLCE-OMG","10","L-MLCE-BULK","Bulk","0.0035","kg","2023-01-09 00:40:34"
"","","CAPA-MKLCKIMR0-OMG","Regular","1.0","Pc(s)",""
"","","BOTO-MKLCKIMR0-OMG","Regular","1.0","Pc(s)",""
"","","STIC-BMKLC05R2-OMG","Regular","1.0","Pc(s)",""
"","","DUS-MKLCR2-OMG","Regular","1.0","Pc(s)",""
"","","STIC-VMKLC05R2-OMG","Regular","1.0","Pc(s)",""
"","","IBOX-RRPMKLCR2-OMG","Regular","0.08333","Pc(s)",""
"","","KB-NEONR0-OMG","Regular","0.00694","Pc(s)",""
"L-MLCK-OMG","Rework","STIC-VMKLC11R2-OMG","Regular","1.0","Pc(s)","2022-12-21 04:25:44"
"MY-FRRELF04-W","2 (INLINE)","F-RELF04-BULK","Bulk","0.02","kg","2023-04-11 07:58:32"
"","","BOTO-GELFRLR0-W","Regular","1.0","Pc(s)",""
"","","STIC-FELFR0-W","Regular","1.0","Pc(s)",""
"","","STIC-BELFR0-W","Regular","1.0","Pc(s)",""
"","","BAL-BPR1D882B08-WT","Regular","2.0","Pc(s)",""
"","","PU-LBGELFR0-WRL","Regular","1.0","Pc(s)",""
"","","CAP-PLBGELFR0-WRL","Regular","1.0","Pc(s)",""
"","","STIC-BOELF04R1-WRL","Regular","1.0","Pc(s)",""
"","","DUS-ELFR5-W","Regular","1.0","Pc(s)",""
"","","STIC-VELF04R0-W","Regular","1.0","Pc(s)",""
"","","STIC-PAPHUR2-WM","Regular","1.0","Pc(s)",""
"","","KB-W6040R2-W","Regular","0.0357143","Pc(s)",""
"ES-TDOC-MO6G","8","ES-SGM12GRNFS-MO","Refill","1.0","Pc(s)","2022-07-28 05:01:12"
"","","ES-SGT12GRNFS-MO","Refill","1.0","Pc(s)",""
"","","ES-TSGC42GRRNFS-MO","Refill","1.0","Pc(s)",""
"","","CONT-ESLB3MOASA-2PSC","Regular","1.0","Pc(s)",""
"","","KUAS-ESMO2KSNBR-THG","Regular","1.0","Pc(s)",""
"","","PLAS-DMESBOR0-MO","Regular","1.0","Pc(s)",""
"","","STIC-BTESDCR1-MOMSF","Regular","1.0","Pc(s)",""
"","","PO-TWCMOC105-9288T1P","Regular","1.0","Pc(s)",""
"","","DUS-TESR2-MO","Regular","1.0","Pc(s)",""
"","","STIC-VTESDCR0-MO","Regular","1.0","Pc(s)",""
"","","KB-MOTWC3252-K150M12","Regular","0.02778","Pc(s)",""
"MY-TCR2E03-W","1 (INLINE)","TC-PC03-BULK","Bulk","0.012","kg","2022-11-10 01:04:02"
"","","CONP-ETWCR0-W","Intermediate Pack","1.0","Pc(s)",""
"","","GODE-CPTZ59R1-MO","Regular","1.0","Pc(s)",""
"","","PLAS-DM60R0-W","Regular","1.0","Pc(s)",""
"","","PUFF-TWCNBRR1-W","Regular","1.0","Pc(s)",""
"","","STIC-BTETC3R0-WRL","Regular","1.0","Pc(s)",""
"","","DUS-ETWCR4-W","Regular","1.0","Pc(s)",""
"","","STIC-VETWC03R0-W","Regular","1.0","Pc(s)",""
"","","STIC-PAEAR2-WM","Regular","1.0","Pc(s)",""
"","","KB-W12X250R1-W","Regular","0.03333","Pc(s)",""
"ES-TEB-MO6G","6","ES-TPMS2GRRNFS-MO","Refill","1.0","Pc(s)","2022-05-25 04:55:36"
"","","ES-TPMC2GRRNFS-MO","Refill","1.0","Pc(s)",""
"","","ES-TPMHS2GRRNFS-MO","Refill","1.0","Pc(s)",""
"","","CONT-ESLB3MOASA-2PSC","Regular","1.0","Pc(s)",""
"","","KUAS-ESMO2KSNBR-THG","Regular","1.0","Pc(s)",""
"","","PLAS-DMESBOR0-MO","Regular","1.0","Pc(s)",""
"","","STIC-BTESEBR1-MOMSF","Regular","1.0","Pc(s)",""
"","","PO-TWCMOC105-9288T1P","Regular","1.0","Pc(s)",""
"","","DUS-TESR2-MO","Regular","1.0","Pc(s)",""
"","","STIC-VTESEBR0-MO","Regular","1.0","Pc(s)",""
"","","KB-MOTWC3252-K150M12","Regular","0.02778","Pc(s)",""
"TC-R2E01-W","1","TC-PC02-BULK","Bulk","0.012","kg","2022-08-03 04:31:19"
"","","CONP-ETWCR0-W","Intermediate Pack","1.0","Pc(s)",""
"","","GODE-CPTZ59R1-MO","Regular","1.0","Pc(s)",""
"","","PLAS-DM60R0-W","Regular","1.0","Pc(s)",""
"","","PUFF-TWCNBRR1-W","Regular","1.0","Pc(s)",""
"","","STIC-BTETC1R0-WRL","Regular","1.0","Pc(s)",""
"","","DUS-ETWCR4-W","Regular","1.0","Pc(s)",""
"","","STIC-VETWC01R0-W","Regular","1.0","Pc(s)",""
"","","KB-W12X250R1-W","Regular","0.03333","Pc(s)",""
"TC-R2E02-W","1","TC-PC08-BULK","Bulk","0.012","kg","2022-08-03 04:34:17"
"","","CONP-ETWCR0-W","Intermediate Pack","1.0","Pc(s)",""
"","","GODE-CPTZ59R1-MO","Regular","1.0","Pc(s)",""
"","","PLAS-DM60R0-W","Regular","1.0","Pc(s)",""
"","","PUFF-TWCNBRR1-W","Regular","1.0","Pc(s)",""
"","","STIC-BTETC2R0-WRL","Regular","1.0","Pc(s)",""
"","","DUS-ETWCR4-W","Regular","1.0","Pc(s)",""
"","","STIC-VETWC02R0-W","Regular","1.0","Pc(s)",""
"","","KB-W12X250R1-W","Regular","0.03333","Pc(s)",""
"ES-TENS-MO6G","7","ES-SGS32GRNFS-MO","Refill","1.0","Pc(s)","2022-05-27 08:29:51"
"","","PO-TWCMOC105-9288T1P","Regular","1.0","Pc(s)",""
"","","DUS-TESR2-MO","Regular","1.0","Pc(s)",""
"","","STIC-BCESTENMO-PW1W3","Regular","1.0","Pc(s)",""
"","","KB-MOTWC3252-K150M12","Regular","0.02778","Pc(s)",""
"","","KUAS-ESMO2KSNBR-THG","Regular","1.0","Pc(s)",""
"","","ES-TPMB12GRRNFS-MO","Refill","1.0","Pc(s)",""
"","","STIC-BTESENR1-MOMSF","Regular","1.0","Pc(s)",""
"","","ES-TPME22GRRNFS-MO","Refill","1.0","Pc(s)",""
"","","PLAS-DMESBOR0-MO","Regular","1.0","Pc(s)",""
"","","CONT-ESLB3MOASA-2PSC","Regular","1.0","Pc(s)",""
"ES-TMFT-MO6G","6","ES-SGG2GRNFS-MO","Refill","1.0","Pc(s)","2022-07-28 04:55:05"
"","","ES-SGS32GRNFS-MO","Refill","1.0","Pc(s)",""
"","","ES-SGT2GRNFS-MO","Refill","1.0","Pc(s)",""
"","","CONT-ESLB3MOASA-2PSC","Regular","1.0","Pc(s)",""
"","","PLAS-DMESBOR0-MO","Regular","1.0","Pc(s)",""
"","","KUAS-ESMO2KSNBR-THG","Regular","1.0","Pc(s)",""
"","","PO-TWCMOC105-9288T1P","Regular","1.0","Pc(s)",""
"","","STIC-BTESMFR1-MOMSF","Regular","1.0","Pc(s)",""
"","","DUS-TESR2-MO","Regular","1.0","Pc(s)",""
"","","STIC-VTESMTR0-MO","Regular","1.0","Pc(s)",""
"","","KB-MOTWC3252-K150M12","Regular","0.02778","Pc(s)",""
"TC-PC03-MO12G","7","TC-PC03-BULK","Bulk","0.012","kg","2022-07-22 07:13:08"
"","","GODE-CPTZ59R1-MO","Regular","1.0","Pc(s)",""
"","","CONT-MOCM10R2AS-C2PP","Regular","1.0","Pc(s)",""
"","","PUFF-TWCNBRR1-W","Regular","1.0","Pc(s)",""
"","","STIC-BPCTWC03R2-MO","Regular","1.0","Pc(s)",""
"","","PO-TWCMOC105-9288T1P","Regular","1.0","Pc(s)",""
"","","LEAF-PCTWCMO-ALD","Regular","1.0","Pc(s)",""
"","","DUS-PCTWCR3-MO","Regular","1.0","Pc(s)",""
"","","STIC-VPCTWC03R1-MO","Regular","1.0","Pc(s)",""
"","","KB-MOTWC3252-K150M12","Regular","0.04167","Pc(s)",""
"ES-TGE-MO6G","7","STIC-BCESTGEMO-PW1W3","Regular","1.0","Pc(s)","2022-05-27 08:13:21"
"","","PO-TWCMOC105-9288T1P","Regular","1.0","Pc(s)",""
"","","STIC-BTESGER1-MOMSF","Regular","1.0","Pc(s)",""
"","","CONT-ESLB3MOASA-2PSC","Regular","1.0","Pc(s)",""
"","","KB-MOTWC3252-K150M12","Regular","0.02778","Pc(s)",""
"","","PLAS-DMESBOR0-MO","Regular","1.0","Pc(s)",""
"","","KUAS-ESMO2KSNBR-THG","Regular","1.0","Pc(s)",""
"","","ES-SGOF2GRNFS-MO","Refill","1.0","Pc(s)",""
"","","ES-SGG2GRNFS-MO","Refill","1.0","Pc(s)",""
"","","ES-SGCY2GRNFS-MO","Refill","1.0","Pc(s)",""
"","","DUS-TESR2-MO","Regular","1.0","Pc(s)",""
"TC-R2RE03-W","1","TC-PC03-BULK","Bulk","0.012","kg","2022-09-13 03:16:55"
"","","CONT-ELERLR0-WPP","Regular","1.0","Pc(s)",""
"","","GODE-CPTZ59R1-MO","Regular","1.0","Pc(s)",""
"","","PLAS-DM60R0-W","Regular","1.0","Pc(s)",""
"","","PUFF-TWCNBRR1-W","Regular","1.0","Pc(s)",""
"","","STIC-BTETCR3R0-WRL","Regular","1.0","Pc(s)",""
"","","DUS-ETWCRR4-W","Regular","1.0","Pc(s)",""
"","","STIC-VETWCR03R0-W","Regular","1.0","Pc(s)",""
"","","KB-W6040R2-W","Regular","0.0222222","Pc(s)",""
"FM-AIS-EM30G","7","FM-AIS-BULK","Bulk","0.03","kg","2023-04-12 00:56:47"
"","","POT-AISM30R1-EPP","Regular","1.0","Pc(s)",""
"","","PLU-PAISM30R1-EPP","Regular","1.0","Pc(s)",""
"","","CAP-PAISM30R1-EPP","Regular","1.0","Pc(s)",""
"","","DUS-AISM30R1-EACLD","Regular","1.0","Pc(s)",""
"","","STIC-QRAISM-E","Regular","1.0","Pc(s)",""
"","","KB-ECR1-KMK125CF","Regular","0.03125","Pc(s)",""
"ES-TSB-MO6G","6","ES-SGT2GRNFS-MO","Refill","1.0","Pc(s)","2022-07-22 08:01:57"
"","","ES-SGMN2GRNFS-MO","Refill","1.0","Pc(s)",""
"","","ES-SGF12GRNFS-MO","Refill","1.0","Pc(s)",""
"","","CONT-ESLB3MOASA-2PSC","Regular","1.0","Pc(s)",""
"","","KUAS-ESMO2KSNBR-THG","Regular","1.0","Pc(s)",""
"","","PLAS-DMESBOR0-MO","Regular","1.0","Pc(s)",""
"","","STIC-ESTSBMO-PSM1W42","Regular","1.0","Pc(s)",""
"","","PO-TWCMOC105-9288T1P","Regular","1.0","Pc(s)",""
"","","DUS-TESR2-MO","Regular","1.0","Pc(s)",""
"","","STIC-VTESSBR0-MO","Regular","1.0","Pc(s)",""
"","","KB-MOTWC3252-K150M12","Regular","0.02778","Pc(s)",""
"TC-RPC08-MO12G","10","TC-PC08-BULK","Bulk","0.012","kg","2022-07-22 07:34:22"
"","","GODE-CPTZ59R1-MO","Regular","1.0","Pc(s)",""
