Korporat Code,W21/2023,W22/2023,W23/2023,W24/2023,W25/2023,W26/2023,W27/2023,W28/2023,W29/2023,W30/2023,W31/2023,W32/2023,W33/2023,W34/2023,W35/2023,W36/2023,W37/2023,W38/2023,W39/2023,W40/2023,W41/2023,W42/2023,W43/2023,W44/2023,W45/2023,W46/2023,W47/2023,W48/2023,W49/2023,W50/2023,W51/2023,W52/2023,W01/2024,W02/2024,W03/2024,W04/2024,W05/2024,W06/2024,W07/2024,W08/2024,W09/2024,W10/2024,W11/2024,W12/2024,W13/2024,W14/2024,W15/2024,W16/2024,W17/2024,W18/2024,W19/2024,W20/2024,W21/2024,W22/2024,W23/2024,W24/2024,W25/2024,W26/2024,W27/2024,W28/2024,W29/2024,W30/2024,W31/2024,W32/2024,W33/2024,W34/2024,W35/2024,W36/2024
PENG-ELSTCPN-X,0,0,0,0,0,0,0,0,0,0,0,0.142843,0,0,0,0,0,0,0.142843,0,0,0,0,0,0,0.142843,0,0,0,0,0,0,0,0.142843,0,0,0,0,0,0,0.142843,0,0,0,0,0,0,0.142843,0,0,0,0,0,0,0,0.142843,0,0,0,0,0,0,0,0,0.142843,0,0,0
PENG-GL-LON,137.211602,93.579788,70.392861,96.361629,160.750052,157.697638,136.737722,152.296496,179.256467,178.605595,178.907203,196.121065,190.547665,185.583078,175.354201,217.373978,151.569269,157.378533,199.098412,185.806582,166.649646,202.287574,249.585673,163.945412,177.579353,267.264148,195.839579,215.263179,226.986924,194.840745,203.539968,284.344056,212.854822,208.051157,241.47583,231.98651,246.421895,251.800884,330.118714,280.126267,359.32096,297.182441,347.820574,331.809116,381.547767,336.134524,337.842338,294.540897,309.882961,322.679377,248.168079,236.491747,203.725003,217.555349,229.655017,237.409719,172.928312,211.990732,228.440566,192.536328,274.452796,249.386127,253.617384,272.284356,192.17991,193.013753,139.891262,166.717343
PENG-IPEG-X,123.879671,107.825326,49.572005,74.374637,87.954572,70.945117,75.267938,13.39127,9.379874,9.664129,3.42952,12.226243,2.19781,16.495087,2.184255,6.520631,11.939389,5.613779,13.783751,3.362837,11.207025,5.342039,12.426837,17.081855,4.459515,11.261833,5.355594,11.426759,1.383463,11.588297,10.682515,11.11601,4.63356,5.706288,14.424053,1.165037,9.664129,8.122324,10.315218,2.27526,12.089549,4.382065,2.640817,11.047592,9.435334,11.129575,6.135885,9.950983,4.541247,12.239798,5.392506,5.924514,9.964538,1.383463,15.384027,5.870175,12.605341,4.161884,3.567718,10.478078,5.638107,3.660031,12.089539,3.362847,14.331293,0,0,2.27526
PENG-ISCGPHG-X,70.613223,73.078046,124.726024,92.009486,114.586672,120.198109,153.95849,84.533184,144.250371,114.373648,125.266641,114.409907,92.945077,114.373648,153.95849,84.533184,145.435245,92.945077,145.92571,114.409907,114.373648,153.958981,125.266641,63.104613,144.250371,114.373648,144.249881,84.533184,94.129951,144.250371,124.081767,144.250371,84.533184,94.129951,153.95849,136.217591,114.409907,114.373648,102.653196,145.435245,84.533184,114.373648,153.95849,114.373648,92.981336,115.558522,114.373648,153.95849,84.533184,122.8218,114.373648,125.266641,136.25385,114.373648,122.8218,124.081767,85.718058,144.250371,83.236468,132.529919,53.396004,83.236468,124.006674,114.373158,84.533184,61.393016,21.843943,41.260671
PENG-NPGEHP-X,276.140329,225.928001,143.131677,258.375185,268.812515,146.660001,183.70056,241.604004,246.222805,183.261708,265.187689,185.346358,228.963015,200.025763,212.315545,215.624104,217.811771,249.717085,239.082513,191.815065,255.840659,204.472962,208.007254,246.937238,219.874141,218.9478,224.453332,180.019757,255.578173,213.458128,186.563015,220.090712,229.921303,206.452712,236.39479,207.981119,220.940593,239.367816,174.272128,244.520859,222.133098,218.50603,233.954868,205.461391,183.445877,246.815594,180.141656,212.112158,280.329534,185.637843,246.028619,189.906914,228.374811,197.161194,251.443324,209.089928,212.273709,200.875596,226.784889,183.258865,237.516554,197.839738,238.839631,209.054615,181.766355,119.807959,56.179972,89.630113
PENG-PHC-X,124.969796,57.426543,25.55897,81.436106,101.341126,77.023053,204.79771,189.323681,237.963096,277.833896,254.332013,303.807579,280.747328,276.431339,272.649923,289.656644,208.619164,218.562181,239.561331,206.819755,211.176888,241.707706,276.860717,209.722692,308.668563,161.198131,237.815511,158.263051,243.951002,198.478441,258.245152,296.816614,269.657439,284.675321,270.758323,228.034172,271.706605,221.071978,239.437067,276.590148,202.95731,237.814266,197.196704,227.989603,274.030551,166.791814,232.466326,270.582558,265.76157,201.577035,298.430404,230.192274,245.562861,299.581872,243.463924,242.814282,188.91273,250.908901,216.561676,204.646047,272.597158,240.277162,260.343293,280.856303,214.359014,182.578801,178.86644,189.781795
PENG-PNX-X,103.18843,39.846139,16.726586,54.408043,53.867773,60.31341,49.560639,60.949151,62.240557,54.634295,77.941837,54.991864,60.106424,39.262321,74.458115,55.775872,57.647765,63.584207,42.807245,72.01963,33.696427,70.967295,54.794997,38.601888,56.86835,58.059746,43.264728,66.765545,47.564138,50.097943,55.908867,42.653656,56.825359,30.240786,51.746437,63.798613,40.313491,58.196881,51.081937,53.191459,56.729325,60.909299,39.401572,39.601821,59.851864,44.640832,56.561112,56.760649,57.487113,46.565742,59.88904,35.293499,84.012319,40.884671,53.75947,47.585585,42.748093,41.145602,54.906422,44.391641,56.829723,39.843198,48.489215,53.640506,29.479186,29.056517,25.493387,22.279767
PENG-RCSBZ-X,0,2.45,0,0,0,0,0,0,0,0,0,4.908688,0,0,0,0,0,0,0,0,0,0,0,4.908688,0,0,0,0,0,0,0,0,0,0,0,0,4.908688,0,0,0,0,0,0,0,0,0,4.908688,0,0,0,0,0,0,0,4.908688,0,0,0,0,0,0,0,0,4.908688,0,0,0,0
PENG-STPHL-X,3.000033,1.941517,3.878833,12.978875,1.428066,14.379969,3.378066,0.713866,7.252835,1.858543,0.713866,19.873289,1.577706,1.428066,0.713866,1.428066,12.713692,0.713866,10.165369,2.588866,6.236392,2.285732,17.824261,1.428066,2.383165,9.451503,0.713866,3.005772,13.077503,0.713866,1.428066,10.309169,1.428066,11.743075,14.790094,3.291805,6.538635,3.005772,0,1.428066,23.97796,0.713866,3.369583,0.713866,5.796374,3.44579,10.421786,10.165369,0.713866,3.863438,0.713866,6.538969,12.713692,2.383165,10.165369,2.291572,5.796374,2.655383,11.135986,3.005772,0.713866,1.428066,9.451169,11.743409,10.42212,0,7.402475,1.669299
PENG-SYM68-X,25.226,34.670605,6.373899,21.169701,4.554602,19.776419,5.911039,20.524202,19.85492,3.807155,21.536119,6.50279,23.881911,6.351815,21.667025,3.939354,19.203679,6.880298,21.666529,2.814181,20.120376,7.213645,18.003738,10.540814,21.437484,3.626347,19.734817,6.716913,22.704865,20.240121,3.840056,22.74358,3.948244,19.98038,6.997134,16.838018,10.703318,25.186688,3.628317,22.236058,8.434138,20.780476,6.452563,22.806242,5.838991,19.494608,4.687999,21.109716,20.487651,5.700194,19.211508,8.871408,19.705996,5.249948,21.230867,7.185514,21.472935,9.142045,20.44976,4.503664,23.240273,5.642157,19.625618,4.802676,20.873509,1.44396,1.393605,2.443037
