product_tmpl_id/default_code,product_tmpl_id/old_koitem,product_tmpl_id/internal_name,product_id/categ_id/display_name,location_id/display_name,lot_id/name,quantity,product_uom_id/name,PUP May,Total Price @PUP,,,Stock 1 Jun 23,Total Price PUP May,"8,231,812,842.00",Qty in pcs,"19,728,415.28"
STIC-VMKLC09R1-OMG,STIC-VMKLC09R1-OMG,Sticker Varian Matte Kiss Lip Cream 09 R1 OMG,Packaging Material,JTK 4/Stock/PKG,GBMJTK4/IJ25689,75000,pc(s),34.9886188000562,2624146.41000422,,,,,,,
STIC-VMKLC09R1-OMG,STIC-VMKLC09R1-OMG,Sticker Varian Matte Kiss Lip Cream 09 R1 OMG,Packaging Material,JTK 4/Stock/PKG,GBMJTK4/IJ25694,75000,pc(s),34.9886188000562,2624146.41000422,,,,,,,
STIC-VMKLC09R1-OMG,STIC-VMKLC09R1-OMG,Sticker Varian Matte Kiss Lip Cream 09 R1 OMG,Packaging Material,JTK 4/Stock/PKG,GBMJTK4/IJ25699,2220,pc(s),34.9886188000562,77674.7337361248,,,,,,,
STIC-VMKLC05R1-OMG,STIC-VMKLC05R1-OMG,Sticker Varian Matte Kiss Lip Cream 05 R1 OMG,Packaging Material,JTK 4/Stock/PKG,GBMJTK4/IJ25697,50000,pc(s),34.5,1725000,,,,,,,
STIC-BMKLC08R2-OMG,STIC-BMKLC08R2-OMG,Sticker Bottom Matte KLC 08 R2 OMG,Packaging Material,JTK 4/Stock/PKG,GBMJTK4/IJ25709,425,Pc(s),28.2160078222681,11991.803324464,,,,,,,
STIC-VMKLC11R1-OMG,STIC-VMKLC11R1-OMG,Sticker Varian Matte Kiss Lip Cream 11 R1 OMG,Packaging Material,JTK 4/Stock/PKG,GBMJTK4/IJ29769,6044,pc(s),34.1753171856978,206555.617070358,,,,,,,
STIC-VMKLC08R1-OMG,STIC-VMKLC08R1-OMG,Sticker Varian Matte Kiss Lip Cream 08 R1 OMG,Packaging Material,JTK 4/Stock/PKG,GBMJTK4/IJ29766,9355,pc(s),35.0662557781202,328044.822804314,,,,,,,
BOTO-OMGPGT100-OMG,BOTO-OMGPGT100-OMG,Botol Oh My Glow PG Toner 100 OMG,Packaging Material,JTK 4/Reject/PKG,GBMJTK4/IJ08640,167,Pc(s),585,97695,,,,,,,
STIC-VMKLC01R0-OMG,STIC-VMKLC01R0-OMG,Sticker Varian Matte Kiss Lip Cream 01 OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/E1-1,GPMJT6A/IA09140,313,pc(s),37.1,11612.3,,,,,,,
STIC-VMKLC07R1-OMG,STIC-VMKLC07R1-OMG,Sticker Varian Matte Kiss Lip Cream 07 R1 OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/E1-3,GBMJTK4/II06468,6,pc(s),30.0451574569222,180.270944741533,,,,,,,
IBOX-RRPTMKLCR0-OMG,IBOX-RRPTMKLCR0-OMG,Inner Box RRP Tester Matte Kiss Lip Cream OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/AB-11A2,GBMJTK4/IJ25724,54,pc(s),1653.36565811032,89281.7455379574,,,,,,,
PART-IRRPTMKLCR0-OMG,PART-IRRPTMKLCR0-OMG,Partisi Inner Box RRP Tester Matte KLC OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/AB-11A2,GPMJT6A/IA21024,10,pc(s),358.551217322419,3585.51217322419,,,,,,,
STIC-VMKLC08R1-OMG,STIC-VMKLC08R1-OMG,Sticker Varian Matte Kiss Lip Cream 08 R1 OMG,Packaging Material,JTK 4/Stock/PKG,GBMJTK4/IK29924,5882,pc(s),35.0662557781202,206259.716486903,,,,,,,
STIC-VMKLC01R1-OMG,STIC-VMKLC01R1-OMG,Sticker Varian Matte Kiss Lip Cream 01 R1 OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/E1-6,GBMJTK4/II13507,306,pc(s),33.3333333333333,10200,,,,,,,
STIC-VMKLC02R1-OMG,STIC-VMKLC02R1-OMG,Sticker Varian Matte Kiss Lip Cream 02 R1 OMG,Packaging Material,JTK 4/Stock/PKG/JTK 6/Gedung B/E1-6,GBMJTK4/IG23279,9,pc(s),35.5421686746988,319.879518072289,,,,,,,
