Kode Item,May 23,Jun 23,Jul 23,Aug 23,Sep 23,Oct 23,Nov 23,Dec 23,Jan 24,Feb 24,Mar 24,Apr 24,May 24,Jun 24,Jul 24,Aug 24,Sep 24
BOTO-CLVMR0-E,0,6896,6896,6896,6896,6896,6896,3448,6896,6896,6896,10344,3448,6896,10344,3448,
BOTO-COS10R1-CL,0,0,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,
BOTO-COTR0-B,0,930,0,930,0,930,0,0,930,0,930,0,930,0,930,0,
BOTO-CPRLR0-W,0,596,0,0,1192,0,1788,596,1192,596,2384,596,1192,1788,596,1192,
BOTO-CSDSBS20R0-W,0,86150,129225,86150,86150,0,0,0,0,0,0,0,0,0,0,0,
BOTO-CSET125R1-W,0,15464,18232,21000,21000,30116,21000,19616,22384,21000,21000,30116,21000,21000,18232,16848,
BOTO-CSPTE1000R0-W,9880,0,8031,10708,10708,10708,10708,8031,13385,8031,10708,13385,8031,10708,10708,10708,
BOTO-CSPTE30-W,0,0,0,10726,10726,10726,10726,5363,16089,10726,5363,16089,10726,5363,10726,10726,
BOTO-CSPTE50R0-W,0,0,7030,14060,10545,14060,10545,10545,14060,10545,14060,14060,10545,10545,14060,14060,
BOTO-CTKBE10-W,0,9384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BOTO-CTKBE10R1-CL,0,0,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,
BOTO-CTR0-E,10752,23596,47312,39068,39068,42652,39068,27240,43728,34408,35484,47312,30824,39068,42652,30824,
BOTO-CUCR0-IP,0,20881,10773,6384,4788,9576,6384,4788,9576,6384,6384,9576,7980,6384,7980,7980,
