data update,30 Mei 2023,,
helper,Korporat Code,Variant Seller/Vendor/Display Name,Variant Seller/Min Qty
"BASE-MMB03-MOZHONGSHAN FULIN COSMETICS CO.,",BASE-MMB03-MO,"ZHONGSHAN FULIN COSMETICS CO.,",3000
"BASE-MMB03-MOZHONGSHAN FULIN COSMETICS CO.,",BASE-MMB03-MO,"ZHONGSHAN FULIN COSMETICS CO.,",3000
"BASE-MMB03-MOZHONGSHAN FULIN COSMETICS CO.,",BASE-MMB03-MO,"ZHONGSHAN FULIN COSMETICS CO.,",3000
"BASE-MMB04-MOZHONGSHAN FULIN COSMETICS CO.,",BASE-MMB04-MO,"ZHONGSHAN FULIN COSMETICS CO.,",3000
"BASE-MMB04-MOZHONGSHAN FULIN COSMETICS CO.,",BASE-MMB04-MO,"ZHONGSHAN FULIN COSMETICS CO.,",3000
"BASE-MMB04-MOZHONGSHAN FULIN COSMETICS CO.,",BASE-MMB04-MO,"ZHONGSHAN FULIN COSMETICS CO.,",3000
"BASE-MMB05-MOZHONGSHAN FULIN COSMETICS CO.,",BASE-MMB05-MO,"ZHONGSHAN FULIN COSMETICS CO.,",3000
"BASE-MMB05-MOZHONGSHAN FULIN COSMETICS CO.,",BASE-MMB05-MO,"ZHONGSHAN FULIN COSMETICS CO.,",3000
"BASE-MMB05-MOZHONGSHAN FULIN COSMETICS CO.,",BASE-MMB05-MO,"ZHONGSHAN FULIN COSMETICS CO.,",3000
BASE-PNCWSWNLPT-063W0,BASE-PNCWSWNLPT-063W,0,0
BASE-PSBS-E0,BASE-PSBS-E,0,0
"BO-EDTKITR0-KNINGBO SOMEWANG PACKAGING CO., LTD",BO-EDTKITR0-K,"NINGBO SOMEWANG PACKAGING CO., LTD",10000
"BOOK-HC2023-WGRAMEDIA, PT",BOOK-HC2023-W,"GRAMEDIA, PT",37000
"BOOK-PH2023-KGRAMEDIA, PT",BOOK-PH2023-K,"GRAMEDIA, PT",3500
"BOTO-AACMW100R0-WJAYATAMA SELARAS, PT",BOTO-AACMW100R0-W,"JAYATAMA SELARAS, PT",30000
"BOTO-AACMW100R0-WJAYATAMA SELARAS, PT",BOTO-AACMW100R0-W,"JAYATAMA SELARAS, PT",30000
"BOTO-AACMW100R0-WJAYATAMA SELARAS, PT",BOTO-AACMW100R0-W,"JAYATAMA SELARAS, PT",30000
"BOTO-AACMW100R0-WJAYATAMA SELARAS, PT",BOTO-AACMW100R0-W,"JAYATAMA SELARAS, PT",30000
"BOTO-ADS170-WHDPEBUMIMULIA INDAH LESTARI, PT",BOTO-ADS170-WHDPE,"BUMIMULIA INDAH LESTARI, PT",50000
"BOTO-ADS170-WHDPEBUMIMULIA INDAH LESTARI, PT",BOTO-ADS170-WHDPE,"BUMIMULIA INDAH LESTARI, PT",50000
"BOTO-ADS170-WHDPEBUMIMULIA INDAH LESTARI, PT",BOTO-ADS170-WHDPE,"BUMIMULIA INDAH LESTARI, PT",50000
"BOTO-ADS1702R0-WDYNAPLAST, PT",BOTO-ADS1702R0-W,"DYNAPLAST, PT",100100
"BOTO-ADS1702R1-WDYNAPLAST, PT",BOTO-ADS1702R1-W,"DYNAPLAST, PT",100000
BOTO-ADS170IIR0-WHDP0,BOTO-ADS170IIR0-WHDP,0,0
BOTO-ADS170LF-WHDPE0,BOTO-ADS170LF-WHDPE,0,0
"BOTO-ADS170R3-WHDPEBUMIMULIA INDAH LESTARI, PT",BOTO-ADS170R3-WHDPE,"BUMIMULIA INDAH LESTARI, PT",50000
"BOTO-ADS170R3-WHDPEBUMIMULIA INDAH LESTARI, PT",BOTO-ADS170R3-WHDPE,"BUMIMULIA INDAH LESTARI, PT",50000
