internal_name,qty_done,internal_category
[EMUL-DERMSOLP-] Specifeel Solplus ex. Amedeo Brasca & C. S.r.I Italy,400.0,Raw Material
"[SURF-213K-X] Dermalcare MAP L-213/K ex. Solvay (Zhenjiang) Chemicals Co.,Ltd, China",200.0,Raw Material
[CABO-M5-X] CAB-O-SIL M5 ex.Cabot Blue Star Chemical CO.LTD. China,100.0,Raw Material
"[BAL-BROBPPEC-D254W23] Ball Botol Roll On Bahan PP Ex. China,D=25.4mm,W=2.3gr,R=0.05mm,T=1mm (Pc(s))",50000.0,Packaging Material
"[TUBE-BSFW50R1-EPBL] Tube BS Face Wash 50 mL PBL Rev-1 Emina, (Open,Oval30,Sleeve121.7mm,Htotal140.2mm,350/15,WhiteWeb,5W,VarGloss)+CapFTPPTrans,PABLO",39780.0,Packaging Material
"[TUBE-UVSGM-WPBL] Tube UVS ES Gel Moist PBL Wardah, (Open,PBL 350/15,d30Ovalx103.7mm Pablo,YellowSleeve,2Pass,VarGloss)+CapWhitetrans",49280.0,Packaging Material
"[TUBE-LGE50-WPBL] Tube Lightening Gentle Exfoliator 50 ml PBL Wardah, (Open,Oval30,Sleeve121.7mm,Htotal140.2mm,350/15,WhiteWeb,8W,VarGloss)+CapFTPPWhiteBluish,PABLO",15444.0,Packaging Material
[WARN-BB--K] 36021 Edicol Brilliant Blue ex. Univar Colour UK,1.0,Raw Material
"[THIC-VZNFC-X] Vanzan (R) NF-C ex. Vanderbilt Minerals, LLC, USA",20.0,Raw Material
"[MWAX-SP19-X] Microcrystalline Wax SP-19 ex Strahl & Pitsch, USA",25.0,Raw Material
"[ACTI-LW36-X] Lipo WSF 35/60 ex Vantage Specialty Ingredients, USA",5.0,Raw Material
"[TITA--3328EW-K] Titanium Dioxide USP BC 3328 ex. Brenntag Specialties, Inc. Canada",125.0,Raw Material
"[TUBE-BSFW100R1-EPBL] Tube Bright Stuff Face Wash 100 ml REV-1 Emina, (Oval,PBL,3W,40x138mm,VarGloss)+CapFTWhiteTrans+QR",39886.0,Packaging Material
"[TUBE-PBMBSG20-W] Tube Perfect Bright MB Smooth Glow SPF 30 PA+++ 20ml Wardah,OpenEnd,PabloD25,PBL 350/15 White,HSleeve95.25mm,7W+SilverFoil,VarMatte+CapFTWhiteOpaque",99858.0,Packaging Material
"[TUBE-PBMBSG20-W] Tube Perfect Bright MB Smooth Glow SPF 30 PA+++ 20ml Wardah,OpenEnd,PabloD25,PBL 350/15 White,HSleeve95.25mm,7W+SilverFoil,VarMatte+CapFTWhiteOpaque",11968.0,Packaging Material
"[TUBE-AHFW60PBLR2-W] Tube Aloe Hydramild Facial Wash 60 ml REV-2 PBL Wardah(Open,350/15,Trans,35x115mm,4W)+CapFTWhiteTrans, NEW EYEMARK",50040.0,Packaging Material
"[TUBE-HRFC100R0-W] Tube H Rose Gel to Foam Cleanser 100 W (d40x145mm,350/15,Pearlize,Block+2Screen, Cap(FT,PP,WhitePearl)",50112.0,Packaging Material
"[TUBE-CSMMC100R2-W] Tube CS Melting Milk Cleanser 100 ml REV-2 Wardah, (d40x145mm,350/15,Pearlize,3 pass, Cap(FT,PP,Gray),NewHalal+Instruction",49896.0,Packaging Material
"[TUBE-LDC20RLPBLOB-W] Tube Lightening Day Cream 20 ml RL PBL OB R2 Wardah, (Open,Oval25,Sleeve95.25,Htotal116.25,350/15,WhiteWeb,4W,VarGloss)+CapFTPPWhiteBluish,PABLO",48994.0,Packaging Material
"[SILI-SP105-X] Ti-K SP 105 ex. Athena Corp Co.Ltd, Thailand",60.0,Raw Material
"[VITC-VCE-X] COS-VCE ex. CosMol Co., Ltd. Korea",44.0,Raw Material
"[TUBE-LDG20RLR1-W] Tube Lightening Day Gel 20 ml RL R1 Wardah, (Open,Oval25,Sleeve95.25,Htotal115,350/15,WhiteWeb,4W,VarGloss)+CapFTPPWhiteBluish,PABLO,NewClaim",29920.0,Packaging Material
"[PIP-DB20S-X] Pipet Dropper Botol 15 ml Serum, Collar(PP, White), Bulb(Rubber, White), Dropper(Glass)",4760.0,Packaging Material
"[BOTO-GAACS15R3-W] Botol Glass Acnederm Acne Care S 15 ml Wardah REV-3,Printing 3W,SprayMatte + SprayWhiteColor. New Plug PE, DMJY-X22-PLUG",4760.0,Packaging Material
"[CAP-BADS1702R0-WPP] Cap Bottle Anti Dandruff Shampoo 170 ml (2) Wardah, PP, Putih Natural Frosted",34866.0,Packaging Material
"[BOTO-ADS1702R1-W] Bottle Anti Dandruff Shampoo 170 ml (2) REV-1 Wardah,HDPE,Blue Pearl,+Sticker, sticker back only",34866.0,Packaging Material
"[BOTO-L200NAT-PP] Botol Linear 200 ml Natural,PP,Natural",26980.0,Packaging Material
"[EXTR-CUMGLY-X] Cucumber Glycolic Extract 10000051 ex. PT Haldin Pacific Semesta, Indonesia",25.0,Raw Material
"[CONT-BOEW-SAN] Container Blush On Everyday Wardah,SAN Clear,2 Pass HS,Clear Coating",10200.0,Packaging Material
"[CONT-ESEW-SAN] Container Eye Shadow Everyday Wardah,SAN Clear,2 Pass HS,Clear Coating",10200.0,Packaging Material
"[CONT-ESEW-SAN] Container Eye Shadow Everyday Wardah,SAN Clear,2 Pass HS,Clear Coating",10200.0,Packaging Material
"[CAPC-LLPR0-WASBS] Cap Container Lightening Loose Powder Wardah,AS:ABS,Injection Blue Pearlize,Hot Stamping,NoFinishing",20400.0,Packaging Material
"[CONT-LLPR0-WASBS] Container Lightening Loose Powder Wardah,AS:ABS,Clear,No Finishing",20400.0,Packaging Material
"[SHIF-LLPR0-WPPN] Shifter Lightening Loose Powder Wardah,PP Natural,With Transparent Label",20400.0,Packaging Material
"[CAPC-LLPR0-WASBS] Cap Container Lightening Loose Powder Wardah,AS:ABS,Injection Blue Pearlize,Hot Stamping,NoFinishing",18900.0,Packaging Material
"[CONT-LLPR0-WASBS] Container Lightening Loose Powder Wardah,AS:ABS,Clear,No Finishing",20400.0,Packaging Material
"[SHIF-LLPR0-WPPN] Shifter Lightening Loose Powder Wardah,PP Natural,With Transparent Label",20400.0,Packaging Material
[EMUL-SNRFA-X] Sinar FA1299,425.0,Raw Material
[EMUL-SNRFA-X] Sinar FA1299,975.0,Raw Material
"[STEA-SFA95-X] Sinar-FA 1895 Stearic Acid 95% ex. PT Soci Mas, Indonesia",150.0,Raw Material
"[TIT-T85-X] TX-85 ex. Sunjin Beauty Science Co.Ltd, Korea",20.0,Raw Material
"[GARA-RFS-X] Refined Salt ex. PT UnichemCandi Indonesia, Indonesia",50.0,Raw Material
"[SILI-2005-DC-K] Xiameter(R) PMX-200 Silicone Fluid 50CS ex. Dow Corning Corporation, USA",200.0,Raw Material
"[COSM-168ARV-X] Cosmol 168 ARV ex.The Nisshin OilliO Group, Ltd. Japan",16.0,Raw Material
"[POWD-H53-X] Sunsphere H-53 ex AGC Si-Tech Co., Ltd., Japan",10.0,Raw Material
"[POWD-H53-X] Sunsphere H-53 ex AGC Si-Tech Co., Ltd., Japan",10.0,Raw Material
"[STIC-PNBHO30-K] Sticker Penutup Nourishing BH Oil 30ml Kahf, Semi-coat, 46x93mm,1 pass, Laminating Matte, #RDD",3380.0,Packaging Material
"[TUBE-PCEBFWR1-K] Tube PCEB FW 100 REV-1 KAHF, (D50x141(total height),3 layers, 2pass, BLUE, Varnish Matte) + CapFTBlackMatte, NEW INGRED",30030.0,Packaging Material
[WARN-UTB990-X] Unipure Triple Black LC 990 ex Sensient Cosmetic Technologies lcw France,20.0,Raw Material
"[ACTI-VCR-X] Vegetable Charcoal ex Sensisent Cosmetic Technologies, France",12.0,Raw Material
"[EXTR-PHTGRPF-X] Phytoliquid Grapefruit ex Crodarom SAS, France",10.0,Raw Material
"[NUTR-NTKWPP-X] Nutrilan (R) Keratin W PP ex. BASF Personal Care and Nutrition GMBH, Germany",50.0,Raw Material
"[PARF-TWFLLF-X] PARF-TWFLLF-X Twister Floral 394 LF ex PT Givaudan Indonesia, Indonesia",50.0,Raw Material
[PARF-C072-GIV] PARF-C072-GIV Chantik 072 ex. PT Givaudan Indonesia,50.0,Raw Material
"[PARF-HM2AAL-X] PARF-HM2AAL-X Harvey MOD 2 AAL19758/00 ex PT Givaudan Indonesia, Indonesia",25.0,Raw Material
"[PARF-PSVLF-X] PARF-PSVLF-X PSV 816 LF ex PT Givaudan Indonesia, Indonesia",50.0,Raw Material
"[DUS-CSBDC30R3-W] Dus CS Brightening Day Cream 30gr REV-3 Wardah, 70x70x66mm,IvoryMet,5pass,Emboss,NewClaimPharma+Halal",150000.0,Packaging Material
[POWD-MDMS-] Mica DMS C ex. Bo Kwang Chemical South Korea,175.0,Raw Material
[POWD-MDMS-] Mica DMS C ex. Bo Kwang Chemical South Korea,325.0,Raw Material
[POWD-MDMS-] Mica DMS C ex. Bo Kwang Chemical South Korea,500.0,Raw Material
"[SERI-CSF-X] Sericite CS (F) ex Bo Kwang Chemical Co.Ltd, Korea",20.0,Raw Material
"[SERI-CSF-X] Sericite CS (F) ex Bo Kwang Chemical Co.Ltd, Korea",20.0,Raw Material
[TIT-CR50HD-X] Titanium Coated CR-50 HD ex Bo-Kwang,500.0,Raw Material
"[SCRU-MP220-X] Micropoly 220 ex Micro Powders Inc, USA",5.0,Raw Material
"[A-BGSA200-X] BioGenic SA 200 ex.BioGenics, Inc. Korea",40.0,Raw Material
"[MICP-M511-X] Mattewax 511 ex Micro Powders, Inc, USA",10.0,Raw Material
"[TUBE-BSFW100RPD-E] Tube Bright Stuff Face Wash 100 ml Emina(Open,Oval40,Extru LDPE 2 layer,Htotal165mm,5W,VarGloss)+CapFTWhiteTrans+QR,RPD",22880.0,Packaging Material
"[TUBE-MCFF100R1-W2L] Tube Mineral + Clarifying Facial Foam 100 ml REV-1 Wardah(Open,2L,40x143mm,whitepearlize)+Cap FT,VarGlossy, +NA",24570.0,Packaging Material
"[TUBE-EBBCN15-W2580] Tube Everyday BB Cream Natural 15ml Wardah(Open,2L,Green,Gloss,25x80mm)+Cap Screw Green (Set)",3213.0,Packaging Material
"[TUBE-EBBCN15-W2580] Tube Everyday BB Cream Natural 15ml Wardah(Open,2L,Green,Gloss,25x80mm)+Cap Screw Green (Set)",27132.0,Packaging Material
"[TUBE-BSFW100RPD-E] Tube Bright Stuff Face Wash 100 ml Emina(Open,Oval40,Extru LDPE 2 layer,Htotal165mm,5W,VarGloss)+CapFTWhiteTrans+QR,RPD",27300.0,Packaging Material
[SQUA-AMYR-X] Neossance Squalane ex Amyris,17.0,Raw Material
"[SCRU-SRBB50-X] Sorbosil BFG50 ex. PQ Silicas UK Ltd., UK",10.0,Raw Material
"[AHA-FRBBCR-X] Fruit Blend BCR ex. BCR - Bio Component Research, USA",20.0,Raw Material
[PLAS-P-D400-K] D400 ex. Toshiki Pigment Japan,20.0,Raw Material
[LICO-D-EXTPT40-G] Polyol Soluble Licorice Extract P-T(40) ex. Maruzen Pharmaceutical Japan,500.0,Raw Material
"[PLAS-FPGFW9R1-OMG] Plastik Flow Wrap Peach Glowing Face Wash 9 gr REV-1 OMG, PET12/LLDPE25,7W,L308mm,P500m,87x134, Gloss,#A, 1 roll (5747 pcs),NewAddressNAQR",39.0,Packaging Material
"[CAP-BLFT125R1-W] Cap Lightening Face Toner 125 ml REV-1 Wardah, PP, White Opaque, Etching Matte",25920.0,Packaging Material
"[BOTO-LFT125R2-W] Bottle Lightening Face Toner 125 ml REV-2 Wardah, PET 23.5 g, Blue Transluscent, 24/410. 2 pass print, BLANC, + QR & Claim",25920.0,Packaging Material
"[CONT-ELERLR0-WPP] Container Ellie Exclusive RL Wardah,PP,Green Exclusive RL,d dalam=59 mm",36540.0,Packaging Material
[CONT-RCVPFR1-W] Container Colorfit Velvet Powder Foundation Refill REV-1 Wardah.PP.InjectionColor.d dalam=55.14mm,7200.0,Packaging Material
"[CONT-LRTWCRER1-W] Container Lightening Reconcept TWC Refill Emboss REV-1 Wardah,PP,Pearly Blue,d dalam=55,14mm",2304.0,Packaging Material
"[STIC-HEMLCR1-W] Sticker Hologram Exclusive Matte Lip Cream REV-1 Wardah,Holo Metalize,24x15mm,SpecialPattern, IMPROVEMENT",80000.0,Packaging Material
"[TUBE-PCSAFWR1-K] Tube PCSA FW 100 REV-1 KAHF,(D50x141(total height),3 layers, 2pass, GREEN, Varnish Matte) + CapFTBlackMatte, NEW INGRED",31200.0,Packaging Material
"[TUBE-PCSAFWR1-K] Tube PCSA FW 100 REV-1 KAHF,(D50x141(total height),3 layers, 2pass, GREEN, Varnish Matte) + CapFTBlackMatte, NEW INGRED",18876.0,Packaging Material
"[CONT-LRTWCRER1-W] Container Lightening Reconcept TWC Refill Emboss REV-1 Wardah,PP,Pearly Blue,d dalam=55,14mm",63180.0,Packaging Material
[BOTO-CLFR0-OMG] Botol Coverlast Liquid Foundation 25 mL OMG. PP. InjectionColorBeige. NoPrinting. NoFinishing.,27370.0,Packaging Material
[CAP-BCLFR0-OMG] Cap Botol Coverlast Liquid Foundation 25 mL OMG. PP. InjectionColorBlack. NoPrinting. NoFinishing.,27370.0,Packaging Material
"[STIC-QRAPRT-W] Sticker QR Acnederm Pore Refining Toner Wardah,PP White,10x10 mm,1Pass,NoFinishing,W APRT",50000.0,Packaging Material
"[STIC-QRADM40-W] Sticker QR Acnederm Day Moisturizer 40 Wardah,PP White,10x10 mm,1Pass,NoFinishing,W ADM40",50000.0,Packaging Material
"[STIC-PBPHPG-W] Sticker Penutup Barcode Paper Hajj Package Garuda Wardah,Chromo,33x13,1W,NoFinishing",7000.0,Packaging Material
"[STIC-PHPLG-W] Sticker Pouch Hajj Package Logo Garuda Wardah,Clear on Clear,29x18,3W,VarGloss",7000.0,Packaging Material
"[DUS-RYNC30RV1-W] Dus RY Night Cream 30gr REV-1 Wardah, 70x70x66mm,IvoryMet,Flap6pass,VarnishMatte,NoFlap,NewAddress",26000.0,Packaging Material
"[PAP-UVSESGR5-W] Papercard UVS ES Gel REV-5 Wardah, Ivory 300, 5/3,152x71mm,Varnish PET + Customer Care",250800.0,Packaging Material
"[DUS-SBSPF3023R1-E] Dus Sun Battle SPF 30 23 ml REV-1 Emina, Ivory300, 40x26x120mm, 3W, WaterBaseVar, RevBC",51750.0,Packaging Material
"[DUS-BSNC20R0-E] Dus Bright Stuff Night Cream 20 gr Emina, Ivory300, 40x26x120mm,4W,VarGloss",101250.0,Packaging Material
"[EMUL-GMSNSE-X] GMS-NSE ex Oleofine Organics Co., Ltd, Malaysia",2400.0,Raw Material
[AMI-GCK12K-] Amilite GCK-12K ex. Ajinomoto Japan,1600.0,Raw Material
"[AMI-GCK12H-X] Amilite GCK-12H ex. PT Lautan Ajinomoto Fine Ingredients, Indonesia",880.0,Raw Material
"[RHM-DREAQA-X] D-Rheo Aqua ex PT Dunia Kimia Jaya, Indonesia",800.0,Raw Material
"[EMU-SROL-X] Soft Rose Oleoactif ex Oleos SAS, France",10.0,Raw Material
"[AJID--NL-K] Ajidew NL-50 ex. Ajinomoto, Brazil",800.0,Raw Material
"[WAX-WHPRWT-X] White Parawax T 1 ex PT Dunia Kimia Jaya, Indonesia",30.0,Raw Material
"[RHM-DREIA-X] D-Rheo 940 ex PT Dunia Kimia Jaya, Indonesia",20.0,Raw Material
"[EMU-EPSR-X] Eldew PS-203R ex Ajinomoto, Japan",30.0,Raw Material
[CUTI---K] Cutina TS ex. BASF SE Germany,900.0,Raw Material
[CUTI---K] Cutina TS ex. BASF SE Germany,450.0,Raw Material
"[UVIN-MC80-BASF] Uvinul MC 80 ex BASF SE, Germany",1600.0,Raw Material
[PANT--DL-K] D-Panthenol USP ex. BASF Germany,450.0,Raw Material
"[SUNS-TNSM-X] Tinosorb M ex BASF Grenzach GmbH, Germany",25.0,Raw Material
"[SUNS-TNSM-X] Tinosorb M ex BASF Grenzach GmbH, Germany",50.0,Raw Material
"[SUNS-TNSM-X] Tinosorb M ex BASF Grenzach GmbH, Germany",50.0,Raw Material
"[ACTI-VEAC-X] Vitamin E-Acetate Care ex BASF SE, Germany",210.0,Raw Material
"[BUTY--DAI1,3] 1,3-Butylene Glycol Ex. Daicel Chemical Industries, Ltd. Japan",1600.0,Raw Material
"[ZINC-M-KJZ10-K] Zinc Myristate ex. Kobo Products, Inc. USA",160.0,Raw Material
[PWD-BNTNT-X] Bentonite ex. PT Kobayashi Costalc Indonesia. Indonesia,1530.0,Raw Material
"[GODE-ISCEPR1-WAL] Godet Instaperfect Spotlight Chromatic Eye Palette REV-1 Wardah,Al,27.0x12.35x3.25mm,tebal=0.33mm",10000.0,Packaging Material
"[GODE-BOMOR2-AL38] Godet Blush On Make Over REV-2,Aluminium 0.38mm,61.7x24.3x4.4mm",6000.0,Packaging Material
[GODE-CQEPR0-W] Godet Colorfit Quad Eye Palette Wardah.Aluminium.14.9x30.9x3.9mm.t=0.33mm,50000.0,Packaging Material
"[BUSA-CMMOD59T9-H] Busa Cheek Marbles Make Over,D=59mm, Tbl=9mm,Warna Hitam",2870.0,Packaging Material
"[GODE-ESMOR2A4-261944] Godet Eye Shadow Make Over REV-2,Aluminium 0.40mm,26.8x19.75x4.4mm",20000.0,Packaging Material
"[GODE-PESBOR2-MOAL] Godet Palette ES/BO REV-2 Make Over,Aluminium 0.40 mm,d=36.6mm,h=3.7mm",12000.0,Packaging Material
[GODE-CPTZ59R1-MO] Godet Compact Powder T-Zone R1 Make Over. D=59 mm. T=4.5mm. t=0.36 mm. Aluminium,24000.0,Packaging Material
"[OIL-RSOLIDS-X] Rosemary Oil 850009 ex Indesso, Indonesia",2.0,Raw Material
"[OIL-TTOIDS-X] Tea Tree Oil 850023 ex PT Indesso, Indonesia",40.0,Raw Material
"[TUBE-EBBCL15-W2580] Tube Everyday BB Cream Light 15ml Wardah(Open,2L,Green,Gloss,25x80mm)+Cap Screw Green",16422.0,Packaging Material
"[TUBE-ESBSPF-ERP] Tube Sun Battle SPF 30 60 ml RP Emina, LDPE 5 L (EVOH),D35,Htotal139.5,3W,VarnishDoff,Cap(FT,White Trans),TopSeal,EMcenter",1440.0,Packaging Material
"[TUBE-LCC100R1-W] Tube Lightening Cleansing Milk 100ml REV-1 Wardah, (Oval,2L,6W,d40ovalx143mm,VarGloss)+(CapFTWhite) + QR",50180.0,Packaging Material
"[TUBE-PBCFBOCRV50R1-W] Tube Perfect Bright CF Bright Oil Control 50ml REV-1 Wardah,OpenEnd,PabloD40,PBL 350/15 White,HSleeve120.7mm,7W+SilverFoil,VarMatte+CapFTWhiteTrans,NEW QRNA",33228.0,Packaging Material
"[TUBE-BSFW50R1-EPBL] Tube BS Face Wash 50 mL PBL Rev-1 Emina, (Open,Oval30,Sleeve121.7mm,Htotal140.2mm,350/15,WhiteWeb,5W,VarGloss)+CapFTPPTrans,PABLO",39780.0,Packaging Material
"[TUBE-UVSGM-WPBL] Tube UVS ES Gel Moist PBL Wardah, (Open,PBL 350/15,d30Ovalx103.7mm Pablo,YellowSleeve,2Pass,VarGloss)+CapWhitetrans",19936.0,Packaging Material
"[CAPA-WCADLPR0-W] Cap Applicator+Wiper CAD Lip Paint Wardah,ASB/AS-ABS,LDPE,InjectionColor",20160.0,Packaging Material
"[BOTO-CADLPR0-W] Bottle CAD Lip Paint Wardah,AS,InjectionClear,HeatTransferFilm",20160.0,Packaging Material
"[BOTO-CVML13R1-W] Bottle CVM Lip Mousse 13 REV-1 Wardah.AS.Injection Solid Color.1PassPrinting.SprayMatte,PenambahanBarmark",12600.0,Packaging Material
[CAPA-WCVML13R1-W] Cap Applicator+Wiper CVM Lip Mousse 13 REV-1 Wardah.ABS/AS-ABS.LDPE.Injection Solid Color.SprayMatte,12600.0,Packaging Material
"[CONT-CULML2R0-W] Container CUL Matte Lipstick 02 Wardah,PS,MetalizingSilver,1PassPrinting,Ballast",10640.0,Packaging Material
"[CAPC-CULML2R0-W] Cap Container CUL Matte Lipstick 02 Wardah,AS,Injection Translucent Color,1PassPrinting,SprayMatte",10640.0,Packaging Material
"[CONT-CCMB03R0-W] Container CCM Blush 03 Wardah,SAN,SAN/ABS,InjectionColor,1PassPrinting,SprayMatte",4860.0,Packaging Material
