"Product","Done"
"[STIC-VPCTWCR08R1-MO] Sticker Varian Perfect Cover TWCR 08 R1 MO","15.0"
"[DUS-SRLSR0-EILD] Dus Dus SRLS Emina","2.0"
"[KB-EAR0-KMM125] Karton Box Emina A","1.0"
"[STIC-BOTSRLSR0-ECNF] Sticker Sticker Bottom SRLS Emina","16.0"
"[STIC-QRSRLSR0-E] Sticker QR Code Sugar Rush Lip Scrub E","16.0"
"[KB-W200R1-W] Karton Box Wardah 200 R1 (Pc(s))","1.0"
"[STIC-BTCGRP13R0-W] Sticker Bottom Crystallure PG Radiance Powder 13 W","11.0"
"[STIC-VCGRP13R1-W] Sticker Varian Crystallure PG Radiance Powder 13 R1 W","21.0"
"[KB-ECR1-KMK125CF] Karton Box Emina C R1","2.0"
"[IBOX-CR1-W] Inner Box C R1 W","2.0"
"[KB-WBETAR1-W] Karton Box Wardah Beta R1","1.0"
"[PLAS-DMCTWCRP-P85] Case/Container Plastik Dalam Mica TW Refill Puffin Wardah","62.0"
"[PUFF-TWCNBRR1-W] Puff Two Way Cake NBR 100 % R1","5.0"
"[KB-GKMK-W] Karton Box Wardah Grand (Pc(s))","1.0"
"[STIC-BCMP22NR1-W] Sticker Bottom Colorfit Mattifying Powder 22N R1 W","47.0"
"[STIC-VCMP22NR1-W] Sticker Varian Colorfit Mattifying Powder 22N R1 W","8.0"
"[KB-WIOTAR1-W] Karton Box Wardah Iota R1 (Pc(s))","1.0"
"[STIC-BCADLP16R0-W] Sticker Bottom CAD Lip Paint 16 W","87.0"
"[KB-WBETAR1-W] Karton Box Wardah Beta R1","1.0"
"[STIC-BLPRL03R0-W] Sticker Bottom Lightening Powder Foundation Refill LF 03 W","38.0"
"[KB-ECR1-KMK125CF] Karton Box Emina C R1","2.0"
"[KB-W6040R2-W] Karton Box Wardah 60x40 R2","2.0"
"[STIC-BCBO6MOPPW-1W31] Sticker Barcode Blush On 06 Caribbean Sunset Make over","21.0"
"[STIC-BTBO06R1-MOMSF] Sticker Bottom BO 06 R1 MO","12.0"
"[STIC-QBOS06R0-MO] Sticker QR Code Blush On Single 06 Carribean Sunset MO","18.0"
"[KB-WIOTAR1-W] Karton Box Wardah Iota R1 (Pc(s))","2.0"
"[DUS-EFSLSR2-W] Dus Everyday Fruity Sheer Lip Balm Strawberry R2 W","7.0"
"[IBOX-12ELBR0-WDNF] Inner Box 12 Everyday Lip Balm W","2.0"
"[KB-WLTWCLFR1-KMK125] Karton Box Wardah Lightening TWC LF R1","1.0"
"[IBOX-AR0-W] Inner Box A W (Pc(s))","1.0"
"[KB-WIOTAR1-W] Karton Box Wardah Iota R1 (Pc(s))","1.0"
"[STIC-BCVMLM7R1-W] Sticker Bottom CVM Lip Mousse 07 R1 W (Pc(s))","13.0"
"[STIC-VCVMLM7R1-W] Sticker Varian CVM Lip Mousse 07 R1 W (Pc(s))","14.0"
"[KB-MOBORPR1-MO] Karton Box MO Blush On Refill R1","1.0"
"[STIC-BCLBLNMCMO-PW1W] Sticker Barcode Lip Balm Lip Nutrition Melon Crazy Make ove","17.0"
"[KB-ECR1-KMK125CF] Karton Box Emina C R1","5.0"
"[KB-ECR1-KMK125CF] Karton Box Emina C R1","2.0"
"[STIC-BPPFW12R0-MO] Sticker Bottom Powerstay Matte Powder Foundation W12 MO","86.0"
"[KB-K100R1-W] Karton Box Wardah 100 Kubah R1 (Pc(s))","15.0"
"[KB-W200R1-W] Karton Box Wardah 200 R1 (Pc(s))","9.0"
"[KB-WIPSKMMR1-W] Karton Box Wardah Instaperfect Series R1 (Pc(s))","3.0"
"[STIC-BREFCC1R0-W] Sticker Bottom Refill Exclusive FC Cushion 01 LB W (Pc(s))","50.0"
"[KB-KAHFAR0-K] Karton Box Kahf A","5.0"
"[KB-EAR0-KMM125] Karton Box Emina A","13.0"
"[KB-WW2430R2-W] Karton Box Wardah White 24x30 R2","11.0"
"[KB-P200R2-KMK125CF] Karton Box Putri 200 R2","9.0"
"[KB-W12X250R1-W] Karton Box Wardah 12x250 R1","2.0"
"[STIC-BLPL02R0-W] Sticker Bottom Lightening Powder Foundation LF 02 W","30.0"
"[STIC-BCBO9-MOPPW] Sticker Barcode Blush On 09 Make over","52.0"
"[STIC-BTBO09R1-MOMSF] Sticker Bottom BO 09 R1 MO","12.0"
"[STIC-QBOS09R0-MO] Sticker QR Code Blush On Single 09 Summer Twist MO","37.0"
"[KB-ECR1-KMK125CF] Karton Box Emina C R1","1.0"
"[STIC-QRLC02R0-E] Sticker QR Code Lip Cushion 02 E","16.0"
"[KB-K100R1-W] Karton Box Wardah 100 Kubah R1 (Pc(s))","17.0"
