Kode Item,Nama Internal,Internal Category,Brand,Qty,Total Price,Status,MOQ,Laptrima,Scrap,SMB,"Kategori FG
(NPD, Reguler, NFS, One Shot, Ex Revamp, Minor Change)",Last Incoming,Last SMB
BOTO-BWMYZR0-BD,Botol Body Wash Mint + Yuzu BD,,,16188,15236.31982,existing,10000,0,0,Yes,Reguler,2022,2023
BOTO-BWSS550-BD,Botol Body Wash Sea Salt 550 BD,,,19992,66682.88,new product,25000,0,0,Yes,NPD,2023,2023
BOTO-BWYZ550-BD,Botol Body Wash Yuzu 550 BD,,,21091,63651.84,new product,25000,0,0,Yes,NPD,2023,2023
BOTO-C750GTP-PET28,"Botol/Pot Botol Conical 750 ml Green Turqoise, PET 28/410 I",,,0,2587.46,inactive,0,0,0,Yes,Reguler,< 2019,2020
BOTO-CADLPR0-W,Bottle CAD Lip Paint W,,,356496,151056.6161,existing,300000,300510,7,No,Reguler,2023,2023
BOTO-CAUSSSR0-TV,Botol Alucan Super Fine Mist 90 T,,,3998,6979.398074,new product,15000,0,0,No,Reguler,2023,2023
BOTO-CDAMGR0-W,Bottle Crystallure DA Micellar Gel 150 W (Pc(s)),,,24108,58764.96289,existing,5000,13000,0,Yes,Reguler,2023,2022
BOTO-CDFMR1-WPET,Bottle C-Defense Face Mist R1 W (Pc(s)),,,347017,81265.49649,existing,10000,80000,0,No,Reguler,2023,2023
BOTO-CDRTS10R0-CL,Bottle Crystallure Dual RTS 10 CL,,,907,4105.43,new product,3000,0,0,Yes,Reguler,2022,2023
BOTO-CFMLI01R0-W,Bottle Colorfit Fresh Matte Lip Ink 01 W,,,67951,33794.8,existing,20000,0,0,No,Reguler,2021,2023
BOTO-CFMLI02R0-W,Bottle Colorfit Fresh Matte Lip Ink 02 W,,,89303,33794.8,existing,20000,0,0,Yes,Reguler,2021,2023
BOTO-CFMLI03R0-W,Bottle Colorfit Fresh Matte Lip Ink 03 W,,,51655,28595.6,existing,20000,0,0,No,Reguler,2021,2023
