Kebutuhan packaging: closing DSR April 2023,,,,,,Kebutuhan Produksi (by Forecast),,,,,,,,,,,,,,,,,,,,,,DON’T SORT WITH FORMULAE,,,,,,,,,,,,,,,,cek,Akumulasi FC,,,,Stock L6M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kode Item,Nama Internal,Jenis,Brand,Stock (Pcs),Value (IDR),May 23,Jun 23,Jul 23,Aug 23,Sep 23,Oct 23,Nov 23,Dec 23,Jan 24,Feb 24,Mar 24,Apr 24,May 24,Jun 24,Jul 24,Aug 24,Total Kebutuhan next 6 month,Total Kebutuhan next 16 month,Status Pack,Umur Stok (Month),Kategori Umur Stok Slobs,"Status Stok, SLOB > 6 bln",Stock SLOB (Pcs),Value SLOB,Last Incoming,"Last
SMB",Keterangan,MOQ,Umur MOQ,Rank Value SLOBS,Status Report April 23,Qty Report April 23,Value Report April 23,Kebutuhan Total Report April 23,Selisih Qty,Selisih Value,Rank Selisih Value,Laptrima,Pemusnahan,Reason Stock Bergerak,Static Stock,Rank Value Static Stock,"Kategori FG (NPD, Reguler, NFS, One Shot, Ex Revamp, Minor Change)",Report Mei 23,Report April 23,Report Mar 23,Report Feb 23,Report Jan 23,Report Dec 22,,May 23,Jun 23,Jul 23,Aug 23,Sep 23,Oct 23,Nov 23,Dec 23,Jan 24,Feb 24,Mar 24,Apr 24,May 24,Jun 24,Jul 24,Aug 24,,May 23,Jun 23,Jul 23,Aug 23,Sep 23,Oct 23,Nov 23,Dec 23,Jan 24,Feb 24,Mar 24,Apr 24,May 24,Jun 24,Jul 24,Aug 24,Total,,Composite Key,Composite Key
DUS-EMAR0-WIMVG,Dus Exclusive Matte Lipstick W (Pc(s)),,,"46,665","2,896","4,772","33,320","54,668","43,952","45,124","55,840","45,124","28,464","58,268","46,296","38,008","51,068","45,124","38,008","58,184","43,952","237,676","690,172",existing,2,<6 Bulan,OK,0,0.00,2023,2023,,"150,000",0.22,"2,207",OK,0,0,"647,476",0,0,265,  - ,  - ,,No,"2,199",Reguler,"46,665","  86,127 ","  159,002 ","  100,472 ","  117,597 ","  72,994 ",,41893,8573,-46095,-90047,-135171,-191011,-236135,-264599,-322867,-369163,-407171,-458239,-503363,-541371,-599555,-643507,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,0
DUS-EMLC01R1-W,Dus Exclusive Matte Lip Cream 01 R1 W,,,"38,544","1,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,existing,>16,>16 Bulan,Slow Moving,"38,544","1,500.00",2023,2023,Tidak ada kebutuhan 16 bulan ke depan,"25,000",,872,Slow Moving,"63,528","19,058,400",0,"-24,984","-19,056,900","4,399",  - ,  - ,,Yes,953,Reguler,"38,544","  63,528 ","  63,578 ","  28,381 ","  37,524 ","  25,372 ",,38544,38544,38544,38544,38544,38544,38544,38544,38544,38544,38544,38544,38544,38544,38544,38544,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,"1,500.00","1,500"
DUS-EMLC02R1-W,Dus Exclusive Matte Lip Cream 02 R1 W,,,"6,622",300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,existing,>16,>16 Bulan,Slow Moving,"6,622",300.00,2023,2023,Tidak ada kebutuhan 16 bulan ke depan,"25,000",,"1,485",Slow Moving,"6,622","1,986,600",0,0,"-1,986,300","3,678",  - ,  - ,,Yes,"1,571",Reguler,"6,622","  6,622 ","  6,622 ","  25,599 ","  25,599 ","  19,984 ",,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,300.00,300
DUS-EMLC03R1-W,Dus Exclusive Matte Lip Cream 03 R1 W,,,"28,134","1,200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,existing,>16,>16 Bulan,Slow Moving,"28,134","1,200.00",2023,2023,Tidak ada kebutuhan 16 bulan ke depan,"25,000",,942,Slow Moving,"28,134","8,440,200",0,0,"-8,439,000","4,195",  - ,  - ,,Yes,"1,030",Reguler,"28,134","  28,134 ","  28,134 ","  37,099 ","  38,801 ","  65,112 ",,28134,28134,28134,28134,28134,28134,28134,28134,28134,28134,28134,28134,28134,28134,28134,28134,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,"1,200.00","1,200"
DUS-EMLC04R1-W,Dus Exclusive Matte Lip Cream 04 R1 W,,,"7,526",600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,existing,>16,>16 Bulan,Slow Moving,"7,526",600.00,2022,2023,Tidak ada kebutuhan 16 bulan ke depan,"25,000",,"1,230",Slow Moving,"7,877","2,363,100",0,-351,"-2,362,500","3,734",  - ,  - ,,Yes,"1,322",Reguler,"7,526","  7,877 ","  7,877 ","  10,528 ","  3,002 ","  32,540 ",,7526,7526,7526,7526,7526,7526,7526,7526,7526,7526,7526,7526,7526,7526,7526,7526,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,600.00,600
DUS-EMLC05C-WILD,Dus Exclusive Matte Lip Cream 05 CRT W,,,0,591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,inactive,0,<6 Bulan,OK,0,0.00,2022,2022,Tidak ada kebutuhan 16 bulan ke depan,"25,000",,"2,207",OK,0,0,0,0,0,265,  - ,  - ,,Yes,"1,343",Reguler,0,  - , -,"  18,579 ","  21,025 ","  23,596 ",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,591
DUS-EMLC05R1-W,Dus Exclusive Matte Lip Cream 05 R1 W,,,"32,776","2,100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,existing,>16,>16 Bulan,Slow Moving,"32,776","2,100.00",2023,2023,Tidak ada kebutuhan 16 bulan ke depan,"25,000",,769,Slow Moving,"32,776","9,832,800",0,0,"-9,830,700","4,237",  - ,  - ,,Yes,843,Reguler,"32,776","  32,776 ","  32,974 ","  41,673 ","  25,468 ","  63,342 ",,32776,32776,32776,32776,32776,32776,32776,32776,32776,32776,32776,32776,32776,32776,32776,32776,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,"2,100.00","2,100"
DUS-EMLC06R1-W,Dus Exclusive Matte Lip Cream 06 R1 W,,,"16,335","1,200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,existing,>16,>16 Bulan,Slow Moving,"16,335","1,200.00",2023,2023,Tidak ada kebutuhan 16 bulan ke depan,"25,000",,942,Slow Moving,"16,335","4,900,500",0,0,"-4,899,300","3,989",  - ,  - ,,Yes,"1,030",Reguler,"16,335","  16,335 ","  16,335 ","  10,176 ","  48,040 ","  36,769 ",,16335,16335,16335,16335,16335,16335,16335,16335,16335,16335,16335,16335,16335,16335,16335,16335,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,"1,200.00","1,200"
DUS-EMLC07R1-W,Dus Exclusive Matte Lip Cream 07 R1 W,,,"20,186",600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,existing,>16,>16 Bulan,Slow Moving,"20,186",600.00,2023,2023,Tidak ada kebutuhan 16 bulan ke depan,"25,000",,"1,230",Slow Moving,"20,750","6,225,000",0,-564,"-6,224,400","4,072",  - ,  - ,,Yes,"1,322",Reguler,"20,186","  20,750 ","  20,960 ","  20,960 ","  36,154 ","  16,305 ",,20186,20186,20186,20186,20186,20186,20186,20186,20186,20186,20186,20186,20186,20186,20186,20186,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,600.00,600
DUS-EMLC08R1-W,Dus Exclusive Matte Lip Cream 08 R1 W,,,"61,357","1,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,existing,>16,>16 Bulan,Slow Moving,"61,357","1,500.00",2023,2023,Tidak ada kebutuhan 16 bulan ke depan,"25,000",,872,Slow Moving,"63,541","19,062,300",0,"-2,184","-19,060,800","4,400",  - ,  - ,,Yes,953,Reguler,"61,357","  63,541 ","  63,541 ","  61,457 ","  70,994 ","  62,442 ",,61357,61357,61357,61357,61357,61357,61357,61357,61357,61357,61357,61357,61357,61357,61357,61357,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,"1,500.00","1,500"
DUS-EMLC09R1-W,Dus Exclusive Matte Lip Cream 09 R1 W,,,"33,449","1,200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,existing,>16,>16 Bulan,Slow Moving,"33,449","1,200.00",2023,2023,Tidak ada kebutuhan 16 bulan ke depan,"25,000",,942,Slow Moving,"35,649","10,694,700",0,"-2,200","-10,693,500","4,254",  - ,  - ,,Yes,"1,030",Reguler,"33,449","  35,649 ","  35,649 ","  10,289 ","  84,322 ","  48,525 ",,33449,33449,33449,33449,33449,33449,33449,33449,33449,33449,33449,33449,33449,33449,33449,33449,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,"1,200.00","1,200"
DUS-EMLC10R1-W,Dus Exclusive Matte Lip Cream 10 R1 W,,,178,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,new product,>16,>16 Bulan,Slow Moving,178,600.00,2023,2023,Tidak ada kebutuhan 16 bulan ke depan,"25,000",,"1,230",Slow Moving,178,"53,400",0,0,"-52,800","2,440",  - ,  - ,,Yes,"1,322",Reguler,178,  178 ,  477 ,  560 ,"  31,089 ","  24,224 ",,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,600.00,600
DUS-EMLC11C-WILD,Dus Exclusive Matte Lip Cream 11 CRT W,,,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,existing,0,<6 Bulan,OK,0,0.00,2022,2022,Tidak ada kebutuhan 16 bulan ke depan,"25,000",,"2,207",OK,0,0,0,0,0,265,  - ,  - ,,Yes,"1,669",Reguler,0,  - , -,"  20,334 ","  21,905 ","  21,905 ",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,196
DUS-EMLC11R1-W,Dus Exclusive Matte Lip Cream 11 R1 W,,,"1,153",900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,existing,>16,>16 Bulan,Slow Moving,"1,153",900.00,2023,2023,Tidak ada kebutuhan 16 bulan ke depan,"25,000",,"1,068",Slow Moving,"1,153","345,900",0,0,"-345,000","2,896",  - ,  - ,,Yes,"1,160",Reguler,"1,153","  1,153 ","  1,153 ","  1,117 ","  4,930 ","  5,057 ",,1153,1153,1153,1153,1153,1153,1153,1153,1153,1153,1153,1153,1153,1153,1153,1153,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,900.00,900
DUS-EMLC12R1-W,Dus Exclusive Matte Lip Cream 12 R1 W,,,"20,629",900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,existing,>16,>16 Bulan,Slow Moving,"20,629",900.00,2023,2023,Tidak ada kebutuhan 16 bulan ke depan,"25,000",,"1,068",Slow Moving,"20,629","6,188,700",0,0,"-6,187,800","4,070",  - ,  - ,,Yes,"1,160",Reguler,"20,629","  20,629 ","  20,629 ","  20,675 ","  29,332 ","  33,940 ",,20629,20629,20629,20629,20629,20629,20629,20629,20629,20629,20629,20629,20629,20629,20629,20629,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,900.00,900
DUS-EMLC13R1-W,Dus Exclusive Matte Lip Cream 13 R1 W,,,"42,741","1,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,inactive,>16,>16 Bulan,Discontinue,"42,741","1,500.00",2023,2023,Tidak ada kebutuhan 16 bulan ke depan,"25,000",,"2,207",Discontinue,"42,814","12,844,200",0,-73,"-12,842,700","4,313",  - ,  - ,,Yes,953,Reguler,"42,741","  42,814 ","  42,741 ","  42,741 ","  29,280 ","  28,510 ",,42741,42741,42741,42741,42741,42741,42741,42741,42741,42741,42741,42741,42741,42741,42741,42741,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,0,"1,500"
DUS-EMLC14R1-W,Dus Exclusive Matte Lip Cream 14 R1 W,,,"5,655","1,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,new product,>16,>16 Bulan,Slow Moving,"5,655","1,500.00",2023,2023,Tidak ada kebutuhan 16 bulan ke depan,"25,000",,871,Slow Moving,"5,655","1,696,500",0,0,"-1,695,000","3,607",  - ,  - ,,Yes,953,Reguler,"5,655","  5,655 ","  5,655 ","  5,461 ","  29,511 ","  10,077 ",,5655,5655,5655,5655,5655,5655,5655,5655,5655,5655,5655,5655,5655,5655,5655,5655,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,"1,500.00","1,500"
DUS-EMLC15R1-W,Dus Exclusive Matte Lip Cream 15 R1 W,,,"20,842","1,800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,existing,>16,>16 Bulan,Slow Moving,"20,842","1,800.00",2023,2023,Tidak ada kebutuhan 16 bulan ke depan,"25,000",,824,Slow Moving,"20,842","6,252,600",0,0,"-6,250,800","4,073",  - ,  - ,,Yes,894,Reguler,"20,842","  20,842 ","  20,842 ","  13,434 ","  16,419 ","  24,072 ",,20842,20842,20842,20842,20842,20842,20842,20842,20842,20842,20842,20842,20842,20842,20842,20842,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,"1,800.00","1,800"
DUS-EMLC16R0-WILD,Dus Dus Exclusive Matte Lip Cream 16 W Wardah,,,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,inactive,>16,>16 Bulan,Discontinue,340,0.00,< 2019,< 2019,Tidak ada kebutuhan 16 bulan ke depan,"25,000",,"2,207",Discontinue,340,0,0,0,0,265,  - ,  - ,,Yes,"2,199",Reguler,340,  340 ,  340 ,  340 ,  340 ,  340 ,,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,0,0
DUS-EMLC16R1-W,Dus Exclusive Matte Lip Cream 16 R1 W,,,"3,074",900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,existing,>16,>16 Bulan,Slow Moving,"3,074",900.00,2023,2023,Tidak ada kebutuhan 16 bulan ke depan,"25,000",,"1,068",Slow Moving,"5,129","1,538,700",0,"-2,055","-1,537,800","3,558",  - ,  - ,,Yes,"1,160",Reguler,"3,074","  5,129 ","  5,293 ","  3,260 ","  22,826 ","  36,586 ",,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,3074,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,900.00,900
DUS-EMLC18R1-W,Dus Exclusive Matte Lip Cream 18 R1 W,,,"17,564","1,800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,existing,>16,>16 Bulan,Slow Moving,"17,564","1,800.00",2023,2023,Tidak ada kebutuhan 16 bulan ke depan,"25,000",,825,Slow Moving,"17,564","5,269,200",0,0,"-5,267,400","4,015",  - ,  - ,,Yes,894,Reguler,"17,564","  17,564 ","  17,530 ","  19,102 ","  12,334 ","  16,110 ",,17564,17564,17564,17564,17564,17564,17564,17564,17564,17564,17564,17564,17564,17564,17564,17564,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,"1,800.00","1,800"
DUS-EMLCR01R0-W,Dus Exclusive Matte Lip Cream Revamp 01 W,,,"23,505","1,200","18,740","18,740","37,480","37,480","18,740","37,480","37,480","18,740","37,480","37,480","18,740","37,480","37,480","18,740","37,480","37,480","168,660","487,240",new product,1,<6 Bulan,OK,0,0.00,2023,2023,,"20,000",0.04,"2,207",OK,0,0,"431,020",0,0,265,  - ,  - ,,No,"2,199",NPD,"23,505","  24,207 ","  43,002 ","  35,813 ", -, -,,4765,-13975,-51455,-88935,-107675,-145155,-182635,-201375,-238855,-276335,-295075,-332555,-370035,-388775,-426255,-463735,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0
DUS-EMLCR01R1-W,Dus Exclusive Matte Lip Cream Revamp 01 R1 W,,,"119,916","1,540",0,0,0,0,"18,526",0,0,0,0,0,0,0,0,0,0,0,"18,526","18,526",new product,>16,>16 Bulan,Slow Moving,"101,390","1,302.08",2023,< 2019,,"20,000",1.08,920,Tidak ada di report sebelumnya,Tidak ada di report sebelumnya,Tidak ada di report sebelumnya,Tidak ada di report sebelumnya,,,,"  120,000 ",  - ,,Yes,947,,"119,916",,  - ,  - ,  - ,  - ,,119916,119916,119916,119916,101390,101390,101390,101390,101390,101390,101390,101390,101390,101390,101390,101390,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,"1,302.08","1,540"
DUS-EMLCR03R0-W,Dus Exclusive Matte Lip Cream Revamp 03 W,,,"12,911",400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,new product,>16,>16 Bulan,Slow Moving,"12,911",400.00,2023,2023,Tidak ada kebutuhan 16 bulan ke depan,"20,000",,"1,387",Slow Moving,"12,911","5,164,400",0,0,"-5,164,000","4,011",  - ,  - ,,Yes,"1,480",NPD,"12,911","  12,911 ","  53,165 ","  26,345 ", -, -,,12911,12911,12911,12911,12911,12911,12911,12911,12911,12911,12911,12911,12911,12911,12911,12911,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,400.00,400
DUS-EMLCR03R1-W,Dus Exclusive Matte Lip Cream Revamp 03 R1 W,,,"84,542","1,155",0,"37,480","37,480","18,740","60,782","18,740","37,480","18,740","43,414","18,740","43,414","37,480","24,674","37,480","24,674","37,480","173,222","496,798",new product,3,<6 Bulan,OK,0,0.00,2023,< 2019,,"20,000",0.04,"2,207",Tidak ada di report sebelumnya,Tidak ada di report sebelumnya,Tidak ada di report sebelumnya,Tidak ada di report sebelumnya,,,,"  84,600 ",  - ,,Yes,"1,049",,"84,542",,  - ,  - ,  - ,  - ,,84542,47062,9582,-9158,-69940,-88680,-126160,-144900,-188314,-207054,-250468,-287948,-312622,-350102,-374776,-412256,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,0,"1,155"
DUS-EMLCR05R0-W,Dus Exclusive Matte Lip Cream Revamp 05 W,,,"1,646","1,200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,new product,>16,>16 Bulan,Slow Moving,"1,646","1,200.00",2023,2023,Tidak ada kebutuhan 16 bulan ke depan,"20,000",,942,Slow Moving,"1,646","658,400",0,0,"-657,200","3,157",  - ,  - ,,Yes,"1,030",NPD,"1,646","  1,646 ","  38,530 ","  32,902 ", -, -,,1646,1646,1646,1646,1646,1646,1646,1646,1646,1646,1646,1646,1646,1646,1646,1646,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,"1,200.00","1,200"
DUS-EMLCR05R1-W,Dus Exclusive Matte Lip Cream Revamp 05 R1 W,,,"64,230","1,540",0,0,"18,740","18,740","56,006","37,480","18,740","18,740","37,480","37,480","18,740","37,480","37,480","18,740","37,480","43,414","130,966","436,740",new product,4,<6 Bulan,OK,0,0.00,2023,2023,,"20,000",0.05,"2,207",OK,0,0,"393,540",0,0,265,"  61,900 ",  - ,,No,"2,199",,"64,230","  58,074 ",, -, -, -,,64230,64230,45490,26750,-29256,-66736,-85476,-104216,-141696,-179176,-197916,-235396,-272876,-291616,-329096,-372510,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,,0,0
DUS-EMLCR06R0-W,Dus Exclusive Matte Lip Cream Revamp 06 W,,,"32,505",800,0,"37,480","37,480","18,740","37,480","37,480","37,480","18,740","37,480","18,740","37,480","37,480","37,480","18,740","37,480","37,480","168,660","487,240",new product,1,<6 Bulan,OK,0,0.00,2023,2023,,"20,000",0.04,"2,207",OK,0,0,"431,020",0,0,265,  - ,  - ,,Yes,"1,214",NPD,"32,505","  31,836 ","  44,029 ","  11,112 ", -, -,,32505,-4975,-42455,-61195,-98675,-136155,-173635,-192375,-229855,-248595,-286075,-323555,-361035,-379775,-417255,-454735,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,800
DUS-EMLCR06R1-W,Dus Exclusive Matte Lip Cream Revamp 06 R1 W,,,"59,024",385,0,0,0,0,"18,539",0,0,0,0,0,0,0,0,0,0,0,"18,539","18,539",new product,>16,>16 Bulan,Slow Moving,"40,485",264.07,2023,< 2019,,"20,000",1.08,"1,516",Tidak ada di report sebelumnya,Tidak ada di report sebelumnya,Tidak ada di report sebelumnya,Tidak ada di report sebelumnya,,,,"  59,050 ",  - ,,Yes,"1,505",,"59,024",,  - ,  - ,  - ,  - ,,59024,59024,59024,59024,40485,40485,40485,40485,40485,40485,40485,40485,40485,40485,40485,40485,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,264.07,385
DUS-EMLCR07R0-W,Dus Exclusive Matte Lip Cream Revamp 07 W,,,"25,664","1,600",0,"37,480","37,480","37,480","37,480","56,220","37,480","18,740","37,480","37,480","37,480","56,220","18,740","37,480","56,220","37,480","206,140","580,940",new product,1,<6 Bulan,OK,0,0.00,2023,2023,,"20,000",0.03,"2,207",OK,0,0,"487,240",0,0,265,  - ,  - ,,Yes,925,NPD,"25,664","  26,070 ","  49,249 ","  54,574 ", -, -,,25664,-11816,-49296,-86776,-124256,-180476,-217956,-236696,-274176,-311656,-349136,-405356,-424096,-461576,-517796,-555276,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,"1,600"
DUS-EMLCR07R1-W,Dus Exclusive Matte Lip Cream Revamp 07 R1 W,,,"49,974",385,0,0,0,0,"5,939",0,0,0,"3,476",0,0,"3,476",0,0,"3,476",0,"5,939","16,367",new product,>16,>16 Bulan,Slow Moving,"44,035",339.25,2023,< 2019,,"20,000",1.22,"1,444",Tidak ada di report sebelumnya,Tidak ada di report sebelumnya,Tidak ada di report sebelumnya,Tidak ada di report sebelumnya,,,,"  50,000 ",  - ,,Yes,"1,505",,"49,974",,  - ,  - ,  - ,  - ,,49974,49974,49974,49974,44035,44035,44035,44035,40559,40559,40559,37083,37083,37083,33607,33607,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,339.25,385
DUS-EMLCR08R0-W,Dus Exclusive Matte Lip Cream Revamp 08 W,,,"20,095","1,600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,new product,>16,>16 Bulan,Slow Moving,"20,095","1,600.00",2023,2023,Tidak ada kebutuhan 16 bulan ke depan,"20,000",,850,Slow Moving,"12,311","4,924,400",0,"7,784","-4,922,800","3,991","  7,800 ",  - ,,Yes,925,NPD,"20,095","  12,311 ","  46,026 ","  55,300 ", -, -,,20095,20095,20095,20095,20095,20095,20095,20095,20095,20095,20095,20095,20095,20095,20095,20095,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,"1,600.00","1,600"
DUS-EMLCR08R1-W,Dus Exclusive Matte Lip Cream Revamp 08 R1 W,,,"58,747","1,155",0,"18,740","37,480","37,480","43,414","56,220","37,480","18,740","62,154","37,480","37,480","37,480","43,414","37,480","56,220","37,480","193,334","598,742",new product,3,<6 Bulan,OK,0,0.00,2023,2023,,"20,000",0.03,"2,207",OK,0,0,"562,200",0,0,265,"  51,600 ",  - ,,No,"2,199",,"58,747","  31,935 ",, -, -, -,,58747,40007,2527,-34953,-78367,-134587,-172067,-190807,-252961,-290441,-327921,-365401,-408815,-446295,-502515,-539995,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,0,0
DUS-EMLCR09R0-W,Dus Exclusive Matte Lip Cream Revamp 09 W,,,"20,808","1,200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,new product,>16,>16 Bulan,Slow Moving,"20,808","1,200.00",2023,2023,Tidak ada kebutuhan 16 bulan ke depan,"20,000",,942,Slow Moving,"19,722","7,888,800",0,"1,086","-7,887,600","4,164",  - ,  - ,,Yes,"1,030",NPD,"20,808","  19,722 ","  31,700 ","  67,524 ", -, -,,20808,20808,20808,20808,20808,20808,20808,20808,20808,20808,20808,20808,20808,20808,20808,20808,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,"1,200.00","1,200"
DUS-EMLCR09R1-W,Dus Exclusive Matte Lip Cream Revamp 09 R1 W,,,"33,711",385,0,"37,480","56,220","37,480","60,782","56,220","56,220","18,740","56,220","37,480","62,154","56,220","43,414","37,480","56,220","43,414","248,182","715,744",new product,1,<6 Bulan,OK,0,0.00,2023,2023,,"20,000",0.03,"2,207",OK,0,0,"618,420",0,0,265,  - ,  - ,,No,"2,199",,"33,711","  57,124 ",, -, -, -,,33711,-3769,-59989,-97469,-158251,-214471,-270691,-289431,-345651,-383131,-445285,-501505,-544919,-582399,-638619,-682033,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0
DUS-EMLCR11R0-W,Dus Exclusive Matte Lip Cream Revamp 11 W,,,"32,995","1,200",0,"16,660","23,324","16,660","19,992","19,992","19,992","13,328","23,324","16,660","19,992","19,992","19,992","16,660","23,324","19,992","96,628","289,884",new product,2,<6 Bulan,OK,0,0.00,2023,2023,,"20,000",0.07,"2,207",OK,0,0,"253,232",0,0,265,  - ,  - ,,No,"2,199",NPD,"32,995","  43,499 ","  34,016 ","  33,500 ", -, -,,32995,16335,-6989,-23649,-43641,-63633,-83625,-96953,-120277,-136937,-156929,-176921,-196913,-213573,-236897,-256889,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,0
DUS-EMLCR11R1-W,Dus Exclusive Matte Lip Cream Revamp 11 R1 W,,,"47,174",385,0,0,0,0,"23,302",0,0,0,"5,934",0,"5,934",0,"5,934",0,"5,934",0,"23,302","47,038",new product,>16,>16 Bulan,Slow Moving,"23,872",194.83,2023,< 2019,MOQ lebih dari forecast 16 bulan ke depan,"20,000",0.43,"1,597",Tidak ada di report sebelumnya,Tidak ada di report sebelumnya,Tidak ada di report sebelumnya,Tidak ada di report sebelumnya,,,,"  47,200 ",  - ,,Yes,"1,505",,"47,174",,  - ,  - ,  - ,  - ,,47174,47174,47174,47174,23872,23872,23872,23872,17938,17938,12004,12004,6070,6070,136,136,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,194.83,385
DUS-EMLCR12R0-W,Dus Exclusive Matte Lip Cream Revamp 12 W,,,"30,358",800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,new product,>16,>16 Bulan,Slow Moving,"30,358",800.00,2023,2023,Tidak ada kebutuhan 16 bulan ke depan,"20,000",,"1,114",Slow Moving,"30,358","12,143,200",0,0,"-12,142,400","4,295",  - ,  - ,,Yes,"1,214",NPD,"30,358","  30,358 ","  53,258 ","  45,024 ", -, -,,30358,30358,30358,30358,30358,30358,30358,30358,30358,30358,30358,30358,30358,30358,30358,30358,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,800.00,800
