Kebutuhan packaging: closing DSR April 2023,,,,,,Kebutuhan Produksi (by Forecast),,,,,,,,,,,,,,,,,,,,,,DON’T SORT WITH FORMULAE,,,,,,,,,,,,,,,,cek,Akumulasi FC,,,,Stock L6M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kode Item,Nama Internal,Jenis,Brand,Stock (Pcs),Value (IDR),May 23,Jun 23,Jul 23,Aug 23,Sep 23,Oct 23,Nov 23,Dec 23,Jan 24,Feb 24,Mar 24,Apr 24,May 24,Jun 24,Jul 24,Aug 24,Total Kebutuhan next 6 month,Total Kebutuhan next 16 month,Status Pack,Umur Stok (Month),Kategori Umur Stok Slobs,"Status Stok, SLOB > 6 bln",Stock SLOB (Pcs),Value SLOB,Last Incoming,"Last
SMB",Keterangan,MOQ,Umur MOQ,Rank Value SLOBS,Status Report April 23,Qty Report April 23,Value Report April 23,Kebutuhan Total Report April 23,Selisih Qty,Selisih Value,Rank Selisih Value,Laptrima,Pemusnahan,Reason Stock Bergerak,Static Stock,Rank Value Static Stock,"Kategori FG (NPD, Reguler, NFS, One Shot, Ex Revamp, Minor Change)",Report Mei 23,Report April 23,Report Mar 23,Report Feb 23,Report Jan 23,Report Dec 22,,May 23,Jun 23,Jul 23,Aug 23,Sep 23,Oct 23,Nov 23,Dec 23,Jan 24,Feb 24,Mar 24,Apr 24,May 24,Jun 24,Jul 24,Aug 24,,May 23,Jun 23,Jul 23,Aug 23,Sep 23,Oct 23,Nov 23,Dec 23,Jan 24,Feb 24,Mar 24,Apr 24,May 24,Jun 24,Jul 24,Aug 24,Total,,Composite Key,Composite Key
BASE-CLHNTR0-E,Base CLH Stick Nudetwinkle E,,,"12,741","21,160","1,192","2,384","1,788","1,192","1,788","2,384","1,788","1,192","2,384","1,192","1,788","2,384","1,788","1,788","1,788","1,788","10,728","28,608",existing,7,7-12 Bulan,Slow Moving,"2,013","3,343.10",2021,2023,MOQ lebih dari forecast 16 bulan ke depan,"10,000",0.35,640,Slow Moving,"6,768","28,641,734","22,648","-4,755","-28,638,391","4,500",  - ,  - ,,No,"2,199",Reguler,"12,741","  15,112 ","  15,112 ","  13,665 ","  13,665 ","  13,665 ",,11549,9165,7377,6185,4397,2013,225,-967,-3351,-4543,-6331,-8715,-10503,-12291,-14079,-15867,,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,7,,"3,343.10",0
BASE-MMB01-MO,Base Multifix Matte Blusher 01 MO,,,"21,533","49,748",284,284,"1,136",852,852,"1,136",852,568,"1,136",852,852,"1,136",852,852,852,852,"4,544","13,348",existing,>16,>16 Bulan,Slow Moving,"16,989","39,249.63",2022,2023,MOQ lebih dari forecast 16 bulan ke depan,"3,000",0.22,100,Slow Moving,"17,558","124,781,248","13,348",-569,"-124,741,999","4,761",  - ,  - ,,No,"2,199",Reguler,"21,533","  22,670 ","  22,670 ","  23,328 ","  15,322 ","  16,228 ",,21249,20965,19829,18977,18125,16989,16137,15569,14433,13581,12729,11593,10741,9889,9037,8185,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,"39,249.63",0
BASE-MMB02-MO,Base Multifix Matte Blusher 02 MO,,,"19,482","58,914",0,0,568,568,284,568,284,284,568,568,284,568,284,568,568,284,"1,988","6,248",existing,>16,>16 Bulan,Slow Moving,"17,494","52,902.69",2022,2023,MOQ lebih dari forecast 16 bulan ke depan,"3,000",0.48,59,Slow Moving,"17,210","126,739,816","6,816",284,"-126,686,914","4,764",  - ,  - ,,No,"2,199",Reguler,"19,482","  19,766 ","  19,131 ","  19,480 ","  15,967 ","  11,081 ",,19482,19482,18914,18346,18062,17494,17210,16926,16358,15790,15506,14938,14654,14086,13518,13234,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,"52,902.69",0
BASE-MMB03-MO,Base Multifix Matte Blusher 03 MO,,,"10,883","29,485",0,0,0,568,852,568,852,284,852,568,568,852,568,852,568,852,"1,988","8,804",existing,>16,>16 Bulan,Slow Moving,"8,895","24,099.20",2022,2022,MOQ lebih dari forecast 16 bulan ke depan,"3,000",0.34,168,Slow Moving,"7,809","57,562,646","10,224","1,086","-57,538,547","4,655",  - ,  - ,,Yes,297,Reguler,"10,883","  10,933 ","  10,213 ","  10,207 ","  22,004 ","  22,729 ",,10883,10883,10883,10315,9463,8895,8043,7759,6907,6339,5771,4919,4351,3499,2931,2079,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,"24,099.20","29,485"
BASE-MMB04-MO,Base Multifix Matte Blusher 04 MO,,,"12,257","37,082",0,284,284,568,568,852,852,284,852,568,852,852,568,568,852,568,"2,556","9,372",existing,>16,>16 Bulan,Slow Moving,"9,701","29,349.23",2022,2023,MOQ lebih dari forecast 16 bulan ke depan,"3,000",0.32,134,Slow Moving,"8,849","65,627,901","11,076",852,"-65,598,551","4,669",  - ,  - ,,No,"2,199",Reguler,"12,257","  12,825 ","  12,741 ","  8,007 ","  21,174 ","  21,389 ",,12257,11973,11689,11121,10553,9701,8849,8565,7713,7145,6293,5441,4873,4305,3453,2885,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,"29,349.23",0
BASE-MMB05-MO,Base Multifix Matte Blusher 05 MO,,,"23,394","20,957",568,568,"1,704","1,136","1,420","1,704","1,420","1,136","1,420","1,420","1,420","1,704","1,420","1,420","1,704","1,136","7,100","21,300",existing,>16,>16 Bulan,Slow Moving,"16,294","14,596.30",2022,2023,MOQ lebih dari forecast 16 bulan ke depan,"3,000",0.14,263,Slow Moving,"16,501","115,267,959","21,868",-207,"-115,253,363","4,754",  - ,  - ,,No,"2,199",Reguler,"23,394","  24,737 ","  25,024 ","  26,421 ","  26,662 ","  27,248 ",,22826,22258,20554,19418,17998,16294,14874,13738,12318,10898,9478,7774,6354,4934,3230,2094,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,,"14,596.30",0
BOOK-HC2023-W,Booklet Hajj Care 2023 W,,,"27,837","3,150","3,960","2,410","3,872","3,384","3,384","4,230","3,384","2,538","1,418",0,0,0,0,0,0,0,"21,240","28,580",new product,8,7-12 Bulan,Slow Moving,"6,597",746.51,2023,2023,,"37,000",1.29,"1,150",Slow Moving,"24,571","25,799,550","19,800","-17,974","-25,798,803","4,475",  - ,  - ,,No,"2,199",,"27,837","  40,411 ","  42,921 ", -, -, -,,23877,21467,17595,14211,10827,6597,3213,675,-743,-743,-743,-743,-743,-743,-743,-743,,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,8,,746.51,0
BOOK-PH2023-K,Booklet Paket Haji 2023 K,,,"3,402","13,600",0,"2,350","1,591","1,591","3,941","1,591","3,941",0,"1,591","3,941","1,591","1,591",0,"1,591","1,591","1,591","11,064","28,492",new product,2,<6 Bulan,OK,0,0.00,2023,2023,,"3,500",0.12,"2,207",OK,0,0,"32,433",0,0,265,  - ,  - ,,No,"2,199",,"3,402",  597 ,  597 , -, -, -,,3402,1052,-539,-2130,-6071,-7662,-11603,-11603,-13194,-17135,-18726,-20317,-20317,-21908,-23499,-25090,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,0
BOTO-ADS1702R0-W,Bottle Anti Dandruff Shampoo 170 (2) W (Pc(s)),,,0,"4,119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,to be discontinued,0,<6 Bulan,OK,0,0.00,2021,2022,Tidak ada kebutuhan 16 bulan ke depan,"100,100",,"2,207",OK,0,0,0,0,0,265,  - ,"  2,787 ",,Yes,674,Reguler,0,  - ,"  2,787 ","  2,567 ", -, -,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,"4,119"
BOTO-ADS1702R1-W,Bottle Anti Dandruff Shampoo 170 (2) R1 W,,,"64,199","29,461","17,150","17,150","51,450","34,300","34,300","51,450","34,300","34,300","34,300","51,450","34,300","51,450","34,300",0,0,0,"205,800","480,200",existing,2,<6 Bulan,OK,0,0.00,2023,2023,,"100,000",0.21,"2,207",OK,0,0,"480,200",0,0,265,"  67,626 ",  - ,,No,"2,199",Reguler,"64,199","  30,113 ","  25,743 ","  58,354 ","  40,076 ","  61,696 ",,47049,29899,-21551,-55851,-90151,-141601,-175901,-210201,-244501,-295951,-330251,-381701,-416001,-416001,-416001,-416001,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,0
