KODE ITEM,STATUS 2
BANR-RBINNELL-W,0
BANR-RBMARS-W,0
BANR-RBSAGT-W,0
BANR-RBTPB-W,0
BANR-RKBTBL-EM,0
BANR-RKDSBAS-W,0
BANR-RKDSEXCL-W,0
BANR-RKDSLC-W,0
BANR-RKES-EM,inactive
BANR-RKEXCS-W,0
BANR-RKEXPS-W,0
BANR-RKHDA-W,0
BANR-RKINNELL-W,0
BANR-RKMARS-W,0
BANR-RKSAGT-W,0
BANR-RKTPB-W,0
BANR-RUBESP-MO,0
BANR-RUCP-IX,inactive
BANR-RUCSB-IX,inactive
BANR-RUCTTB-IX,inactive
BANR-RUELP-MOB1,0
BANR-RUELP-MOB2,0
BANR-RUELP-MOB3,0
BANR-RUELP-MOS1,0
BANR-RUELP-MOS2,0
BANR-RUELP-MOS3,0
BANR-RUKESP-MO,0
BANR-RULCL-MO,0
BANR-RULCV-MO,0
BANR-RULUHM-MOB1,0
BANR-RULUHM-MOB2,0
BANR-RULUHM-MOB3,0
BANR-RULUHM-MOK1,0
BANR-RULUHM-MOK2,0
BANR-RULUHM-MOK3,0
BANR-RULUHM-MOM1,0
BANR-RULUHM-MOM2,0
BANR-RULUHM-MOM3,0
BANR-RULUHM-MOP1,0
BANR-RULUHM-MOP2,0
BANR-RULUHM-MOP3,0
BANR-RUPHU-W,0
BANR-RUWSH-W,0
BANR-SHPW-W,0
BANR-WBSRB+PVC-U61,inactive
BANR-WBSRB+PVC-U82,0
BASC-UVSSR0-W,existing
BASE-CLBPER0-E,existing
BASE-CLBPIR0-E,existing
BASE-CLHNTR0-E,existing
BASE-CSS-W,existing
BASE-IPLP-W,inactive
BASE-MMB01-MO,existing
BASE-MMB02-MO,existing
BASE-MMB03-MO,existing
BASE-MMB04-MO,existing
BASE-MMB05-MO,existing
BASE-PCSS-W,existing
BASE-PDCWSWNLPT-WPAS,inactive
BASE-PNCWSWNLPT-063W,inactive
BASE-PSBS-E,inactive
BASE-PSMT-MO,inactive
BASE-PSMTQP02-MO,inactive
BASE-PSMTRH01-MO,inactive
BASE-PTDCWSWNLP-63WP,inactive
BASK-BC-W,0
BASK-BCBW01-WH,0
BBC-EXP4535-MOP,0
BC--57914,inactive
BC-RCU226-EM,inactive
BC-SUNL-MO,0
BC-SUNXL-MO,0
BDN-WPBL-1W,inactive
BIA--45113,inactive
BIA-JPPDCD-TG,0
BO-EDTKITR0-K,new product
BOOK-AG-W,0
BOOK-AG18-W,0
BOOK-BC-W,0
BOOK-BCPROP-W,0
BOOK-BCPROPMO-MO,0
BOOK-BRAN-W,0
BOOK-CG-IX,inactive
BOOK-GTC-W,0
BOOK-HC2023-W,new product
BOOK-JFW17-W,0
BOOK-L2014-W,0
BOOK-L2016-W,0
BOOK-LYS-W,0
BOOK-MG16-MO,0
BOOK-MOTISBTBMR-AC23,0
BOOK-PH2023-K,new product
BOOK-R17-W,0
BOOK-WBPR1A12-LDLV,0
BOOK-WTISDPIS-MP15CM,inactive
BOOK-WTISRM1221-LD1M,0
BOOK-WTISVI-CAC19I15,inactive
BOOK-WWM-W,0
BOTO-ADS170-WHDPE,inactive
BOTO-ADS1702R0-W,to be discontinued
BOTO-ADS1702R1-W,existing
BOTO-ADS170IIR0-WHDP,0
BOTO-ADS170LF-WHDPE,0
BOTO-ADS170R1-WHDPE,inactive
BOTO-ADS170R2-WHDPE,to be discontinued
BOTO-ADS170R3-WHDPE,existing
BOTO-AFRBW-K,to be discontinued
BOTO-AFRBW200R1-K,existing
BOTO-AHRMS30R0-W,existing
BOTO-AIOPTFS100R0-K,new product
BOTO-ALMR1-WPETG,existing
BOTO-ALMW-PGFB,0
BOTO-ALUGBFM100-L,new product
BOTO-APDHCP60-W,new product
BOTO-BADS30R0-K,new product
BOTO-BCBW-K,to be discontinued
BOTO-BCBW200R1-K,existing
BOTO-BDMR0-MOPTG,existing
BOTO-BNG100PVC-,existing
BOTO-BNG100TCBE-DF,inactive
BOTO-BOSR0-B,initial
BOTO-BR100SO-W,inactive
BOTO-BSLPR0-EBS,inactive
BOTO-BSLPR1-EM,inactive
BOTO-BSLPR2-EM,existing
BOTO-BWGT550-BD,new product
BOTO-BWMGTR0-BD,existing
BOTO-BWMSSR0-BD,existing
BOTO-BWMYZR0-BD,existing
BOTO-BWSS550-BD,new product
BOTO-BWYZ550-BD,new product
BOTO-C240GTP-PET24,inactive
BOTO-C240RPP-PET24,inactive
BOTO-C240SBP-PET24,inactive
BOTO-C240TBP-PET24,inactive
BOTO-C750GTP-PET28,inactive
BOTO-C750RPP-PET28,inactive
BOTO-C750SBP-PET28,inactive
BOTO-CADH50-K,inactive
BOTO-CADLPR0-W,existing
BOTO-CAUSSSR0-TV,new product
BOTO-CDAMGR0-W,existing
BOTO-CDFMR0-WPET,inactive
BOTO-CDFMR1-WPET,existing
BOTO-CDRTS10R0-CL,new product
BOTO-CFLISR0-W,initial
BOTO-CFMLI01R0-W,existing
BOTO-CFMLI02R0-W,existing
BOTO-CFMLI03R0-W,existing
BOTO-CFMLI04R0-W,existing
BOTO-CFMLI05R0-W,existing
BOTO-CFMLI06P-W,0
BOTO-CFMLI06R0-W,existing
BOTO-CFMLI07P-W,0
BOTO-CFMLI07R0-W,existing
BOTO-CFMLI08P-W,0
BOTO-CFMLI08R0-W,existing
BOTO-CLFR0-OMG,new product
BOTO-CLVMR0-E,new product
BOTO-CMLCR0-W,existing
BOTO-CMR0-EM,inactive
BOTO-CMSR1-ELM,inactive
BOTO-CMWGPB-T,inactive
BOTO-COS10-W,inactive
BOTO-COS10R1-CL,existing
BOTO-COTR0-B,new product
BOTO-CPRLR0-W,existing
BOTO-CSDSBS20R0-W,existing
BOTO-CSET125R0-W,to be discontinued
BOTO-CSET125R1-W,existing
BOTO-CSPTE1000R0-W,existing
BOTO-CSPTE30-W,existing
BOTO-CSPTE50R0-W,existing
BOTO-CTKBE10-W,existing
BOTO-CTKBE10R1-CL,existing
BOTO-CTR0-E,existing
BOTO-CUCR0-IP,new product
BOTO-CVML09KR0-W,existing
BOTO-CVML09KR1-W,existing
BOTO-CVML10KR0-W,existing
BOTO-CVML10KR1-W,existing
BOTO-CVML10R0-W,existing
BOTO-CVML10R1-W,existing
BOTO-CVML11KR0-W,new product
BOTO-CVML11KR1-W,initial
BOTO-CVML11R0-W,existing
BOTO-CVML11R1-W,existing
BOTO-CVML12KR0-W,existing
BOTO-CVML12KR1-W,existing
BOTO-CVML12R0-W,existing
BOTO-CVML12R1-W,existing
BOTO-CVML13KR0-W,existing
BOTO-CVML13KR1-W,existing
BOTO-CVML13R0-W,existing
BOTO-CVML13R1-W,existing
BOTO-CVML14KR0-W,new product
BOTO-CVML14KR1-W,initial
BOTO-CVML14R0-W,existing
BOTO-CVML14R1-W,existing
BOTO-CVML9R0-W,existing
BOTO-CVML9R1-W,existing
BOTO-CVMLM1R0-W,existing
BOTO-CVMLM1R1-W,existing
BOTO-CVMLM1R2-W,0
BOTO-CVMLM2R0-W,existing
BOTO-CVMLM2R1-W,existing
BOTO-CVMLM2R2-W,0
BOTO-CVMLM3R0-W,existing
BOTO-CVMLM3R1-W,existing
BOTO-CVMLM3R2-W,0
BOTO-CVMLM4R0-W,existing
BOTO-CVMLM4R1-W,existing
BOTO-CVMLM4R2-W,0
BOTO-CVMLM5R0-W,existing
BOTO-CVMLM5R1-W,existing
BOTO-CVMLM5R2-W,existing
BOTO-CVMLM6R0-W,existing
BOTO-CVMLM6R1-W,0
BOTO-CVMLM6R2-W,0
BOTO-CVMLM7R0-W,existing
BOTO-CVMLM7R1-W,existing
BOTO-CVMLM7R2-W,0
BOTO-CVMLM8R0-W,existing
BOTO-CVMLM8R1-W,existing
BOTO-CVMLM8R2-W,existing
BOTO-DFS170-WHDPE,inactive
BOTO-DFS1702R0-W,inactive
BOTO-DFS170IIR0-WHDP,0
BOTO-DFS170R1-WHDPE,to be discontinued
BOTO-DFS170R2-WHDPE,existing
BOTO-DROPH-K,new product
BOTO-DROR0-K,existing
BOTO-EAHS5-WHDPE,inactive
BOTO-ECLT01R0-WPETM,0
BOTO-ECLT01R1-WPETM,existing
BOTO-ECLT02R0-WPETM,0
BOTO-ECLT02R1-WPETM,existing
BOTO-ECLT03R0-WPETM,0
BOTO-ECLT03R1-WPETM,existing
BOTO-EDGLR0-EPNP1,inactive
BOTO-EDTP2-K,inactive
BOTO-EHBW-K,PS
BOTO-EHYDRAR0-WHDPE,0
BOTO-ELFSRCS-WLDHD,0
BOTO-ELIG5RC-WLDHD,0
BOTO-ELIGR0-WLDHD,inactive
BOTO-ELIGR1-WLDHD,inactive
BOTO-ELMFR0-W,existing
BOTO-ELRCP-WLDHD,inactive
BOTO-ELSAR0-W,existing
BOTO-ELSAR1-W,existing
BOTO-EMLCAC-W,inactive
BOTO-EMLCR0-W,new product
BOTO-EMLCR1-W,existing
BOTO-EMLCRKR0-W,new product
BOTO-EMLCRTR0-W,initial
BOTO-EMLNSR0-W,existing
BOTO-EMLSR0-W,existing
BOTO-EO10-B,initial
BOTO-EPURIR0-WHDPE,inactive
BOTO-EWHITER0-WHDPE,inactive
BOTO-EWHPS5-WHDPE,inactive
BOTO-EXBLSR0-W,new product
BOTO-EXLWMR0-W,new product
BOTO-FANC100PEA-,inactive
BOTO-FS8CCONE-HPWO,inactive
BOTO-G150HBLFBW-P2PH,inactive
BOTO-G150LBLR1-WHD,inactive
BOTO-G150LBLWNL-BPPH,inactive
BOTO-G150LFTR1-WHD,inactive
BOTO-G150LFTRC-WHD,inactive
BOTO-G150LFTWNL-BPP3,inactive
BOTO-G150LMCR1-WHD,inactive
BOTO-G150LMCR2-WHD,inactive
BOTO-G150LMCRC-WHD,inactive
BOTO-G150WSEL-WH1P,inactive
BOTO-G150WSELG-WHD,inactive
