coitem,Level 1,Level 2,Level 3,week,year
BO-R2CLPBML-EM,,,,23,2023
BO-R2CLPBVB-EM,Order Management,Alignment NPD/PIPO,Alignment NPD/PIPO,23,2023
BO-RBCC-MO,,,,23,2023
BO-RBCS-MO,,,,23,2023
BO-RBPPE-MO,,,,23,2023
BO-RBPPI-MO,,,,23,2023
BO-RBSPF-MO,,,,23,2023
BO-RBSS-MO,,,,23,2023
BO-RBST-MO,,,,23,2023
BO-SKCC08-MO6G,,,,23,2023
BO-SKCS06-MO6G,,,,23,2023
BO-SKPF01-MO6G,,,,23,2023
BO-SKPP10-MO6G,,,,23,2023
BO-SKPS03-MO6G,,,,23,2023
BO-SKSS07-MO6G,,,,23,2023
BO-SKST09-MO6G,,,,23,2023
BO-W1A-W4GR,,,,23,2023
BO-W1C-W4GR,,,,23,2023
BP-BMISN2-EM,,,,23,2023
BP-BMPDN2-EM,,,,23,2023
BP-BMRFN2-EM,,,,23,2023
BP-BMSSN2-EM,,,,23,2023
BP-HREDT-KA,,,,23,2023
BP-IWEDT-KA,,,,23,2023
BP-MOEDP-KA,,,,23,2023
BP-NFSHREDT-KA,,,,23,2023
BP-NFSIWEDT-KA,,,,23,2023
BP-NFSRHEDT-KA,,,,23,2023
BP-NFSWSEDT-KA,,,,23,2023
BP-RHEDP-KA,,,,23,2023
BP-RHEDT-KA,,,,23,2023
BP-SBSBM-W100ML,,,,23,2023
BP-SBSE-W35ML,,,,23,2023
BP-SJYBM-W100ML,,,,23,2023
BP-SJYE-W35ML,,,,23,2023
BP-SPCBM-W100ML,,,,23,2023
BP-SPCE-W35ML,,,,23,2023
BP-SPNBM-W100ML,,,,23,2023
BP-SPNE-W35ML,,,,23,2023
BP-SPRBM-W100ML,,,,23,2023
BP-SPRE-W35ML,,,,23,2023
BP-WSEDT-KA,,,,23,2023
BRO-RNBO-KA,,,,23,2023
BRUS-EBS-EM,,,,23,2023
BRUS-FTF-MO17CM,,,,23,2023
BRUS-KBK-MO8.5CM,,,,23,2023
BUT-W0LG-W50ML,,,,23,2023
BUT-W0MP-W50ML,,,,23,2023
BUT-W0O-W50ML,,,,23,2023
BUT-W0P-W50ML,,,,23,2023
BUT-W0R-W50ML,,,,23,2023
BUT-W0S-W50ML,,,,23,2023
C-P1-P450,,,,23,2023
CB-P1A-P240,,,,23,2023
CB-P1A-P720,,,,23,2023
CB-P1G-P240,,,,23,2023
CB-P1G-P720,,,,23,2023
CB-P1K-P240,,,,23,2023
CB-P1K-P720,,,,23,2023
CB-P1L1-P240,,,,23,2023
CB-P1L1-P720,,,,23,2023
CM-CML-EM50ML,,,,23,2023
CM-LCC-W,,,,23,2023
CM-RWSPBC-W,,,,23,2023
CM-WSOG-W,,,,23,2023
CON-C-MO11ML,,,,23,2023
CON-CPADC01-W,,,,23,2023
CON-CPADC02-W,,,,23,2023
CON-IP01-W,Order Management,Alignment NPD/PIPO,Alignment NPD/PIPO,23,2023
CON-IP02-W,Order Management,Alignment NPD/PIPO,Alignment NPD/PIPO,23,2023
CON-IP03-W,Order Management,Alignment NPD/PIPO,Alignment NPD/PIPO,23,2023
CON-IP05-W,Order Management,Alignment NPD/PIPO,Alignment NPD/PIPO,23,2023
CON-LBBL01-W,,,,23,2023
CON-LBBL02-W,Supply,Packaging Material,,23,2023
CON-LBBL03-W,,,,23,2023
CON-PTCL01-MO,,,,23,2023
CON-PTCL02-MO,,,,23,2023
CON-PTCL03-MO,,,,23,2023
CON-RLBBL01-W,,,,23,2023
CON-RLBBL02-W,,,,23,2023
CON-RPP02-MO,,,,23,2023
CON-RPP03-MO,,,,23,2023
CON-SMULCA-EM,,,,23,2023
CON-SMULCB-EM,,,,23,2023
CON-SMULCC-EM,,,,23,2023
CUS-CLPGCA-W,,,,23,2023
CUS-CLPGCB-W,,,,23,2023
CUS-CLPGCC-W,Supply,Production Capacity,Machine Capacity,23,2023
CUS-CLPGCD-W,,,,23,2023
CUS-CLPGCE-W,,,,23,2023
CUS-CLPGCF-W,,,,23,2023
CUS-CLPGCG-W,,,,23,2023
CUS-CLPGCH-W,,,,23,2023
CUS-CLPGCRA-W,,,,23,2023
CUS-CLPGCRB-W,,,,23,2023
CUS-CLPGCRC-W,,,,23,2023
CUS-CLPGCRD-W,,,,23,2023
CUS-DM01-EM,,,,23,2023
