"Product Korporat Code","Reference","Quantity","BoM Lines/Product Template/Korporat Code","BoM Lines/Product Template/Material Type","BoM Lines/Quantity"
"","","","SERI-SERFHS-X","Raw Material","0.15"
"","","","COSM-222--K","Raw Material","0.04"
"","","","MICA-FHSMLP-X","Raw Material","0.15"
"","","","POLY-M-MP27-K","Raw Material","0.03"
"","","","POWD-TDMS-","Raw Material","0.216645"
"","","","SILI-D2-TSFST-K","Raw Material","0.02"
"","","","POWD-MDMSP-X","Raw Material","0.15"
"","","","SERI-790-","Raw Material","0.15"
"","","","NT---K","Raw Material","0.02"
"B-PT04-BULK","29","1.0","WARN-RED3ASTDMS-BULK","Intermediate","0.017088"
"","","","KAOL-JP100-X","Raw Material","0.08"
"","","","WARN-TETDMS-BULK","Intermediate","0.005645"
"","","","PLAS-P-D400-K","Raw Material","0.02"
"","","","POLY-M-MP27-K","Raw Material","0.03"
"","","","WARN-YLW3AS-X","Raw Material","0.020941"
"","","","POWD-GHHDI-X","Raw Material","0.15"
"","","","SERI-C-SI013S200-K","Raw Material","0.3"
"","","","WARN-FW108S-X","Raw Material","0.006"
"","","","PEN-SENSC50-X","Raw Material","0.004"
"","","","PARF-AMSKLG-X","Raw Material","0.0001"
"","","","SQUA-AMYR-X","Raw Material","0.005"
"","","","PEN-PRSVPE-X","Raw Material","0.008"
"","","","SILD--SI5H52D-K","Raw Material","0.01"
"","","","ZINC-STW-X","Raw Material","0.01"
"","","","POWD-TGDS-X","Raw Material","0.332126"
"","","","WARN-UNPBRWNL88-X","Raw Material","0.0011"
"A-FPW3-BULK","26","1.0","WARN-CLRG-X","Raw Material","0.004223"
"","","","WARN-COGO--K","Raw Material","0.006584"
"","","","PARF-AMSKLG-X","Raw Material","0.0005"
"","","","ALAN--AK-K","Raw Material","0.001"
"","","","EXTR-CNDWLHB-X","Raw Material","0.01"
"","","","ZINC-STW-X","Raw Material","0.045"
"","","","ASAM-SCAD-X","Raw Material","0.005"
"","","","CORN---K","Raw Material","0.29965"
"","","","PWD-KALNPD-X","Raw Material","0.2"
"","","","SERI-790-","Raw Material","0.099093"
"","","","TITA--3328EW-K","Raw Material","0.01"
"","","","TIT-CR50HD-X","Raw Material","0.01"
"","","","POWD-SBK-X","Raw Material","0.05"
"","","","SILI-DC21-","Raw Material","0.005"
"","","","WARN-ABIO-X","Raw Material","0.00095"
"","","","SERI-S-D-K","Raw Material","0.24"
"","","","PEN-PRSVPE-X","Raw Material","0.008"
"","","","PEN-SENSC50-X","Raw Material","0.004"
"","","","EXTR-FS-I-K","Raw Material","0.001"
"B-IPQSP12-BULK","3","1.0","SILD--SI5H52D-K","Raw Material","0.04"
"","","","TALC-OSBRTPD-X","Raw Material","0.11445"
"","","","TIT-CR50HD-X","Raw Material","0.006"
"","","","WARN-RED3ASTDMS-BULK","Intermediate","0.00378"
"","","","WARN-YLW3AS-X","Raw Material","0.0075"
"","","","WARN-BLCK3AS-X","Raw Material","0.0002"
"","","","HALL-BHB-X","Raw Material","0.005"
"","","","POWD-TDMS-","Raw Material","0.32787"
"","","","TALC-C-2KPD-X","Raw Material","0.25"
"","","","VITA-DL E-MS","Raw Material","0.0001"
"","","","AJID-ZN100-X","Raw Material","0.0001"
"","","","PARF-A5961-X","Raw Material","0.0005"
"","","","PEN-PRSVPE-X","Raw Material","0.008"
"","","","COSM-222--K","Raw Material","0.0024"
"","","","ACTI-ECTC-X","Raw Material","0.0001"
"","","","SUNS-PTX-X","Raw Material","0.03"
"","","","POWD-9701-","Raw Material","0.03"
"","","","SILI-SP105-X","Raw Material","0.07"
"","","","PEN-SENSC50-X","Raw Material","0.004"
"","","","UVIN-MC80-BASF","Raw Material","0.03"
"","","","AMH-LL-X","Raw Material","0.04"
"","","","TOSP-2000B-X","Raw Material","0.03"
"EC-RRYAG-BULK","5","100.0","VITA-B3PC-X","Raw Material","1.0"
"","","","EMUL-KF6017-X","Raw Material","2.0"
"","","","ACTI-ADPL-X","Raw Material","2.0"
"","","","SFTC-CC60-X","Raw Material","3.0"
"","","","SILI-4515-","Raw Material","3.0"
"","","","EMUL-KSG210-X","Raw Material","1.5"
"","","","EMUL-KSG710-X","Raw Material","1.0"
"","","","GLYC--ECOS-K","Raw Material","8.0"
"","","","ALAN--AK-K","Raw Material","0.1"
"","","","EDT-DSLV-X","Raw Material","0.05"
"","","","WAX-CTHRFL-X","Raw Material","0.75"
"","","","ACTI-RBN-X","Raw Material","0.5"
"","","","ACTI-SYTLA-X","Raw Material","0.5"
"","","","PENG-PHC-X","Raw Material","0.75"
"","","","MATR-3000-X","Raw Material","3.0"
"","","","ARMO-HD--K","Raw Material","8.0"
"","","","SILI-2005-DC-K","Raw Material","4.0"
"","","","AIR-RO--L","Raw Material","60.85"
"ES-CLPNB-01-BULK","1","1.0","WARN-S12YL--K","Raw Material","0.01"
"","","","WARN-GT0600--K","Raw Material","0.07905"
"","","","TALC-OSBRTPD-X","Raw Material","0.33745"
"","","","POWD-MCSLKDB-X","Raw Material","0.02"
"","","","WARN-CSW-9000S-K","Raw Material","0.17"
"","","","WARN-CLOG222--K","Raw Material","0.12"
"","","","PENG-PNX-X","Raw Material","0.008"
"","","","ZINC-STW-X","Raw Material","0.05"
"","","","COSM-222--K","Raw Material","0.05"
"","","","WARN-CLOGB--K","Raw Material","0.005"
"","","","WARN-TOA403-KF","Raw Material","0.0005"
"","","","CRO1-GTCC-","Raw Material","0.15"
"BO-CLPPCCC-BULK","30","1.0","ZINC-STW-X","Raw Material","0.03"
"","","","SERI-790-","Raw Material","0.4499"
"","","","WARN-GZ0075-X","Raw Material","0.0033"
"","","","POWD-MDMSP-X","Raw Material","0.3"
"","","","ZINC-M-KJZ10-K","Raw Material","0.04"
"","","","PENG-PNX-X","Raw Material","0.008"
"","","","WARN-C338--K","Raw Material","0.0081"
"","","","WARN-7712-","Raw Material","0.0057"
"","","","SILI-2005-DC-K","Raw Material","0.07"
"","","","POLY-M-MP27-K","Raw Material","0.055"
"","","","COSM-222--K","Raw Material","0.03"
"L-PVW01-BULK","3","1.0","AIR-RO--L","Raw Material","0.498"
"","","","SILI-4515-","Raw Material","0.075"
"","","","BENT-BGISDV-X","Raw Material","0.075"
"","","","COSM-43V--K","Raw Material","0.025"
"","","","VCIP---K","Raw Material","0.005"
"","","","PENG-SYM68-X","Raw Material","0.006"
"","","","ABIL-EM90-X","Raw Material","0.025"
"","","","PURO-IDD-X","Raw Material","0.0175"
"","","","TITA-OTS2CR50-","Raw Material","0.009"
"","","","WARN-C19012-DCR6-K","Raw Material","0.01125"
"","","","EMUL-IS34R-X","Raw Material","0.01"
"","","","EMUL-G50C-X","Raw Material","0.01"
"","","","THIC-RMGSO4-X","Raw Material","0.01"
"","","","PEN-PRSVPE-X","Raw Material","0.008"
"","","","WARN-CSR28-X","Raw Material","0.0075"
"","","","VITA-DL E-MS","Raw Material","0.005"
"","","","PARF-VMR-X","Raw Material","0.001"
"","","","WARN-C196619-R6-K","Raw Material","0.001"
"","","","ACTI-TINTT-X","Raw Material","0.001"
"","","","WARN-C394--K","Raw Material","0.00175"
"","","","WARN-C338--K","Raw Material","0.0015"
"","","","STB-TL-X","Raw Material","0.0005"
"","","","EDT-B--K","Raw Material","0.0005"
"","","","EUTA-G-X","Raw Material","0.0675"
"","","","BUTY--DAI1,3","Raw Material","0.05"
"","","","SILI-DCF-ID-X","Raw Material","0.05"
"","","","WARN-TPA502-X","Raw Material","0.028"
"ES-H-X","51","1.0","POLY-M-MP27-K","Raw Material","0.02"
"","","","POWD-MDMSP-X","Raw Material","0.25"
"","","","POWD-9701-","Raw Material","0.01"
"","","","TIT-CR50HD-X","Raw Material","0.0225"
"","","","ZINC-STW-X","Raw Material","0.02"
"","","","NT---K","Raw Material","0.03"
"","","","ASO--KB-K","Raw Material","0.03"
"","","","SERI-790-","Raw Material","0.359646"
"","","","WARN-FW108S-X","Raw Material","0.032"
"","","","WARN-TOA403-KF","Raw Material","0.065617"
"","","","PENG-PNX-X","Raw Material","0.008"
"","","","WARN-TE-A40BIOSC-K","Raw Material","0.009909"
"","","","WARN-A450-X","Raw Material","0.042118"
"","","","WARN-A407-X","Raw Material","0.04021"
"","","","SILI-2005-DC-K","Raw Material","0.06"
"ES-CLPNB-03-BULK","1","1.0","EUTA-G-X","Raw Material","0.035"
"","","","PENG-PNX-X","Raw Material","0.008"
"","","","MC3-300-SF","Raw Material","0.01"
"","","","WARN-CLOG222--K","Raw Material","0.12"
"","","","ZINC-STW-X","Raw Material","0.025"
"","","","POWD-GH52-X","Raw Material","0.18"
"","","","SFTC-CCS4-X","Raw Material","0.02"
"","","","SILI-2005-DC-K","Raw Material","0.055"
"","","","POWD-HTTS-X","Raw Material","0.22385"
"","","","COSM-168ARV-X","Raw Material","0.007"
"","","","WARN-CCCLOC--K","Raw Material","0.205"
"","","","WARN-CLOGB--K","Raw Material","0.09215"
"","","","WARN-CY--K","Raw Material","0.019"
"B-ESFBBLP-BULK","11","1.0","PLAS-P-D400-K","Raw Material","0.08"
"","","","KAOL-JP100-X","Raw Material","0.217"
"","","","SFTC-CC60-X","Raw Material","0.02"
"","","","CRO1-GTCC-","Raw Material","0.015"
"","","","SILD--SI5H52D-K","Raw Material","0.08"
"","","","PEN-PRSVPE-X","Raw Material","0.008"
"","","","POWD-9701-","Raw Material","0.22"
"","","","ZINC-M-KJZ10-K","Raw Material","0.03"
"","","","COVB-LH8-","Raw Material","0.01"
"","","","POWD-MDMSP-X","Raw Material","0.05"
"","","","CORN---K","Raw Material","0.27"
"FW-CFW-BULK","5","100.0","PARF-CTPSMOD-X","Raw Material","0.35"
"","","","ACTI-MGCS-X","Raw Material","0.001"
"","","","AIR-RO--L","Raw Material","14.398"
"","","","PEN-PRSVPE-X","Raw Material","0.8"
"","","","HUM-PG400-X","Raw Material","2.0"
"","","","ASAM-A-CAAH-K","Raw Material","0.25"
"","","","SEPI-SPMXZ-X","Raw Material","0.5"
"","","","ALAN--AK-K","Raw Material","0.1"
"","","","ACTI-ECTC-X","Raw Material","0.001"
"","","","EDT-B--K","Raw Material","0.1"
"","","","SURF-CPKOD-X","Raw Material","2.0"
"","","","AJID--NL-K","Raw Material","2.0"
"","","","EM-E3201M-X","Raw Material","3.0"
"","","","STA--C18-K","Raw Material","2.5"
"","","","LBRJ-IIXD-X","Raw Material","4.0"
"","","","SURF-CCAB-X","Raw Material","20.0"
"","","","EMUL-GMSNSE-X","Raw Material","6.0"
"","","","GLYC--ECOS-K","Raw Material","8.0"
"","","","SURF-DIAK-X","Raw Material","27.0"
"","","","PROP-PGESK-X","Raw Material","7.0"
"BO-SCS06-BULK","42","1.0","PENG-PNX-X","Raw Material","0.008"
"","","","WARN-FW108S-X","Raw Material","0.10925"
"","","","COSM-222--K","Raw Material","0.05"
"","","","WARN-RED3AS-X","Raw Material","0.076545"
"","","","TIT-CR50HD-X","Raw Material","0.08"
"","","","POWD-MDMSP-X","Raw Material","0.25"
"","","","ZINC-M-KJZ10-K","Raw Material","0.03"
"","","","WARN-YLW3AS-X","Raw Material","0.011813"
"","","","NT---K","Raw Material","0.04"
"","","","POLY-M-MP27-K","Raw Material","0.06"
"","","","SERI-790-","Raw Material","0.284392"
"TC-FC-MO-BULK","54","1.0","POWD-MCSLKDB-X","Raw Material","0.02"
"","","","SERI-790-","Raw Material","0.199067"
"","","","PENG-PNX-X","Raw Material","0.008"
"","","","SUNP-170-X","Raw Material","0.01"
"","","","COSM-222--K","Raw Material","0.04"
"","","","POWD-MDMSP-X","Raw Material","0.15"
"","","","COVB-LH8-","Raw Material","0.01"
"","","","MICA-FHSMLP-X","Raw Material","0.15"
"","","","SERI-SERFHS-X","Raw Material","0.15"
"","","","SILI-D2-TSFST-K","Raw Material","0.02"
"","","","POLY-M-MP27-K","Raw Material","0.03"
"","","","NT---K","Raw Material","0.02"
"","","","POWD-TDMS-","Raw Material","0.04"
"","","","WARN-YLW3AS-X","Raw Material","0.0345"
"","","","ACTI-VEAC-X","Raw Material","0.0001"
"","","","PARF-AMSKLG-X","Raw Material","0.0004"
"","","","SILD--SI5H52D-K","Raw Material","0.0075"
"","","","WARN-TE--PBULK","Intermediate","0.01078"
"","","","TIT-CR50HD-X","Raw Material","0.02"
"","","","WARN-C335138--K","Raw Material","0.043092"
"","","","WARN-TOA403-KF","Raw Material","0.036561"
"TC-PMW22-BULK","9","1.0","LAR-LICODDC-BULK","Intermediate","0.005"
"","","","WARN-YLW3AS-X","Raw Material","0.01274"
"","","","PEN-SENSC50-X","Raw Material","0.004"
"","","","ACTI-VEAC-X","Raw Material","0.0001"
"","","","PEN-PRSVPE-X","Raw Material","0.008"
"","","","WARN-BLCK3AS-X","Raw Material","0.0017"
"","","","COSM-168ARV-X","Raw Material","0.01"
"","","","WARN-RED3ASTDMS-BULK","Intermediate","0.0045"
"","","","ZINC-ZNOLYS-X","Raw Material","0.01"
"","","","SUNP-EPU-2X-X","Raw Material","0.01"
"","","","PARF-AMSKLG-X","Raw Material","0.0001"
"","","","EUTA-G-X","Raw Material","0.015"
"","","","ORGA-EXD-ARK","Raw Material","0.025"
"","","","IPM-CRDSG-X","Raw Material","0.035"
"","","","TITA-OTS2CR50-","Raw Material","0.065"
"","","","UVIN-MC80-BASF","Raw Material","0.04"
"","","","TIT-MT60S-X","Raw Material","0.02"
"","","","SILD--SI5H52D-K","Raw Material","0.04"
"","","","TALK-C-STJADAITO-K","Raw Material","0.33256"
"","","","TALC-C-2KPD-X","Raw Material","0.3613"
"BO-CLPPPML-BULK","29","1.0","WARN-FW108S-X","Raw Material","0.016"
"","","","POWD-MDMSP-X","Raw Material","0.24"
"","","","WARN-TE--PBULK","Intermediate","0.002429"
"","","","PENG-PNX-X","Raw Material","0.008"
"","","","COSM-222--K","Raw Material","0.02"
"","","","TIT-CR50HD-X","Raw Material","0.04"
"","","","SERI-790-","Raw Material","0.485415"
"","","","SILI-D2-TSFST-K","Raw Material","0.1"
"","","","WARN-YLW3AS-X","Raw Material","0.000143"
"","","","POLY-M-MP27-K","Raw Material","0.07"
"","","","WARN-GZ0075-X","Raw Material","0.004518"
"","","","WARN-RED3AS-X","Raw Material","0.013495"
"BO-SPS03-BULK","45","1.0","PENG-PNX-X","Raw Material","0.008"
"","","","WARN-GZ0075-X","Raw Material","0.0041"
"","","","WARN-RED3AS-X","Raw Material","0.0152"
"","","","COSM-222--K","Raw Material","0.02"
"","","","WARN-FW108S-X","Raw Material","0.035"
"","","","WARN-TE--PBULK","Intermediate","0.002"
"","","","POLY-M-MP27-K","Raw Material","0.07"
"","","","POWD-MDMSP-X","Raw Material","0.2"
"","","","SILI-DC21-","Raw Material","0.1"
"","","","SERI-790-","Raw Material","0.49755"
"","","","TIT-CR50HD-X","Raw Material","0.04815"
"BO-CLPPB-BULK","27","1.0","SILI-2005-DC-K","Raw Material","0.07"
"","","","WARN-GZ0075-X","Raw Material","0.000347"
"","","","POWD-MDMSP-X","Raw Material","0.2"
"","","","TIT-CR50HD-X","Raw Material","0.04"
"","","","WARN-7712-","Raw Material","0.004"
"","","","ZINC-M-KJZ10-K","Raw Material","0.03"
"","","","COSM-222--K","Raw Material","0.06"
"","","","PENG-PNX-X","Raw Material","0.008"
"","","","SERI-790-","Raw Material","0.37497"
"","","","WARN-YLW3AS-X","Raw Material","0.00945"
"","","","WARN-IRGLS-X","Raw Material","0.095"
"","","","ZINC-STW-X","Raw Material","0.0325"
"","","","WARN-RED3AS-X","Raw Material","0.007"
"","","","WARN-TOA403-KF","Raw Material","0.003733"
"","","","WARN-FW108S-X","Raw Material","0.065"
"BO-CLPCS-BULK","24","1.0","SERI-790-","Raw Material","0.381406"
"","","","WARN-RED3AS-X","Raw Material","0.024071"
"","","","WARN-GZ0075-X","Raw Material","0.000965"
"","","","PENG-PNX-X","Raw Material","0.008"
"","","","TIT-CR50HD-X","Raw Material","0.11"
"","","","POLY-M-MP27-K","Raw Material","0.05"
"","","","POWD-MDMSP-X","Raw Material","0.2"
"","","","COSM-222--K","Raw Material","0.02"
"","","","SILI-D2-TSFST-K","Raw Material","0.1"
"","","","WARN-FW108S-X","Raw Material","0.0475"
"","","","WARN-YLW3AS-X","Raw Material","0.014058"
"","","","WARN-CLOSG--K","Raw Material","0.042"
"","","","WARN-TOA403-KF","Raw Material","0.002"
"L-PVW03-BULK","4","1.0","SILI-4515-","Raw Material","0.075"
"","","","WARN-C394--K","Raw Material","0.0003"
"","","","TITA-OTS2CR50-","Raw Material","0.00065"
"","","","VCIP---K","Raw Material","0.005"
"","","","WARN-CSR28-X","Raw Material","0.01"
"","","","PEN-PRSVPE-X","Raw Material","0.008"
"","","","VITA-DL E-MS","Raw Material","0.005"
"","","","STB-TL-X","Raw Material","0.0005"
"","","","EMUL-G50C-X","Raw Material","0.01"
"","","","BENT-BGISDV-X","Raw Material","0.075"
"","","","EUTA-G-X","Raw Material","0.0675"
"","","","EDT-B--K","Raw Material","0.0005"
"","","","BUTY--DAI1,3","Raw Material","0.05"
"","","","WARN-C338--K","Raw Material","0.004"
"","","","AIR-RO--L","Raw Material","0.49795"
"","","","ABIL-EM90-X","Raw Material","0.025"
"","","","SILI-DCF-ID-X","Raw Material","0.05"
"","","","WARN-ABIO-X","Raw Material","0.0035"
"","","","WARN-C196619-R6-K","Raw Material","0.0026"
"","","","PENG-SYM68-X","Raw Material","0.006"
"","","","PURO-IDD-X","Raw Material","0.0175"
"","","","WARN-TPA502-X","Raw Material","0.016"
"","","","ACTI-TINTT-X","Raw Material","0.001"
"","","","EMUL-IS34R-X","Raw Material","0.01"
"","","","WARN-TOA403-KF","Raw Material","0.023"
"","","","PARF-VMR-X","Raw Material","0.001"
"","","","COSM-43V--K","Raw Material","0.025"
"","","","THIC-RMGSO4-X","Raw Material","0.01"
"ES-CLPPB-04-BULK","1","1.0","SERI-OT2SFSE-","Raw Material","0.4453"
"","","","HAIM-DIS-X","Raw Material","0.05"
"","","","POWD-HTTS-X","Raw Material","0.15"
"","","","PENG-PNX-X","Raw Material","0.008"
"","","","NT---K","Raw Material","0.03"
"","","","ZINC-M-KJZ10-K","Raw Material","0.02"
"","","","ORGA-EXD-ARK","Raw Material","0.02"
"","","","POWD-H53-X","Raw Material","0.02"
"","","","COVB-LH8-","Raw Material","0.02"
"","","","WARN-TOA403-KF","Raw Material","0.037"
"","","","WARN-TE--PBULK","Intermediate","0.012"
"","","","WARN-C335138--K","Raw Material","0.075"
"","","","WARN-C338--K","Raw Material","0.0252"
"","","","WARN-C19011-R7CL-K","Raw Material","0.04"
"","","","WARN-GZ0075-X","Raw Material","0.0475"
"S-CSPB01-BULK","FS.RND.QB002.00","1.0","GLYC--ECOS-K","Raw Material","0.09"
"","","","SILI-CES1104-X","Raw Material","0.03"
"","","","SQUA-AMYR-X","Raw Material","0.03"
"","","","ACTI-IVLNC-X","Raw Material","0.02"
"","","","AGF-9051-X","Raw Material","0.02"
"","","","ACTI-BTWH-X","Raw Material","0.01"
"","","","VITA-B3UPPC-X","Raw Material","0.1"
"","","","PENG-PHC-X","Raw Material","0.01"
"","","","ALAN-SL--X","Raw Material","0.0025"
"","","","PARF-CFLS-X","Raw Material","0.002"
"","","","EDT-B--K","Raw Material","0.001"
"","","","BIO-HYAL-BIL","Raw Material","0.0001"
"","","","ACTI-FPMG-X","Raw Material","0.0001"
"","","","VITC-VCE-X","Raw Material","0.0001"
"","","","EMUL-PMLEZU-X","Raw Material","0.004"
"","","","KOH--PH-K","Raw Material","0.00216"
"","","","AIR-RO--L","Raw Material","0.67804"
"M-CSGM01-BULK","FS.RND.QB001.00","1.0","AIR-RO--L","Raw Material","0.7504"
"","","","UVIN-MC80-BASF","Raw Material","0.075"
"","","","VITA-B3UPPC-X","Raw Material","0.05"
"","","","GLYC--ECOS-K","Raw Material","0.02"
"","","","ACTI-IVLNC-X","Raw Material","0.02"
"","","","EMUL-MTVT-X","Raw Material","0.015"
"","","","THIC-ARAVC-","Raw Material","0.012"
"","","","ACTI-BTWH-X","Raw Material","0.01"
"","","","PENG-PHC-X","Raw Material","0.01"
"","","","SUNS-PR340-X","Raw Material","0.01"
"","","","PARS-1789-","Raw Material","0.01"
"","","","AGF-9051-X","Raw Material","0.007"
"","","","ALAN-SL--X","Raw Material","0.005"
"","","","SAMP-CHERSN1-X","Raw Material","0.0035"
"","","","EDT-B--K","Raw Material","0.001"
"","","","BIO-HYAL-BIL","Raw Material","0.001"
"","","","ACTI-FPMG-X","Raw Material","0.0001"
"L-CM11-BULK","FS.RND.T0020.00","1.0","WARN-C19011-R7CL-K","Raw Material","0.00589"
"","","","WARN-C338--K","Raw Material","0.004348"
"","","","WARN-C335138--K","Raw Material","0.026293"
"","","","PARF-VMR-X","Raw Material","0.0001"
"","","","TITA-CROTS-X","Raw Material","0.026293"
"","","","NIPA-S--K","Raw Material","0.001"
"","","","WARN-TOA403-KF","Raw Material","0.008835"
"","","","WARN-C196619-R6-K","Raw Material","0.012641"
"","","","ACTI-VEAC-X","Raw Material","0.005"
"","","","SILS-034-X","Raw Material","0.055"
"","","","SILI-DC-PSFCS-X","Raw Material","0.08"
"","","","COSM-222--K","Raw Material","0.06"
"","","","PURO-IDD-X","Raw Material","0.1446"
"","","","BENT-BGVS5PC-X","Raw Material","0.38"
"","","","WAX-SBWX--X","Raw Material","0.045"
"","","","SILI-DCMQ1600-X","Raw Material","0.05"
"","","","DRYF-PC-X","Raw Material","0.04"
"","","","EMO-BRB2835-X","Raw Material","0.005"
"","","","BENT-BGISDV-X","Raw Material","0.04"
"","","","COVA--","Raw Material","0.01"
"ES-CLPPB-03-BULK","3","1.0","PENG-PNX-X","Raw Material","0.008"
"","","","POWD-HTTS-X","Raw Material","0.15"
"","","","SERI-OT2SFSE-","Raw Material","0.52935"
"","","","ZINC-M-KJZ10-K","Raw Material","0.02"
"","","","COVB-LH8-","Raw Material","0.02"
"","","","POWD-H53-X","Raw Material","0.02"
"","","","ORGA-EXD-ARK","Raw Material","0.02"
"","","","NT---K","Raw Material","0.03"
"","","","HAIM-DIS-X","Raw Material","0.05"
"","","","WARN-TOA403-KF","Raw Material","0.02565"
"","","","WARN-FW108S-X","Raw Material","0.01"
"","","","TITA-C-STCR5-K","Raw Material","0.01"
"","","","WARN-RED3AS-X","Raw Material","0.022"
"","","","WARN-GZ0075-X","Raw Material","0.01"
"","","","WARN-RK416-X","Raw Material","0.07"
"","","","WARN-TE--PBULK","Intermediate","0.005"
"EB-IPB3M01-BULK","6","1.0","WAX-CW--K","Raw Material","0.01"
"","","","POWD-H53-X","Raw Material","0.02"
"","","","CHOL-UNFP-X","Raw Material","0.02"
"","","","SILC-MKOL-X","Raw Material","0.03"
"","","","EMG-S65PSG-X","Raw Material","0.03"
"","","","SILI-DC-PSFCS-X","Raw Material","0.05"
"","","","REW-PIB-","Raw Material","0.03"
"","","","OLIV-900BT-X","Raw Material","0.05"
"","","","EMU-CDAJ-X","Raw Material","0.02"
"","","","THIC-TX85-X","Raw Material","0.015"
"","","","POL-TRTRY-X","Raw Material","0.01"
"","","","VITA-DL E-MS","Raw Material","0.005"
"","","","SILC-VM22A-X","Raw Material","0.01"
"","","","MWAX-SP19-X","Raw Material","0.01"
"","","","PEN-PRSVPE-X","Raw Material","0.008"
"","","","OIL-ARG-X","Raw Material","0.005"
"","","","TITA-OTS2CR50-","Raw Material","0.003741"
"","","","WARN-COSG--K","Raw Material","0.00208"
"","","","WARN-ABIO-X","Raw Material","0.01143"
"","","","PEN-SENSC50-X","Raw Material","0.004"
"","","","PURO-IDD-X","Raw Material","0.320995"
"","","","WARN-C335138--K","Raw Material","0.007272"
"","","","WARN-C338--K","Raw Material","0.007483"
"","","","BENT-TXID18-X","Raw Material","0.22"
"","","","SILI-DCF-ID-X","Raw Material","0.1"
"MZ-M1W1-BULK","FF.RND.W315.03","1.0","OIL-ORJVA-X","Raw Material","0.989"
"","","","BHT-CRTL-X","Raw Material","0.001"
"","","","PARF-EOMOD-X","Raw Material","0.01"
"TC-PMW30-BULK","9","1.0","TIT-MT60S-X","Raw Material","0.02"
"","","","EUTA-G-X","Raw Material","0.015"
"","","","WARN-RED3ASTDMS-BULK","Intermediate","0.0075"
"","","","SUNP-EPU-2X-X","Raw Material","0.01"
"","","","ZINC-ZNOLYS-X","Raw Material","0.01"
"","","","COSM-168ARV-X","Raw Material","0.01"
"","","","PEN-PRSVPE-X","Raw Material","0.008"
"","","","PEN-SENSC50-X","Raw Material","0.004"
"","","","PARF-AMSKLG-X","Raw Material","0.0001"
"","","","WARN-BLCK3AS-X","Raw Material","0.003207"
"","","","WARN-YLW3AS-X","Raw Material","0.0129"
"","","","ACTI-VEAC-X","Raw Material","0.0001"
"","","","LAR-LICODDC-BULK","Intermediate","0.005"
"","","","TALC-C-2KPD-X","Raw Material","0.355366"
"","","","TALK-C-STJADAITO-K","Raw Material","0.333827"
"","","","SILD--SI5H52D-K","Raw Material","0.04"
"","","","UVIN-MC80-BASF","Raw Material","0.04"
"","","","TITA-OTS2CR50-","Raw Material","0.065"
"","","","IPM-CRDSG-X","Raw Material","0.035"
"","","","ORGA-EXD-ARK","Raw Material","0.025"
"BO-CLCPE-BULK","FS.RND.T0042.00","1.0","OIL-OJJBIII-X","Raw Material","0.0006"
"","","","EXTR-ALVGE-X","Raw Material","0.005"
"","","","SILI-SFE-GE","Raw Material","0.1"
"","","","IPM-CRDSG-X","Raw Material","0.05"
"","","","CRLL-4-C-K","Raw Material","0.006"
"","","","SILI-1202-","Raw Material","0.015"
"","","","PEN-PRSVPE-X","Raw Material","0.008"
"","","","GARA-RFS-X","Raw Material","0.01"
"","","","ALAN--AK-K","Raw Material","0.001"
"","","","SILI-D5225F-X","Raw Material","0.15"
"","","","ASAM-A-CAAH-K","Raw Material","0.0025"
"","","","WAX-CTHRFL-X","Raw Material","0.0125"
"","","","PARF-AMSKLG-X","Raw Material","0.001"
"","","","WARN-K7054J-X","Raw Material","0.00013"
"","","","WARN-UNCO-X","Raw Material","0.0018"
"","","","BUTY--DAI1,3","Raw Material","0.02"
"","","","AIR-RO--L","Raw Material","0.58207"
"","","","AGF-9051-X","Raw Material","0.015"
"","","","SQUA-PRT-X","Raw Material","0.0194"
"L-IPMC02-BULK","6","1.0","WARN-ABIO-X","Raw Material","0.004858"
"","","","WARN-C196619-R6-K","Raw Material","0.009396"
"","","","TITA--3328EW-K","Raw Material","0.020331"
"","","","OIL-OJJBIII-X","Raw Material","0.001"
"","","","PARF-VMR-X","Raw Material","0.0005"
"","","","WARN-C19011-R7CL-K","Raw Material","0.069055"
"","","","SILI-SF15-X","Raw Material","0.035"
"","","","OIL-ORJVA-X","Raw Material","0.001"
"","","","OIL-AVSB-X","Raw Material","0.001"
"","","","EKS-GTLE-X","Raw Material","0.001"
"","","","ACTI-VEAC-X","Raw Material","0.001"
"","","","POWD-H53-X","Raw Material","0.03"
"","","","EXTR-STBGE-X","Raw Material","0.001"
"","","","SFT-S649-X","Raw Material","0.03"
"","","","WAX-JBW4F-X","Raw Material","0.04"
"","","","MC3-30-SF","Raw Material","0.04"
"","","","WAX-WOW2P-X","Raw Material","0.12"
"","","","SILI-BE6-X","Raw Material","0.27"
"","","","LAN-99-X","Raw Material","0.24285"
"","","","VCIP---K","Raw Material","0.001"
"","","","BHT-CRTL-X","Raw Material","0.001"
"","","","SILI-SP105-X","Raw Material","0.025"
"","","","EMU-LPNT-X","Raw Material","0.02"
"","","","SUCR-AC01-X","Raw Material","0.002"
"","","","PEN-SENSC50-X","Raw Material","0.004"
"","","","PEN-PRSVPE-X","Raw Material","0.008"
"","","","ARMO-HD--K","Raw Material","0.02"
"","","","EXTR-KFGLYEX-X","Raw Material","0.001"
