"Product Korporat Code","Reference","Quantity","BoM Lines/Product Template/Korporat Code","BoM Lines/Product Template/Material Type","BoM Lines/Quantity"
"","","","TRI--DOW-K","Raw Material","0.0004"
"","","","EMUL-NVMEC2PLM-X","Raw Material","0.004"
"","","","VITA-B3PC-X","Raw Material","0.0175"
"L-CUMKORD-BULK","16","1.0","VITA-DL E-MS","Raw Material","0.001"
"","","","PARF-VMR-X","Raw Material","0.0005"
"","","","POWD-H53-X","Raw Material","0.02"
"","","","CERE-810-","Raw Material","0.035"
"","","","WAX-WOW2P-X","Raw Material","0.11"
"","","","MC3-30-SF","Raw Material","0.04"
"","","","SILI-SF15-X","Raw Material","0.035"
"","","","EMU-LPNT-X","Raw Material","0.02"
"","","","ARMO-HD--K","Raw Material","0.02"
"","","","SFT-S649-X","Raw Material","0.03"
"","","","WARN-TOA403-KF","Raw Material","0.039213"
"","","","WARN-C338--K","Raw Material","0.062462"
"","","","WARN-C335138--K","Raw Material","0.018635"
"","","","WARN-C19012-DCR6-K","Raw Material","0.043689"
"","","","EMU-ISST-X","Raw Material","0.005"
"","","","PEN-PRSVPE-X","Raw Material","0.008"
"","","","PEN-SENSC50-X","Raw Material","0.004"
"","","","BHT-CRTL-X","Raw Material","0.001"
"","","","SILI-KSP1-X","Raw Material","0.02"
"","","","SILI-D9SEB-X","Raw Material","0.3"
"","","","SALA-99--K","Raw Material","0.1865"
"TC-PMW41-BULK","20","1.0","UVIN-MC80-BASF","Raw Material","0.04"
"","","","TALC-C-2KPD-X","Raw Material","0.349189"
"","","","ACTI-VEAC-X","Raw Material","0.0001"
"","","","LAR-LICODDC-BULK","Intermediate","0.005"
"","","","ZINC-ZNOLYS-X","Raw Material","0.01"
"","","","PEN-SENSC50-X","Raw Material","0.004"
"","","","PARF-AMSKLG-X","Raw Material","0.0001"
"","","","WARN-YLW3AS-X","Raw Material","0.019297"
"","","","EUTA-G-X","Raw Material","0.015"
"","","","TIT-MT60S-X","Raw Material","0.02"
"","","","ORGA-EXD-ARK","Raw Material","0.025"
"","","","WARN-RED3ASTDMS-BULK","Intermediate","0.011015"
"","","","WARN-BLCK3AS-X","Raw Material","0.003698"
"","","","IPM-CRDSG-X","Raw Material","0.035"
"","","","SILD--SI5H52D-K","Raw Material","0.04"
"","","","PEN-PRSVPE-X","Raw Material","0.008"
"","","","TALK-C-STJADAITO-K","Raw Material","0.329601"
"","","","SUNP-EPU-2X-X","Raw Material","0.01"
"","","","COSM-168ARV-X","Raw Material","0.01"
"","","","TITA-OTS2CR50-","Raw Material","0.065"
"F-LLF03-BULK","14","1.0","SILI-SP105-X","Raw Material","0.02"
"","","","TIT-CR50HD-X","Raw Material","0.0758575"
"","","","SILI-D5225F-X","Raw Material","0.15"
"","","","STEA-DSP300-X","Raw Material","0.005"
"","","","OLIV-900BT-X","Raw Material","0.005"
"","","","VITA-DL E-MS","Raw Material","0.005"
"","","","TOSP-2000B-X","Raw Material","0.005"
"","","","WARN-TE--PBULK","Intermediate","0.0018"
"","","","EDT-B--K","Raw Material","0.0002"
"","","","GLUZ-GLUZ-","Raw Material","0.001"
"","","","ALAN--AK-K","Raw Material","0.001"
"","","","POLY-M-MP27-K","Raw Material","0.02"
"","","","SILI-BLSDE-X","Raw Material","0.02"
"","","","SILI-556-DC-K","Raw Material","0.05"
"","","","PR-ZPRDL-X","Raw Material","0.06"
"","","","SILI-BE6-X","Raw Material","0.07"
"","","","VITA-B3PC-X","Raw Material","0.03"
"","","","SILI-1202-","Raw Material","0.05"
"","","","UVIN-MC80-BASF","Raw Material","0.05"
"","","","WARN-S12RN217--K","Raw Material","0.0045"
"","","","MOIS-TR100-X","Raw Material","0.015"
"","","","THIC-RMGSO4-X","Raw Material","0.008"
"","","","SILD--SI5H52D-K","Raw Material","0.005"
"","","","PEN-PRSVPE-X","Raw Material","0.008"
"","","","AIR-RO--L","Raw Material","0.3215925"
"","","","WARN-S12YL--K","Raw Material","0.01805"
"SRM-CSRO-BULK","FS.RND.W0056-VER.02","1.0","NT---K","Raw Material","0.19"
"","","","EMU-DBC-X","Raw Material","0.581239"
"","","","EMU-COE-X","Raw Material","0.095"
"","","","PARF-CTPSMOD-X","Raw Material","0.00225"
"","","","ACTI-RNV-X","Raw Material","0.0025"
"","","","ACTI-LTL-X","Raw Material","0.025"
"","","","EXTR-DB-","Raw Material","0.095"
"","","","PENG-PHC-X","Raw Material","0.003"
"","","","VITA-DL E-MS","Raw Material","0.004"
"","","","EMU-EPSR-X","Raw Material","0.001"
"","","","ACTI-RBN-X","Raw Material","0.001"
"","","","ACTI-ECTC-X","Raw Material","1e-05"
"","","","ACTI-MGCS-X","Raw Material","1e-06"
"M-CSAHG-BULK","FS.RND.W0299-VER.02","1.0","EDT-B--K","Raw Material","0.001"
"","","","ACTI-ECTC-X","Raw Material","0.003"
"","","","CARB--94022,68-K","Raw Material","0.0015"
"","","","SILI-2005-DC-K","Raw Material","0.005"
"","","","PENG-PNX-X","Raw Material","0.005"
"","","","MOIS-TR100-X","Raw Material","0.01"
"","","","PENG-CLRP-X","Raw Material","0.003"
"","","","CRIL-C1-CRO","Raw Material","0.002"
"","","","ACTI-MGCS-X","Raw Material","0.0015"
"","","","SODA-C-ASA","Raw Material","0.000675"
"","","","EMG-450-X","Raw Material","0.003"
"","","","ALAN--AK-K","Raw Material","0.002"
"","","","ACTI-HAOL-X","Raw Material","0.0001"
"","","","BIO-HYAL-BIL","Raw Material","0.0005"
"","","","ACTI-HYRP-X","Raw Material","0.001"
"","","","LAR-WMHTG-BULK","Intermediate","0.00012"
"","","","MATR-3000-X","Raw Material","0.03"
"","","","WARN-K-BULK","Intermediate","0.00024"
"","","","SILI-CES1104-X","Raw Material","0.055"
"","","","PARF-CTPSMOD-X","Raw Material","0.00025"
"","","","SILI-MCMA-X","Raw Material","0.04"
"","","","BUTY--DAI1,3","Raw Material","0.05"
"","","","THIC-ARAVC-","Raw Material","0.01"
"","","","FUCO-15PSLB-X","Raw Material","0.01"
"","","","EMU-DTC7-X","Raw Material","0.03"
"","","","GLYC--ECOS-K","Raw Material","0.02"
"","","","SILI-SFE-GE","Raw Material","0.006"
"","","","AIR-RO--L","Raw Material","0.709115"
"L-NLCB-BULK","FS.RND.T0098-VER.01","1.0","SUCR-AC01-X","Raw Material","0.073"
"","","","SILI-BEL803-X","Raw Material","0.07"
"","","","SILI-BDP-X","Raw Material","0.09"
"","","","BENT-BGVS5PC-X","Raw Material","0.24"
"","","","PURO-IDD-X","Raw Material","0.211699"
"","","","HAIM-DIS-X","Raw Material","0.0425"
"","","","BENT-BGISDV-X","Raw Material","0.04"
"","","","SILI-MCMA-X","Raw Material","0.04"
"","","","PARF-VMR-X","Raw Material","0.001"
"","","","VIT-ATCAT-X","Raw Material","0.001"
"","","","PEN-SENSC50-X","Raw Material","0.004"
"","","","PENG-NPGEHP-X","Raw Material","0.008"
"","","","WARN-TOA403-KF","Raw Material","0.022258"
"","","","TITA-OTS2CR50-","Raw Material","0.030917"
"","","","WARN-C19011-R7CL-K","Raw Material","0.004559"
"","","","WARN-C19012-DCR6-K","Raw Material","0.019981"
"","","","SILC-SP500LS-X","Raw Material","0.0375"
"","","","COVA--","Raw Material","0.0225"
"","","","POL-U151-X","Raw Material","0.02"
"","","","WARN-COGO--K","Raw Material","0.021086"
"B-CLCLPA-BULK","FS.RND.W0293.00","1.0","TALC-OSBRTPD-X","Raw Material","0.702606"
"","","","CORN---K","Raw Material","0.2"
"","","","TITA-C-STCR5-K","Raw Material","0.04"
"","","","SERI-GH202-X","Raw Material","0.02"
"","","","ZINC-STW-X","Raw Material","0.01"
"","","","PEN-PRSVPE-X","Raw Material","0.008"
"","","","SILI-2005-DC-K","Raw Material","0.005"
"","","","PEN-SENSC50-X","Raw Material","0.004"
"","","","ACTM-CTLA-X","Raw Material","0.0001"
"","","","PARF-AMSKLG-X","Raw Material","0.0001"
"","","","WARN-COGO--K","Raw Material","0.009448"
"","","","WARN-CLRG-X","Raw Material","0.000406"
"","","","WARN-ABIO-X","Raw Material","0.00034"
"B-CLCLPB-BULK","FS.RND.W0294.00","1.0","TALC-OSBRTPD-X","Raw Material","0.697785"
"","","","CORN---K","Raw Material","0.2"
"","","","TITA-C-STCR5-K","Raw Material","0.04"
"","","","SERI-GH202-X","Raw Material","0.02"
"","","","ZINC-STW-X","Raw Material","0.01"
"","","","PEN-PRSVPE-X","Raw Material","0.008"
"","","","SILI-2005-DC-K","Raw Material","0.005"
"","","","PEN-SENSC50-X","Raw Material","0.004"
"","","","ACTM-CTLA-X","Raw Material","0.0001"
"","","","PARF-AMSKLG-X","Raw Material","0.0001"
"","","","WARN-COGO--K","Raw Material","0.011053"
"","","","WARN-CLRG-X","Raw Material","0.002576"
"","","","WARN-ABIO-X","Raw Material","0.001386"
"BUT-W0O-BULK","FS.RND.W0329-VER.01","1.0","AIR-RO--L","Raw Material","0.61378"
"","","","BUTT-EBUSA-SBUR","Raw Material","0.1"
"","","","EMU-CTL8-X","Raw Material","0.075"
"","","","GLYC--ECOS-K","Raw Material","0.05"
"","","","ARLA-165--K","Raw Material","0.04"
"","","","STA--C18-K","Raw Material","0.03"
"","","","OIL-ORJVA-X","Raw Material","0.03"
"","","","CETY---K","Raw Material","0.015"
"","","","PARF-OLVALF2-X","Raw Material","0.008"
"","","","SILI-D2-TSFST-K","Raw Material","0.01"
"","","","PENG-PHC-X","Raw Material","0.01"
"","","","SQUA-AMYR-X","Raw Material","0.01"
"","","","THIC-CMDSP-X","Raw Material","0.004"
"","","","EDT-DSLV-X","Raw Material","0.001"
"","","","ACTI-TINTT-X","Raw Material","0.001"
"","","","ACTI-VEAC-X","Raw Material","0.001"
"","","","EMO-RFNJO-X","Raw Material","0.0001"
"","","","WARN-K-BULK","Intermediate","0.00097"
"","","","WARN-B-BULK","Intermediate","8e-05"
"","","","WARN-LT--BULK","Intermediate","7e-05"
"BUT-W0LG-BULK","FS.RND.W0330-VER.01","1.0","ACTI-VEAC-X","Raw Material","0.001"
"","","","ACTI-TINTT-X","Raw Material","0.001"
"","","","THIC-CMDSP-X","Raw Material","0.004"
"","","","EXTR-GNGGE-X","Raw Material","0.005"
"","","","EMO-RFNJO-X","Raw Material","0.0001"
"","","","EMU-CTL8-X","Raw Material","0.075"
"","","","BUTT-EBUSA-SBUR","Raw Material","0.1"
"","","","AIR-RO--L","Raw Material","0.59243"
"","","","WARN-B-BULK","Intermediate","7e-05"
"","","","SILI-D2-TSFST-K","Raw Material","0.01"
"","","","WARN-LT--BULK","Intermediate","0.0004"
"","","","EXTR-LDEP090-X","Raw Material","0.005"
"","","","CETY---K","Raw Material","0.015"
"","","","EDT-DSLV-X","Raw Material","0.001"
"","","","SQUA-AMYR-X","Raw Material","0.01"
"","","","GLYC--ECOS-K","Raw Material","0.05"
"","","","STA--C18-K","Raw Material","0.03"
"","","","PARF-LVDLVLY-X","Raw Material","0.02"
"","","","ARLA-165--K","Raw Material","0.04"
"","","","OIL-ORJVA-X","Raw Material","0.03"
"","","","PENG-PHC-X","Raw Material","0.01"
