"Korporat Code","Material Type","General Subcategory","Component FG/Korporat Code","Component FG/Material Type","Component FG/General Subcategory","Component REFILL/Korporat Code"
"PIP-ACSROSR0-W","Packaging Material","Regular","","","",""
"PARF-AV-97/1-K","Raw Material","","","","",""
"EXTR-AV-2034599-K","Raw Material","","","","",""
"PARF-AVHR15-X","Raw Material","","","","",""
"OIL-AVSB-X","Raw Material","","","","",""
"SILI-AXU3-X","Raw Material","","","","",""
"ACTI-AZCLR-X","Raw Material","","","","",""
"BHT-CRTL-X","Raw Material","","","","",""
"WARN-BBO12-X","Raw Material","","","","",""
"A-BBRSA130-X","Raw Material","","","","",""
"CLAY-BERA661-X","Raw Material","","","","",""
"BB-BBC-BULK","Semi Finished Goods","Bulk","","","",""
"BB-BBN1C-BD","Finished Goods","Sellable","BB-BBC-BULK","Semi Finished Goods","Bulk",""
"BB-BBA-BULK","Semi Finished Goods","Bulk","","","",""
"BB-BBN1A-BD","Finished Goods","Sellable","BB-BBA-BULK","Semi Finished Goods","Bulk",""
"BB-BBD-BULK","Semi Finished Goods","Bulk","","","",""
"BB-BBN1D-BD","Finished Goods","Sellable","BB-BBD-BULK","Semi Finished Goods","Bulk",""
"BO-W1A-01 BULK","Semi Finished Goods","Bulk","","","",""
"BO-W1A-02 BULK","Semi Finished Goods","Bulk","","","",""
"BO-W1B-01 BULK","Semi Finished Goods","Bulk","","","",""
"BO-W1B-02 BULK","Semi Finished Goods","Bulk","","","",""
"BO-W1C-01-BULK","Semi Finished Goods","Bulk","","","",""
"BO-W1C-02 BULK","Semi Finished Goods","Bulk","","","",""
"BO-W0D-01 BULK","Semi Finished Goods","Bulk","","","",""
"BO-W0D-02 BULK","Semi Finished Goods","Bulk","","","",""
"BOTP-CCA10150-IX","Intermediate","Intermediate Pack","","","",""
"BOTP-CCA20150-IX","Intermediate","Intermediate Pack","","","",""
"BOTP-CCA30150-IX","Intermediate","Intermediate Pack","","","",""
"BOTP-CCA40150-IX","Intermediate","Intermediate Pack","","","",""
"BOTP-ERBSAS30-T","Intermediate","Intermediate Pack","","","",""
"BOTP-NZASS30-T","Intermediate","Intermediate Pack","","","",""
"BOTP-PBSCMBS30-T","Intermediate","Intermediate Pack","","","",""
