Kode Unik,Factory,Kode Item,Kode Bulk,MPQ Olah,MPQ Kemas,% Fase,Rumus Bulk,MPQ Supply,W21/2023,W22/2023,W23/2023,W24/2023,W25/2023,W26/2023,W27/2023,W28/2023,W29/2023,W30/2023,W31/2023,W32/2023,W33/2023,W34/2023,W35/2023,W36/2023,W37/2023,W38/2023,W39/2023,W40/2023,W41/2023,W42/2023,W43/2023,W44/2023,W45/2023,W46/2023,W47/2023,W48/2023,W49/2023,W50/2023,W51/2023,W52/2023,W01/2024,W02/2024,W03/2024,W04/2024,W05/2024,W06/2024,W07/2024,W08/2024,W09/2024,W10/2024,W11/2024,W12/2024,W13/2024,W14/2024,W15/2024,W16/2024,W17/2024,W18/2024,W19/2024,W20/2024,W21/2024,W22/2024,W23/2024,W24/2024,W25/2024,W26/2024,W27/2024,W28/2024,W29/2024,W30/2024,W31/2024,W32/2024,W33/2024,W34/2024,W35/2024,W36/2024,Kode Formula
BP-SPCE-W35ML/BP-SPCE-BULK,Liquid factory,BP-SPCE-W35ML,BP-SPCE-BULK,300,"7,557",1,BP-SPCE-BULK/1,7557,7336,0,0,0,0,0,0,7336,0,0,0,0,0,0,7336,0,0,0,0,0,0,7336,0,0,0,0,0,0,7336,0,0,0,0,0,7336,0,0,0,0,0,0,7336,0,0,0,0,0,0,7336,0,0,0,0,0,7336,0,0,0,0,0,0,7336,0,0,0,0,0,0,BP-SPCE-BULK/2
BP-SPNBM-W100ML/BP-SPNBM-BULK,Liquid factory,BP-SPNBM-W100ML,BP-SPNBM-BULK,1000,"9,554",1,BP-SPNBM-BULK/1,9554,0,0,0,0,9275,0,0,0,0,0,9275,0,0,0,0,0,0,9275,0,0,0,0,0,9275,0,0,0,0,0,0,9275,0,0,0,0,0,9275,0,0,0,0,0,9275,0,0,0,0,0,0,9275,0,0,0,0,0,9275,0,0,0,0,0,0,9275,0,0,0,0,0,BP-SPNBM-BULK/3
BP-SPNE-W35ML/BP-SPNE-BULK,Liquid factory,BP-SPNE-W35ML,BP-SPNE-BULK,300,"7,638",1,BP-SPNE-BULK/1,7638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7415,0,0,0,0,0,0,0,0,0,7415,0,0,0,0,0,0,0,0,0,7415,0,0,0,0,0,0,0,0,7415,0,0,0,0,0,0,0,0,0,7415,0,0,0,0,0,0,0,0,0,BP-SPNE-BULK/3
BP-SPRBM-W100ML/BP-SPRBM-BULK,Liquid factory,BP-SPRBM-W100ML,BP-SPRBM-BULK,1000,"9,605",1,BP-SPRBM-BULK/1,9605,0,9325,0,0,9325,0,0,9325,0,9325,0,0,9325,0,9325,0,9325,0,0,9325,0,9325,0,0,9325,0,9325,0,0,9325,0,9325,0,0,9325,0,9325,0,9325,0,0,9325,0,9325,0,0,9325,0,9325,0,0,9325,0,9325,0,0,9325,0,9325,0,9325,0,0,9325,0,0,0,0,BP-SPRBM-BULK/2
BP-SPRE-W35ML/BP-SPRE-BULK,Liquid factory,BP-SPRE-W35ML,BP-SPRE-BULK,300,"7,673",1,BP-SPRE-BULK/1,7673,7449,0,0,0,0,0,7449,0,0,0,7449,0,0,0,0,7449,0,0,0,0,7449,0,0,0,0,7449,0,0,0,7449,0,0,0,0,7449,0,0,0,0,7449,0,0,0,7449,0,0,0,0,7449,0,0,0,0,7449,0,0,0,0,7449,0,0,0,7449,0,0,0,0,0,BP-SPRE-BULK/2
BP-WSEDT-KA/BP-WSEDT-BULK,Liquid factory,BP-WSEDT-KA,BP-WSEDT-BULK,200,"5,295",1,BP-WSEDT-BULK/2,5295,5140,0,5140,5140,0,5140,0,5140,0,5140,0,5140,5140,0,5140,0,5140,5140,0,5140,0,5140,0,5140,0,5140,0,5140,0,5140,5140,0,5140,0,5140,0,5140,0,5140,0,5140,0,5140,0,5140,0,5140,0,5140,0,5140,0,5140,0,5140,0,5140,0,5140,0,5140,0,5140,0,5140,0,0,0,BP-WSEDT-BULK/2
BRO-RNBO-KA/BRO-RNBO-BULK,Liquid factory,BRO-RNBO-KA,BRO-RNBO-BULK,30,690,1,BRO-RNBO-BULK/1,690,666,0,0,0,0,0,0,0,0,0,0,0,0,666,0,666,0,666,0,666,0,0,666,0,666,0,666,0,666,0,0,666,0,666,0,666,0,666,0,0,666,0,666,0,666,0,666,0,666,0,0,666,0,666,0,666,0,666,0,0,666,0,0,666,0,0,666,0,BRO-RNBO-BULK/1
BUT-W0LG-W50ML/BUT-W0LG-BULK,Liquid factory,BUT-W0LG-W50ML,BUT-W0LG-BULK,200,"3,791",1,BUT-W0LG-BULK/1,3791,0,3680,0,0,0,0,0,0,0,0,0,0,3680,0,0,0,0,0,0,0,0,0,0,3680,0,0,0,0,0,0,0,0,0,3680,0,0,0,0,0,0,0,0,0,3680,0,0,0,0,0,0,0,0,0,0,3680,0,0,0,0,0,0,0,0,0,3680,0,0,0,BUT-W0LG-BULK/FS.RND.W0330-VER.01
BUT-W0MP-W50ML/BUT-W0MP-BULK,Liquid factory,BUT-W0MP-W50ML,BUT-W0MP-BULK,200,"3,890",1,BUT-W0MP-BULK/1,3890,0,0,0,0,3776,0,0,0,0,0,3776,0,0,0,0,0,3776,0,0,0,0,3776,0,0,0,0,0,3776,0,0,0,0,0,3776,0,0,0,0,0,3776,0,0,0,0,0,0,3776,0,0,0,0,0,3776,0,0,0,0,0,0,3776,0,0,0,0,0,0,0,3776,BUT-W0MP-BULK/FF.RND.W030.09
BUT-W0O-W50ML/BUT-W0O-BULK,Liquid factory,BUT-W0O-W50ML,BUT-W0O-BULK,200,"3,626",1,BUT-W0O-BULK/1,3626,0,3520,0,0,0,0,0,0,0,0,3520,0,0,0,0,0,0,0,3520,0,0,0,0,0,0,0,3520,0,0,0,0,0,0,0,3520,0,0,0,0,0,0,0,3520,0,0,0,0,0,0,0,3520,0,0,0,0,0,0,0,3520,0,0,0,0,0,0,0,0,0,BUT-W0O-BULK/FS.RND.W0329-VER.01
BUT-W0P-W50ML/BUT-W0P-BULK,Liquid factory,BUT-W0P-W50ML,BUT-W0P-BULK,200,"3,890",1,BUT-W0P-BULK/1,3890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3776,0,0,0,0,0,0,0,0,0,3776,0,0,0,0,0,0,0,0,3776,0,0,0,0,0,0,0,0,0,3776,0,0,0,0,0,0,0,0,0,3776,0,0,0,0,0,0,0,0,0,0,0,0,BUT-W0P-BULK/37
BUT-W0R-W50ML/BUT-W0R-BULK,Liquid factory,BUT-W0R-W50ML,BUT-W0R-BULK,150,"2,756",1,BUT-W0R-BULK/1,2756,0,0,0,0,0,2656,0,0,0,0,0,0,2656,0,0,0,0,0,0,2656,0,0,0,0,0,0,2656,0,0,0,0,0,0,0,2656,0,0,0,0,0,0,2656,0,0,0,0,0,0,2656,0,0,0,0,0,0,0,2656,0,0,0,0,0,0,2656,0,0,0,0,BUT-W0R-BULK/39
