Kode Unik,Korporat Code Bulk,Korporat Code Material,Material Type,Quantity
SRM-CAB-BULK/FS.RND.W0054-VER.03,SRM-CAB-BULK,TRI--DOW-K,Raw Material,0.0004
SRM-CAB-BULK/FS.RND.W0054-VER.03,SRM-CAB-BULK,EMUL-NVMEC2PLM-X,Raw Material,0.004
SRM-CAB-BULK/FS.RND.W0054-VER.03,SRM-CAB-BULK,VITA-B3PC-X,Raw Material,0.0175
TC-PMW41-BULK/20,TC-PMW41-BULK,UVIN-MC80-BASF,Raw Material,0.04
TC-PMW41-BULK/20,TC-PMW41-BULK,TALC-C-2KPD-X,Raw Material,0.349189
TC-PMW41-BULK/20,TC-PMW41-BULK,ACTI-VEAC-X,Raw Material,0.0001
TC-PMW41-BULK/20,TC-PMW41-BULK,LAR-LICODDC-BULK,Intermediate,0.005
TC-PMW41-BULK/20,TC-PMW41-BULK,ZINC-ZNOLYS-X,Raw Material,0.01
TC-PMW41-BULK/20,TC-PMW41-BULK,PEN-SENSC50-X,Raw Material,0.004
TC-PMW41-BULK/20,TC-PMW41-BULK,PARF-AMSKLG-X,Raw Material,0.0001
TC-PMW41-BULK/20,TC-PMW41-BULK,WARN-YLW3AS-X,Raw Material,0.019297
TC-PMW41-BULK/20,TC-PMW41-BULK,EUTA-G-X,Raw Material,0.015
TC-PMW41-BULK/20,TC-PMW41-BULK,TIT-MT60S-X,Raw Material,0.02
TC-PMW41-BULK/20,TC-PMW41-BULK,ORGA-EXD-ARK,Raw Material,0.025
TC-PMW41-BULK/20,TC-PMW41-BULK,WARN-RED3ASTDMS-BULK,Intermediate,0.011015
TC-PMW41-BULK/20,TC-PMW41-BULK,WARN-BLCK3AS-X,Raw Material,0.003698
TC-PMW41-BULK/20,TC-PMW41-BULK,IPM-CRDSG-X,Raw Material,0.035
TC-PMW41-BULK/20,TC-PMW41-BULK,SILD--SI5H52D-K,Raw Material,0.04
TC-PMW41-BULK/20,TC-PMW41-BULK,PEN-PRSVPE-X,Raw Material,0.008
TC-PMW41-BULK/20,TC-PMW41-BULK,TALK-C-STJADAITO-K,Raw Material,0.329601
TC-PMW41-BULK/20,TC-PMW41-BULK,SUNP-EPU-2X-X,Raw Material,0.01
TC-PMW41-BULK/20,TC-PMW41-BULK,COSM-168ARV-X,Raw Material,0.01
TC-PMW41-BULK/20,TC-PMW41-BULK,TITA-OTS2CR50-,Raw Material,0.065
SRM-CSRO-BULK/FS.RND.W0056-VER.02,SRM-CSRO-BULK,NT---K,Raw Material,0.19
SRM-CSRO-BULK/FS.RND.W0056-VER.02,SRM-CSRO-BULK,EMU-DBC-X,Raw Material,0.581239
SRM-CSRO-BULK/FS.RND.W0056-VER.02,SRM-CSRO-BULK,EMU-COE-X,Raw Material,0.095
SRM-CSRO-BULK/FS.RND.W0056-VER.02,SRM-CSRO-BULK,PARF-CTPSMOD-X,Raw Material,0.00225
SRM-CSRO-BULK/FS.RND.W0056-VER.02,SRM-CSRO-BULK,ACTI-RNV-X,Raw Material,0.0025
SRM-CSRO-BULK/FS.RND.W0056-VER.02,SRM-CSRO-BULK,ACTI-LTL-X,Raw Material,0.025
SRM-CSRO-BULK/FS.RND.W0056-VER.02,SRM-CSRO-BULK,EXTR-DB-,Raw Material,0.095
SRM-CSRO-BULK/FS.RND.W0056-VER.02,SRM-CSRO-BULK,PENG-PHC-X,Raw Material,0.003
SRM-CSRO-BULK/FS.RND.W0056-VER.02,SRM-CSRO-BULK,VITA-DL E-MS,Raw Material,0.004
SRM-CSRO-BULK/FS.RND.W0056-VER.02,SRM-CSRO-BULK,EMU-EPSR-X,Raw Material,0.001
SRM-CSRO-BULK/FS.RND.W0056-VER.02,SRM-CSRO-BULK,ACTI-RBN-X,Raw Material,0.001
SRM-CSRO-BULK/FS.RND.W0056-VER.02,SRM-CSRO-BULK,ACTI-ECTC-X,Raw Material,0.00001
SRM-CSRO-BULK/FS.RND.W0056-VER.02,SRM-CSRO-BULK,ACTI-MGCS-X,Raw Material,0.000001
M-CSAHG-BULK/FS.RND.W0299-VER.02,M-CSAHG-BULK,EDT-B--K,Raw Material,0.001
M-CSAHG-BULK/FS.RND.W0299-VER.02,M-CSAHG-BULK,ACTI-ECTC-X,Raw Material,0.003
M-CSAHG-BULK/FS.RND.W0299-VER.02,M-CSAHG-BULK,"CARB--94022,68-K",Raw Material,0.0015
M-CSAHG-BULK/FS.RND.W0299-VER.02,M-CSAHG-BULK,SILI-2005-DC-K,Raw Material,0.005
M-CSAHG-BULK/FS.RND.W0299-VER.02,M-CSAHG-BULK,PENG-PNX-X,Raw Material,0.005
M-CSAHG-BULK/FS.RND.W0299-VER.02,M-CSAHG-BULK,MOIS-TR100-X,Raw Material,0.01
M-CSAHG-BULK/FS.RND.W0299-VER.02,M-CSAHG-BULK,PENG-CLRP-X,Raw Material,0.003
M-CSAHG-BULK/FS.RND.W0299-VER.02,M-CSAHG-BULK,CRIL-C1-CRO,Raw Material,0.002
M-CSAHG-BULK/FS.RND.W0299-VER.02,M-CSAHG-BULK,ACTI-MGCS-X,Raw Material,0.0015
M-CSAHG-BULK/FS.RND.W0299-VER.02,M-CSAHG-BULK,SODA-C-ASA,Raw Material,0.000675
M-CSAHG-BULK/FS.RND.W0299-VER.02,M-CSAHG-BULK,EMG-450-X,Raw Material,0.003
M-CSAHG-BULK/FS.RND.W0299-VER.02,M-CSAHG-BULK,ALAN--AK-K,Raw Material,0.002
M-CSAHG-BULK/FS.RND.W0299-VER.02,M-CSAHG-BULK,ACTI-HAOL-X,Raw Material,0.0001
M-CSAHG-BULK/FS.RND.W0299-VER.02,M-CSAHG-BULK,BIO-HYAL-BIL,Raw Material,0.0005
M-CSAHG-BULK/FS.RND.W0299-VER.02,M-CSAHG-BULK,ACTI-HYRP-X,Raw Material,0.001
M-CSAHG-BULK/FS.RND.W0299-VER.02,M-CSAHG-BULK,LAR-WMHTG-BULK,Intermediate,0.00012
M-CSAHG-BULK/FS.RND.W0299-VER.02,M-CSAHG-BULK,MATR-3000-X,Raw Material,0.03
M-CSAHG-BULK/FS.RND.W0299-VER.02,M-CSAHG-BULK,WARN-K-BULK,Intermediate,0.00024
M-CSAHG-BULK/FS.RND.W0299-VER.02,M-CSAHG-BULK,SILI-CES1104-X,Raw Material,0.055
M-CSAHG-BULK/FS.RND.W0299-VER.02,M-CSAHG-BULK,PARF-CTPSMOD-X,Raw Material,0.00025
M-CSAHG-BULK/FS.RND.W0299-VER.02,M-CSAHG-BULK,SILI-MCMA-X,Raw Material,0.04
M-CSAHG-BULK/FS.RND.W0299-VER.02,M-CSAHG-BULK,"BUTY--DAI1,3",Raw Material,0.05
M-CSAHG-BULK/FS.RND.W0299-VER.02,M-CSAHG-BULK,THIC-ARAVC-,Raw Material,0.01
M-CSAHG-BULK/FS.RND.W0299-VER.02,M-CSAHG-BULK,FUCO-15PSLB-X,Raw Material,0.01
M-CSAHG-BULK/FS.RND.W0299-VER.02,M-CSAHG-BULK,EMU-DTC7-X,Raw Material,0.03
M-CSAHG-BULK/FS.RND.W0299-VER.02,M-CSAHG-BULK,GLYC--ECOS-K,Raw Material,0.02
M-CSAHG-BULK/FS.RND.W0299-VER.02,M-CSAHG-BULK,SILI-SFE-GE,Raw Material,0.006
M-CSAHG-BULK/FS.RND.W0299-VER.02,M-CSAHG-BULK,AIR-RO--L,Raw Material,0.709115
L-NLCB-BULK/FS.RND.T0098-VER.01,L-NLCB-BULK,SUCR-AC01-X,Raw Material,0.073
L-NLCB-BULK/FS.RND.T0098-VER.01,L-NLCB-BULK,SILI-BEL803-X,Raw Material,0.07
L-NLCB-BULK/FS.RND.T0098-VER.01,L-NLCB-BULK,SILI-BDP-X,Raw Material,0.09
L-NLCB-BULK/FS.RND.T0098-VER.01,L-NLCB-BULK,BENT-BGVS5PC-X,Raw Material,0.24
L-NLCB-BULK/FS.RND.T0098-VER.01,L-NLCB-BULK,PURO-IDD-X,Raw Material,0.211699
L-NLCB-BULK/FS.RND.T0098-VER.01,L-NLCB-BULK,HAIM-DIS-X,Raw Material,0.0425
L-NLCB-BULK/FS.RND.T0098-VER.01,L-NLCB-BULK,BENT-BGISDV-X,Raw Material,0.04
L-NLCB-BULK/FS.RND.T0098-VER.01,L-NLCB-BULK,SILI-MCMA-X,Raw Material,0.04
L-NLCB-BULK/FS.RND.T0098-VER.01,L-NLCB-BULK,PARF-VMR-X,Raw Material,0.001
L-NLCB-BULK/FS.RND.T0098-VER.01,L-NLCB-BULK,VIT-ATCAT-X,Raw Material,0.001
L-NLCB-BULK/FS.RND.T0098-VER.01,L-NLCB-BULK,PEN-SENSC50-X,Raw Material,0.004
L-NLCB-BULK/FS.RND.T0098-VER.01,L-NLCB-BULK,PENG-NPGEHP-X,Raw Material,0.008
L-NLCB-BULK/FS.RND.T0098-VER.01,L-NLCB-BULK,WARN-TOA403-KF,Raw Material,0.022258
L-NLCB-BULK/FS.RND.T0098-VER.01,L-NLCB-BULK,TITA-OTS2CR50-,Raw Material,0.030917
L-NLCB-BULK/FS.RND.T0098-VER.01,L-NLCB-BULK,WARN-C19011-R7CL-K,Raw Material,0.004559
L-NLCB-BULK/FS.RND.T0098-VER.01,L-NLCB-BULK,WARN-C19012-DCR6-K,Raw Material,0.019981
L-NLCB-BULK/FS.RND.T0098-VER.01,L-NLCB-BULK,SILC-SP500LS-X,Raw Material,0.0375
L-NLCB-BULK/FS.RND.T0098-VER.01,L-NLCB-BULK,SILC-AERSLR-X,Raw Material,0.0225
L-NLCB-BULK/FS.RND.T0098-VER.01,L-NLCB-BULK,POL-U151-X,Raw Material,0.02
L-NLCB-BULK/FS.RND.T0098-VER.01,L-NLCB-BULK,WARN-COGO--K,Raw Material,0.021086
B-CLCLPA-BULK/FS.RND.W0293.00,B-CLCLPA-BULK,TALC-OSBRTPD-X,Raw Material,0.702606
B-CLCLPA-BULK/FS.RND.W0293.00,B-CLCLPA-BULK,CORN-SUNAR-X,Raw Material,0.2
B-CLCLPA-BULK/FS.RND.W0293.00,B-CLCLPA-BULK,TITA-C-STCR5-K,Raw Material,0.04
B-CLCLPA-BULK/FS.RND.W0293.00,B-CLCLPA-BULK,SERI-S-D-K,Raw Material,0.02
B-CLCLPA-BULK/FS.RND.W0293.00,B-CLCLPA-BULK,ZINC-STW-X,Raw Material,0.01
B-CLCLPA-BULK/FS.RND.W0293.00,B-CLCLPA-BULK,PEN-PRSVPE-X,Raw Material,0.008
B-CLCLPA-BULK/FS.RND.W0293.00,B-CLCLPA-BULK,SILI-2005-DC-K,Raw Material,0.005
B-CLCLPA-BULK/FS.RND.W0293.00,B-CLCLPA-BULK,PEN-SENSC50-X,Raw Material,0.004
B-CLCLPA-BULK/FS.RND.W0293.00,B-CLCLPA-BULK,ACTM-CTLA-X,Raw Material,0.0001
B-CLCLPA-BULK/FS.RND.W0293.00,B-CLCLPA-BULK,PARF-AMSKLG-X,Raw Material,0.0001
B-CLCLPA-BULK/FS.RND.W0293.00,B-CLCLPA-BULK,WARN-COGO--K,Raw Material,0.009448
