Kode,Kode Unik,Product Korporat Code,BoM Lines/Product Template/Korporat Code,BoM Lines/Product Template/Material Type,BoM Lines/Quantity,,BULK,Cek Bahan Antara,Bahan Antara
WARN-RED3ASTDMS-BULK,WARN-RED3ASTDMS-BULK/,WARN-RED3ASTDMS-BULK,WARN-RED3AS-X,Raw Material,0.500000,,,,WARN-RED3ASTDMS-BULK
WARN-SI217TDMS-BULK,WARN-SI217TDMS-BULK/,WARN-SI217TDMS-BULK,POWD-TDMS-,Raw Material,0.500000,,,,WARN-SI217TDMS-BULK
WARN-SI217TDMS-BULK,WARN-SI217TDMS-BULK/,WARN-SI217TDMS-BULK,WARN-S12RN217--K,Raw Material,0.500000,,,,WARN-SI217TDMS-BULK
WARN-TE--PBULK,WARN-TE--PBULK/,WARN-TE--PBULK,WARN-TE-A40BIOSC-K,Raw Material,1.000000,,,,WARN-TE--PBULK
WARN-TETDMS-BULK,WARN-TETDMS-BULK/,WARN-TETDMS-BULK,POWD-TDMS-,Raw Material,0.500000,,,,WARN-TETDMS-BULK
WARN-TETDMS-BULK,WARN-TETDMS-BULK/,WARN-TETDMS-BULK,WARN-TE-A40BIOSC-K,Raw Material,0.500000,,,,WARN-TETDMS-BULK
WARN-TPA502CB-BULK,WARN-TPA502CB-BULK/,WARN-TPA502CB-BULK,EMU-PS-,Raw Material,0.440000,,,,WARN-TPA502CB-BULK
WARN-TPA502CB-BULK,WARN-TPA502CB-BULK/,WARN-TPA502CB-BULK,COSM-222--K,Raw Material,0.220000,,,,WARN-TPA502CB-BULK
WARN-TPA502CB-BULK,WARN-TPA502CB-BULK/,WARN-TPA502CB-BULK,CERE-810-,Raw Material,0.030000,,,,WARN-TPA502CB-BULK
WARN-TPA502CB-BULK,WARN-TPA502CB-BULK/,WARN-TPA502CB-BULK,STEA-DSP300-X,Raw Material,0.010000,,,,WARN-TPA502CB-BULK
WARN-TPA502CB-BULK,WARN-TPA502CB-BULK/,WARN-TPA502CB-BULK,WARN-TPA502-X,Raw Material,0.300000,,,,WARN-TPA502CB-BULK
LAR-SF30-BULK,LAR-SF30-BULK/,LAR-SF30-BULK,SODA-C-ASA,Raw Material,0.300000,,,,LAR-SF30-BULK
LAR-KOH30%-BULK,LAR-KOH30%-BULK/,LAR-KOH30%-BULK,KOH--PH-K,Raw Material,0.300000,,,,LAR-KOH30%-BULK
WARN-CB338073-BULK,WARN-CB338073-BULK/,WARN-CB338073-BULK,WARN-C338--K,Raw Material,0.529570,,,,WARN-CB338073-BULK
WARN-CB338073-BULK,WARN-CB338073-BULK/,WARN-CB338073-BULK,HAIM-DIS-X,Raw Material,0.417480,,,,WARN-CB338073-BULK
WARN-CB338073-BULK,WARN-CB338073-BULK/,WARN-CB338073-BULK,STEA-DSP300-X,Raw Material,0.052960,,,,WARN-CB338073-BULK
WARN-CBBLKAIO-BULK,WARN-CBBLKAIO-BULK/,WARN-CBBLKAIO-BULK,EMO-SLCHS-X,Raw Material,0.050800,,,,WARN-CBBLKAIO-BULK
WARN-CBBLKAIO-BULK,WARN-CBBLKAIO-BULK/,WARN-CBBLKAIO-BULK,HAIM-DIS-X,Raw Material,0.313600,,,,WARN-CBBLKAIO-BULK
WARN-CBBLKAIO-BULK,WARN-CBBLKAIO-BULK/,WARN-CBBLKAIO-BULK,WARN-ABIO-X,Raw Material,0.635600,,,,WARN-CBBLKAIO-BULK
