Kode,Kode Unik,Product Korporat Code,BoM Lines/Product Template/Korporat Code,BoM Lines/Product Template/Material Type,BoM Lines/Quantity,,BULK,Cek Bahan Antara,Bahan Antara
SRM-RWSPTEN1-W/SRM-RWSPTE-BULK,SRM-RWSPTE-BULK/Reference 5,SRM-RWSPTE-BULK,GLYC--ECOS-K,Raw Material,0.001250,,SRM-RWSPTEN1-W/SRM-RWSPTE-BULK,,
SRM-RWSPTEN1-W/SRM-RWSPTE-BULK,SRM-RWSPTE-BULK/Reference 5,SRM-RWSPTE-BULK,BIO-HYAL-BIL,Raw Material,0.000500,,SRM-RWSPTEN1-W/SRM-RWSPTE-BULK,,
SRM-RWSPTEN1-W/SRM-RWSPTE-BULK,SRM-RWSPTE-BULK/Reference 5,SRM-RWSPTE-BULK,KELT-CG-X,Raw Material,0.000010,,SRM-RWSPTEN1-W/SRM-RWSPTE-BULK,,
SRM-RWSPTEN1-W/SRM-RWSPTE-BULK,SRM-RWSPTE-BULK/Reference 5,SRM-RWSPTE-BULK,ACTI-SDMSP-X,Raw Material,0.000150,,SRM-RWSPTEN1-W/SRM-RWSPTE-BULK,,
SRM-RWSPTEN1-W/SRM-RWSPTE-BULK,SRM-RWSPTE-BULK/Reference 5,SRM-RWSPTE-BULK,ACTI-ALARB-X,Raw Material,0.000010,,SRM-RWSPTEN1-W/SRM-RWSPTE-BULK,,
D-W1R1HER-W60ML/D-R1HERW1-BULK,D-R1HERW1-BULK/FS.RND.W0247.00,D-R1HERW1-BULK,SILI-1202-,Raw Material,0.020000,,D-W1R1HER-W60ML/D-R1HERW1-BULK,,
D-W1R1HER-W60ML/D-R1HERW1-BULK,D-R1HERW1-BULK/FS.RND.W0247.00,D-R1HERW1-BULK,BHT-CRTL-X,Raw Material,0.001000,,D-W1R1HER-W60ML/D-R1HERW1-BULK,,
D-W1R1HER-W60ML/D-R1HERW1-BULK,D-R1HERW1-BULK/FS.RND.W0247.00,D-R1HERW1-BULK,ALAN--AK-K,Raw Material,0.001000,,D-W1R1HER-W60ML/D-R1HERW1-BULK,,
D-W1R1HER-W60ML/D-R1HERW1-BULK,D-R1HERW1-BULK/FS.RND.W0247.00,D-R1HERW1-BULK,ACTI-RNCC-X,Raw Material,0.005000,,D-W1R1HER-W60ML/D-R1HERW1-BULK,,
D-W1R1HER-W60ML/D-R1HERW1-BULK,D-R1HERW1-BULK/FS.RND.W0247.00,D-R1HERW1-BULK,EMUL-BS721-X,Raw Material,0.017500,,D-W1R1HER-W60ML/D-R1HERW1-BULK,,
D-W1R1HER-W60ML/D-R1HERW1-BULK,D-R1HERW1-BULK/FS.RND.W0247.00,D-R1HERW1-BULK,SILI-2005-DC-K,Raw Material,0.010000,,D-W1R1HER-W60ML/D-R1HERW1-BULK,,
D-W1R1HER-W60ML/D-R1HERW1-BULK,D-R1HERW1-BULK/FS.RND.W0247.00,D-R1HERW1-BULK,PARF-WT155-,Raw Material,0.008000,,D-W1R1HER-W60ML/D-R1HERW1-BULK,,
D-W1R1HER-W60ML/D-R1HERW1-BULK,D-R1HERW1-BULK/FS.RND.W0247.00,D-R1HERW1-BULK,ALUM--ACH-K,Raw Material,0.175000,,D-W1R1HER-W60ML/D-R1HERW1-BULK,,
D-W1R1HER-W60ML/D-R1HERW1-BULK,D-R1HERW1-BULK/FS.RND.W0247.00,D-R1HERW1-BULK,EMUL-SPBS2-X,Raw Material,0.027500,,D-W1R1HER-W60ML/D-R1HERW1-BULK,,
D-W1R1HER-W60ML/D-R1HERW1-BULK,D-R1HERW1-BULK/FS.RND.W0247.00,D-R1HERW1-BULK,PROP-PGESK-X,Raw Material,0.030000,,D-W1R1HER-W60ML/D-R1HERW1-BULK,,
D-W1R1HER-W60ML/D-R1HERW1-BULK,D-R1HERW1-BULK/FS.RND.W0247.00,D-R1HERW1-BULK,EMO-ARLPS15E-X,Raw Material,0.027500,,D-W1R1HER-W60ML/D-R1HERW1-BULK,,
D-W1R1HER-W60ML/D-R1HERW1-BULK,D-R1HERW1-BULK/FS.RND.W0247.00,D-R1HERW1-BULK,PEN-PRSVPE-X,Raw Material,0.008000,,D-W1R1HER-W60ML/D-R1HERW1-BULK,,
DDC-CDL-W20ML/DDC-CDL-BULK,DDC-CDL-BULK/Reference 28,DDC-CDL-BULK,VCIP---K,Raw Material,0.001000,,DDC-CDL-W20ML/DDC-CDL-BULK,,
DDC-CDL-W20ML/DDC-CDL-BULK,DDC-CDL-BULK/Reference 28,DDC-CDL-BULK,GARA-RFS-X,Raw Material,0.008000,,DDC-CDL-W20ML/DDC-CDL-BULK,,
DDC-CDL-W20ML/DDC-CDL-BULK,DDC-CDL-BULK/Reference 28,DDC-CDL-BULK,OLIV-900BT-X,Raw Material,0.005000,,DDC-CDL-W20ML/DDC-CDL-BULK,,
DDC-CDL-W20ML/DDC-CDL-BULK,DDC-CDL-BULK/Reference 28,DDC-CDL-BULK,NT---K,Raw Material,0.010000,,DDC-CDL-W20ML/DDC-CDL-BULK,,
DDC-CDL-W20ML/DDC-CDL-BULK,DDC-CDL-BULK/Reference 28,DDC-CDL-BULK,POLY-M-MP27-K,Raw Material,0.008000,,DDC-CDL-W20ML/DDC-CDL-BULK,,
DDC-CDL-W20ML/DDC-CDL-BULK,DDC-CDL-BULK/Reference 28,DDC-CDL-BULK,SILI-SF16-,Raw Material,0.015000,,DDC-CDL-W20ML/DDC-CDL-BULK,,
DDC-CDL-W20ML/DDC-CDL-BULK,DDC-CDL-BULK/Reference 28,DDC-CDL-BULK,BHT-CRTL-X,Raw Material,0.002000,,DDC-CDL-W20ML/DDC-CDL-BULK,,
DDC-CDL-W20ML/DDC-CDL-BULK,DDC-CDL-BULK/Reference 28,DDC-CDL-BULK,EMU-PS-,Raw Material,0.005000,,DDC-CDL-W20ML/DDC-CDL-BULK,,
DDC-CDL-W20ML/DDC-CDL-BULK,DDC-CDL-BULK/Reference 28,DDC-CDL-BULK,EMO-BRB2835-X,Raw Material,0.005000,,DDC-CDL-W20ML/DDC-CDL-BULK,,
DDC-CDL-W20ML/DDC-CDL-BULK,DDC-CDL-BULK/Reference 28,DDC-CDL-BULK,SOLV-BGKHN-X,Raw Material,0.050000,,DDC-CDL-W20ML/DDC-CDL-BULK,,
DDC-CDL-W20ML/DDC-CDL-BULK,DDC-CDL-BULK/Reference 28,DDC-CDL-BULK,VITA-B3PC-X,Raw Material,0.005000,,DDC-CDL-W20ML/DDC-CDL-BULK,,
DDC-CDL-W20ML/DDC-CDL-BULK,DDC-CDL-BULK/Reference 28,DDC-CDL-BULK,PEN-PRSVPE-X,Raw Material,0.005000,,DDC-CDL-W20ML/DDC-CDL-BULK,,
DDC-CDL-W20ML/DDC-CDL-BULK,DDC-CDL-BULK/Reference 28,DDC-CDL-BULK,SILI-1202-,Raw Material,0.030000,,DDC-CDL-W20ML/DDC-CDL-BULK,,
DDC-CDL-W20ML/DDC-CDL-BULK,DDC-CDL-BULK/Reference 28,DDC-CDL-BULK,TITA-OTS2CR50-,Raw Material,0.062000,,DDC-CDL-W20ML/DDC-CDL-BULK,,
DDC-CDL-W20ML/DDC-CDL-BULK,DDC-CDL-BULK/Reference 28,DDC-CDL-BULK,WARN-S12YL--K,Raw Material,0.010010,,DDC-CDL-W20ML/DDC-CDL-BULK,,
DDC-CDL-W20ML/DDC-CDL-BULK,DDC-CDL-BULK/Reference 28,DDC-CDL-BULK,ACTI-VEAC-X,Raw Material,0.000500,,DDC-CDL-W20ML/DDC-CDL-BULK,,
DDC-CDL-W20ML/DDC-CDL-BULK,DDC-CDL-BULK/Reference 28,DDC-CDL-BULK,SUNS-PTX-X,Raw Material,0.020000,,DDC-CDL-W20ML/DDC-CDL-BULK,,
DDC-CDL-W20ML/DDC-CDL-BULK,DDC-CDL-BULK/Reference 28,DDC-CDL-BULK,SILI-FZ3196-X,Raw Material,0.045000,,DDC-CDL-W20ML/DDC-CDL-BULK,,
DDC-CDL-W20ML/DDC-CDL-BULK,DDC-CDL-BULK/Reference 28,DDC-CDL-BULK,SILI-DC9045-X,Raw Material,0.050000,,DDC-CDL-W20ML/DDC-CDL-BULK,,
DDC-CDL-W20ML/DDC-CDL-BULK,DDC-CDL-BULK/Reference 28,DDC-CDL-BULK,UVIN-MC80-BASF,Raw Material,0.070000,,DDC-CDL-W20ML/DDC-CDL-BULK,,
DDC-CDL-W20ML/DDC-CDL-BULK,DDC-CDL-BULK/Reference 28,DDC-CDL-BULK,STEA-A-EST05M,Raw Material,0.020000,,DDC-CDL-W20ML/DDC-CDL-BULK,,
DDC-CDL-W20ML/DDC-CDL-BULK,DDC-CDL-BULK/Reference 28,DDC-CDL-BULK,BENT-BGISDV-X,Raw Material,0.030000,,DDC-CDL-W20ML/DDC-CDL-BULK,,
DDC-CDL-W20ML/DDC-CDL-BULK,DDC-CDL-BULK/Reference 28,DDC-CDL-BULK,WARN-S12RN217--K,Raw Material,0.003800,,DDC-CDL-W20ML/DDC-CDL-BULK,,
DDC-CDL-W20ML/DDC-CDL-BULK,DDC-CDL-BULK/Reference 28,DDC-CDL-BULK,ALAN--AK-K,Raw Material,0.001000,,DDC-CDL-W20ML/DDC-CDL-BULK,,
DDC-CDL-W20ML/DDC-CDL-BULK,DDC-CDL-BULK/Reference 28,DDC-CDL-BULK,SILI-DC749--X,Raw Material,0.000200,,DDC-CDL-W20ML/DDC-CDL-BULK,,
DDC-CDL-W20ML/DDC-CDL-BULK,DDC-CDL-BULK/Reference 28,DDC-CDL-BULK,ABIL-WE09-X,Raw Material,0.025000,,DDC-CDL-W20ML/DDC-CDL-BULK,,
DDC-CDL-W20ML/DDC-CDL-BULK,DDC-CDL-BULK/Reference 28,DDC-CDL-BULK,WARN-TE--PBULK,Intermediate,0.000200,,DDC-CDL-W20ML/DDC-CDL-BULK,,
DDC-CDL-W20ML/DDC-CDL-BULK,DDC-CDL-BULK/Reference 28,DDC-CDL-BULK,EDT-B--K,Raw Material,0.000200,,DDC-CDL-W20ML/DDC-CDL-BULK,,
DDC-CDN-W20ML/DDC-CDN-BULK,DDC-CDN-BULK/Reference 30,DDC-CDN-BULK,ALAN-SL--X,Raw Material,0.001000,,DDC-CDN-W20ML/DDC-CDN-BULK,,
DDC-CDN-W20ML/DDC-CDN-BULK,DDC-CDN-BULK/Reference 30,DDC-CDN-BULK,ABIL-WE09-X,Raw Material,0.025000,,DDC-CDN-W20ML/DDC-CDN-BULK,,
DDC-CDN-W20ML/DDC-CDN-BULK,DDC-CDN-BULK/Reference 30,DDC-CDN-BULK,SILI-1202-,Raw Material,0.030000,,DDC-CDN-W20ML/DDC-CDN-BULK,,
DDC-CDN-W20ML/DDC-CDN-BULK,DDC-CDN-BULK/Reference 30,DDC-CDN-BULK,VCIP---K,Raw Material,0.001000,,DDC-CDN-W20ML/DDC-CDN-BULK,,
DDC-CDN-W20ML/DDC-CDN-BULK,DDC-CDN-BULK/Reference 30,DDC-CDN-BULK,SILS-034-X,Raw Material,0.045000,,DDC-CDN-W20ML/DDC-CDN-BULK,,
DDC-CDN-W20ML/DDC-CDN-BULK,DDC-CDN-BULK/Reference 30,DDC-CDN-BULK,SILI-DC749--X,Raw Material,0.000200,,DDC-CDN-W20ML/DDC-CDN-BULK,,
DDC-CDN-W20ML/DDC-CDN-BULK,DDC-CDN-BULK/Reference 30,DDC-CDN-BULK,ACTI-VEAC-X,Raw Material,0.000500,,DDC-CDN-W20ML/DDC-CDN-BULK,,
DDC-CDN-W20ML/DDC-CDN-BULK,DDC-CDN-BULK/Reference 30,DDC-CDN-BULK,STEA-A-EST05M,Raw Material,0.020000,,DDC-CDN-W20ML/DDC-CDN-BULK,,
DDC-CDN-W20ML/DDC-CDN-BULK,DDC-CDN-BULK/Reference 30,DDC-CDN-BULK,SILI-DC9045-X,Raw Material,0.050000,,DDC-CDN-W20ML/DDC-CDN-BULK,,
DDC-CDN-W20ML/DDC-CDN-BULK,DDC-CDN-BULK/Reference 30,DDC-CDN-BULK,SUNS-PTX-X,Raw Material,0.020000,,DDC-CDN-W20ML/DDC-CDN-BULK,,
DDC-CDN-W20ML/DDC-CDN-BULK,DDC-CDN-BULK/Reference 30,DDC-CDN-BULK,EMU-PS-,Raw Material,0.005000,,DDC-CDN-W20ML/DDC-CDN-BULK,,
DDC-CDN-W20ML/DDC-CDN-BULK,DDC-CDN-BULK/Reference 30,DDC-CDN-BULK,SOLV-BGKHN-X,Raw Material,0.050000,,DDC-CDN-W20ML/DDC-CDN-BULK,,
DDC-CDN-W20ML/DDC-CDN-BULK,DDC-CDN-BULK/Reference 30,DDC-CDN-BULK,GARA-RFS-X,Raw Material,0.008000,,DDC-CDN-W20ML/DDC-CDN-BULK,,
DDC-CDN-W20ML/DDC-CDN-BULK,DDC-CDN-BULK/Reference 30,DDC-CDN-BULK,VITA-B3PC-X,Raw Material,0.005000,,DDC-CDN-W20ML/DDC-CDN-BULK,,
DDC-CDN-W20ML/DDC-CDN-BULK,DDC-CDN-BULK/Reference 30,DDC-CDN-BULK,SILI-SF16-,Raw Material,0.015000,,DDC-CDN-W20ML/DDC-CDN-BULK,,
DDC-CDN-W20ML/DDC-CDN-BULK,DDC-CDN-BULK/Reference 30,DDC-CDN-BULK,UVIN-MC80-BASF,Raw Material,0.070000,,DDC-CDN-W20ML/DDC-CDN-BULK,,
DDC-CDN-W20ML/DDC-CDN-BULK,DDC-CDN-BULK/Reference 30,DDC-CDN-BULK,BHT-CRTL-X,Raw Material,0.002000,,DDC-CDN-W20ML/DDC-CDN-BULK,,
DDC-CDN-W20ML/DDC-CDN-BULK,DDC-CDN-BULK/Reference 30,DDC-CDN-BULK,NT---K,Raw Material,0.010000,,DDC-CDN-W20ML/DDC-CDN-BULK,,
DDC-CDN-W20ML/DDC-CDN-BULK,DDC-CDN-BULK/Reference 30,DDC-CDN-BULK,BENT-BGISDV-X,Raw Material,0.030000,,DDC-CDN-W20ML/DDC-CDN-BULK,,
DDC-CDN-W20ML/DDC-CDN-BULK,DDC-CDN-BULK/Reference 30,DDC-CDN-BULK,WARN-TE--PBULK,Intermediate,0.000800,,DDC-CDN-W20ML/DDC-CDN-BULK,,
DDC-CDN-W20ML/DDC-CDN-BULK,DDC-CDN-BULK/Reference 30,DDC-CDN-BULK,EDT-B--K,Raw Material,0.000200,,DDC-CDN-W20ML/DDC-CDN-BULK,,
DDC-CDN-W20ML/DDC-CDN-BULK,DDC-CDN-BULK/Reference 30,DDC-CDN-BULK,WARN-S12RN217--K,Raw Material,0.004020,,DDC-CDN-W20ML/DDC-CDN-BULK,,
DDC-CDN-W20ML/DDC-CDN-BULK,DDC-CDN-BULK/Reference 30,DDC-CDN-BULK,POLY-M-MP27-K,Raw Material,0.008000,,DDC-CDN-W20ML/DDC-CDN-BULK,,
DDC-CDN-W20ML/DDC-CDN-BULK,DDC-CDN-BULK/Reference 30,DDC-CDN-BULK,PEN-PRSVPE-X,Raw Material,0.005000,,DDC-CDN-W20ML/DDC-CDN-BULK,,
DDC-CDN-W20ML/DDC-CDN-BULK,DDC-CDN-BULK/Reference 30,DDC-CDN-BULK,EMO-BRB2835-X,Raw Material,0.005000,,DDC-CDN-W20ML/DDC-CDN-BULK,,
DDC-CDN-W20ML/DDC-CDN-BULK,DDC-CDN-BULK/Reference 30,DDC-CDN-BULK,WARN-S12YL--K,Raw Material,0.012800,,DDC-CDN-W20ML/DDC-CDN-BULK,,
DDC-CDN-W20ML/DDC-CDN-BULK,DDC-CDN-BULK/Reference 30,DDC-CDN-BULK,TITA-OTS2CR50-,Raw Material,0.060000,,DDC-CDN-W20ML/DDC-CDN-BULK,,
DDC-CDN-W20ML/DDC-CDN-BULK,DDC-CDN-BULK/Reference 30,DDC-CDN-BULK,OLIV-900BT-X,Raw Material,0.005000,,DDC-CDN-W20ML/DDC-CDN-BULK,,
SRM-CDSI-W/SRM-CDSI-BULK,SRM-CDSI-BULK/FF.RND.W1055.01,SRM-CDSI-BULK,VITC-VCE-X,Raw Material,0.100000,,SRM-CDSI-W/SRM-CDSI-BULK,,
SRM-CDSI-W/SRM-CDSI-BULK,SRM-CDSI-BULK/FF.RND.W1055.01,SRM-CDSI-BULK,GLYC--ECOS-K,Raw Material,0.050000,,SRM-CDSI-W/SRM-CDSI-BULK,,
SRM-CDSI-W/SRM-CDSI-BULK,SRM-CDSI-BULK/FF.RND.W1055.01,SRM-CDSI-BULK,ACTI-HFG-X,Raw Material,0.030000,,SRM-CDSI-W/SRM-CDSI-BULK,,
SRM-CDSI-W/SRM-CDSI-BULK,SRM-CDSI-BULK/FF.RND.W1055.01,SRM-CDSI-BULK,EXTR-ALVGE-X,Raw Material,0.030000,,SRM-CDSI-W/SRM-CDSI-BULK,,
SRM-CDSI-W/SRM-CDSI-BULK,SRM-CDSI-BULK/FF.RND.W1055.01,SRM-CDSI-BULK,FUCO-15PSLB-X,Raw Material,0.030000,,SRM-CDSI-W/SRM-CDSI-BULK,,
SRM-CDSI-W/SRM-CDSI-BULK,SRM-CDSI-BULK/FF.RND.W1055.01,SRM-CDSI-BULK,HUM-GLU20-X,Raw Material,0.030000,,SRM-CDSI-W/SRM-CDSI-BULK,,
SRM-CDSI-W/SRM-CDSI-BULK,SRM-CDSI-BULK/FF.RND.W1055.01,SRM-CDSI-BULK,SILI-GVX419-X,Raw Material,0.030000,,SRM-CDSI-W/SRM-CDSI-BULK,,
SRM-CDSI-W/SRM-CDSI-BULK,SRM-CDSI-BULK/FF.RND.W1055.01,SRM-CDSI-BULK,EDG-PLCG-X,Raw Material,0.015000,,SRM-CDSI-W/SRM-CDSI-BULK,,
SRM-CDSI-W/SRM-CDSI-BULK,SRM-CDSI-BULK/FF.RND.W1055.01,SRM-CDSI-BULK,PEN-PRSVPE-X,Raw Material,0.008000,,SRM-CDSI-W/SRM-CDSI-BULK,,
SRM-CDSI-W/SRM-CDSI-BULK,SRM-CDSI-BULK/FF.RND.W1055.01,SRM-CDSI-BULK,KELT-CG-X,Raw Material,0.004000,,SRM-CDSI-W/SRM-CDSI-BULK,,
SRM-CDSI-W/SRM-CDSI-BULK,SRM-CDSI-BULK/FF.RND.W1055.01,SRM-CDSI-BULK,THIC-ARAVC-,Raw Material,0.003000,,SRM-CDSI-W/SRM-CDSI-BULK,,
SRM-CDSI-W/SRM-CDSI-BULK,SRM-CDSI-BULK/FF.RND.W1055.01,SRM-CDSI-BULK,EDT-B--K,Raw Material,0.001000,,SRM-CDSI-W/SRM-CDSI-BULK,,
SRM-CDSI-W/SRM-CDSI-BULK,SRM-CDSI-BULK/FF.RND.W1055.01,SRM-CDSI-BULK,ALAN--AK-K,Raw Material,0.001000,,SRM-CDSI-W/SRM-CDSI-BULK,,
SRM-CDSI-W/SRM-CDSI-BULK,SRM-CDSI-BULK/FF.RND.W1055.01,SRM-CDSI-BULK,BIO-HYAL-BIL,Raw Material,0.000500,,SRM-CDSI-W/SRM-CDSI-BULK,,
FMI-CDFM-W55ML/FMI-CDFM-BULK,FMI-CDFM-BULK/Normal (odoo ref 6),FMI-CDFM-BULK,PR-ZPRDL-X,Raw Material,0.020000,,FMI-CDFM-W55ML/FMI-CDFM-BULK,,
FMI-CDFM-W55ML/FMI-CDFM-BULK,FMI-CDFM-BULK/Normal (odoo ref 6),FMI-CDFM-BULK,PENG-PHC-X,Raw Material,0.008000,,FMI-CDFM-W55ML/FMI-CDFM-BULK,,
FMI-CDFM-W55ML/FMI-CDFM-BULK,FMI-CDFM-BULK/Normal (odoo ref 6),FMI-CDFM-BULK,AJID--NL-K,Raw Material,0.005000,,FMI-CDFM-W55ML/FMI-CDFM-BULK,,
FMI-CDFM-W55ML/FMI-CDFM-BULK,FMI-CDFM-BULK/Normal (odoo ref 6),FMI-CDFM-BULK,VITC-VCE-X,Raw Material,0.001000,,FMI-CDFM-W55ML/FMI-CDFM-BULK,,
FMI-CDFM-W55ML/FMI-CDFM-BULK,FMI-CDFM-BULK/Normal (odoo ref 6),FMI-CDFM-BULK,EMUL-DERMSOLP-,Raw Material,0.003000,,FMI-CDFM-W55ML/FMI-CDFM-BULK,,
FMI-CDFM-W55ML/FMI-CDFM-BULK,FMI-CDFM-BULK/Normal (odoo ref 6),FMI-CDFM-BULK,ALAN--AK-K,Raw Material,0.001000,,FMI-CDFM-W55ML/FMI-CDFM-BULK,,
FMI-CDFM-W55ML/FMI-CDFM-BULK,FMI-CDFM-BULK/Normal (odoo ref 6),FMI-CDFM-BULK,EDT-B--K,Raw Material,0.001000,,FMI-CDFM-W55ML/FMI-CDFM-BULK,,
FMI-CDFM-W55ML/FMI-CDFM-BULK,FMI-CDFM-BULK/Normal (odoo ref 6),FMI-CDFM-BULK,PARF-SC2R151972-X,Raw Material,0.000500,,FMI-CDFM-W55ML/FMI-CDFM-BULK,,
FMI-CDFM-W55ML/FMI-CDFM-BULK,FMI-CDFM-BULK/Normal (odoo ref 6),FMI-CDFM-BULK,ASAM-A-CAAH-K,Raw Material,0.000130,,FMI-CDFM-W55ML/FMI-CDFM-BULK,,
MASK-EEAL-W6GR/MASK-EEAL-BULK,MASK-EEAL-BULK/SMB,MASK-EEAL-BULK,AMP-95--K,Raw Material,0.004000,,MASK-EEAL-W6GR/MASK-EEAL-BULK,,
MASK-EEAL-W6GR/MASK-EEAL-BULK,MASK-EEAL-BULK/SMB,MASK-EEAL-BULK,WAX-CW--K,Raw Material,0.030000,,MASK-EEAL-W6GR/MASK-EEAL-BULK,,
MASK-EEAL-W6GR/MASK-EEAL-BULK,MASK-EEAL-BULK/SMB,MASK-EEAL-BULK,GLYC--ECOS-K,Raw Material,0.002000,,MASK-EEAL-W6GR/MASK-EEAL-BULK,,
MASK-EEAL-W6GR/MASK-EEAL-BULK,MASK-EEAL-BULK/SMB,MASK-EEAL-BULK,STEA-A-EST05M,Raw Material,0.030000,,MASK-EEAL-W6GR/MASK-EEAL-BULK,,
MASK-EEAL-W6GR/MASK-EEAL-BULK,MASK-EEAL-BULK/SMB,MASK-EEAL-BULK,CRIL---K,Raw Material,0.003000,,MASK-EEAL-W6GR/MASK-EEAL-BULK,,
MASK-EEAL-W6GR/MASK-EEAL-BULK,MASK-EEAL-BULK/SMB,MASK-EEAL-BULK,EDT-B--K,Raw Material,0.001000,,MASK-EEAL-W6GR/MASK-EEAL-BULK,,
MASK-EEAL-W6GR/MASK-EEAL-BULK,MASK-EEAL-BULK/SMB,MASK-EEAL-BULK,MC3-30-SF,Raw Material,0.020000,,MASK-EEAL-W6GR/MASK-EEAL-BULK,,
MASK-EEAL-W6GR/MASK-EEAL-BULK,MASK-EEAL-BULK/SMB,MASK-EEAL-BULK,SODA-C-ASA,Raw Material,0.000510,,MASK-EEAL-W6GR/MASK-EEAL-BULK,,
MASK-EEAL-W6GR/MASK-EEAL-BULK,MASK-EEAL-BULK/SMB,MASK-EEAL-BULK,ACTI-VEAC-X,Raw Material,0.002000,,MASK-EEAL-W6GR/MASK-EEAL-BULK,,
MASK-EEAL-W6GR/MASK-EEAL-BULK,MASK-EEAL-BULK/SMB,MASK-EEAL-BULK,ORGA-EXD-ARK,Raw Material,0.010000,,MASK-EEAL-W6GR/MASK-EEAL-BULK,,
MASK-EEAL-W6GR/MASK-EEAL-BULK,MASK-EEAL-BULK/SMB,MASK-EEAL-BULK,CELL-HHRP-X,Raw Material,0.002000,,MASK-EEAL-W6GR/MASK-EEAL-BULK,,
MASK-EEAL-W6GR/MASK-EEAL-BULK,MASK-EEAL-BULK/SMB,MASK-EEAL-BULK,BAH-LUVIK30P-X,Raw Material,0.030000,,MASK-EEAL-W6GR/MASK-EEAL-BULK,,
MASK-EEAL-W6GR/MASK-EEAL-BULK,MASK-EEAL-BULK/SMB,MASK-EEAL-BULK,CABO-M5-X,Raw Material,0.010000,,MASK-EEAL-W6GR/MASK-EEAL-BULK,,
MASK-EEAL-W6GR/MASK-EEAL-BULK,MASK-EEAL-BULK/SMB,MASK-EEAL-BULK,WAX-SBWX--X,Raw Material,0.080000,,MASK-EEAL-W6GR/MASK-EEAL-BULK,,
MASK-EEAL-W6GR/MASK-EEAL-BULK,MASK-EEAL-BULK/SMB,MASK-EEAL-BULK,BHT-CRTL-X,Raw Material,0.002000,,MASK-EEAL-W6GR/MASK-EEAL-BULK,,
MASK-EEAL-W6GR/MASK-EEAL-BULK,MASK-EEAL-BULK/SMB,MASK-EEAL-BULK,EMUL-S60-X,Raw Material,0.010000,,MASK-EEAL-W6GR/MASK-EEAL-BULK,,
MASK-EEAL-W6GR/MASK-EEAL-BULK,MASK-EEAL-BULK/SMB,MASK-EEAL-BULK,EMUL-BC20-X,Raw Material,0.003000,,MASK-EEAL-W6GR/MASK-EEAL-BULK,,
MASK-EEAL-W6GR/MASK-EEAL-BULK,MASK-EEAL-BULK/SMB,MASK-EEAL-BULK,BENT-38V-X,Raw Material,0.003000,,MASK-EEAL-W6GR/MASK-EEAL-BULK,,
MASK-EEAL-W6GR/MASK-EEAL-BULK,MASK-EEAL-BULK/SMB,MASK-EEAL-BULK,THIC-CMDSP-X,Raw Material,0.000100,,MASK-EEAL-W6GR/MASK-EEAL-BULK,,
MASK-EEAL-W6GR/MASK-EEAL-BULK,MASK-EEAL-BULK/SMB,MASK-EEAL-BULK,FLMR-5760-X,Raw Material,0.100000,,MASK-EEAL-W6GR/MASK-EEAL-BULK,,
MASK-EEAL-W6GR/MASK-EEAL-BULK,MASK-EEAL-BULK/SMB,MASK-EEAL-BULK,FIBR-NFCB-X,Raw Material,0.005000,,MASK-EEAL-W6GR/MASK-EEAL-BULK,,
MASK-EEAL-W6GR/MASK-EEAL-BULK,MASK-EEAL-BULK/SMB,MASK-EEAL-BULK,PEN-EUXK900-X,Raw Material,0.010000,,MASK-EEAL-W6GR/MASK-EEAL-BULK,,
MASK-EEAL-W6GR/MASK-EEAL-BULK,MASK-EEAL-BULK/SMB,MASK-EEAL-BULK,PEN-SENSC50-X,Raw Material,0.004000,,MASK-EEAL-W6GR/MASK-EEAL-BULK,,
MASK-EEAL-W6GR/MASK-EEAL-BULK,MASK-EEAL-BULK/SMB,MASK-EEAL-BULK,FILM-KOBOHRPC-X,Raw Material,0.100000,,MASK-EEAL-W6GR/MASK-EEAL-BULK,,
MASK-EEAL-W6GR/MASK-EEAL-BULK,MASK-EEAL-BULK/SMB,MASK-EEAL-BULK,PROP-PPGULD-X,Raw Material,0.080000,,MASK-EEAL-W6GR/MASK-EEAL-BULK,,
MASK-EEAL-W6GR/MASK-EEAL-BULK,MASK-EEAL-BULK/SMB,MASK-EEAL-BULK,WARN-WDCB2-X,Raw Material,0.080000,,MASK-EEAL-W6GR/MASK-EEAL-BULK,,
MASK-EEPC-W7GR/MASK-EEPC-BULK,MASK-EEPC-BULK/FS.RND.W0198.00,MASK-EEPC-BULK,BENT-BGISDV-X,Raw Material,0.531000,,MASK-EEPC-W7GR/MASK-EEPC-BULK,,
MASK-EEPC-W7GR/MASK-EEPC-BULK,MASK-EEPC-BULK/FS.RND.W0198.00,MASK-EEPC-BULK,SILI-DC749--X,Raw Material,0.130000,,MASK-EEPC-W7GR/MASK-EEPC-BULK,,
MASK-EEPC-W7GR/MASK-EEPC-BULK,MASK-EEPC-BULK/FS.RND.W0198.00,MASK-EEPC-BULK,SILI-DCF-ID-X,Raw Material,0.080000,,MASK-EEPC-W7GR/MASK-EEPC-BULK,,
MASK-EEPC-W7GR/MASK-EEPC-BULK,MASK-EEPC-BULK/FS.RND.W0198.00,MASK-EEPC-BULK,WARN-UTB990-X,Raw Material,0.060000,,MASK-EEPC-W7GR/MASK-EEPC-BULK,,
MASK-EEPC-W7GR/MASK-EEPC-BULK,MASK-EEPC-BULK/FS.RND.W0198.00,MASK-EEPC-BULK,THIC-NDXTP-X,Raw Material,0.035000,,MASK-EEPC-W7GR/MASK-EEPC-BULK,,
