Kode Unik,Product Korporat Code,BoM Lines/Product Template/Korporat Code,BoM Lines/Product Template/Material Type,BoM Lines/Quantity,BoM Lines/Product Unit of Measure,,Tidak ada BOM
A-PRT-W100ML/5 (INLINE),A-PRT-W100ML,CAP-BNG100P-,Packaging Material,1,Pc(s),,ES-IPB-W
A-PRT-W100ML/5 (INLINE),A-PRT-W100ML,PLU-BB100N-,Packaging Material,1,Pc(s),,ES-RTBG-MO
A-PRT-W100ML/5 (INLINE),A-PRT-W100ML,DUS-APFT100R1-WILG,Packaging Material,1,Pc(s),,ES-RTEB-MO
A-PRT-W100ML/5 (INLINE),A-PRT-W100ML,STIC-BAPRT100-WGCE,Packaging Material,1,Pc(s),,ES-RTGE-MO
A-PRT-W100ML/5 (INLINE),A-PRT-W100ML,STIC-FAPRT100-WGCE,Packaging Material,1,Pc(s),,ES-RTIS-MO
A-PRT-W100ML/5 (INLINE),A-PRT-W100ML,KB-W100BR2-KMM125BF,Packaging Material,0.05,Pc(s),,ES-RTLAFS-MO
A-SATG-W15ML/3,A-SATG-W15ML,A-SATG-BULK,Semi Finished Goods,0.015,kg,,ES-RTNN-MO
A-SATG-W15ML/3,A-SATG-W15ML,TUBE-ASATG15-W19LN,Packaging Material,1,Pc(s),,ES-RTSB-MO
A-SATG-W15ML/3,A-SATG-W15ML,KB-W100BR2-KMM125BF,Packaging Material,0.02381,Pc(s),,ES-TORN-MO
A-SATG-W15ML/3,A-SATG-W15ML,DUS-ASATG15R1-WACLG,Packaging Material,1,Pc(s),,ES-TPEPI-MO
B-BSLP-EM/7,B-BSLP-EM,B-BSLP-BULK,Semi Finished Goods,0.055,kg,,ES-TPUR-MO
B-BSLP-EM/7,B-BSLP-EM,BOTO-SBSLPR4-E,Intermediate,1,Pc(s),,F-EL01-W
B-BSLP-EM/7,B-BSLP-EM,CAPS-BSLPR2-EM,Packaging Material,1,Pc(s),,F-EL02-W
B-BSLP-EM/7,B-BSLP-EM,SHIF-STBSLPR1-EBS,Packaging Material,1,Pc(s),,F-EL03-W
B-BSLP-EM/7,B-BSLP-EM,KB-ECR1-KMK125CF,Packaging Material,0.02778,Pc(s),,F-EL04-W
B-CLCLPA-W/4,B-CLCLPA-W,B-CLCLPA-BULK,Semi Finished Goods,0.015,kg,,F-EL05-W
B-CLCLPA-W/4,B-CLCLPA-W,POT-CMPR0-W,Packaging Material,1,Pc(s),,F-EL06-W
B-CLCLPA-W/4,B-CLCLPA-W,SHIF-CMPR0-W,Packaging Material,1,Pc(s),,F-EL07-W
B-CLCLPA-W/4,B-CLCLPA-W,CAPP-CMPR0-W,Packaging Material,1,Pc(s),,F-EL08-W
B-CLCLPA-W/4,B-CLCLPA-W,PUFF-CMPR0-W,Packaging Material,1,Pc(s),,F-EXL02-MO
B-CLCLPA-W/4,B-CLCLPA-W,STIC-BCMP22NR1-W,Packaging Material,1,Pc(s),,F-EXL03-MO
B-CLCLPA-W/4,B-CLCLPA-W,DUS-CMPR2-W,Packaging Material,1,Pc(s),,F-EXL04-MO
B-CLCLPA-W/4,B-CLCLPA-W,STIC-VCMP22NR1-W,Packaging Material,1,Pc(s),,F-EXL05-MO
B-CLCLPA-W/4,B-CLCLPA-W,KB-GKMK-W,Packaging Material,0.02083,Pc(s),,F-EXL07-MO
B-CLCLPB-W/4,B-CLCLPB-W,B-CLCLPB-BULK,Semi Finished Goods,0.015,kg,,F-EXL08-MO
B-CLCLPB-W/4,B-CLCLPB-W,POT-CMPR0-W,Packaging Material,1,Pc(s),,F-EXL09-MO
B-CLCLPB-W/4,B-CLCLPB-W,SHIF-CMPR0-W,Packaging Material,1,Pc(s),,F-EXL10-MO
B-CLCLPB-W/4,B-CLCLPB-W,CAPP-CMPR0-W,Packaging Material,1,Pc(s),,F-EXL11-MO
