"id","product_tmpl_id/default_code","location_id/display_name","lot_id/name","quantity","product_uom_id/name"
"__export__.stock_quant_2097_837d32ad","CAPA-MKLCR0-OMG","JTK 4/Retain/PKG","GBMJTK4/ID23029","8.0","pc(s)"
"__export__.stock_quant_2130_2165315b","STIC-BMKLC11R0-OMG","JTK 4/Retain/PKG","GBMJTK4/ID19020","8.0","pc(s)"
"__export__.stock_quant_2194_b43501b0","STIC-VMKLC07R1-OMG","JTK 4/Retain/PKG","GBMJTK4/IE03039","8.0","pc(s)"
"__export__.stock_quant_2235_82264959","BOTO-MKLCR0-OMG","JTK 4/Retain/PKG","GBMJTK4/ID19018","8.0","pc(s)"
"__export__.stock_quant_2263_fb0fd775","IBOX-RRPTMKLCR0-OMG","JTK 4/Stock/PKG/JTK 6/Gedung B/AB-07A2","GPMJT6A/IA27007","50.0","pc(s)"
"__export__.stock_quant_2331_a4a4c605","STIC-VMKLC05R0-OMG","JTK 4/Quarantine/PKG","GBMJTK4/IE10051","814.0","pc(s)"
"__export__.stock_quant_2430_6113afd9","BOTO-MKLCR0-OMG","JTK 4/Retain/PKG","GBMJTK4/IE04046","8.0","pc(s)"
"__export__.stock_quant_2431_32a16bdf","CAPA-MKLCR0-OMG","JTK 4/Retain/PKG","GBMJTK4/IE04047","8.0","pc(s)"
"__export__.stock_quant_2518_3c049e55","DUS-MKLCR1-OMG","JTK 4/Retain/PKG","GBMJTK4/ID29035","26.0","pc(s)"
"__export__.stock_quant_2519_80fe67a6","DUS-MKLCR1-OMG","JTK 4/Retain/PKG","GBMJTK4/ID29034","26.0","pc(s)"
"__export__.stock_quant_2824_788293de","L-MLCD-BULK","JTK 4/Quarantine/PKG","EH24A","3199.99999999999","g"
"__export__.stock_quant_2849_022791f2","BENT-BGISDV-X","JTK 4/Quarantine/PKG","GBMJTK6/IC08005","'-24.0","g"
"__export__.stock_quant_2851_e12bcfd2","DRYF-PC-X","JTK 4/Quarantine/PKG","GBMJTK6/GK11059","'-27.0","g"
"__export__.stock_quant_2853_dabaa799","EMU-PS-","JTK 4/Quarantine/PKG","GBMJTK6/ID09092","'-1.0","g"
"__export__.stock_quant_2854_b9c1d586","PARF-DLPZLE-X","JTK 4/Quarantine/PKG","GBMJTK6/HL17152","'-0.5","g"
"__export__.stock_quant_2856_bd1268e5","SILS-034-X","JTK 4/Quarantine/PKG","GBMJTK6/IB09100","'-0.5","g"
"__export__.stock_quant_2858_c3273ded","PEN-SENSC50-X","JTK 4/Quarantine/PKG","GBMJTK6/IC03039","'-1.00000000000001","g"
"__export__.stock_quant_2860_5b4352aa","PEN-PRSVPE-X","JTK 4/Quarantine/PKG","GBMJTK6/ID05098","'-1.00000000000001","g"
"__export__.stock_quant_2862_8857c691","SILI-BELEG5-X","JTK 4/Quarantine/PKG","GBMJTK6/HK09113","'-2.0","g"
"__export__.stock_quant_2863_8461473e","EMUL-EMILST-X","JTK 4/Quarantine/PKG","GBMJTK6/HL22246","'-2.0","g"
"__export__.stock_quant_2865_05ffef0b","SILC-MKOL-X","JTK 4/Quarantine/PKG","GBMJTK6/IC09104","'-6.0","g"
"__export__.stock_quant_2867_3fb49430","SILI-BEL803-X","JTK 4/Quarantine/PKG","GBMJTK6/IB08002","'-11.0","g"
"__export__.stock_quant_2869_8d5d1277","SILI-DC-PSFCS-X","JTK 4/Quarantine/PKG","GBMJTK6/IC09057","'-12.0","g"
"__export__.stock_quant_2871_281a363a","OIL-OJJBIII-X","JTK 4/Quarantine/PKG","GBMJTK6/HL22111","'-0.5","g"
"__export__.stock_quant_2872_7527a696","VITA-DL E-MS","JTK 4/Quarantine/PKG","GBMJTK6/HL21071","'-0.5","g"
"__export__.stock_quant_2874_1fc39a50","PURO-IDD-X","JTK 4/Quarantine/PKG","GBMJTK6/IB26031","'-39.5000000000005","g"
"__export__.stock_quant_3228_68834a1c","SACH-SMUFW9-X","JTK 4/Stock/PKG/JTK 6/Gedung B/AB-02B2","GBMJTK4/IE19073","50.0","Pc(s)"
