"Product Korporat Code","BoM Lines/Product Template/Korporat Code","BoM Lines/Quantity","BoM Lines/Product Unit of Measure"
"","ES-IPSCP-W-01-BULK","0.001","kg"
"ES-IPSCP-W-02-RP-W1G","ES-IPSCP-W-02-BULK","0.001","kg"
"","GODE-ISCEPR1-WAL","1.0","Pc(s)"
"ES-IPSCP-W-04-RP-W1G","GODE-ISCEPR1-WAL","1.0","Pc(s)"
"","ES-IPSCP-W-04-BULK","0.001","kg"
"ES-IPSCP-W-05-RP-W1G","GODE-ISCEPR1-WAL","1.0","Pc(s)"
"","ES-IPSCP-W-05-BULK","0.001","kg"
"ES-IPSCP-W-06-RP-W1G","ES-IPSCP-W-06-BULK","0.001","kg"
"","GODE-ISCEPR1-WAL","1.0","Pc(s)"
"ES-IPSCP-W-07-RP-W1G","ES-IPSCP-W-07-BULK","0.001","kg"
"","GODE-ISCEPR1-WAL","1.0","Pc(s)"
"ES-IPSCP-W-08-RP-W1G","GODE-ISCEPR1-WAL","1.0","Pc(s)"
"","ES-IPSCP-W-08-BULK","0.001","kg"
"ES-IPSCP-W-09-RP-W1G","ES-IPSCP-W-09-BULK","0.001","kg"
"","GODE-ISCEPR1-WAL","1.0","Pc(s)"
"ES-IPSCP-W-10-RP-W1G","GODE-ISCEPR1-WAL","1.0","Pc(s)"
"","ES-IPSCP-W-10-BULK","0.001","kg"
"ES-M-RP-MO1,25G","GODE-LPWNL2781-","1.0","Pc(s)"
"","ES-M-BULK","0.00125","kg"
"ES-M-RP-W1,1GR","GODE-ESSWA33-178538","1.0","Pc(s)"
"","ES-M-BULK","0.0011","kg"
"ES-PL-RP-MO1,25G","GODE-LPWNL2781-","1.0","Pc(s)"
"","ES-PL-BULK","0.00125","kg"
"ES-PL-RP-W1,1GR","ES-PL-BULK","0.0013","kg"
"","GODE-ESSWA33-178538","1.0","Pc(s)"
"ES-PMB-RP-MO1,25G","GODE-LPWNL2781-","1.0","Pc(s)"
"","ES-PMB-BULK","0.00125","kg"
"ES-PMEO-RP-MO1,25G","GODE-LPWNL2781-","1.0","Pc(s)"
"","ES-PMEO-BULK","0.00125","kg"
"ES-PMEO-RP-W1,1GR","ES-PMEO-BULK","0.0011","kg"
"","GODE-ESSWA33-178538","1.0","Pc(s)"
"ES-PNU-02-RP-MO1,25G","GODE-LPWNL2781-","1.0","Pc(s)"
"","ES-PNU-02-BULK","0.00125","kg"
"ES-PNU-03-RP-MO1,25G","ES-PNU-03-BULK","0.00125","kg"
"","GODE-LPWNL2781-","1.0","Pc(s)"
"ES-PNU-04-RP-MO1,25G","ES-PNU-04-BULK","0.00125","kg"
"","GODE-LPWNL2781-","1.0","Pc(s)"
"ES-PNU-04-RP-W1GR","GODE-ISCEPR1-WAL","1.0","Pc(s)"
"","ES-PNU-04-BULK","0.001","kg"
"ES-PPMB13,5RNFS-MO","ES-PMB-BULK","0.0035","kg"
"","GODE-PESBOR2-MOAL","1.0","Pc(s)"
"ES-PPMC3,5RNFS-MO","ES-C-BULK","0.00407","kg"
"","GODE-PESBOR2-MOAL","1.0","Pc(s)"
"ES-PPMHS3,5RNFS-MO","GODE-PESBOR2-MOAL","1.0","Pc(s)"
"","ES-H-X","0.0035","kg"
"ES-PPMS3,5RNFS-MO","GODE-PESBOR2-MOAL","1.0","Pc(s)"
"","ES-SD-BULK","0.00407","kg"
"ES-PRPBK01-RP-EM1,1G","GODE-ESSWA33-178538","1.0","Pc(s)"
"","ES-PRPBK01-BULK","0.0011","kg"
"ES-PRPPH02-RP-EM1,1G","ES-PRPPH02-BULK","0.0011","kg"
"","GODE-ESSWA33-178538","1.0","Pc(s)"
"ES-PRPPH03-RP-EM1,1G","ES-PRPPH03-BULK","0.0011","kg"
"","GODE-ESSWA33-178538","1.0","Pc(s)"
"ES-PSM-06-RP-MO1,25G","GODE-LPWNL2781-","1.0","Pc(s)"
"","ES-PSM-06-BULK","0.00125","kg"
"ES-R-RP-MO1,25G","GODE-LPWNL2781-","1.0","Pc(s)"
"","ES-R-BULK","0.00125","kg"
"L-TMLCA-OMG","CAPA-MKLCR0-OMG","1.0","Pc(s)"
"","BOTO-MKLCR0-OMG","1.0","Pc(s)"
"","STIC-BMKLC01R2-OMG","1.0","Pc(s)"
"","L-MLCA-BULK","0.0035","kg"
"L-TMLCB-OMG","CAPA-MKLCR0-OMG","1.0","Pc(s)"
"","BOTO-MKLCR0-OMG","1.0","Pc(s)"
"","STIC-BMKLC02R2-OMG","1.0","Pc(s)"
"","L-MLCB-BULK","0.0035","kg"
"L-TMLCC-OMG","CAPA-MKLCR0-OMG","1.0","Pc(s)"
"","STIC-BMKLC03R2-OMG","1.0","Pc(s)"
"","L-MLCC-BULK","0.0035","kg"
"","BOTO-MKLCR0-OMG","1.0","Pc(s)"
"L-TMLCD-OMG","CAPA-MKLCR0-OMG","1.0","Pc(s)"
"","L-MLCD-BULK","0.0035","kg"
"","STIC-BMKLC04R2-OMG","1.0","Pc(s)"
"","BOTO-MKLCR0-OMG","1.0","Pc(s)"
"L-TMLCE-OMG","L-MLCE-BULK","0.0035","kg"
"","BOTO-MKLCR0-OMG","1.0","Pc(s)"
"","STIC-BMKLC05R2-OMG","1.0","Pc(s)"
"","CAPA-MKLCR0-OMG","1.0","Pc(s)"
"L-TMLCG-OMG","CAPA-MKLCR0-OMG","1.0","Pc(s)"
"","BOTO-MKLCR0-OMG","1.0","Pc(s)"
"","L-MLCG-BULK","0.0035","kg"
"","STIC-BMKLC07R2-OMG","1.0","Pc(s)"
"L-TMLCH-OMG","L-MLCH-BULK","0.0035","kg"
"","CAPA-MKLCR0-OMG","1.0","Pc(s)"
"","BOTO-MKLCR0-OMG","1.0","Pc(s)"
"","STIC-BMKLC08R2-OMG","1.0","Pc(s)"
"L-TMLCI-OMG","L-MLCI-BULK","0.0035","kg"
"","BOTO-MKLCR0-OMG","1.0","Pc(s)"
"","CAPA-MKLCR0-OMG","1.0","Pc(s)"
"","STIC-BMKLC09R2-OMG","1.0","Pc(s)"
"L-TMLCJ-OMG","STIC-BMKLC10R2-OMG","1.0","Pc(s)"
"","CAPA-MKLCR0-OMG","1.0","Pc(s)"
"","L-MLCJ-BULK","0.0035","kg"
"","BOTO-MKLCR0-OMG","1.0","Pc(s)"
"L-TMLCL-OMG","CAPA-MKLCR0-OMG","1.0","Pc(s)"
"","BOTO-MKLCR0-OMG","1.0","Pc(s)"
"","STIC-BMKLC12R2-OMG","1.0","Pc(s)"
"","L-MLCL-BULK","0.0035","kg"
"L-TMLCK-OMG","STIC-BMKLC11R2-OMG","1.0","Pc(s)"
"","CAPA-MKLCR0-OMG","1.0","Pc(s)"
"","L-MLCK-BULK","0.0035","kg"
"","BOTO-MKLCR0-OMG","1.0","Pc(s)"
"L-TMLCM-OMG","CAPA-MKLCCEKIMR0-OMG","1.0","Pc(s)"
"","BOTO-MKLCCEKIMR0-OMG","1.0","Pc(s)"
"","STIC-BMKLCCE13R0-OMG","1.0","Pc(s)"
"","L-MLCM-BULK","0.0035","kg"
"L-TMLCN-OMG","STIC-BMKLCCE14R0-OMG","1.0","Pc(s)"
"","CAPA-MKLCCEKIMR0-OMG","1.0","Pc(s)"
"","L-MLCN-BULK","0.0035","kg"
"","BOTO-MKLCCEKIMR0-OMG","1.0","Pc(s)"
"L-TMLCO-OMG","BOTO-MKLCCEKIMR0-OMG","1.0","Pc(s)"
"","L-MLCO-BULK","0.0035","kg"
"","CAPA-MKLCCEKIMR0-OMG","1.0","Pc(s)"
"","STIC-BMKLCCE15R0-OMG","1.0","Pc(s)"
"ES-TPMC2GRRNFS-MO","ES-C-BULK","0.002","kg"
"","GODE-ESMOR2A4-261944","1.0","Pc(s)"
"ES-W0K-02-RP-W1,1GR","GODE-ESSWA33-178538","1.0","Pc(s)"
"","ES-W0K-02 BULK","0.0011","kg"
"L-TLTD-OMG","L-LTD-BULK","0.0053","kg"
"","BOTO-JKLTSR0-OMG","1.0","Pc(s)"
"","CAPA-JKLTS04R0-OMG","1.0","Pc(s)"
"","STIC-BJKLTS04R0-OMG","1.0","Pc(s)"
"L-TLTA-OMG","L-LTA-BULK","0.0053","kg"
"","BOTO-JKLTSR0-OMG","1.0","Pc(s)"
"","CAPA-JKLTS01R0-OMG","1.0","Pc(s)"
"","STIC-BJKLTS01R0-OMG","1.0","Pc(s)"
"L-TLTB-OMG","L-LTB-BULK","0.0053","kg"
"","BOTO-JKLTSR0-OMG","1.0","Pc(s)"
"","CAPA-JKLTS02R0-OMG","1.0","Pc(s)"
"","STIC-BJKLTS02R0-OMG","1.0","Pc(s)"
"L-TLTC-OMG","L-LTC-BULK","0.0053","kg"
"","BOTO-JKLTSR0-OMG","1.0","Pc(s)"
"","CAPA-JKLTS03R0-OMG","1.0","Pc(s)"
"","STIC-BJKLTS03R0-OMG","1.0","Pc(s)"
"L-TMLCF-OMG","L-MLCF-BULK","0.0035","kg"
"","BOTO-MKLCR0-OMG","1.0","Pc(s)"
"","STIC-BMKLC06R2-OMG","1.0","Pc(s)"
"","CAPA-MKLCR0-OMG","1.0","Pc(s)"
"FA-CLFLMHCP-RP-W4GR","GODE-CHCPROR0-W","1.0","Pc(s)"
"","FA-CLFLMHCP-BULK","0.004","kg"
"FA-CLFMDHCP-RP-W4GR","GODE-CHCPROR0-W","1.0","Pc(s)"
"","FA-CLFMDHCP-BULK","0.004","kg"
"BO-CLPBCP-RP-EM3,5GR","BO-CLPBCP-BULK","0.0035","kg"
"","GODE-PESBOR2-MOAL","1.0","Pc(s)"
"ES-CLPNB-01-RP-W1,8GR","ES-CLPNB-01-BULK","0.0018","kg"
"","GODE-CQEPR0-W","1.0","Pc(s)"
"ES-CLPWP-01-RP-W1,8GR","GODE-CQEPR0-W","1.0","Pc(s)"
"","ES-CLPWP-01-BULK","0.0018","kg"
"ES-CLPWP-02-RP-W1,8GR","GODE-CQEPR0-W","1.0","Pc(s)"
"","ES-CLPWP-02-BULK","0.0018","kg"
"ES-CLPPB-02-RP-W1,8GR","GODE-CQEPR0-W","1.0","Pc(s)"
"","ES-CLPPB-02-BULK","0.0018","kg"
"B-TWCGC08R-DFR14G","B-TWCGC08-BULK","0.012","kg"
"","GODE-TWC5,4B-SM-P","1.0","Pc(s)"
"ES-CLPPB-04-RP-W1,8GR","ES-CLPPB-04-BULK","0.0018","kg"
"","GODE-CQEPR0-W","1.0","Pc(s)"
"B-TWCGC107RNFS1-DF","B-TWCGC07-BULK","0.014","kg"
"","GODE-TWC5,4B-SM-P","1.0","Pc(s)"
"EB-EK-LB-RP-W1GR","GODE-ESSWA33-178538","1.0","Pc(s)"
"","EB-DK-LB-BULK","0.001","kg"
"ES-TSESM-02-RP-MO2G","ES-TSESM-02-BULK","0.002","kg"
"","GODE-ESMOR2A4-261944","1.0","Pc(s)"
