"Product Korporat Code","BoM Lines/Product Template/Korporat Code","BoM Lines/Quantity","BoM Lines/Product Unit of Measure"
"ES-W0M-01-RP-W1,1GR","GODE-ESSWA33-178538","1.0","Pc(s)"
"","ES-W0M-01 BULK","0.0011","kg"
"ES-W0M-02-RP-W1,1GR","GODE-ESSWA33-178538","1.0","Pc(s)"
"","ES-W0M-02 BULK","0.0011","kg"
"ES-W0M-03-RP-W1,1GR","GODE-ESSWA33-178538","1.0","Pc(s)"
"","ES-W0M-03 BULK","0.0011","kg"
"ES-W0M01RNFS1,3-W","ES-W0M-01 BULK","0.00133","kg"
"","GODE-ESSWA33-178538","1.0","Pc(s)"
"ES-W0M02RNFS1,3-W","ES-W0M-02 BULK","0.00133","kg"
"","GODE-ESSWA33-178538","1.0","Pc(s)"
"ES-W0M3RNFS1,3-W","ES-W0M-03 BULK","0.00133","kg"
"","GODE-ESSWA33-178538","1.0","Pc(s)"
"ES-W0N-01-RP-W1,1GR","GODE-ESSWA33-178538","1.0","Pc(s)"
"","ES-W0N-01 BULK","0.0011","kg"
"ES-W0N-02-RP-W1,1GR","ES-W0N-02 BULK","0.0011","kg"
"","GODE-ESSWA33-178538","1.0","Pc(s)"
"ES-W0N-03-RP-W1,1GR","GODE-ESSWA33-178538","1.0","Pc(s)"
"","ES-W0N-03 BULK","0.0011","kg"
"ES-W0N01RNFS1,3-W","ES-W0N-01 BULK","0.00133","kg"
"","GODE-ESSWA33-178538","1.0","Pc(s)"
"ES-W0N02RNFS1,3-W","ES-W0N-02 BULK","0.00133","kg"
"","GODE-ESSWA33-178538","1.0","Pc(s)"
"ES-W0N3RNFS1,3-W","GODE-ESSWA33-178538","1.0","Pc(s)"
"","ES-W0N-03 BULK","0.00133","kg"
"ES-W0R-01-RP-W1,1GR","ES-W0R-01 BULK","0.0011","kg"
"","GODE-ESSWA33-178538","1.0","Pc(s)"
"ES-W0R101RNFS1,-W","ES-W0R-01 BULK","0.00133","kg"
"","GODE-ESSWA33-178538","1.0","Pc(s)"
"ES-W1A-01-RP-W1,1GR","GODE-ESSWA33-178538","1.0","Pc(s)"
"","ES-W1A-01 BULK","0.0011","kg"
"ES-W1A-02-RP-W1,1GR","GODE-ESSWA33-178538","1.0","Pc(s)"
"","ES-W1A-02 BULK","0.0011","kg"
"ES-W1A-03-RP-W1,1GR","GODE-ESSWA33-178538","1.0","Pc(s)"
"","ES-W1A-03 BULK","0.0011","kg"
"ES-W1A01RNFS1,3-W","ES-W1A-01 BULK","0.00153","kg"
"","GODE-ESSWA33-178538","1.0","Pc(s)"
"ES-W1A02RNFS1,3-W","ES-W1A-02 BULK","0.00133","kg"
"","GODE-ESSWA33-178538","1.0","Pc(s)"
"ES-W1A3RNFS1,3W-W","ES-W1A-03 BULK","0.00133","kg"
"","GODE-ESSWA33-178538","1.0","Pc(s)"
"ES-W1B-02-RP-W1,1GR","GODE-ESSWA33-178538","1.0","Pc(s)"
"","ES-W1B-02 BULK","0.0011","kg"
"ES-W1B-03-RP-W1,1GR","GODE-ESSWA33-178538","1.0","Pc(s)"
"","ES-W1B-03 BULK","0.0011","kg"
"ES-W1C-01-RP-W1,1GR","GODE-ESSWA33-178538","1.0","Pc(s)"
"","ES-W1C-01 BULK","0.0011","kg"
"ES-W1C-02-RP-W1,1GR","GODE-ESSWA33-178538","1.0","Pc(s)"
"","ES-W1C-02 BULK","0.0011","kg"
"ES-W1C-03-RP-W1,1GR","GODE-ESSWA33-178538","1.0","Pc(s)"
"","ES-W1C-03 BULK","0.0011","kg"
"ES-W1C3RNFS1,3W-W","ES-W1C-03 BULK","0.00133","kg"
"","GODE-ESSWA33-178538","1.0","Pc(s)"
"ES-W1D-02-RP-W1,1GR","GODE-ESSWA33-178538","1.0","Pc(s)"
"","ES-W1D-02 BULK","0.0011","kg"
"ES-W1D-03-RP-W1,1GR","GODE-ESSWA33-178538","1.0","Pc(s)"
"","ES-W1D-03 BULK","0.0011","kg"
"ES-W1E-01-RP-W1,1GR","GODE-ESSWA33-178538","1.0","Pc(s)"
"","ES-W1E-01 BULK","0.0011","kg"
"ES-W1E-02-RP-W1,1GR","GODE-ESSWA33-178538","1.0","Pc(s)"
"","ES-W1E-02 BULK","0.0011","kg"
"ES-W1E-03-RP-W1,1GR","GODE-ESSWA33-178538","1.0","Pc(s)"
"","ES-W1E-03 BULK","0.0011","kg"
"ES-W1E01RNFS1,3-W","ES-W1E-01 BULK","0.00133","kg"
"","GODE-ESSWA33-178538","1.0","Pc(s)"
"ES-W1E02RNFS1,3-W","ES-W1E-02 BULK","0.00133","kg"
"","GODE-ESSWA33-178538","1.0","Pc(s)"
"ES-W1B-01-RP-W1,1GR","GODE-ESSWA33-178538","1.0","Pc(s)"
"","ES-W1B-01 BULK","0.0011","kg"
"ES-W1E3RNFS1,3W-W","ES-W1E-03 BULK","0.00133","kg"
"","GODE-ESSWA33-178538","1.0","Pc(s)"
"ES-W1F-01-RP-W1,1GR","GODE-ESSWA33-178538","1.0","Pc(s)"
"","ES-W1F-01 BULK","0.0011","kg"
"ES-W1F-02-RP-W1,1GR","GODE-ESSWA33-178538","1.0","Pc(s)"
"","ES-W1F-02 BULK","0.0011","kg"
"ES-W1F-03-RP-W1,1GR","GODE-ESSWA33-178538","1.0","Pc(s)"
"","ES-W1F-03 BULK","0.0011","kg"
