"Product Korporat Code","Reference","BoM Lines/Product Template/Korporat Code","BoM Lines/Quantity","BoM Lines/Product Unit of Measure"
"TC-IPMFPF13-W13G","5","TC-IPMFPF13-BULK","0.013","kg"
"","","CONT-IMPFR0-WASBS","1.0","Pc(s)"
"","","GODE-CPTZB-SMD59A-P","1.0","Pc(s)"
"","","PUFF-IMPFR0-WFP","1.0","Pc(s)"
"","","PLAS-DM60R0-W","1.0","Pc(s)"
"","","STIC-BIMPF13R0-WPWNF","1.0","Pc(s)"
"","","PO-TWCMOC105-9288T1P","1.0","Pc(s)"
"","","DUS-IMPFR1-WHPD","1.0","Pc(s)"
"","","STIC-BCIMPF3R0-WPWG","1.0","Pc(s)"
"","","KB-WIPSKMMR1-W","0.02083","Pc(s)"
"MY-TCIPPF03-W","1","TC-IPPF03-W","1.0","Pc(s)"
"","","STIC-PAAR1-WM","1.0","Pc(s)"
"","","KB-WIPSKMMR1-W","0.0208333","Pc(s)"
"L-CM03-EM5.5GR","8","L-CM03-BULK","0.0055","kg"
"","","BOTO-PCMR1-E","1.0","Pc(s)"
"","","CAPA-CMR0-EM","1.0","Pc(s)"
"","","STIC-BOTCMMVR2-EOPP","1.0","Pc(s)"
"","","DUS-CMMVR2-E","1.0","Pc(s)"
"","","IBOX-12EE-ED31","0.08333","Pc(s)"
"","","KB-ECR1-KMK125CF","0.00694","Pc(s)"
"TC-RE03-W","6","TC-PC03-BULK","0.012","kg"
"","","CONT-ETWCRLR0-WASBS","1.0","Pc(s)"
"","","GODE-CPTZB-SMD59A-P","1.0","Pc(s)"
"","","PLAS-DM60R0-W","1.0","Pc(s)"
"","","PUFF-TWCNBRD545-T","1.0","Pc(s)"
"","","STIC-BTETC3R0-WRL","1.0","Pc(s)"
"","","DUS-ETWC3R1-WRL","1.0","Pc(s)"
"","","KB-W12X250R1-W","0.03333","Pc(s)"
"L-EMC17-W4GR","14 (NON INLINE)","L-EMC17-BULK","0.004","kg"
"","","CAPA-EMLCR2-W","1.0","Pc(s)"
"","","PLU-BEMLCR0-W","1.0","Pc(s)"
"","","BOTO-EMLCR1-W","1.0","Pc(s)"
"","","STIC-BOTEMLC17R-1WPS","1.0","Pc(s)"
"","","DUSS-EMLC17H-W","1.0","Pc(s)"
"","","IBOX-RRPEMLCR0-W","0.08333","Pc(s)"
"","","KB-WIOTAR1-W","0.00694","Pc(s)"
"L-EMC13-W4GR","18 (NON INLINE)","L-EMC13-BULK","0.004","kg"
"","","PLU-BEMLCR0-W","1.0","Pc(s)"
"","","BOTO-EMLCR1-W","1.0","Pc(s)"
"","","CAPA-EMLCR2-W","1.0","Pc(s)"
"","","STIC-BOTEMLC13R-1WPS","1.0","Pc(s)"
"","","DUSS-EMLC13H-W","1.0","Pc(s)"
"","","IBOX-RRPEMLCR0-W","0.08333","Pc(s)"
"","","KB-WIOTAR1-W","0.00694","Pc(s)"
"FW-RWSABHANP-W","2","TUBE-CSFCNAP20R1-W","1.0","Pc(s)"
"","","FW-RWSABHA-BULK","0.02","kg"
"MY-RTCIPMFPF14-W","5 (INLINE)","TC-IPMFPF14-BULK","0.013","kg"
"","","CONT-IMPFR0-WASBS","1.0","Pc(s)"
"","","GODE-CPTZB-SMD59A-P","1.0","Pc(s)"
"","","PUFF-IMPFR0-WFP","1.0","Pc(s)"
"","","PLAS-DM60R0-W","1.0","Pc(s)"
"","","STIC-BIMPF14R0-WPWNF","1.0","Pc(s)"
"","","PO-TWCMOC105-9288T1P","1.0","Pc(s)"
"","","DUS-IMPFR1-WHPD","1.0","Pc(s)"
"","","STIC-PAAR1-WM","1.0","Pc(s)"
"","","STIC-BCIMPF4R0-WPWG","1.0","Pc(s)"
"","","KB-WIPSKMMR1-W","0.02083","Pc(s)"
"MY-FCLCMC-W","3","KB-WIPSKMMR1-W","0.01613","Pc(s)"
"","","F-CLCMC-W","1.0","Pc(s)"
"","","STIC-PALLCR2-WM","1.0","Pc(s)"
"L-CUSH01-EM","Subt. Ibox","L-CUSH01-BULK","0.009","kg"
"","","TUBE-LC01PR1-E","1.0","Pc(s)"
"","","PLU-TLC01P-E","1.0","Pc(s)"
"","","CAP-TLC01P-E","1.0","Pc(s)"
"","","DUS-LC01PR1-ELD","1.0","Pc(s)"
"","","IBOX-12EH-EDNF","0.08333","Pc(s)"
"","","KB-ECR1-KMK125CF","0.01042","Pc(s)"
"TC-IPMFPF14-W13G","5","TC-IPMFPF14-BULK","0.013","kg"
"","","CONT-IMPFR0-WASBS","1.0","Pc(s)"
"","","GODE-CPTZB-SMD59A-P","1.0","Pc(s)"
"","","PUFF-IMPFR0-WFP","1.0","Pc(s)"
"","","PLAS-DM60R0-W","1.0","Pc(s)"
"","","STIC-BIMPF14R0-WPWNF","1.0","Pc(s)"
"","","PO-TWCMOC105-9288T1P","1.0","Pc(s)"
"","","DUS-IMPFR1-WHPD","1.0","Pc(s)"
"","","STIC-BCIMPF4R0-WPWG","1.0","Pc(s)"
"","","KB-WIPSKMMR1-W","0.02083","Pc(s)"
"L-CM10-EM5.5GR","4","L-CM10-BULK","0.0055","kg"
"","","BOTO-PCMR1-E","1.0","Pc(s)"
"","","CAPA-CMR0-EM","1.0","Pc(s)"
"","","STIC-BOTCMSFR0-EOPPT","1.0","Pc(s)"
"","","DUS-CMSFR1-E","1.0","Pc(s)"
"","","IBOX-12EE-ED31","0.08333","Pc(s)"
"","","KB-ECR1-KMK125CF","0.00694","Pc(s)"
"MY-RTCRE02-W","8 (INLINE)","DUS-ETWC2R3-W","1.0","Pc(s)"
"","","STIC-PAEBR1-WM","1.0","Pc(s)"
"","","KB-W12X250R1-W","0.03333","Pc(s)"
"","","CONT-ETWCRLR0-WASBS","1.0","Pc(s)"
"","","PLAS-DM60R0-W","1.0","Pc(s)"
