"Product Korporat Code","Reference","BoM Lines/Product Template/Korporat Code","BoM Lines/Quantity","BoM Lines/Product Unit of Measure"
"DUSS-PMFN10R0-MO","1","STIC-VPPFN10R0-MO","1.0","Pc(s)"
"","","DUS-PPFR0-MO","1.0","Pc(s)"
"","","STIC-BCPPFN10R0-MO","1.0","Pc(s)"
"DUSS-PMFW22R0-MO","1","STIC-VPPFW22R0-MO","1.0","Pc(s)"
"","","DUS-PPFR0-MO","1.0","Pc(s)"
"","","STIC-BCPPFW22R0-MO","1.0","Pc(s)"
"DUSS-PMFC21R0-MO","1","STIC-BCPPFC21R0-MO","1.0","Pc(s)"
"","","STIC-VPPFC21R0-MO","1.0","Pc(s)"
"","","DUS-PPFR0-MO","1.0","Pc(s)"
"LCBP-MFTPQ-E","1","LCB-MFTPQ-E08","1.0","Pc(s)"
"POTP-PTCHM250-IX","1","POT-R250BLACK-PP","1.0","Pc(s)"
"POTP-RSPAR1720-P","1","POT-R720WHITE-PP","1.0","Pc(s)"
"BOTO-SBSLPR3-E","1","BOTO-BSLPR2-EM","1.0","Pc(s)"
"","","PS-BSLPR1-EBS","1.0","Pc(s)"
"BOTS-AHHG100-W","1","BOTO-PET100W-WPET","1.0","Pc(s)"
"","","STIC-FAHHGR0-W","1.0","Pc(s)"
"","","STIC-BAHHGR0-W","1.0","Pc(s)"
"BOTS-AHHG100-W","3","STIC-FAHHGR0-W","1.0","Pc(s)"
"","","STIC-BAHHGR0-W","1.0","Pc(s)"
"","","BOTO-BR100SO-W","1.0","Pc(s)"
"LCBP-MFTSHQ-E","1","LCB-MFTSHQ-E04","1.0","Pc(s)"
"LCBP-MFTSMQ-E","1","LCB-MFTSMQ-E09","1.0","Pc(s)"
"LCBP-MFTLCB08-E","1","LCB-MFTLCB08-ECSSP","1.0","Pc(s)"
"LCBP-MFTLCB09-E","1","LCB-MFTLCB09-ECSPR","1.0","Pc(s)"
"LCBP-MFTLCB10-E","1","LCB-MFTLCB10-ECSRQ","1.0","Pc(s)"
"BOTS-AHHG100CJP-W","1","BOTO-PET100W-WPET","1.0","Pc(s)"
"","","STIC-FAHHGR0-W","1.0","Pc(s)"
"","","STIC-BAHHGR0-W","1.0","Pc(s)"
"BOTS-AHHG240R0-W","1","BOTO-PET240W-WPET","1.0","Pc(s)"
"","","STIC-FAHG240R1-W","1.0","Pc(s)"
"","","STIC-BAHG240R1-W","1.0","Pc(s)"
"KBP-W100BR1-WM","1","KB-W100BR1-KMM125BF","1.0","Pc(s)"
"BOTP-NLREV1450-P","1","BOTO-L450NAT-PP","1.0","Pc(s)"
"L-CVM03WDDR0-W","1","L-CVM03-W","1.0","Pc(s)"
"BOTS-PWCM42R1-MO","2","BOTO-GA1302RX-MO","1.0","Pc(s)"
"","","STIC-SPWCMR1-MOMD","1.0","Pc(s)"
"DUSS-EMLC09R0-WM","2","STIC-HEMLCR1-W","1.0","Pc(s)"
"","","DUSS-EMLC09H-W","1.0","Pc(s)"
"DUSS-EMLC01H-W","1","DUS-EMLC01C-WILD","1.0","Pc(s)"
"","","STIC-HEMLCR0-W","1.0","Pc(s)"
"DUSS-EMLC02H-W","1","STIC-HEMLCR0-W","1.0","Pc(s)"
"","","DUS-EMLC02C-WILD","1.0","Pc(s)"
"DUSS-EMLC03H-W","1","STIC-HEMLCR0-W","1.0","Pc(s)"
"","","DUS-EMLC03C-WILD","1.0","Pc(s)"
"DUSS-EMLC04H-W","1","DUS-EMLC04C-WILD","1.0","Pc(s)"
"","","STIC-HEMLCR0-W","1.0","Pc(s)"
"DUSS-EMLC05H-W","1","STIC-HEMLCR0-W","1.0","Pc(s)"
"","","DUS-EMLC05C-WILD","1.0","Pc(s)"
"DUSS-EMLC06H-W","1","DUS-EMLC06C-WILD","1.0","Pc(s)"
"","","STIC-HEMLCR0-W","1.0","Pc(s)"
"DUSS-EMLC07H-W","1","DUS-EMLC07C-WILD","1.0","Pc(s)"
"","","STIC-HEMLCR0-W","1.0","Pc(s)"
"DUSS-EMLC08H-W","1","DUS-EMLC08C-WILD","1.0","Pc(s)"
"","","STIC-HEMLCR0-W","1.0","Pc(s)"
"DUSS-EMLC10H-W","1","DUS-EMLC10C-WILD","1.0","Pc(s)"
"","","STIC-HEMLCR0-W","1.0","Pc(s)"
"DUSS-EMLC12H-W","1","DUS-EMLC12C-WILD","1.0","Pc(s)"
"","","STIC-HEMLCR0-W","1.0","Pc(s)"
"DUSS-EMLC13H-W","1","STIC-HEMLCR0-W","1.0","Pc(s)"
"","","DUS-EMLC13C-WILD","1.0","Pc(s)"
"DUSS-EMLC15H-W","1","STIC-HEMLCR0-W","1.0","Pc(s)"
"","","DUS-EMLC15C-WILD","1.0","Pc(s)"
"DUSS-EMLC16H-W","1","STIC-HEMLCR0-W","1.0","Pc(s)"
"","","DUS-EMLC16C-WILD","1.0","Pc(s)"
