DC,BRAND,CAT1,CAT4,ODOO CODE,CORPORATE CODE,BARCODE,ITEM NAME,GT PRICE,QOH,RESERVED (QTY),AVAILABLE (QTY),QOH (Rp),RESERVED (Rp),AVAILABLE (Rp),EXPIRED DATE
DC KEDIRI,WARDAH,FACE CLEANSER,WARDAH NATURE DAILY SEAWEED BALANCING FACIAL WASH,01608,FW-SB-W60ML,8993137695022,WARDAH NATURE DAILY SEAWEED BALANCING FACIAL WASH 60 ML,18018.02,3,0,3,54054.06,0,54054.06,
DC KEDIRI,WARDAH,FACE CLEANSER,WARDAH NATURE DAILY MINERAL+ CLARIFYING FACIAL FOAM,01621,FW-MCF-W60ML,8993137695183,WARDAH NATURE DAILY MINERAL+ CLARIFYING FACIAL FOAM 60 ML,18018.02,1,0,1,18018.02,0,18018.02,
DC KEDIRI,WARDAH,FACE CLEANSER,WARDAH CRYSTAL SECRET CLEANSER,00298,CM-WSPB-W150ML,8993137684613,WARDAH WHITE SECRET PURE BRIGHTENING CLEANSER 150 ML (PC(S)),27027.03,3,0,3,81081.09,0,81081.09,
DC KEDIRI,WARDAH,FACE MOISTURIZER,WARDAH C-DEFENSE SERUM,00013,SRM-CD-W17ML,8993137691949,WARDAH C-DEFENSE SERUM 17 ML (PC(S)),72072.08,2,0,2,144144.16,0,144144.16,
DC KEDIRI,WARDAH,FACE MAKE UP,WARDAH PERFECT BRIGHT LOOSE POWDER,02216,B-PBTUBB-W,8993137706582,WARDAH PERFECT BRIGHT BB POWDER 50 G,20991.0,7,0,7,146937,0,146937,
DC KEDIRI,WARDAH,FACE MAKE UP,WARDAH BLUSH ON,00119,BO-W1C-W4GR,8993137680028,WARDAH BLUSH ON C 4 GR,41441.44,2,0,2,82882.88,0,82882.88,
DC KEDIRI,WARDAH,EYE MAKE UP,WARDAH EYE SHADOW,00933,"ES-W1A-W3,3GR",8993137680042,"WARDAH EYE SHADOW A 3,3 GR (PC(S))",44144.14,1,0,1,44144.14,0,44144.14,
DC KEDIRI,WARDAH,FACE MAKE UP,WARDAH EXCLUSIVE CUSHION,02029,CUS-EFC03-W,8993137705882,WARDAH EXCLUSIVE FLAWLESS COVER CUSHION 03 SANDY BEIGE 15 G,124774.77,3,0,3,374324.31,0,374324.31,
DC KEDIRI,WARDAH,FACE CLEANSER,WARDAH NATURE DAILY SEAWEED BALANCING CLEANSER,01613,CM-SB-W150ML,8993137695053,WARDAH NATURE DAILY SEAWEED BALANCING CLEANSER 150 ML,21171.18,1,0,1,21171.18,0,21171.18,
DC KEDIRI,WARDAH,EYE MAKE UP,WARDAH EYE SHADOW,00927,"ES-W0I-W3,3GR",8993137680110,"WARDAH EYE SHADOW I 3,3 GR (PC(S))",44144.14,1,0,1,44144.14,0,44144.14,
DC KEDIRI,WARDAH,FACE MAKE UP,WARDAH COLORFIT MATTE FOUNDATION,02860,F-CLCMH-W,8993137711739,WARDAH COLORFIT MATTE FOUNDATION 52N ALMOND 25 ML,65315.32,1,0,1,65315.32,0,65315.32,
DC KEDIRI,WARDAH,EYE MAKE UP,WARDAH EYE SHADOW,00934,"ES-W1B-W3,3GR",8993137680059,"WARDAH EYE SHADOW B 3,3 GR (PC(S))",44144.14,2,0,2,88288.28,0,88288.28,
DC KEDIRI,WARDAH,FACE MAKE UP,WARDAH COLORFIT POWDER FOUNDATION,02868,TWC-CLFTH-W,8993137711258,WARDAH COLORFIT VELVET POWDER FOUNDATION 52N ALMOND 11 G,66666.67,4,0,4,266666.68,0,266666.68,
DC KEDIRI,WARDAH,EYE MAKE UP,WARDAH EYE SHADOW,00939,"ES-W1G-W3,3GR",8993137680097,"WARDAH EYE SHADOW G 3,3 GR (PC(S))",44144.14,2,0,2,88288.28,0,88288.28,
DC KEDIRI,WARDAH,FACE MOISTURIZER,WARDAH PERFECT BRIGHT PEEL OFF MASK,01524,FM-PBPO-W60ML,8993137699556,WARDAH PERFECT BRIGHT PEEL OFF MASK 60 ML,29639.64,2,0,2,59279.28,0,59279.28,
DC KEDIRI,WARDAH,FACE MAKE UP,WARDAH LIGHTENING BB CAKE,01244,TC-LPGBB01-W11GR,8993137693943,WARDAH LIGHTENING BB CAKE POWDER 01 LIGHT 11 GR (PC(S)),50900.91,3,0,3,152702.73,0,152702.73,
DC KEDIRI,WARDAH,FACE MOISTURIZER,WARDAH ACNEDERM NIGHT MOISTURIZER,01578,A-NTM-W40ML,8993137698832,WARDAH ACNEDERM NIGHT TREATMENT MOISTURIZER 40 ML (PC(S)),34234.23,2,0,2,68468.46,0,68468.46,
DC KEDIRI,WARDAH,LIP MAKE UP,WARDAH EXCLUSIVE LIPSTICK MOIST,02061,L-REMO35-W,8993137706360,WARDAH EXCLUSIVE MOIST LIPSTICK 35 GREAT BERRY 3.5 G,39189.19,1,0,1,39189.19,0,39189.19,
DC KEDIRI,WARDAH,FACE MAKE UP,WARDAH EXCLUSIVE CUSHION,02030,CUS-EFC04-W,8993137705899,WARDAH EXCLUSIVE FLAWLESS COVER CUSHION 04 NATURAL 15 G,124774.77,2,0,2,249549.54,0,249549.54,
DC KEDIRI,WARDAH,LIP MAKE UP,WARDAH EXCLUSIVE LIP CREAM,00943,L-EMC02-W4GR,8993137693776,WARDAH EXCLUSIVE MATTE LIP CREAM 02 FUSCHIONATELY 4 GR (PC(S)),57207.21,1,0,1,57207.21,0,57207.21,
DC KEDIRI,WARDAH,FACE MAKE UP,WARDAH EXCLUSIVE CUSHION,02027,CUS-EFC01-W,8993137705868,WARDAH EXCLUSIVE FLAWLESS COVER CUSHION 01 LIGHT BEIGE 15 G,124774.77,2,0,2,249549.54,0,249549.54,
DC KEDIRI,WARDAH,FACE MAKE UP,WARDAH COLORFIT POWDER FOUNDATION,02866,TWC-CLFTF-W,8993137711241,WARDAH COLORFIT VELVET POWDER FOUNDATION 43W GOLDEN SAND 11 G,66666.67,2,0,2,133333.34,0,133333.34,
DC KEDIRI,WARDAH,FACE MAKE UP,WARDAH EXCLUSIVE LIQUID FOUNDATION,02037,F-RELF04-W,8993137678889,WARDAH EXCLUSIVE LIQUID FOUNDATION 04 NATURAL 20 ML,77927.93,3,0,3,233783.79,0,233783.79,
DC KEDIRI,WARDAH,FACE MAKE UP,WARDAH EXCLUSIVE LIQUID FOUNDATION,02035,F-RELF02-W,8993137678865,WARDAH EXCLUSIVE LIQUID FOUNDATION 02 SHEER PINK 20 ML,77927.93,3,0,3,233783.79,0,233783.79,
DC KEDIRI,WARDAH,FACE CLEANSER,WARDAH PERFECT BRIGHT CREAMY FOAM BRIGHTENING + SMOOTHING,01518,FW-PBCFLS-W60ML,8993137690942,WARDAH PERFECT BRIGHT CREAMY FOAM BRIGHTENING + SMOOTHING 60 ML (PC(S)),17747.75,4,0,4,70991,0,70991,
DC KEDIRI,WARDAH,FACE MAKE UP,WARDAH EXCLUSIVE LIQUID FOUNDATION,02034,F-RELF01-W,8993137678858,WARDAH EXCLUSIVE LIQUID FOUNDATION 01 LIGHT BEIGE 20 ML,77927.93,3,0,3,233783.79,0,233783.79,
DC KEDIRI,WARDAH,LIP MAKE UP,WARDAH EXCLUSIVE LIP CREAM,00945,L-EMC04-W4GR,8993137693790,WARDAH EXCLUSIVE MATTE LIP CREAM 04 PINK ME 4 GR (PC(S)),57207.21,1,0,1,57207.21,0,57207.21,
DC KEDIRI,WARDAH,FACE CLEANSER,WARDAH PERFECT BRIGHT CREAMY FOAM BRIGHTENING + OIL CONTROL,01520,FW-PBCFLO-W60ML,8993137698719,WARDAH PERFECT BRIGHT CREAMY FOAM BRIGHTENING + OIL CONTROL 60 ML (PC(S)),17747.75,2,0,2,35495.5,0,35495.5,
DC KEDIRI,WARDAH,FACE MOISTURIZER,WARDAH HYDRA ROSE MICRO GEL SERUM,02521,SRM-RIH-W,8993137708746,WARDAH HYDRA ROSE MICRO GEL SERUM 30 ML,116216.22,4,0,4,464864.88,0,464864.88,
DC KEDIRI,WARDAH,FACE MAKE UP,WARDAH BLUSH ON,00120,BO-W0D-W4GR,8993137680035,WARDAH BLUSH ON D 4 GR,40090.09,2,0,2,80180.18,0,80180.18,
DC KEDIRI,WARDAH,FACE MAKE UP,WARDAH EXCLUSIVE TWC,02041,TC-RE03-W,8993137679022,WARDAH EXCLUSIVE TWO WAY CAKE 03 SANDY BEIGE 12 G,84504.5,2,0,2,169009,0,169009,
DC KEDIRI,WARDAH,BODY LOTION,WARDAH SPA BODY OIL OLIVE,00283,MZ-W1M1-W50ML,8993137678704,WARDAH PURE OLIVE OIL 50 ML,24324.32,3,0,3,72972.96,0,72972.96,
DC KEDIRI,WARDAH,EYE MAKE UP,WARDAH EYEXPERT AQUA LASH MASCARA,00071,MASK-EEAL-W6GR,8993137691062,WARDAH EYEXPERT AQUA LASH MASCARA 6 GR (PC(S)),44594.59,5,0,5,222972.95,0,222972.95,
DC KEDIRI,WARDAH,FACE MOISTURIZER,WARDAH CRYSTAL SECRET NIGHT CREAM,00296,M-WSNC-W17ML,8993137692533,WARDAH WHITE SECRET NIGHT CREAM 17 ML (PC(S)),46396.4,1,0,1,46396.4,0,46396.4,
DC KEDIRI,WARDAH,FACE MOISTURIZER,WARDAH C-DEFENSE BB CREAM,00011,DDC-CDL-W20ML,8993137691925,WARDAH C-DEFENSE DD CREAM LIGHT 20 ML (PC(S)),28288.29,4,0,4,113153.16,0,113153.16,
DC KEDIRI,WARDAH,BODY BUTTER,WARDAH SPA BODY BUTTER,00277,BUT-W3MP-W150ML,8993137684590,WARDAH CREAMY BODY BUTTER WITH MILK & PEARL 150 ML (PC(S)),45045.05,1,0,1,45045.05,0,45045.05,
