Kode Item,May 23,Jun 23,Jul 23,Aug 23,Sep 23,Oct 23,Nov 23,Dec 23,Jan 24,Feb 24,Mar 24,Apr 24,May 24,Jun 24,Jul 24,Aug 24,Sep 24
BOTO-L450WHI-PP,2218,0,2885,2293,2293,2293,2293,1701,2293,2293,2293,2885,1701,2293,2885,592,
BOTO-L50EEMURR1-WHD,8306,8306,12459,12459,8306,12459,12459,8306,12459,8306,12459,12459,8306,12459,12459,4153,
BOTO-L50NAT-UPP,19490,207,23135,0,28785,0,20179,12944,20179,20179,8606,20179,9988,23135,20179,0,
BOTO-LFT125R2-W,73050,244444,342788,269266,293616,342788,269266,220566,367138,269266,269266,342788,318438,269266,243500,195744,
BOTO-LIWMR0-MO,0,0,24955,0,24955,0,24955,0,24955,0,24955,0,24955,0,24955,0,
BOTO-LLC01LR0-W,38708,0,38708,0,0,0,0,0,0,0,0,0,0,0,0,0,
BOTO-LLC02BR0-W,74674,37337,14656,0,0,0,0,0,0,0,0,0,0,0,0,0,
BOTO-LWMR0-OMG,31308,62616,31308,62616,31308,62616,31308,31308,62616,31308,31308,62616,31308,31308,62616,31308,
BOTO-MF01LR0-E,0,0,0,0,0,4410,0,0,0,0,0,4410,0,0,0,0,
BOTO-MF02NR0-E,0,0,0,4410,0,0,0,0,4410,0,0,0,4410,0,0,0,
BOTO-MF03CR0-E,0,0,0,0,0,4410,0,0,0,0,0,4410,0,0,0,0,
BOTO-MF04MR0-E,0,0,0,0,0,0,0,0,0,0,0,4410,0,0,0,0,
BOTO-MKLCCEKIMR0-OMG,751688,966456,1127532,912764,925364,1127532,912764,751688,1140132,912764,912764,1181224,871672,966456,1127532,710596,
BOTO-MKLCR0-OMG,1053964,1087504,1395768,1095844,1162984,1383228,1149536,825200,1467108,1079104,1174616,1391628,1154584,1100044,1387428,908352,
BOTO-MKLCSER0-OMG,53160,437772,331452,212640,212640,212640,159480,48384,0,0,0,0,0,0,0,0,
BOTO-MPR1-EM,7901,47521,40261,48065,31710,32301,47521,24353,55422,40261,15849,63926,7948,63926,15849,40261,
BOTO-NCLAD04R0-W,0,10790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BOTO-NCLAD09R0-W,0,10790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BOTO-NCLAD13R0-W,0,21580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BOTO-NCLAD17R0-W,0,10790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BOTO-NDACMW100R0-W,0,58278,87417,58278,58278,87417,29139,58278,87417,58278,58278,58278,87417,58278,87417,58278,
BOTO-NDACMW240R0-W,0,48844,36633,36633,36633,48844,36633,24422,48844,36633,36633,48844,48844,36633,48844,36633,
BOTO-NFSBW-K,0,0,0,53805,0,0,0,0,0,0,0,0,0,0,0,0,
BOTO-NFSBW30-BD,0,181800,318150,0,0,0,0,0,0,0,0,0,0,0,0,0,
BOTO-NGS01R0-E,0,15384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BOTO-NGS07R0-E,0,15384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BOTO-NPBRT100-T,0,0,0,0,0,0,0,0,0,2874,0,0,0,0,0,0,
BOTO-NSS1702R2-W,16870,0,16870,16870,16870,16870,16870,16870,16870,16870,16870,16870,16870,0,0,0,
BOTO-NWLS01R0-E,0,31200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BOTO-OCABER0-W,0,0,6103,0,6103,0,6103,0,6103,0,6103,0,6103,0,6103,0,
BOTO-OMGPGT100R1-OMG,50655,70917,111441,91179,81048,111441,81048,70917,111441,81048,91179,111441,81048,91179,111441,60786,
BOTO-PBSFS30R0-E,32987,65974,65974,32987,65974,65974,32987,24305,0,0,0,0,0,0,0,0,
BOTO-PCMR1-E,21552,33912,58096,38764,47464,56656,43412,31444,54928,42816,42816,51268,41088,45140,41440,26056,
BOTO-PCMWPSFB-W,28136,0,28136,28136,28136,0,28136,28136,0,28136,28136,0,28136,28136,28136,0,
BOTO-PEPR0-MO,0,616,616,308,616,616,308,616,616,308,616,616,308,616,616,308,
BOTO-PET100W-WPET,29418,31060,7410,6589,1642,1642,1642,821,1642,821,1642,1642,821,1642,1642,821,
BOTO-PET240W-WPET,28824,24693,4038,0,0,0,0,0,0,0,0,0,0,0,0,0,
BOTO-PET300R0-GG,102,0,0,0,18117,6039,6039,0,36234,24156,18117,24156,12078,24156,12078,24156,
BOTO-PET300R0-WL,0,6500,9750,6500,9750,6500,9750,6500,9750,13000,3250,13000,13000,0,16250,0,
BOTO-PET60TCD18-,600,0,7931,0,0,7931,0,0,7931,0,0,7931,0,0,7931,0,
BOTO-PETCHEERS100-X,89775,148053,148662,53061,21564,21564,43128,0,43128,21564,21564,43128,21564,21564,43128,21564,
BOTO-PETCHEERS55-X,24200,0,24200,0,24200,0,24200,0,24200,24200,0,24200,24200,0,24200,0,
BOTO-PETE250-ELL,0,0,0,0,0,2058,8232,12348,14406,11662,11662,31556,16464,13720,13034,10976,
BOTO-PETE450-ELL,0,0,0,0,0,0,5124,3597,5124,5124,5124,11447,9920,6323,7522,6323,
BOTO-PETHW250-W,0,0,0,0,0,11879,0,0,0,0,0,0,0,0,0,0,
BOTO-PETRF100B-X,66673,87683,126832,105822,124757,104822,48144,57426,94827,48144,67476,76857,67303,57871,76857,48144,
BOTO-PETRF100C-X,59112,110340,131178,81452,110955,141469,86364,31928,42546,62024,52176,42461,52684,41910,40604,31695,
BOTO-PETRF12-X,0,0,50712,0,0,0,0,0,0,0,0,0,0,0,0,0,
BOTO-PETRF200-X,3442,8722,3442,3442,8722,5163,3442,3442,8722,3442,3442,10443,3442,3442,10443,1721,
BOTO-PETRF50-X,0,19723,51259,19723,1739,11813,0,0,11813,0,0,0,11813,0,0,11813,
BOTO-PETRF60M-W,32266,64532,112931,96798,80665,129064,80665,64532,129064,80665,96798,112931,96798,80665,112931,48399,
BOTO-PFMMSP-MOPET,11613,6636,18249,13272,14931,16590,13272,11613,16590,14931,13272,16590,14931,13272,18249,8295,
BOTO-PIMLCR1-MO,10108,39076,77224,54364,51292,68580,55864,45720,70616,54864,55364,65008,58436,57900,71116,25396,
BOTO-PMPASFS30-E,0,0,0,31870,0,31870,0,0,31870,0,0,31870,0,0,31870,0,
BOTO-PNPSS40R0-E,0,0,0,0,0,0,0,14236,0,0,0,0,0,0,0,14236,
BOTO-PPBM10R0-E,0,2000,0,0,0,0,2000,0,3112,0,8380,2000,8380,3112,0,0,
BOTO-PPLLCBR0-MO,1760,0,0,0,0,0,1760,0,0,0,0,0,0,0,1760,0,
BOTO-PPLLR0-MO,0,1760,1760,0,1760,1760,1760,0,1760,1760,0,1760,1760,0,1760,1760,
BOTO-PS35WF-P1WG,22942,15164,38145,22721,15350,38145,22721,23023,30433,30514,30433,30580,22876,22760,45744,7712,
BOTO-PSLTR0-MO,0,4264,4264,4264,2132,4264,4264,2132,4264,4264,4264,4264,2132,4264,4264,2132,
BOTO-PTCLCR0-MO,10670,0,16316,8158,8158,8158,16316,0,16316,8158,8158,16316,0,16316,16316,0,
BOTO-PTMLCR1-MO,73324,82888,140272,111580,114768,137084,108392,86076,140272,108392,111580,140272,111580,114768,137084,70136,
BOTO-PVLSR0-MO,0,28479,2225,1846,0,2225,11339,9493,13564,0,9493,13564,0,9493,11339,2225,
BOTO-PWLF24H-MO,9876,19474,45055,35646,37037,46022,39947,24180,46869,36697,41172,39381,39739,37769,46080,20417,
BOTO-RCABER0-W,0,0,6103,0,6103,0,6103,0,6103,0,6103,0,6103,0,6103,0,
BOTO-RDRP50-ELL,0,0,0,0,6795,0,0,0,0,0,0,0,0,0,0,0,
BOTO-RHBW100PH-K,3941,1591,3941,2350,1591,3941,1591,0,1591,3941,1591,1591,1591,0,1591,1591,
BOTO-RO60-60-P,33002,33002,49503,33002,49503,49503,33002,33002,49503,49503,33002,49503,49503,33002,49503,33002,
BOTO-RYISRV15-W,0,80316,40158,40158,40158,80316,40158,40158,40158,80316,40158,40158,40158,80316,40158,40158,
BOTO-RYISRV30-W,0,0,0,6178,38048,6178,6178,0,44226,6178,6178,6178,38048,6178,0,6178,
BOTO-RYTE50R0-W,0,19000,0,19000,19000,0,19000,0,19000,0,19000,0,19000,0,19000,0,
BOTO-RYTERV100-W,0,0,9600,9600,0,9600,9600,0,9600,9600,9600,9600,9600,9600,0,9600,
BOTO-S150OOFMWN-GOHD,997,997,3988,2991,1994,3988,1994,1994,3988,2991,1994,3988,2991,1994,3988,997,
BOTO-S50POOWNLG-P1PH,0,5234,5234,5234,5234,5234,5234,2617,5234,5234,5234,5234,5234,5234,5234,2617,
BOTO-SLAMR0-E,0,3937,3937,3937,3937,3937,3937,0,3937,3937,3937,3937,3937,0,3937,3937,
BOTO-SLEL-WPETG,24948,0,24948,24948,24948,0,24948,0,24948,24948,24948,0,24948,24948,0,24948,
BOTO-SO10R0-B,2600,1350,3050,6100,6900,9150,4850,3500,7000,1350,6550,12550,15600,1800,4850,900,
BOTO-TVEMR2-WAL,25913,51826,51826,51826,25913,51826,51826,25913,51826,51826,25913,51826,51826,25913,51826,25913,
BOTO-UVSWRR1-W,16119,27651,161582,54221,53140,53140,26570,26570,0,0,0,0,0,0,0,0,
BOTO-WEIMLR0-IP,9168,36508,19274,13430,12894,20614,17692,7050,26726,14234,14770,23804,17692,17826,20882,14368,
BOTO-WGSRV01R0-E,71342,35671,71342,35671,71342,35671,71342,35671,71342,35671,71342,35671,71342,35671,71342,35671,
BOTO-WGSRV02R0-E,0,28568,14284,28568,14284,28568,14284,14284,28568,14284,28568,14284,28568,14284,28568,14284,
BOTO-WGSRV03R0-E,0,0,21878,0,0,0,21878,0,0,0,21878,21878,21878,0,43756,0,
BOTO-WGSRV04R0-E,0,28568,14284,14284,28568,14284,14284,14284,28568,14284,14284,14284,28568,14284,14284,14284,
BOTO-WGSRV05R0-E,14284,14284,14284,14284,14284,28568,14284,0,28568,14284,14284,14284,14284,14284,14284,14284,
BOTO-WGSRV06R0-E,43756,21878,43756,21878,21878,43756,43756,21878,21878,43756,21878,43756,21878,21878,43756,21878,
BOTO-WGSRV07R0-E,21878,43756,43756,21878,43756,43756,43756,21878,43756,21878,43756,43756,43756,21878,43756,21878,
BOTO-WGSRV08R0-E,14284,14284,28568,28568,14284,28568,14284,28568,14284,28568,28568,28568,14284,28568,28568,14284,
BOTO-WGSRV09R0-E,14284,28568,28568,14284,28568,28568,14284,14284,28568,28568,28568,28568,14284,28568,28568,14284,
