Product Template/Kode Internal;Korporat Kode;Product Template/Nama Internal;Location/Display Name;Lot/Serial Number/Lot/Serial Number;Quantity;Unit of Measure/Unit of Measure;Product/Internal Category/Display Name; Qty in KG ;PUP Apr; Total Price (PUP) Apr ;;;Stock 1 May 23;Total Price PUP Apr; 136,336,659 ;Qty in KG; 361.32936 
PRV1-AAF;PEN-PRSVPE-X;Pengawet PE;JTK 4/Stock/RM;GBMJTK6/ID05098;745.00005;g;Raw Material;0.74500005; 167,731 ; 124,960 ;;;;;;;
PRV1-ABB;PEN-SENSC50-X;Pengawet SC 50;JTK 4/Stock/RM;GBMJTK6/ID07064;60;g;Raw Material;0.06; 894,674 ; 53,680 ;;;;;;;
EMO1-AAJ;SILS-034-X;Emollient 034;JTK 4/Stock/RM;GBMJTK6/IB09100;37.5;g;Raw Material;0.0375; 616,831 ; 23,131 ;;;;;;;
PRF1-AKD;PARF-DLPZLE-X;Parfum Admire;JTK 4/Stock/RM;GBMJTK6/IB16145;15;g;Raw Material;0.015; 404,398 ; 6,066 ;;;;;;;
ASB1-AAB;VITA-DL E-MS;Vitamin E1;JTK 4/Stock/RM;GBMJTK6/ID07061;1.5;g;Raw Material;0.0015; 444,452 ; 667 ;;;;;;;
ASB1-AAB;VITA-DL E-MS;Vitamin E1;JTK 4/Stock/RM;GBMJTK6/ID22096;-1;g;Raw Material;-0.001; 444,452 ;-444 ;;;;;;;
EMO1-ABG;EMU-PS-;Octyl Palmitate 2;JTK 4/Stock/RM;GBMJTK6/ID09092;178.25;g;Raw Material;0.17825; 88,724 ; 15,815 ;;;;;;;
PWD3-ADI;DRYF-PC-X;Serbuk Absorbent PC;JTK 4/Quarantine/RM;GBMJTK6/IE24052;-27;g;Raw Material;-0.027; 191,995 ;-5,184 ;;;;;;;
RHM2-AAB;BENT-BGISDV-X;Gel DMH;JTK 4/Quarantine/RM;GBMJTK6/IE19004;-144;g;Raw Material;-0.144; 486,842 ;-70,105 ;;;;;;;
SLV1-AAE;PURO-IDD-X;Pelarut ID;JTK 4/Stock/RM;GBMJTK6/IE07155;0.3;g;Raw Material;0.0003; 113,899 ; 34 ;;;;;;;
RHM2-AAB;BENT-BGISDV-X;Gel DMH;JTK 4/Stock/RM;GBMJTK6/IE05003;0.15;g;Raw Material;0.00015; 486,842 ; 73 ;;;;;;;
SLC3-AAI;SILI-BEL803-X;Silicon Resin 803;JTK 4/Stock/RM;GBMJTK6/ID06013;18.9;g;Raw Material;0.0189; 736,768 ; 13,925 ;;;;;;;
FFM1-AAI;SILI-DC-PSFCS-X;Silicon DC 200/1 CS;JTK 4/Stock/RM;GBMJTK6/ID27002;137;g;Raw Material;0.137; 198,243 ; 27,159 ;;;;;;;
ASB1-AAB;VITA-DL E-MS;Vitamin E1;JTK 4/Stock/RM;GBMJTK6/ID22092;1143;g;Raw Material;1.143; 444,452 ; 508,009 ;;;;;;;
PRV1-AAF;PEN-PRSVPE-X;Pengawet PE;JTK 4/Stock/RM;GBMJTK6/ID26098;444.28;g;Raw Material;0.44428; 167,731 ; 74,520 ;;;;;;;
PRV1-ABB;PEN-SENSC50-X;Pengawet SC 50;JTK 4/Stock/RM;GBMJTK6/IC24025;60;g;Raw Material;0.06; 894,674 ; 53,680 ;;;;;;;
PWD3-ADI;DRYF-PC-X;Serbuk Absorbent PC;JTK 4/Stock/RM;GBMJTK6/IE24052;27;g;Raw Material;0.027; 191,995 ; 5,184 ;;;;;;;
SLC3-AAI;SILI-BEL803-X;Silicon Resin 803;JTK 4/Stock/RM;GBMJTK6/IE11026;0;g;Raw Material;0; 736,768 ; - ;;;;;;;
RHM2-AAB;BENT-BGISDV-X;Gel DMH;JTK 4/Stock/RM;GBMJTK6/IE19004;144;g;Raw Material;0.144; 486,842 ; 70,105 ;;;;;;;
SLV1-AAE;PURO-IDD-X;Pelarut ID;JTK 4/Stock/RM;GBMJTK6/ID06066;5193.5;g;Raw Material;5.1935; 113,899 ; 591,532 ;;;;;;;
PWD3-ADI;DRYF-PC-X;Serbuk Absorbent PC;JTK 4/Stock/RM;GBMJTK6/ID19162;0.15;g;Raw Material;0.00015; 191,995 ; 29 ;;;;;;;
EMS1-ADB;EMUL-EMILST-X;Emullustro;JTK 4/Stock/RM;GBMJTK6/ID06196;316.4;g;Raw Material;0.3164; 968,810 ; 306,532 ;;;;;;;
RHM2-AAB;BENT-BGISDV-X;Gel DMH;JTK 4/Stock/RM;GBMJTK6/ID19013;7811.8;g;Raw Material;7.8118; 486,842 ; 3,803,110 ;;;;;;;
EMO1-AAJ;SILS-034-X;Emollient 034;JTK 4/Stock/RM;GBMJTK6/IB09102;41.45;g;Raw Material;0.04145; 616,831 ; 25,568 ;;;;;;;
SLV1-AAE;PURO-IDD-X;Pelarut ID;JTK 4/Stock/RM;GBMJTK6/IE06103;3100.5;g;Raw Material;3.1005; 113,899 ; 353,142 ;;;;;;;
RHM2-AAB;BENT-BGISDV-X;Gel DMH;JTK 4/Stock/RM;GBMJTK6/ID1913;-2737.35;g;Raw Material;-2.73735; 486,842 ;-1,332,656 ;;;;;;;
EMO1-ABG;EMU-PS-;Octyl Palmitate 2;JTK 4/Stock/RM;GBMJTK6/IE27104;3;g;Raw Material;0.003; 88,724 ; 266 ;;;;;;;
PRF1-AKD;PARF-DLPZLE-X;Parfum Admire;JTK 4/Stock/RM;GBMJTK6/IB25095;3.5;g;Raw Material;0.0035; 404,398 ; 1,415 ;;;;;;;
OBW1-AAC;OIL-OJJBIII-X;Minyak Jojoba III;JTK 4/Stock/RM;GBMJTK6/HL22111;0.5;g;Raw Material;0.0005; 520,361 ; 260 ;;;;;;;
SLC3-AAI;SILI-BEL803-X;Silicon Resin 803;JTK 4/Stock/RM;GBMJTK6/IB08002;11;g;Raw Material;0.011; 736,768 ; 8,104 ;;;;;;;
FFM1-AAI;SILI-DC-PSFCS-X;Silicon DC 200/1 CS;JTK 4/Stock/RM;GBMJTK6/IC09057;12;g;Raw Material;0.012; 198,243 ; 2,379 ;;;;;;;
PRV1-ABB;PEN-SENSC50-X;Pengawet SC 50;JTK 4/Stock/RM;GBMJTK6/IC03039;1;g;Raw Material;0.001; 894,674 ; 895 ;;;;;;;
RHM2-AAB;BENT-BGISDV-X;Gel DMH;JTK 4/Stock/RM;GBMJTK6/IC08005;24;g;Raw Material;0.024; 486,842 ; 11,684 ;;;;;;;
