Product Template/Kode Internal;Korporat Kode;Product Template/Nama Internal;Location/Display Name;Lot/Serial Number/Lot/Serial Number;Quantity;Unit of Measure/Unit of Measure;Product/Internal Category/Display Name; Qty in KG ;PUP Apr; Total Price (PUP) Apr ;;;Stock 1 May 23;Total Price PUP Apr; 136,336,659 ;Qty in KG; 361.32936 
SLV1-AAE;PURO-IDD-X;Pelarut ID;JTK 4/Quarantine/RM;GBMJTK6/JD19017;18;g;Raw Material;0.018; 113,899 ; 2,050 ;;;;;;;
SLV1-AAE;PURO-IDD-X;Pelarut ID;JTK 4/Stock/RM;GBMJTK6/JD19017;-9.10383E-13;g;Raw Material;-9.10383E-16; 113,899 ;-0 ;;;;;;;
SLC3-AAI;SILI-BEL803-X;Silicon Resin 803;JTK 4/Stock/RM;GBMJTK6/JC29009;-4.54747E-13;g;Raw Material;-4.54747E-16; 736,768 ;-0 ;;;;;;;
RHM3-BHAFD;SILC-AERSLR-X;Free Flowing Agent;JTK 4/Stock/RM;GBMJTK6/JF03019;0.9;kg;Raw Material;0.9; 312,487 ; 281,238 ;;;;;;;
PRV1-ABB;PEN-SENSC50-X;Pengawet SC 50;JTK 4/Stock/RM;GBMJTK6/JD06049;180;g;Raw Material;0.18; 894,674 ; 161,041 ;;;;;;;
OBW1-AAE;OIL-ORJVA-X;Minyak Zaitun B;JTK 4/Quarantine/RM;GBMJTK6/JD26133;1.6425;g;Raw Material;0.0016425; 51,169 ; 84 ;;;;;;;
FFM1-AAI;SILI-DC-PSFCS-X;Silicon DC 200/1 CS;JTK 4/Stock/RM;GBMJTK6/JE27020;-4.54747E-13;g;Raw Material;-4.54747E-16; 198,243 ;-0 ;;;;;;;
PRF1-BDADA;PARF-RSCFE-X;Parfum Espresso;JTK 4/Stock/RM;GBMJTK6/JD07075;0.03;kg;Raw Material;0.03; 322,525 ; 9,676 ;;;;;;;
OBW1-AAE;OIL-ORJVA-X;Minyak Zaitun B;JTK 4/Stock/RM;GBMJTK6/JE18074;65.575;g;Raw Material;0.065575; 51,169 ; 3,355 ;;;;;;;
EMS1-ADB;EMUL-EMILST-X;Emullustro;JTK 4/Stock/RM;GBMJTK6/JC01067;1468;g;Raw Material;1.468; 968,810 ; 1,422,213 ;;;;;;;
OBW1-AAE;OIL-ORJVA-X;Minyak Zaitun B;JTK 4/Quarantine/RM;GBMJTK6/JE18074;0.0425;g;Raw Material;4.25E-05; 51,169 ; 2 ;;;;;;;
MST1-ACA;PROP-PGESK-X;PG USP S;JTK 4/Stock/RM;GBMJTK6/JH22049;119;g;Raw Material;0.119; 59,649 ; 7,098 ;;;;;;;
EMS1-ACB;EMUL-NS-X;Emulsifier NS;JTK 4/Stock/RM;GBMJTK6/JG15038;286;g;Raw Material;0.286; 681,048 ; 194,780 ;;;;;;;
MST3-AAG;MOIS-TR100-X;Moisturizer 100;JTK 4/Stock/RM;GBMJTK6/JG19036;15.1;g;Raw Material;0.0151; 141,435 ; 2,136 ;;;;;;;
PRV1-AAF;PEN-PRSVPE-X;Pengawet PE;JTK 4/Stock/RM;GBMJTK6/JH08106;79.4;g;Raw Material;0.0794; 167,731 ; 13,318 ;;;;;;;
PRV1-AAF;PEN-PRSVPE-X;Pengawet PE;JTK 4/Stock/RM;GBMJTK6/JH18090;10.9;g;Raw Material;0.0109; 167,731 ; 1,828 ;;;;;;;
PRV3-AAI;PENG-CLRP-X;Chlorphenesin;JTK 4/Stock/RM;GBMJTK6/JG06050;12.2;g;Raw Material;0.0122; 653,540 ; 7,973 ;;;;;;;
SAI3-AAB;ALAN--AK-K;Anti Iritan;JTK 4/Stock/RM;GBMJTK6/JG21117;1;g;Raw Material;0.001; 138,257 ; 138 ;;;;;;;
SAI3-AAB;ALAN--AK-K;Anti Iritan;JTK 4/Stock/RM;GBMJTK6/JG07043;8.2;g;Raw Material;0.0082; 138,257 ; 1,134 ;;;;;;;
PRF1-ABH;PARF-SSL-R0701530;Parfum Strawberry Shake;JTK 4/Stock/RM;GBMJTK6/JA04187;195.1;g;Raw Material;0.1951; 482,299 ; 94,097 ;;;;;;;
CHE3-AAB;EDT-B--K;EDTA;JTK 4/Stock/RM;GBMJTK6/JE25122;12.2;g;Raw Material;0.0122; 104,904 ; 1,280 ;;;;;;;
CHE3-AAB;EDT-B--K;EDTA;JTK 4/Stock/RM;GBMJTK6/JG27178;14.9;g;Raw Material;0.0149; 104,904 ; 1,563 ;;;;;;;
RHM3-ACH;XANT---K;Keltrol 2;JTK 4/Stock/RM;GBMJTK6/JE10013;10.4;g;Raw Material;0.0104; 256,323 ; 2,666 ;;;;;;;
RHM3-ACH;XANT---K;Keltrol 2;JTK 4/Stock/RM;GBMJTK6/JD12016;3.8;g;Raw Material;0.0038; 256,323 ; 974 ;;;;;;;
WBE3-AAB;EKS-DCV-X;Ekstrak Pemanis;JTK 4/Stock/RM;GBMJTK6/JF16132;1.6;g;Raw Material;0.0016; 6,323,109 ; 10,117 ;;;;;;;
WBE3-AAB;EKS-DCV-X;Ekstrak Pemanis;JTK 4/Stock/RM;GBMJTK6/JC31080;12.2;g;Raw Material;0.0122; 6,323,109 ; 77,142 ;;;;;;;
ASB3-AAC;STAY--DSMR-K;Vitamin C;JTK 4/Stock/RM;GBMJTK6/JD13105;74.3;g;Raw Material;0.0743; 3,312,967 ; 246,153 ;;;;;;;
ASB3-AAC;STAY--DSMR-K;Vitamin C;JTK 4/Stock/RM;GBMJTK6/JA12051;3.7;g;Raw Material;0.0037; 3,312,967 ; 12,258 ;;;;;;;
ASB3-AAC;STAY--DSMR-K;Vitamin C;JTK 4/Stock/RM;GBMJTK6/JD27156;10;g;Raw Material;0.01; 3,312,967 ; 33,130 ;;;;;;;
ASB1-AAF;ACTI-VEAC-X;Vit E-Acetate;JTK 4/Stock/RM;GBMJTK6/JD07133;0.036;kg;Raw Material;0.036; 393,417 ; 14,163 ;;;;;;;
ASB1-AAF;ACTI-VEAC-X;Vit E-Acetate;JTK 4/Stock/RM;GBMJTK6/JD21078;0.05;kg;Raw Material;0.05; 393,417 ; 19,671 ;;;;;;;
OBW1-AAI;OIL-A850029-X;Almond Oil;JTK 4/Stock/RM;GBMJTK6/IL13090;152;g;Raw Material;0.152; 269,043 ; 40,894 ;;;;;;;
MST3-AAB;BIO-HYAL-BIL;Hyaluronic acid;JTK 4/Stock/RM;GBMJTK6/JG06097;1.9992;g;Raw Material;0.0019992; 18,573,697 ; 37,133 ;;;;;;;
CLR3-RED-ACH;WARN--RED227;Warna Merah 227;JTK 4/Stock/RM;6FC1632;367;g;Raw Material;0.367; 7,375,718 ; 2,706,889 ;;;;;;;
CLR3-RED-ACD;WARN-K7008J-X;Red 7008;JTK 4/Stock/RM;GBMJTK6/IJ11144;4.7;g;Raw Material;0.0047; 12,965,246 ; 60,937 ;;;;;;;
CLR3-ORN-AAC;WARN-O025-X;Warna Orange 205;JTK 4/Stock/RM;GBMJTK6/GK19042;8.9;g;Raw Material;0.0089; 1,562,910 ; 13,910 ;;;;;;;
CLR3-YLW-ABB;WARN-TRTYL-X;Warna Kuning Tartrazine;JTK 4/Stock/RM;GBMJTK6/HI11078;653.5;g;Raw Material;0.6535; 88,312 ; 57,712 ;;;;;;;
CLR3-BLU-AAB;WARN-BB--K;Serbuk Warna Biru;JTK 4/Stock/RM;GBMJTK6/JB24073;290;g;Raw Material;0.29; 5,959,374 ; 1,728,218 ;;;;;;;
CLR3-RED-ACI;WARN-K7057J-X;Red 7057;JTK 4/Stock/RM;GBMJTK6/JC29201;12.7;g;Raw Material;0.0127; 11,819,737 ; 150,111 ;;;;;;;
SLV1-AAE;PURO-IDD-X;Pelarut ID;JTK 4/Stock/RM;GBMJTK6/JG25010;129.2;g;Raw Material;0.1292; 113,899 ; 14,716 ;;;;;;;
SLV1-AAE;PURO-IDD-X;Pelarut ID;JTK 4/Stock/RM;GBMJTK6/JH16220;16300.3;g;Raw Material;16.3003; 113,899 ; 1,856,580 ;;;;;;;
SLV1-AAE;PURO-IDD-X;Pelarut ID;JTK 4/Stock/RM;GBMJTK6/JG12023;424.6;g;Raw Material;0.4246; 113,899 ; 48,361 ;;;;;;;
SLV1-AAE;PURO-IDD-X;Pelarut ID;JTK 4/Stock/RM;GBMJTK6/JH16200;4241.1;g;Raw Material;4.2411; 113,899 ; 483,055 ;;;;;;;
PWD3-ADI;DRYF-PC-X;Serbuk Absorbent PC;JTK 4/Stock/RM;GBMJTK6/JH15063;85.5;g;Raw Material;0.0855; 191,995 ; 16,416 ;;;;;;;
PWD3-ADI;DRYF-PC-X;Serbuk Absorbent PC;JTK 4/Stock/RM;GBMJTK6/JF21060;241.1;g;Raw Material;0.2411; 191,995 ; 46,290 ;;;;;;;
PWD3-ADI;DRYF-PC-X;Serbuk Absorbent PC;JTK 4/Stock/RM;GBMJTK6/JH22077;1054.4;g;Raw Material;1.0544; 191,995 ; 202,440 ;;;;;;;
RHM2-AAB;BENT-BGISDV-X;Gel DMH;JTK 4/Stock/RM;GBMJTK6/JF28020;168;g;Raw Material;0.168; 486,842 ; 81,789 ;;;;;;;
RHM2-AAB;BENT-BGISDV-X;Gel DMH;JTK 4/Stock/RM;GBMJTK6/JG19013;915;g;Raw Material;0.915; 486,842 ; 445,460 ;;;;;;;
FFM1-AAI;SILI-DC-PSFCS-X;Silicon DC 200/1 CS;JTK 4/Stock/RM;GBMJTK6/JF24032;11130.8;g;Raw Material;11.1308; 198,243 ; 2,206,607 ;;;;;;;
FFM1-AAI;SILI-DC-PSFCS-X;Silicon DC 200/1 CS;JTK 4/Stock/RM;GBMJTK6/JF14051;209.2;g;Raw Material;0.2092; 198,243 ; 41,473 ;;;;;;;
SLC3-AAI;SILI-BEL803-X;Silicon Resin 803;JTK 4/Stock/RM;GBMJTK6/JG25014;427.7;g;Raw Material;0.4277; 736,768 ; 315,116 ;;;;;;;
RHM3-BHAFD;SILC-AERSLR-X;Free Flowing Agent;JTK 4/Stock/RM;GBMJTK6/JE13024;1.3588;kg;Raw Material;1.3588; 312,487 ; 424,607 ;;;;;;;
EMO1-ADD;HAIM-DIS-X;Emollient DIS;JTK 4/Stock/RM;GBMJTK6/JH11043;917.6;g;Raw Material;0.9176; 447,584 ; 410,703 ;;;;;;;
EMO1-ADD;HAIM-DIS-X;Emollient DIS;JTK 4/Stock/RM;GBMJTK6/JH04113;1137.9;g;Raw Material;1.1379; 447,584 ; 509,306 ;;;;;;;
EMO1-AAJ;SILS-034-X;Emollient 034;JTK 4/Stock/RM;GBMJTK6/JH25113;678.3;g;Raw Material;0.6783; 616,831 ; 418,397 ;;;;;;;
EMO1-ABG;EMU-PS-;Octyl Palmitate 2;JTK 4/Stock/RM;GBMJTK6/JG11075;148.8;g;Raw Material;0.1488; 88,724 ; 13,202 ;;;;;;;
EMO1-ABG;EMU-PS-;Octyl Palmitate 2;JTK 4/Stock/RM;GBMJTK6/JG04091;66.7;g;Raw Material;0.0667; 88,724 ; 5,918 ;;;;;;;
EMS1-ADB;EMUL-EMILST-X;Emullustro;JTK 4/Stock/RM;GBMJTK6/JF28163;1250;g;Raw Material;1.25; 968,810 ; 1,211,013 ;;;;;;;
SLC2-AAD;SILI-BELEG5-X;Silicon EG5;JTK 4/Stock/RM;GBMJTK6/JG19011;145.7;g;Raw Material;0.1457; 426,732 ; 62,175 ;;;;;;;
SLC2-AAD;SILI-BELEG5-X;Silicon EG5;JTK 4/Stock/RM;GBMJTK6/JH02027;135.4;g;Raw Material;0.1354; 426,732 ; 57,779 ;;;;;;;
SLC2-AAD;SILI-BELEG5-X;Silicon EG5;JTK 4/Stock/RM;GBMJTK6/JG25012;33.8;g;Raw Material;0.0338; 426,732 ; 14,424 ;;;;;;;
DSP1-BHAFE;EMO-SLCHS-X;Coating Polymer;JTK 4/Stock/RM;GBMJTK6/JH16219;0.496;kg;Raw Material;0.496; 1,285,906 ; 637,810 ;;;;;;;
DSP1-BHAFE;EMO-SLCHS-X;Coating Polymer;JTK 4/Stock/RM;GBMJTK6/JG07113;0.4438;kg;Raw Material;0.4438; 1,285,906 ; 570,685 ;;;;;;;
PRV1-BBABG;PENG-NPGEHP-X;Pengawet PHE;JTK 4/Stock/RM;GBMJTK6/JG06024;1.071;kg;Raw Material;1.071; 146,226 ; 156,608 ;;;;;;;
PRV1-ABB;PEN-SENSC50-X;Pengawet SC 50;JTK 4/Stock/RM;GBMJTK6/JF22104;164;g;Raw Material;0.164; 894,674 ; 146,727 ;;;;;;;
PRF1-AKD;PARF-DLPZLE-X;Parfum Admire;JTK 4/Stock/RM;GBMJTK6/JB07108;370.4775;g;Raw Material;0.3704775; 404,398 ; 149,820 ;;;;;;;
OBW1-AAC;OIL-OJJBIII-X;Minyak Jojoba III;JTK 4/Stock/RM;GBMJTK6/JC14076;36.5;g;Raw Material;0.0365; 520,361 ; 18,993 ;;;;;;;
ASB1-AAB;VITA-DL E-MS;Vitamin E1;JTK 4/Stock/RM;GBMJTK6/JB02138;18546;g;Raw Material;18.546; 444,452 ; 8,242,806 ;;;;;;;
PWD3-ADB;TITA--3328EW-K;Titanium;JTK 4/Stock/RM;GBMJTK6/IL20128;51.3;g;Raw Material;0.0513; 123,191 ; 6,320 ;;;;;;;
PWD3-ADB;TITA--3328EW-K;Titanium;JTK 4/Stock/RM;GBMJTK6/JA17065;2805.4;g;Raw Material;2.8054; 123,191 ; 345,600 ;;;;;;;
CLR3-RED-AAC;WARN-C335138--K;C33-5138;JTK 4/Stock/RM;GBMJTK6/JA18103;19.2;g;Raw Material;0.0192; 340,491 ; 6,537 ;;;;;;;
CLR3-RED-AAC;WARN-C335138--K;C33-5138;JTK 4/Stock/RM;GBMJTK6/JA28058;0.6;g;Raw Material;0.0006; 340,491 ; 204 ;;;;;;;
CLR3-RED-AAE;WARN-C196619-R6-K;C19-6619;JTK 4/Stock/RM;GBMJTK6/IK23062;105.46;g;Raw Material;0.10546; 1,471,339 ; 155,167 ;;;;;;;
CLR3-YLW-AAB;WARN-C338--K;C33-8073;JTK 4/Stock/RM;GBMJTK6/JA28054;1112.5;g;Raw Material;1.1125; 301,440 ; 335,353 ;;;;;;;
CLR3-RED-ABB;WARN-C19011-R7CL-K;C19-011;JTK 4/Stock/RM;GBMJTK6/JG07020;168.8;g;Raw Material;0.1688; 939,814 ; 158,641 ;;;;;;;
CLR3-BLK-ABB;WARN-ABIO-X;Black A-IO;JTK 4/Stock/RM;GBMJTK6/JE19072;1126.98;g;Raw Material;1.12698; 288,858 ; 325,537 ;;;;;;;
PWD3-ABA;TITA-OTS2CR50-;Titan OTS;JTK 4/Stock/RM;GBMJTK6/JG19201;92.9;g;Raw Material;0.0929; 281,339 ; 26,136 ;;;;;;;
PWD3-ABA;TITA-OTS2CR50-;Titan OTS;JTK 4/Stock/RM;GBMJTK6/JG19200;7.1;g;Raw Material;0.0071; 281,339 ; 1,998 ;;;;;;;
CLR3-RED-AAJ;WARN-C19012-DCR6-K;C19-012;JTK 4/Stock/RM;GBMJTK6/JE24088;5589.2;g;Raw Material;5.5892; 1,212,374 ; 6,776,203 ;;;;;;;
CLR3-RED-AAJ;WARN-C19012-DCR6-K;C19-012;JTK 4/Stock/RM;GBMJTK6/JE19070;57.7;g;Raw Material;0.0577; 1,212,374 ; 69,954 ;;;;;;;
CLR3-RED-ABD;WARN-RED3AS-X;Warna merah 3AS;JTK 4/Stock/RM;GBMJTK6/HI07035;3757.5;g;Raw Material;3.7575; 391,680 ; 1,471,736 ;;;;;;;
CLR3-BRW-AAC;WARN-TOA403-KF;Tudor Oak;JTK 4/Stock/RM;GBMJTK6/JB04059;122.2;g;Raw Material;0.1222; 346,170 ; 42,302 ;;;;;;;
CLR3-BRW-AAC;WARN-TOA403-KF;Tudor Oak;JTK 4/Stock/RM;GBMJTK6/JD08034;78.1;g;Raw Material;0.0781; 346,170 ; 27,036 ;;;;;;;
PRF1-BDADA;PARF-RSCFE-X;Parfum Espresso;JTK 4/Stock/RM;GBMJTK6/JE17166;0.033;kg;Raw Material;0.033; 322,525 ; 10,643 ;;;;;;;
PRF1-BDADA;PARF-RSCFE-X;Parfum Espresso;JTK 4/Stock/RM;GBMJTK6/JG14106;0.10684;kg;Raw Material;0.10684; 322,525 ; 34,459 ;;;;;;;
PRF1-ADF;PARF-VMR-X;Parfum Lipstik C;JTK 4/Stock/RM;GBMJTK6/JG07057;14.5;g;Raw Material;0.0145; 722,414 ; 10,475 ;;;;;;;
PRF1-ADF;PARF-VMR-X;Parfum Lipstik C;JTK 4/Stock/RM;GBMJTK6/JH23209;438;g;Raw Material;0.438; 722,414 ; 316,417 ;;;;;;;
WAX3-ABI;WAX-SBWX--X;Beeswax Sintetik;JTK 4/Stock/RM;GBMJTK6/JG06054;94.7;g;Raw Material;0.0947; 170,613 ; 16,157 ;;;;;;;
WAX3-ABI;WAX-SBWX--X;Beeswax Sintetik;JTK 4/Stock/RM;GBMJTK6/JH04029;82.3;g;Raw Material;0.0823; 170,613 ; 14,041 ;;;;;;;
RHM3-AAG;COVA--;Serbuk Pengental;JTK 4/Stock/RM;GBMJTK6/JH15094;4100;g;Raw Material;4.1; 1,067,615 ; 4,377,221 ;;;;;;;
CLR3-RED-AAC;WARN-C335138--K;C33-5138;JTK 4/Stock/RM;GBMJTK6/JE19075;812.5;g;Raw Material;0.8125; 340,491 ; 276,649 ;;;;;;;
CLR3-RED-AAC;WARN-C335138--K;C33-5138;JTK 4/Stock/RM;GBMJTK6/JB24012;4.7;g;Raw Material;0.0047; 340,491 ; 1,600 ;;;;;;;
CLR3-ORN-AAC;WARN-O025-X;Warna Orange 205;JTK 4/Stock/RM;GBMJTK6/JE25150;423.081;g;Raw Material;0.423081; 1,562,910 ; 661,238 ;;;;;;;
CLR3-ORN-AAC;WARN-O025-X;Warna Orange 205;JTK 4/Stock/RM;GBMJTK6/JF30015;1000;g;Raw Material;1; 1,562,910 ; 1,562,910 ;;;;;;;
MST1-ACA;PROP-PGESK-X;PG USP S;JTK 4/Stock/RM;GBMJTK6/JH30167;120;g;Raw Material;0.12; 59,649 ; 7,158 ;;;;;;;
EMS1-ACB;EMUL-NS-X;Emulsifier NS;JTK 4/Stock/RM;GBMJTK6/JG29010;384;g;Raw Material;0.384; 681,048 ; 261,523 ;;;;;;;
MST3-AAG;MOIS-TR100-X;Moisturizer 100;JTK 4/Stock/RM;GBMJTK6/JH16024;23.3;g;Raw Material;0.0233; 141,435 ; 3,295 ;;;;;;;
PRV1-AAF;PEN-PRSVPE-X;Pengawet PE;JTK 4/Stock/RM;GBMJTK6/JI05083;9.2;g;Raw Material;0.0092; 167,731 ; 1,543 ;;;;;;;
MST3-AAB;BIO-HYAL-BIL;Hyaluronic acid;JTK 4/Stock/RM;GBMJTK6/JH03085;65.7;g;Raw Material;0.0657; 18,573,697 ; 1,220,292 ;;;;;;;
CLR3-RED-ACI;WARN-K7057J-X;Red 7057;JTK 4/Stock/RM;GBMJTK6/JC14166;7.3;g;Raw Material;0.0073; 11,819,737 ; 86,284 ;;;;;;;
SLV1-AAE;PURO-IDD-X;Pelarut ID;JTK 4/Stock/RM;GBMJTK6/JH23009;1220.4;g;Raw Material;1.2204; 113,899 ; 139,002 ;;;;;;;
RHM2-AAB;BENT-BGISDV-X;Gel DMH;JTK 4/Stock/RM;GBMJTK6/JH09003;330;g;Raw Material;0.33; 486,842 ; 160,658 ;;;;;;;
RHM2-AAB;BENT-BGISDV-X;Gel DMH;JTK 4/Stock/RM;GBMJTK6/JH09002;791;g;Raw Material;0.791; 486,842 ; 385,092 ;;;;;;;
EMO1-ABG;EMU-PS-;Octyl Palmitate 2;JTK 4/Stock/RM;GBMJTK6/JG14100;77.3;g;Raw Material;0.0773; 88,724 ; 6,858 ;;;;;;;
CLR3-RED-AAC;WARN-C335138--K;C33-5138;JTK 4/Stock/RM;GBMJTK6/JC15086;17.87;g;Raw Material;0.01787; 340,491 ; 6,085 ;;;;;;;
CLR3-YLW-AAB;WARN-C338--K;C33-8073;JTK 4/Stock/RM;GBMJTK6/JE10060;1;g;Raw Material;0.001; 301,440 ; 301 ;;;;;;;
PWD3-ABA;TITA-OTS2CR50-;Titan OTS;JTK 4/Stock/RM;GBMJTK6/JH09181;49.4;g;Raw Material;0.0494; 281,339 ; 13,898 ;;;;;;;
SLV1-AAE;PURO-IDD-X;Pelarut ID;JTK 4/Stock/RM;GBMJTK6/JH23181;478.4;g;Raw Material;0.4784; 113,899 ; 54,489 ;;;;;;;
SLV1-AAE;PURO-IDD-X;Pelarut ID;JTK 4/Stock/RM;GBMJTK6/JH23010;987.9;g;Raw Material;0.9879; 113,899 ; 112,520 ;;;;;;;
RHM2-AAB;BENT-BGISDV-X;Gel DMH;JTK 4/Stock/RM;GBMJTK6/JH23007;834;g;Raw Material;0.834; 486,842 ; 406,026 ;;;;;;;
FFM1-AAI;SILI-DC-PSFCS-X;Silicon DC 200/1 CS;JTK 4/Stock/RM;GBMJTK6/JH26025;714.1;g;Raw Material;0.7141; 198,243 ; 141,566 ;;;;;;;
SLC3-AAI;SILI-BEL803-X;Silicon Resin 803;JTK 4/Stock/RM;GBMJTK6/JF28037;282.6;g;Raw Material;0.2826; 736,768 ; 208,211 ;;;;;;;
EMO1-ADD;HAIM-DIS-X;Emollient DIS;JTK 4/Stock/RM;GBMJTK6/JH25061;1954.6;g;Raw Material;1.9546; 447,584 ; 874,849 ;;;;;;;
EMO1-AAJ;SILS-034-X;Emollient 034;JTK 4/Stock/RM;GBMJTK6/JI15128;221.1;g;Raw Material;0.2211; 616,831 ; 136,381 ;;;;;;;
EMO1-ABG;EMU-PS-;Octyl Palmitate 2;JTK 4/Stock/RM;GBMJTK6/JF13071;266.6;g;Raw Material;0.2666; 88,724 ; 23,654 ;;;;;;;
PRV1-ABB;PEN-SENSC50-X;Pengawet SC 50;JTK 4/Stock/RM;GBMJTK6/JH22102;160;g;Raw Material;0.16; 894,674 ; 143,148 ;;;;;;;
MST1-ACA;PROP-PGESK-X;PG USP S;JTK 4/Stock/RM;GBMJTK6/JI16095;5128;g;Raw Material;5.128; 59,649 ; 305,879 ;;;;;;;
MST3-AAG;MOIS-TR100-X;Moisturizer 100;JTK 4/Stock/RM;GBMJTK6/JH23022;3.4;g;Raw Material;0.0034; 141,435 ; 481 ;;;;;;;
PRV1-AAF;PEN-PRSVPE-X;Pengawet PE;JTK 4/Stock/RM;GBMJTK6/JI12089;113.7;g;Raw Material;0.1137; 167,731 ; 19,071 ;;;;;;;
PRV3-AAI;PENG-CLRP-X;Chlorphenesin;JTK 4/Stock/RM;GBMJTK6/JH24008;12.8;g;Raw Material;0.0128; 653,540 ; 8,365 ;;;;;;;
SAI3-AAB;ALAN--AK-K;Anti Iritan;JTK 4/Stock/RM;GBMJTK6/JH18130;286.8;g;Raw Material;0.2868; 138,257 ; 39,652 ;;;;;;;
PRF1-ABH;PARF-SSL-R0701530;Parfum Strawberry Shake;JTK 4/Stock/RM;GBMJTK6/HC19044;-1.13687E-13;g;Raw Material;-1.13687E-16; 482,299 ;-0 ;;;;;;;
WBE3-AAB;EKS-DCV-X;Ekstrak Pemanis;JTK 4/Stock/RM;GBMJTK6/JG14061;7.2;g;Raw Material;0.0072; 6,323,109 ; 45,526 ;;;;;;;
SLV1-AAE;PURO-IDD-X;Pelarut ID;JTK 4/Stock/RM;GBMJTK6/JI06018;4700.6;g;Raw Material;4.7006; 113,899 ; 535,391 ;;;;;;;
RHM2-AAB;BENT-BGISDV-X;Gel DMH;JTK 4/Stock/RM;GBMJTK6/JH23008;66;g;Raw Material;0.066; 486,842 ; 32,132 ;;;;;;;
FFM1-AAI;SILI-DC-PSFCS-X;Silicon DC 200/1 CS;JTK 4/Stock/RM;GBMJTK6/JH26027;1025.2;g;Raw Material;1.0252; 198,243 ; 203,239 ;;;;;;;
SLC3-AAI;SILI-BEL803-X;Silicon Resin 803;JTK 4/Stock/RM;GBMJTK6/JI13019;462.7;g;Raw Material;0.4627; 736,768 ; 340,902 ;;;;;;;
EMO1-ABG;EMU-PS-;Octyl Palmitate 2;JTK 4/Stock/RM;GBMJTK6/JI26097;249.1;g;Raw Material;0.2491; 88,724 ; 22,101 ;;;;;;;
SLC2-AAD;SILI-BELEG5-X;Silicon EG5;JTK 4/Stock/RM;GBMJTK6/JI06004;142.7;g;Raw Material;0.1427; 426,732 ; 60,895 ;;;;;;;
DSP1-BHAFE;EMO-SLCHS-X;Coating Polymer;JTK 4/Stock/RM;GBMJTK6/JI22119;0.6842;kg;Raw Material;0.6842; 1,285,906 ; 879,817 ;;;;;;;
PWD3-ABA;TITA-OTS2CR50-;Titan OTS;JTK 4/Stock/RM;GBMJTK6/JH29123;9.05;g;Raw Material;0.00905; 281,339 ; 2,546 ;;;;;;;
PWD3-ADI;DRYF-PC-X;Serbuk Absorbent PC;JTK 4/Stock/RM;GBMJTK6/JH30124;685;g;Raw Material;0.685; 191,995 ; 131,517 ;;;;;;;
RHM2-AAB;BENT-BGISDV-X;Gel DMH;JTK 4/Stock/RM;GBMJTK6/JH30044;7300;g;Raw Material;7.3; 486,842 ; 3,553,944 ;;;;;;;
RHM2-AAB;BENT-BGISDV-X;Gel DMH;JTK 4/Stock/RM;GBMJTK6/JH30045;1898;g;Raw Material;1.898; 486,842 ; 924,026 ;;;;;;;
PRV1-BBABG;PENG-NPGEHP-X;Pengawet PHE;JTK 4/Stock/RM;GBMJTK6/JH03062;0;kg;Raw Material;0; 146,226 ; - ;;;;;;;
CLR3-RED-AAE;WARN-C196619-R6-K;C19-6619;JTK 4/Stock/RM;GBMJTK6/JA18091;84.18;g;Raw Material;0.08418; 1,471,339 ; 123,857 ;;;;;;;
CLR3-YLW-AAB;WARN-C338--K;C33-8073;JTK 4/Stock/RM;GBMJTK6/JC22118;5.2;g;Raw Material;0.0052; 301,440 ; 1,567 ;;;;;;;
MST1-ACA;PROP-PGESK-X;PG USP S;JTK 4/Stock/RM;GBMJTK6/JI21130;17;g;Raw Material;0.017; 59,649 ; 1,014 ;;;;;;;
MST1-ACA;PROP-PGESK-X;PG USP S;JTK 4/Stock/RM;GBMJTK6/JI23068;1690;g;Raw Material;1.69; 59,649 ; 100,806 ;;;;;;;
MST3-AAG;MOIS-TR100-X;Moisturizer 100;JTK 4/Stock/RM;GBMJTK6/JH23037;10.8;g;Raw Material;0.0108; 141,435 ; 1,528 ;;;;;;;
CHE3-AAB;EDT-B--K;EDTA;JTK 4/Stock/RM;GBMJTK6/JH29130;43.8603;g;Raw Material;0.0438603; 104,904 ; 4,601 ;;;;;;;
RHM3-ACH;XANT---K;Keltrol 2;JTK 4/Stock/RM;GBMJTK6/JI06028;3.8;g;Raw Material;0.0038; 256,323 ; 974 ;;;;;;;
OBW1-AAI;OIL-A850029-X;Almond Oil;JTK 4/Stock/RM;GBMJTK6/JH11050;90;g;Raw Material;0.09; 269,043 ; 24,214 ;;;;;;;
SLV1-AAE;PURO-IDD-X;Pelarut ID;JTK 4/Stock/RM;GBMJTK6/JI13004;7823;g;Raw Material;7.823; 113,899 ; 891,028 ;;;;;;;
FFM1-AAI;SILI-DC-PSFCS-X;Silicon DC 200/1 CS;JTK 4/Stock/RM;GBMJTK6/JI30013;0.9;g;Raw Material;0.0009; 198,243 ; 178 ;;;;;;;
SLC3-AAI;SILI-BEL803-X;Silicon Resin 803;JTK 4/Stock/RM;GBMJTK6/JH23020;295;g;Raw Material;0.295; 736,768 ; 217,347 ;;;;;;;
EMO1-AAJ;SILS-034-X;Emollient 034;JTK 4/Stock/RM;GBMJTK6/JJ04054;4.5;g;Raw Material;0.0045; 616,831 ; 2,776 ;;;;;;;
CLR3-RED-AAC;WARN-C335138--K;C33-5138;JTK 4/Stock/RM;GBMJTK6/JE24090;0.2;g;Raw Material;0.0002; 340,491 ; 68 ;;;;;;;
