Update:,16 Mar 2023,Update Nama Pabrik & Kode Internal (File Kendali Matriks 15/4/21),Update BB 3 November 2021,22 December 2022,,24 May 2023,22 December 2022,15 Mar 2023,12 May 2023,12 May 2023,,,,,,,,,,,
504,SILI-DCF-ID-X,Silikon Film,FFM1-AAE,"Dow Corning FA 4002 ID Silicone Acrylate ex. Dow Corning Toray Co., Ltd. Japan",Kg,Eksis,,"Mega Setia Agung Kimia, PT",24,15,Ilham,,,SILI-DCF-ID-X,Active,,,#N/A,,,
505,OPT-ASH--X,Pengawet OP,PRV1-AAG,"Optiphen ex. ISP Technologies, Inc. USA",Kg,Eksis,,"DKSH Indonesia, PT",20,5,Septi,,,OPT-ASH--X,Active,,,#N/A,,,
506,BENT-BGISDV-X,Gel DMH,RHM2-AAB,"Bentone Gel ISD V ex. Elementis Specialties, Inc. USA",Kg,Eksis,,"DKSH Indonesia, PT",20,80,Septi,,,BENT-BGISDV-X,Active,,,#N/A,,,
507,WAX-CDL204--X,Candelilla Wax 2,WAX3-ABH,"Candelilla 204 ex. Koster Keunen, Inc.",Kg,Eksis,,"Ingredients Plus, PT",8,25,Septi,,,WAX-CDL204--X,Active,,,#N/A,,,
508,RHEO-PRTT2-X,Glowing Gel,PWD3-ADJ,"Rheopearl TT2 ex. Chiba Flour Milling Co., Ltd. Japan",Kg,Eksis,,"Kemiko Indonesia, PT",20,10,Septi,Pull,,RHEO-PRTT2-X,Active,,,#N/A,,,
509,WAX-SBWX--X,Beeswax Sintetik,WAX3-ABI,"Synthetic Beeswax 122 ex. Koster Keunen, Inc. USA",Kg,Eksis,,"Ingredients Plus, PT",8,25,Septi,,,WAX-SBWX--X,Active,,,#N/A,,,
510,WAX-KWK62--X,Wax 62,WAX3-ABJ,"Kester Wax K62 ex. Koster Keunen, Inc. USA",Kg,Eksis,,"Ingredients Plus, PT",8,25,Septi,,,WAX-KWK62--X,Active,,,#N/A,,,
511,SUNS-PTX-X,Titan Sunscreen,SCR3-AAG,"Parsol TX ex DSM Nutritional Products, Ltd. Switzerland",Kg,Eksis,,"Menjangan Sakti, PT",10,10,Septi,Pull,,SUNS-PTX-X,Active,,,SUNS-PTX-X,,,
512,SUNS-UVAPG-X,Sunscreen UV AP,SCR3-AAH,Uvinul A Plus Granular ex. BASF SE Germany,Kg,Eksis,,"BASF Distribution Indonesia, PT",18,25,Septi,Pull,,SUNS-UVAPG-X,Active,,,#N/A,,,
513,ABIL-EM90-X,Emulgator 90,EMS1-AAB,Abil EM 90 ex. Evonik Operation GmbH Germany,Kg,Habiskan stock,,"Evonik Indonesia, PT",20,180,Septi,,,ABIL-EM90-X,Active,,,#N/A,,,
514,SUNS-PR340-X,Sunscreen OCT,SCR1-AAI,"Parsol 340 ex DSM Nutritional Product (Origin : Sinobest Cosmeceutical Co., Ltd), China",Kg,Eksis,Cek Mikro,"Menjangan Sakti, PT",20,600,Septi,Pull,palet,SUNS-PR340-X,Active,,,#N/A,,,
515,ABIL-W9801-X,Emollient CTD,EMO1-ACH,Abil Wax 9801 ex. Evonik Goldschmidt GmbH Germany,Kg,Eliminasi,,"Evonik Indonesia, PT",20,180,Septi,,,ABIL-W9801-X,Active,,,#N/A,,,
516,SILI-SS4230-X,Cairan Film Silikat,,SS4230 ex. Momentive Performance Materials Germany,Kg,Belum Eksis,,"Kemiko Indonesia, PT",2,20,Septi,Pull,,SILI-SS4230-X,Inactive,,,#N/A,,,
517,TOSP-2000B-X,Blurring Powder,PWD3-AEB,"Tospearl 2000 B ex. Momentive Performance Materials Japan LLC, Japan",Kg,Eksis,,"Kemiko Indonesia, PT",16,10,Septi,Pull,,TOSP-2000B-X,Active,,,#N/A,,,
518,UNF-HVY--X,Pengental Kuning,RHM3-ADC,"Unifilma HVY ex. Chiba Flour Milling Co., Ltd. Japan",Kg,Belum Eksis,,"Kemiko Indonesia, PT",2,1,Septi,Pull,,UNF-HVY--X,Inactive,,,#N/A,,,
519,PURO-IDD-X,Pelarut ID,SLV1-AAE,Purolan IDD ex Lanxess Distribution GmbH Germany,Kg,Eksis,,"DKSH Indonesia, PT
Kemiko Indonesia, PT",20,150,,Pull,,PURO-IDD-X,Active,,,#N/A,,,
520,NIKO-MLWO-X,Emulgator HCT,,"Nikkomulese WO ex Nikko Chemicals Co., Ltd. Japan",Kg,Belum Eksis,,"Dwipar Loka Ayu, PT",2,1,Amel,,,NIKO-MLWO-X,Inactive,,,#N/A,,,
521,OIL-ARG-X,Argan Oil,OBW1-AAG,"Argan Oil ex. DSM Nutritional Products Ltd., France",Kg,Eksis,,"Menjangan Sakti, PT",20,10,Septi,Pull,,OIL-ARG-X,Active,,,#N/A,,,
522,ABIL-WE09-X,Emulgator WE,EMS1-AAF,Abil WE 09 MB ex. Evonik Operation GmbH Germany,Kg,Habiskan Stock,,"Evonik Indonesia, PT",20,190,Septi,,,ABIL-WE09-X,Active,,,#N/A,,,
523,SILI-EL7040-X,Silikon 7040,RHM3-ADE,"Dow Corning EL-7040 Hydro Elastomer Blend ex. Dow Corning Singapore Pte., Ltd. Singapore",Kg,Eksis,,"Mega Setia Agung Kimia, PT",24,14,Ilham,,,SILI-EL7040-X,Active,,,#N/A,,,
524,CRDT-F20-X,Lilin BA,,Crodesta F20-PW-(RB) ex. Croda Europe Ltd.,Kg,Belum Eksis,,"Tritunggal Artha Makmur, PT",2,1,Ilham,,,CRDT-F20-X,Inactive,,,#N/A,,,
525,SERI-SIFSE-X,Sericite Coated FSE,,"SI01-2 Sericite FSE ex. Daito Kasei Kogyo Co., Ltd. Japan",Kg,Belum Eksis,,"Kemiko Indonesia, PT",2,20,Septi,Pull,,SERI-SIFSE-X,Inactive,,,#N/A,,,
526,OIL-ORJVA-X,Minyak Zaitun B,OBW1-AAE,"Orujo-Oliva Altivo ex. Aceites Del Sur, S.A. Spain",L,Eksis,,"Narda Tita, PT",12,5,Ilham,,,OIL-ORJVA-X,Active,,,#N/A,,,
527,GARA-VCNI-X,Garam Vakum,SLT3-AAE,Vacum Salt - Non Iodium ex. PT Garam (Persero) Indonesia,Kg,Eksis,,"Mega Setia Agung Kimia, PT",7,25,Ilham,,,GARA-VCNI-X,Active,,,#N/A,,,
528,HYAL-HALQ-X,Hyaluronic acid II,,Hyaluronsan HA-LQ (Sodium Hyaluronate) ex Q.P. Corpration Fine Chemical Division Japan,G,Belum Eksis,,"Kemiko Indonesia, PT",2,100,Septi,Pull,,HYAL-HALQ-X,Inactive,,,#N/A,,,
529,SILI-DC9045-X,Silikon 9045,SLC3-AAC,"Dow Corning 9045 Silicone Elastomer Blend ex. Dow Corning Singapore Pte., Ltd., USA",Kg,Eksis,,"Mega Setia Agung Kimia, PT",24,180,Ilham,,,SILI-DC9045-X,Active,,,#N/A,,,
530,BHT-CRTL-X,BHT B,ASB3-AAB,B.H.T. Crystal ex. Sterlitamak Petrochemical Plant Russia,Kg,Eksis,,"Behn Meyer Chemical, PT
REDACHEM INDONESIA, PT",8,20,,,,BHT-CRTL-X,Active,,,#N/A,,,
531,GENP-TSPWD-X,Powder Shampo TS,EMS3-AAE,Genapol TS Powder ex Clariant Produkte (Deutschland) GmbH Germany,Kg,Eliminasi,,"Kemiko Indonesia, PT",2,20,Septi,Pull,,GENP-TSPWD-X,Active,,,GENP-TSPWD-X,,,
532,CRO1-OPLQS-X,Octyl Palmitate 3,EMO1-BIAJH,Crodamol OP-LQ-(SG),Kg,Eksis,,"Croda Trading Indonesia, PT",6,175,Ilham,,,CRO1-OPLQS-X,Inactive,,,#N/A,,,
533,OLIV-900BT-X,Emulgator 900,EMS1-AAG,Olivem 900 ex. B&T S.r.l Italy,Kg,Eksis,,"Lautan Luas, PT",20,20,Ilham,Pull,,OLIV-900BT-X,Active,,,#N/A,,,
534,SILI-FZ3196-X,Emollient FZ,EMO1-ACJ,"Dow Corning FZ-3196 ex. Dow Corning Singapore Pte., Ltd. Singapore",Kg,Eksis,,"Mega Setia Agung Kimia, PT",24,168,Ilham,,,SILI-FZ3196-X,Active,,,SILI-FZ3196-X,,,
535,ZINC-10PL-X,Sunscreen ZnO,SCR3-AAI,"Zano 10 Plus ex. Umicore Zinc Chemicals, Netherland",Kg,Eksis,,"Infinisia Sumber Semesta, PT",16,20,Ilham,,,ZINC-10PL-X,Active,,182,#N/A,,,
536,SERI-8325-X,Sericite Coated 8325,,"Sericite Powder HS8325G ex. Anhui Henghao Science and Technology Co., Ltd. China",Kg,Belum Eksis,,"NeoChem Indonesia, PT",2,25,Septi,,,SERI-8325-X,Inactive,,,#N/A,,,
537,EXTR-WTCH-X,Cairan Astringen B,,Witch Hazel ex. Bioland Korea,Kg,Belum Eksis,,"Menjangan Sakti, PT",2,25,Septi,Pull,,EXTR-WTCH-X,Inactive,,,#N/A,,,
538,NEUT-LM-X,Cairan Anti Iritan NT,SAI1-AAC,"Neutrazen ex. Lucas Meyer Cosmetics Canada Inc., Canada",Kg,Eksis,,"Menjangan Sakti, PT",12,1,Septi,Pull,,NEUT-LM-X,Active,,,#N/A,,,
539,MCRC-CBTR-X,Pengawet CB,,Microcare CB ex. Thor Specialties Sdn. Bhd. Malaysia,Kg,Belum Eksis,,"Tritunggal Artha Makmur, PT",2,25,Ilham,,,MCRC-CBTR-X,Inactive,,,#N/A,,,
540,BENE-K200-X,Pengental HPM,RHM3-ADD,"Benecel (TM) K200M Hypromellose ex Hercules Doel BVBA Belgium, Affiliate of Ashland Inc.",Kg,Eksis,,"DKSH Indonesia, PT",20,18.14,Septi,,,BENE-K200-X,Active,163.26,,#N/A,,,
541,DRYF-PC-X,Serbuk Absorbent PC,PWD3-ADI,"Dry-Flo PC ex. Nouryon, USA",Kg,Eksis,Cek Mikro,"IMCD Indonesia, PT",18,22.68,Ilham,,,DRYF-PC-X,Active,113.4,340.2,DRYF-PC-X,,,
542,TITA-CROTS-X,Titan OTS-B,PWD3-AEC,"CR-50 OTS ex. Chemland Co., Ltd. Korea",Kg,Eksis,,"Infinisia Sumber Semesta, PT",16,25,Ilham,,,TITA-CROTS-X,Active,,,TITA-CROTS-X,,,
543,DBB-DLNI-X,Garam DBB,,DBB (DOLINA Non Iodised Table Salt) ex PT Sidola,Kg,Belum Eksis,,"Sidola, PT",2,25,,,,DBB-DLNI-X,Inactive,,,#N/A,,,
544,REGU-FD-X,Serbuk Pemutih RSV,WHT3-AAG,"Regu-Fade ex. DSM Nutritional Products, Ltd. Switzerland (Country Of Origin: India)",Kg,Belum Eksis,,"Tritunggal Artha Makmur, PT",2,0.1,Ilham,,,REGU-FD-X,Active,,,#N/A,,,
545,TEGS-MM-X,Body Agent MM,EMO3-AAB,"Tegosoft MM ex Evonik Goldschmidt GmbH, Germany",Kg,Eksis,,"Evonik Indonesia, PT",20,25,Septi,,,TEGS-MM-X,Active,,,#N/A,,,
546,ACTM-WHTL-X,Serbuk Pemutih WHT,WHT3-AAF,"Actosome Whitenol ex. Act Co., Ltd. Korea",Kg,Eliminasi,,"Kemiko Indonesia, PT",6,1,Septi,Pull,,ACTM-WHTL-X,Active,,,#N/A,,,
547,VITA-B3PC-X,Vitamin B3 PC,AAG3-AAF,"Niacinamide PC ex Vertellus Specialty Chemicals (Nantong) Co. Ltd., China",Kg,Eksis,,"Menjangan Sakti, PT",20,500,Septi,Pull,palet,VITA-B3PC-X,Habiskan stock (Ganti principle),,,VITA-B3PC-X,,,
548,ACTM-Q10-X,Cairan Q10,AAG1-AAB,"Actosome Ubiquionone ex. Act Co., Ltd. Korea",Kg,Eksis,,"Kemiko Indonesia, PT",6,1,Septi,Pull,,ACTM-Q10-X,Active,,,#N/A,,,
549,FUCO-15PSLB-X,Moisturizer Gum,MST1-ABB,"Fucogel 1.5P ex. Solabia, France",Kg,Eksis,,"Avantchem, PT",16,25,Amel,,,FUCO-15PSLB-X,Active,,,#N/A,,,
550,SYM-377-X,Serbuk Pemutih 377,WHT3-AAE,"SymWhite 377 ex. Symrise Asia Pacific Pte., Ltd. Singapore",Kg,Eliminasi,Cek Mikro,"Symrise, PT",2,20,Ilham,,,SYM-377-X,Active,,,#N/A,,,
551,HYDL-5SMR-X,Cairan Pelembab H-5,MST1-ABA,"Hydrolite 5 ex. Symrise Asia Pacific Pte., Ltd. Singapore",Kg,Habiskan Stock,,"Symrise, PT",16,25,Ilham,,,HYDL-5SMR-X,Active,,,HYDL-5SMR-X,,,
552,BASI-LP20H-X,Bahan Feel Enhancer,PWD3-AEA,"Basis LP-20H ex. The Nisshin Oillio Group, Ltd. Japan",Kg,Eksis,Cek Mikro,"Kemiko Indonesia, PT",20,10,Septi,Pull,,BASI-LP20H-X,Active,,,#N/A,,,
553,SALA-WO6-X,Pendispers Warna WO,DSP1-AAF,"Salacos WO-6 ex. The Nisshin Oillio Group, Ltd. Japan",Kg,Eksis,,"Kemiko Indonesia, PT",12,16,Septi,Pull,,SALA-WO6-X,Active,,,#N/A,,,
554,ACTM-CTLA-X,Ekstrak Pegagan,WBE1-AAH,"Actosome Centella ex. Act Co., Ltd. Korea",Kg,Eksis,,"Kemiko Indonesia, PT",6,1,Septi,Pull,,ACTM-CTLA-X,Active,,,#N/A,,,
555,EXTR-SILVBG30-X,Ekstrak Silver Vine,WHT1-AAD,"Silver Vine Extract BG30 ex. Maruzen Pharmaceuticals Co., Ltd. Japan",Kg,Eksis,,"IMCD Indonesia, PT",10,10,Ilham,,,EXTR-SILVBG30-X,Active,,,#N/A,,,
556,MATR-3000-X,Anti Aging 3000,AAG1-AAD,"Matrixyl 3000 ex. Sederma SAS, France",Kg,Eksis,,"Croda Trading Indonesia, PT",20,50,Ilham,,,MATR-3000-X,Active,,,#N/A,,,
557,EXTR-PCTMD-X,Ekstrak Malus,AAG1-AAC,"PhytoCellTec Malus Domestica ex. Mibelle Biochemistry, Switzerland",Kg,Eksis,Cek Mikro,"Colorindo Chemtra, PT",10,10,Amel,Pull,,EXTR-PCTMD-X,Active,,,#N/A,,,
558,SERI-FSELP-X,Sericite Coated FSE-LP,,"SIO1-2 Sericite FSE-LP ex. Daito Kasei Kogyo Co., Ltd.",Kg,Eliminasi,,"Kemiko Indonesia, PT",2,20,Septi,Pull,,SERI-FSELP-X,Inactive,,,#N/A,,,
559,THIC-ARVLT-X,Pengental Velvet,RHM3-ADF,"Aristoflex Velvet ex. Clariant Produkte (Deutchland) GmbH, Spain",Kg,Eksis,,"Clariant Indonesia, PT",28,25,Ilham,,,THIC-ARVLT-X,Active,,,#N/A,,,
560,SOLP-100LQ-X,Film Former Larut Air,FFM1-AAC,Solperform 100-LQ-(WD) ex. Croda Europe Ltd. UK,Kg,Eksis,,"Croda Trading Indonesia, PT",16,25,Ilham,,,SOLP-100LQ-X,Active,,,#N/A,,,
561,ACTI-WDLS-X,Bahan Hair Growth,HRC1-AAC,"Widelash ex. Sederma SAS, France",Kg,Eksis,Cek Mikro,"Croda Trading Indonesia, PT",24,10,Ilham,,,ACTI-WDLS-X,Active,,,#N/A,,,
562,PENG-IPEG-X,Pengawet PEG,PRV1-AAJ,"Iscaguard PEG ex. ISCA UK Ltd., UK",Kg,Eksis,,"Mega Setia Agung Kimia, PT",16,25,Ilham,,,PENG-IPEG-X,Active,,,#N/A,,,
563,PENG-DDG226-X,Pengawet 226,PRV1-AAI,Dodigen 226-H ex. PT Clariant Indonesia,Kg,Eksis,,"Asahindo Sukses Abadi, PT",2,200,Ilham,,,PENG-DDG226-X,Active,,,#N/A,,,
564,EMUL-PLUP-X,Emulsifier 2000,EMS1-AAI,"Plantacare 2000 UP ex. BASF Care Chemicals (Shanghai) Co., Ltd. China",Kg,Eksis,,"BASF Distribution Indonesia, PT",12,800,Septi,Pull,palet,EMUL-PLUP-X,Active,,,#N/A,,,
565,THIC-LVK90-X,Pengental LK90,RHM3-ACF,"Luviskol K90 Powder ex. BASF SE, Germany",Kg,Habiskan stock,,"Bahtera Adi Jaya, PT",8,90,Septi,,,THIC-LVK90-X,Active,,,#N/A,,,
566,PENG-PNP-X,Pengawet PNP,,"Phenonip ex. Clariant Produkte (Deutschland) GmbH, Germany",Kg,Belum Eksis,,"Kemiko Indonesia, PT",16,25,Septi,Pull,,PENG-PNP-X,Inactive,,,#N/A,,,
567,THIC-TCLC-X,Pengental LC,RHM3-ADJ,"Thickagent LC ex. Sensient Cosmetic Technologie lcw, France",Kg,Habiskan stock,,"Pitala Gunawan Raya, PT",20,1,Amel,,,THIC-TCLC-X,Active,,,#N/A,,,
568,FLMR-DSTY-X,Film Former 5000,FFM1-AAG,"Daitosol 5000 STY ex. Daito Kasei Kogyo Co., Ltd. Japan",Kg,Eksis,,"Kemiko Indonesia, PT",20,5,Septi,Pull,,FLMR-DSTY-X,Active,,,#N/A,,,
569,EMUL-S60-X,Emulgator S60,EMS3-ABA,"Span 60-PW-(SG) ex. Croda Singapore Pte., Ltd. Singapore",Kg,Eksis,,"Croda Trading Indonesia, PT",16,20,Ilham,,,EMUL-S60-X,Active,,,#N/A,,,
570,EMUL-BC20-X,Emulgator C20,EMS1-AAH,"SP Brij C20 MBAL-PA-(SG) ex. Croda Singapore Pte., Ltd. Singapore",Kg,Eksis,,"Croda Trading Indonesia, PT",20,10,Ilham,,,EMUL-BC20-X,Active,,,#N/A,,,
571,BENT-38V-X,Serbuk B38,RHM3-ADI,"Bentone 38 V CG ex. Elementis Specialties, Inc. UK",Kg,Habiskan stock,,"DKSH Indonesia, PT",20,5,Septi,,,BENT-38V-X,Active,,,#N/A,,,
572,THIC-CMDSP-X,Pengental CSP,RHM3-ADH,"Cosmedia SP ex. PT BASF, France",Kg,Eksis,,"BASF Distribution Indonesia, PT",12,25,Septi,Pull,,THIC-CMDSP-X,Active,,,#N/A,,,
573,FLMR-5760-X,Film Former 5760,FFM1-AAF,"Syntran 5760 ex. Interpolymer Sarl, France",Kg,Eksis,,"Behn Meyer Chemical, PT",10,25,Amel,,,FLMR-5760-X,Active,,,#N/A,,,
574,SILI-1640RSN-X,Silikon Resin 1640,SLC3-AAD,"Dow Corning MQ-1640 Flake Resin ex. Dow Corning Singapore Pte., Ltd. Singapore",Kg,Eksis,,"Mega Setia Agung Kimia, PT",24,20,Ilham,,,SILI-1640RSN-X,Active,,,#N/A,,,
575,WAX-KWK82D-X,Wax 82D,WAX3-ACB,"Kester Wax K-82D ex. Koster Keunen, Inc. USA",Kg,Eksis,,"Ingredients Plus, PT",8,25,Septi,,,WAX-KWK82D-X,Active,,,#N/A,,,
576,RHEO-PRKL2-X,Pengental KL,RHM3-AEA,"Rheopearl KL2 ex. Chiba Flour Milling Co., Ltd. Japan",Kg,Eksis,,"Kemiko Indonesia, PT",16,10,Septi,Pull,,RHEO-PRKL2-X,Active,,,#N/A,,,
577,WAX-MCR146-X,Microwax B,WAX3-AEE,"Microcrystalline Wax 146P ex. Koster Keunen LLC, USA",Kg,Eksis,,"Ingredients Plus, PT",8,25,Septi,,,WAX-MCR146-X,Active,,,#N/A,,,
578,SCRU-CMS40G-X,Scrub Hijau 40,EXF3-ABF,Chemscrub PE Powder 40 (Green),Kg,Belum Eksis,,"Indokemika Jayatama, PT",2,20,Amel,,,SCRU-CMS40G-X,Habiskan stock (Regulasi scrub PE),,,#N/A,,,
579,FIBR-NFCB-X,Fiber Mascara,PWD3-AED,"NFCB-10D-2T ex. Daito Kasei Kogyo Co., Ltd. Japan",Kg,Eksis,,"Kemiko Indonesia, PT",20,5,Septi,Pull,,FIBR-NFCB-X,Active,,,#N/A,,,
580,SERI-HDKSP-X,Sericite Coated HD,,Sericite HD,Kg,Eliminasi,,"Tigaka Distrindo Perkasa, PT",2,25,Amel,,,SERI-HDKSP-X,Inactive,,,#N/A,,,
581,HAIM-DIS-X,Emollient DIS,EMO1-ADD,"Haimalate DIS ex. Kokyu Alcohol Kogyo Co., Ltd. Japan",Kg,Eksis,,"Nardevchem Kemindo, PT",12,15,Septi,,,HAIM-DIS-X,Active,,,#N/A,,,
582,VITC-VCE-X,Vitamin C Ether,WHT3-AAH,"COS-VCE ex. CosMol Co., Ltd. Korea",Kg,Eksis,,"Marga Dwi Kencana, PT",8,1,Amel,,,VITC-VCE-X,Active,,,VITC-VCE-X,,,
583,LBRJ-IIXD-X,Bahan Pelembab Gel,RHM1-ABA,"Lubrajel II XD ex. ISP (Thailand) Co., Ltd. Responsible Manufacturing Facility: United Guardian USA",Kg,Eksis,,"DKSH Indonesia, PT",20,20.4,Septi,,,LBRJ-IIXD-X,Active,102,,#N/A,,,
584,PENG-SYM68-X,Moisturizer 68,MST1-ABC,"Symdiol 68 ex. Symrise Asia Pacific Pte., Ltd. Singapore",Kg,Eksis,,"Symrise, PT",16,25,Ilham,,,PENG-SYM68-X,Active,,,#N/A,,,
585,CARB-UT21P-X,Pengental UT21,RHM3-AAD,"Carbopol Ultrez 21 Polymer ex. Lubrizol Advanced Materials, Inc. USA",Kg,Eksis,,"Tritunggal Artha Makmur, PT",20,20,Ilham,,,CARB-UT21P-X,Active,,,#N/A,,,
586,GENA-CTAC50-X,Cairan Conditioner CTAC,,"Genamin CTAC 50 ex. Clariant Produkte (Deutschland) GmbH, Germany",Kg,Belum Eksis,,"Kemiko Indonesia, PT",16,170,Septi,Pull,,GENA-CTAC50-X,Inactive,,,#N/A,,,
587,EXTR-SKM079A-X,Ekstrak Susu B,,Skin Milk Extract MM-E079A,Kg,Belum Eksis,,"Merpati Mahardika, PT",2,5,Ilham,,,EXTR-SKM079A-X,Inactive,,,#N/A,,,
588,BETA-A98MR-X,Moisturizer Beta,MST3-AAE,"Betaine Anhydrous (98%) ex. Sunwin Biotech Sandong Co., Ltd. China",Kg,Habiskan stock,,"Tigaka Distrindo Perkasa, PT",8,25,Amel,,,BETA-A98MR-X,Active,,,#N/A,,,
589,HALL-BHB-X,Emollient BHB,EMO1-ADB,"Hallbrite BHB ex. The HallStar Company, USA",Kg,Eksis,,"Lautan Luas, PT",20,760,Ilham,Pull,palet,HALL-BHB-X,Active,5320,,#N/A,,,
590,OLIV-1000BT-X,Emulgator 1000,EMS1-ABB,Olivem 1000 ex. B&T S.r.l. Italy,Kg,Eksis,,"Lautan Luas, PT",20,20,Ilham,Pull,,OLIV-1000BT-X,Active,,,#N/A,,,
591,CARB-UT20-X,Pengental Sintetik,RHM3-AAC,"Carbopol Ultrez 20 Polymer ex. Lubrizol Advanced Materials, Inc. USA",Kg,Eksis,,"Tritunggal Artha Makmur, PT",20,20,Ilham,,,CARB-UT20-X,Active,,,#N/A,,,
592,STA-1898F-X,Lilin 18 F,,Ecorol 18/98F (Stearyl Alcohol Flakes),Kg,Belum Eksis,,"Indokemika Jayatama, PT",2,20,Amel,,,STA-1898F-X,Inactive,,,#N/A,,,
593,ZINC-ZCHP1-X,Sunscreen ZnO HP,,"Z-Cote HP1 ex. BASF Corporation, USA",Kg,Belum Eksis,,"Bahtera Adi Jaya, PT",2,22,Septi,,,ZINC-ZCHP1-X,Inactive,,,#N/A,,,
594,SILI-3031-X,Silikon 3031,,"Xiameter PMX-3031 Fluid ex. Dow Corning Corporation, USA",Kg,Belum Eksis,,"Global Chemindo Megatrading, PT",2,72,Amel,,,SILI-3031-X,Inactive,,,#N/A,,,
595,EXTR-WTCHPF-X,Cairan Astringen PF,WBE1-AAI,"Witch Hazel Extract PF ex. Bioland, Korea",Kg,Eksis,,"Menjangan Sakti, PT",12,5,Septi,Pull,,EXTR-WTCHPF-X,Active,,,#N/A,,,
596,SQUA-PRT-X,Squalane B,EMO1-ADF,"Porta Squalane ex. Portachem (Singapore) Pte., Ltd. Singapore",Kg,Habiskan stock,,"Merpati Mahardika, PT",2,25,Ilham,,,SQUA-PRT-X,Active,,,#N/A,,,
597,PENG-PNX-X,Pengawet PE 2,PRV1-ABA,"Phenoxetol ex. Clariant Produkte (Deutchland) GmbH, Germany",Kg,Habiskan stock,,"Clariant Indonesia, PT",20,200,Ilham,,,PENG-PNX-X,Active,,,#N/A,,,
598,SILI-GVX419-X,Silikon Larut Air 419,SLC3-AAF,"Gransil VX-419 ex. Grant Industries, Inc. USA",Kg,Eksis,,"IMCD Indonesia, PT",12,18,Ilham,,,SILI-GVX419-X,Active,,,#N/A,,,
599,EDG-PLCG-X,Cairan EDG,MST1-ABD,EDG Plus Cosmetic Grade ex. Moellhausen S.p.A. Italy,Kg,Eksis,,"Bronson & Jacobs Indonesia, PT",20,25,Amel,,,EDG-PLCG-X,Active,,,#N/A,,,
600,TRIC-VIV-X,Triclosan 20,,Triclosan USP (VIV-20),Kg,Belum Eksis,,"IMCD Indonesia, PT",2,25,Ilham,,,TRIC-VIV-X,Habiskan stock (Kendala MOQ),,,#N/A,,,
601,SCRU-CMS40B-X,Scrub Biru 40,,"Chemscrub PE Powder 40 (Blue) ex. PT Indokemika Jayatama, Indonesia",Kg,Belum Eksis,,"Indokemika Jayatama, PT",2,20,Amel,,,SCRU-CMS40B-X,Inactive,,,#N/A,,,
602,THIC-NCHKP-X,Pengental HKP,RHM3-AEC,"Nomcort HK-P ex. The Nisshin Oillio Group, Ltd. Japan",Kg,Belum Eksis,,"Kemiko Indonesia, PT",12,10,Septi,Pull,,THIC-NCHKP-X,"Active, ada stok tapi tidak ada kebutuhan",,,#N/A,,,
603,AMI-GCK12H-X,Surfaktan Natural 12H,SRF1-ABE,"Amilite GCK-12H ex. PT Lautan Ajinomoto Fine Ingredients, Indonesia",Kg,Eksis,,"Lautan Luas, PT",2,880,Ilham,Pull,palet,AMI-GCK12H-X,Active,,,#N/A,,,
604,SCRU-LPAPS4060-X,Scrub Apricot,EXF3-AAB,"Lipo APS 40/60 ex. Vantage Speciality Ingredients, Inc, USA",Kg,Eksis,,"Bronson & Jacobs Indonesia, PT",20,5,Amel,,,SCRU-LPAPS4060-X,Active,,,#N/A,,,
605,WAX-CT4BW-X,Beeswax PEG,,Cithrol 4BW-SO-(MV) ex. Croda Europe Ltd. Spain,Kg,Belum Eksis,,"Croda Trading Indonesia, PT",2,20,Ilham,,,WAX-CT4BW-X,Inactive,,,#N/A,,,
606,EMUL-TGI20-X,Emulsifier GT,EMS1-ABD,"TGI-20 ex. Nikko Chemicals Co., Ltd. (Manufacturer: Nihon Surfactant Kogyo K.K.) Japan",Kg,Eksis,,"IMCD Indonesia, PT",18,18,Ilham,,,EMUL-TGI20-X,Active,,,#N/A,,,
607,GULA-R1-X,Gula R1,EXF3-AAD,Refine Sugar (Grade R1) ex PT Berkah Manis Makmur,Kg,Eksis,Cek Mikro,"Berkah Manis Makmur, PT",8,25,Amel,,,GULA-R1-X,Active,,,#N/A,,,
608,CROS-CYPE-X,Cairan Protein Rambut PE,,Crodasone Cystine PE-LQ-(WD) ex. Croda Europe Ltd. UK,Kg,Belum Eksis,,"Croda Trading Indonesia, PT",2,25,Ilham,,,CROS-CYPE-X,Inactive,,,#N/A,,,
609,EXTR-SWDGE-X,Ekstrak Rumput Laut B,WBE1-ABB,"Seaweed Glycolic Extract 10002088 ex. PT Haldin Pacific Semesta, Indonesia",Kg,Eksis,Cek Mikro,"Haldin Pacific Semesta, PT",4,25,Ilham,,,EXTR-SWDGE-X,Active,,,#N/A,,,
610,EXTR-STBGE-X,Ekstrak Strawberry B,WBE1-ABD,"Strawberry Glycolic Extract 10001844 ex. PT Haldin Pacific Semesta, Indonesia",Kg,Eksis,Cek Mikro,"Haldin Pacific Semesta, PT",4,25,Ilham,,,EXTR-STBGE-X,Active,,,#N/A,,,
611,EXTR-GDEP009-X,Ekstrak Ginger B,WBE1-ADJ,"Ginger Dry Extract MMF-P009 ex. PT Merpati Mahardika, Indonesia",Kg,Eliminasi,Cek Mikro,"Merpati Mahardika, PT",2,5,Ilham,,,EXTR-GDEP009-X,Habiskan stock (akan disubstitusi),,,#N/A,,,
