kode_item,nama_item,jenis,group,stock_quantity,release_quantity,staging_timbang_quantity,soh,unprocessed_mo,unprocessed_smb,available_stock,git_karantina,git_pending,uom,week,year
LEAF-GCTB-K,Leaflet Greeting Card True Brotherhood K,LEAFLET,packaging,2204,0,0,2204.0,,,2204.0,0,0,Pc(s),24.0,2023.0
LEAF-GGARK-CL,Leaflet Greatest Glow AA Routine Kit CL,LEAFLET,packaging,1226,0,0,1226.0,,,1226.0,0,0,Pc(s),24.0,2023.0
LEAF-HSB22-L,Leaflet Healthy Skin Barrier 2022 L,LEAFLET,packaging,0,0,0,0.0,,,0.0,5,0,Pc(s),24.0,2023.0
LEAF-HUEP-L,Leaflet Haji & Umroh Essential Package L,LEAFLET,packaging,1720,0,0,1720.0,,,1720.0,0,0,Pc(s),24.0,2023.0
LEAF-HUMP-L,Leaflet Haji & Umroh Mini Package L,LEAFLET,packaging,2514,0,0,2514.0,,418.0,2096.0,0,0,Pc(s),24.0,2023.0
LEAF-KAPACK-K,Leaflet Travel Package K,LEAFLET,packaging,0,0,0,0.0,,,0.0,0,0,Pc(s),24.0,2023.0
LEAF-MOBSPR22-MO,Leaflet Make Over Big Size Package Ramadhan 2022,LEAFLET,packaging,0,0,0,0.0,,,0.0,0,0,Pc(s),24.0,2023.0
LEAF-MOSSPR22-MO,Leaflet Make Over Small Size Package Ramadhan 2022,LEAFLET,packaging,0,0,0,0.0,,,0.0,0,0,Pc(s),24.0,2023.0
LEAF-NLLPR0-W,Leaflet NFS Lightening Loose Powder W (Pc(s)),LEAFLET,packaging,0,0,0,0.0,,,0.0,0,0,Pc(s),24.0,2023.0
LEAF-PCTWCMO-ALD,Brosur Leaflet Perfect Cover TWC 150x75mm Make over,LEAFLET,packaging,47308,0,0,47308.0,,17672.0,29636.0,0,0,Pc(s),24.0,2023.0
LEAF-RP23-W,Leaflet Ramadhan Package 2023 W,LEAFLET,packaging,110,0,0,110.0,,6.0,104.0,0,0,Pc(s),24.0,2023.0
LEAF-SFR0-MO,Leaflet Stay Fabulous MO,LEAFLET,packaging,55,0,0,55.0,,,55.0,0,0,Pc(s),24.0,2023.0
LEAF-WR22-W,Leaflet Wardah Ramadhan 2022 W,LEAFLET,packaging,1134,0,0,1134.0,,,1134.0,0,0,Pc(s),24.0,2023.0
LEAF-WSGRAND-WAP,Brosur Leaflet White Secret Grand Wardah,LEAFLET,packaging,0,0,0,0.0,,,0.0,0,0,Pc(s),24.0,2023.0
LEL-BLR1MO-X,Liquid Eye Liner Black R1 MO,Imported,packaging,5026,524,0,5550.0,,,5550.0,0,0,Pc(s),24.0,2023.0
LINE-BOPALMOLDC-F410,"Case/Container Liner Blush On Pallete,d=36mm tbl=1mm (SO 23",CASECONT,packaging,5611,0,0,5611.0,,,5611.0,0,0,Pc(s),24.0,2023.0
LINE-CPR150-W,Liner Cap Pot Round 150 W,CAP,packaging,28,0,0,28.0,,,28.0,0,0,Pc(s),24.0,2023.0
LINE-GPBW55023-BD,Liner Gasket Pump Body Wash 550 2.3 BD,PUMP,packaging,460,45940,0,46400.0,,,46400.0,0,0,Pc(s),24.0,2023.0
LINE-GPBW550-BD,Liner Gasket Pump Body Wash 550 BD,PUMP,packaging,0,49950,0,49950.0,,,49950.0,0,0,Pc(s),24.0,2023.0
LINE-GPSFMR0-X,Liner Gasket Pump Spray FM,PUMP,packaging,23439,0,0,23439.0,,,23439.0,0,0,Pc(s),24.0,2023.0
LINE-PGCTKHG10-W,Liner Pot Glass CTK Hydra Gel 10 W,CASECONT,packaging,9800,0,0,9800.0,,,9800.0,0,0,Pc(s),24.0,2023.0
L-MLCA-BULK,OMG OH MY GLAM Matte Kiss Lip Cream 01 Dreamy,WIP Bulk,packaging,-0.79000000000003,0,0,0.0,,43.89,-43.89,107.84999999999998,0,kg,24.0,2023.0
L-MLCB-BULK,OMG OH MY GLAM Matte Kiss Lip Cream 02 Juicy,WIP Bulk,packaging,0,0,0,0.0,,88.2,-88.2,26.992999999999967,0,Pc(s),24.0,2023.0
L-MLCC-BULK,OMG OH MY GLAM Matte Kiss Lip Cream 03 Flame,WIP Bulk,packaging,-44.12,0,0,0.0,,244.94,-244.94,117.60999999999996,0,kg,24.0,2023.0
L-MLCD-BULK,OMG OH MY GLAM Matte Kiss Lip Cream 04 Sunset,WIP Bulk,packaging,0,0,0,0.0,,175.56,-175.56,118.52999999999992,0,Pc(s),24.0,2023.0
L-MLCE-BULK,OMG OH MY GLAM Matte Kiss Lip Cream 05 Punch,WIP Bulk,packaging,0,0,0,0.0,,58.8,-58.8,15.27899999999996,0,Pc(s),24.0,2023.0
L-MLCI-BULK,OMG OH MY GLAM Matte Kiss Lip Cream 09 Charm,WIP Bulk,packaging,0,0,0,0.0,,285.64,-285.64,99.19,0,Pc(s),24.0,2023.0
L-MLCJ-BULK,Oh My Glam Matte Kiss Lip Cream 10 Shell,WIP Bulk,packaging,41.19,0,0,41.19,,295.206,-254.016,1018.62,0,kg,24.0,2023.0
L-MLCK-BULK,Oh My Glam Matte Kiss Lip Cream 11 Bumble,WIP Bulk,packaging,-199.38000000000002,0,0,0.0,,235.368,-235.368,487.6,0,kg,24.0,2023.0
L-MLCL-BULK,OMG OH MY GLAM Matte Kiss Lip Cream 12 Scarlet,WIP Bulk,packaging,-88.12000000000002,0,0,0.0,,571.704,-571.704,2067.21,0,kg,24.0,2023.0
L-MLCM-BULK,OMG Oh My Glam Matte Kiss Lip Cream 13 Latte,WIP Bulk,packaging,0,0,0,0.0,,390.544,-390.544,2067.37,0,Pc(s),24.0,2023.0
L-MLCN-BULK,OMG Oh My Glam Matte Kiss Lip Cream 14 Cappuccino,WIP Bulk,packaging,0,0,0,0.0,,756.189,-756.189,1470.2,0,Pc(s),24.0,2023.0
L-MLCO-BULK,OMG Oh My Glam Matte Kiss Lip Cream 15 Espresso,WIP Bulk,packaging,0,0,0,0.0,,563.766,-563.766,1776.576,0,Pc(s),24.0,2023.0
MASK-OMG-BULK,OMG Oh My Glam Lashtention Waterproof Mascara,WIP Bulk,packaging,0,0,0,0.0,,,0.0,1080.0,0,Pc(s),24.0,2023.0
MASK-PM45-K,Masker Package Minimalis 4 & 5 K,Packaging,packaging,0,0,0,0.0,,,0.0,0,0,Pc(s),24.0,2023.0
MASQ-EMFMBR0-X,Masquerade Face Mask Blueberry 23 Emina,Imported,packaging,0,0,0,0.0,,,0.0,0,48,Pc(s),24.0,2023.0
MASQ-EMFMCAR0-X,Masquerade Face Mask Cactus 23 Emina,Imported,packaging,0,0,0,0.0,,,0.0,0,0,Pc(s),24.0,2023.0
MASQ-EMFMCHR0-X,Masquerade Face Mask Charcoal 23 Emina,Imported,packaging,0,0,0,0.0,,,0.0,0,0,Pc(s),24.0,2023.0
MASQ-EMFMCHR1-X,Masquerade Face Mask Charcoal 23 R1 Emina,Imported,packaging,0,0,0,0.0,,,0.0,0,0,Pc(s),24.0,2023.0
MASQ-EMFMGR0-X,Masquerade Face Mask Grapefruit 23 Emina,Imported,packaging,0,0,0,0.0,,,0.0,0,0,Pc(s),24.0,2023.0
MASQ-EMFMPR0-X,Masquerade Face Mask Pomegranate 23 Emina,Imported,packaging,0,0,0,0.0,,,0.0,0,0,Pc(s),24.0,2023.0
MASQ-EMFMPR2-X,Masquerade Face Mask Pomegranate 23 R2 Emina,Imported,packaging,78,0,0,78.0,,,78.0,0,0,Pc(s),24.0,2023.0
MASQ-EMFMPR3-X,Masquerade Face Mask Pomegranate 23 R3 Emina,Imported,packaging,0,0,0,0.0,,,0.0,0,0,Pc(s),24.0,2023.0
MASQ-EMFMRR0-X,Masquerade Face Mask Rice 23 Emina,Imported,packaging,0,0,0,0.0,,,0.0,0,0,Pc(s),24.0,2023.0
MASQ-EMFMRR2-X,Masquerade Face Mask Rice 23 R2 Emina,Imported,packaging,0,0,0,0.0,,,0.0,0,0,Pc(s),24.0,2023.0
MASQ-EMFMRR3-X,Masquerade Face Mask Rice 23 R3 Emina,Imported,packaging,0,0,0,0.0,,,0.0,0,0,Pc(s),24.0,2023.0
MASQ-EMFMTTOR0-X,Masquerade Face Mask Tea Tree Oil 23 Emina,Imported,packaging,0,0,0,0.0,,,0.0,0,0,Pc(s),24.0,2023.0
MASQ-EMFMTTOR2-X,Masquerade Face Mask Tea Tree Oil 23 R2 Emina,Imported,packaging,0,0,0,0.0,,,0.0,0,0,Pc(s),24.0,2023.0
MASQ-EMFMTTOR3-X,Masquerade Face Mask Tea Tree Oil 23 R3 Emina,Imported,packaging,0,0,0,0.0,,,0.0,0,0,Pc(s),24.0,2023.0
M-LSA8-W,Lightening Serum Ampoule 8 ml W,Imported,packaging,0,0,0,0.0,,,0.0,0,0,Pc(s),24.0,2023.0
M-M-BULK,OMG Oh My Glow Peach Glowing Cream,WIP Bulk,packaging,0,0,0,0.0,,1068.32,-1068.32,29050.3173,0,Pc(s),24.0,2023.0
