"Product Korporat Code","Reference","BoM Lines/Product Template/Korporat Code","BoM Lines/Product Template/Material Type","BoM Lines/Quantity"
"","","SAMP-WTRDSL-X","Raw Material","0.05"
"","","GLYC--ECOS-K","Raw Material","0.07"
"","","GARA-RFS-X","Raw Material","0.005"
"","","SAMP-SPHL-X","Raw Material","0.015"
"","","SILI-345-DC-K","Raw Material","0.05"
"","","ALAN--AK-K","Raw Material","0.002"
"","","SAMP-PCFL-X","Raw Material","0.03"
"","","SAMP-SKINFXVMB-X","Raw Material","0.02"
"","","AIR-RO--L","Raw Material","0.6367"
"","","EDT-DSLV-X","Raw Material","0.0008"
"","","MOIS-PTVT-X","Raw Material","0.01"
"","","SILI-CES1104-X","Raw Material","0.03"
"","","SAMP-RCLRP-X","Raw Material","0.05"
"SRM-AN-BULK","1","THIC-VZNFC-X","Raw Material","0.3"
"","","GLYC--ECOS-K","Raw Material","5.0"
"","","AIR-RO--L","Raw Material","79.74"
"","","VITA-B3PC-X","Raw Material","4.0"
"","","PENG-PHC-X","Raw Material","0.8"
"","","GLUZ-GLUZ-","Raw Material","1.0"
"","","ASAM-SCAD-X","Raw Material","0.5"
"","","EDT-DSLV-X","Raw Material","0.1"
"","","AMP-95--K","Raw Material","0.32"
"","","ALAN--AK-K","Raw Material","0.2"
"","","EMUL-DERMSOLP-","Raw Material","0.01"
"","","STAY--DSMR-K","Raw Material","0.01"
"","","DPG-LO-","Raw Material","1.0"
"","","VITA-DL E-MS","Raw Material","0.01"
"","","PR-ZPRDL-X","Raw Material","4.0"
"","","MOIS-TR100-X","Raw Material","3.0"
"","","ACTI-RYKA-X","Raw Material","0.01"
"M-CSGM01-BULK","FPS.RND.QB002.01","BIO-HYAL-BIL","Raw Material","0.001"
"","","DRYF-PC-X","Raw Material","0.7"
"","","SUNS-PR340-X","Raw Material","1.0"
"","","ACTI-BTWH-X","Raw Material","1.0"
"","","EDT-B--K","Raw Material","0.1"
"","","SAMP-CHERSN1-X","Raw Material","0.2"
"","","PENG-PHC-X","Raw Material","1.0"
"","","AMP-95--K","Raw Material","0.254"
"","","SEPH-MSH-SEP","Raw Material","0.5"
"","","ALAN--AK-K","Raw Material","0.5"
"","","GLYC--ECOS-K","Raw Material","2.0"
"","","AIR-RO--L","Raw Material","74.544"
"","","ACTI-FPMG-X","Raw Material","0.001"
"","","VITA-B3PC-X","Raw Material","5.0"
"","","THIC-ARAVC-","Raw Material","1.2"
"","","PARS-1789-","Raw Material","1.0"
"","","UVIN-MC80-BASF","Raw Material","7.5"
"","","SAMP-CGIVYL1000-X","Raw Material","2.0"
"","","EMUL-MTVT-X","Raw Material","1.5"
"MASK-CLV-BULK","FPS.RND.T14.02","WARN-WDCB2-X","Raw Material","2.0"
"","","WAX-ACG-X","Raw Material","5.0"
"","","EMU-INDOH100-","Raw Material","3.0"
"","","BENT-BGISDV-X","Raw Material","15.0"
"","","PURO-IDD-X","Raw Material","11.0"
"","","FLMR-AV2F-X","Raw Material","5.0"
"","","FLMR-DSTY-X","Raw Material","5.0"
"","","WAX-EWCM-X","Raw Material","2.0"
"","","AIR-RO--L","Raw Material","19.5"
"","","SILI-BEL803-X","Raw Material","12.0"
"","","SEPI-SPMXZ-X","Raw Material","0.5"
"","","SAMP-KHWXBA-X","Raw Material","5.5"
"","","WAX-1847MICR-X","Raw Material","2.8"
"","","PEN-SENSC50-X","Raw Material","0.4"
"","","FLMR-SYKLCG-X","Raw Material","2.0"
"","","POL-U151-X","Raw Material","5.0"
"","","WAX-CDL204--X","Raw Material","1.7"
"","","EDT-B--K","Raw Material","0.1"
"","","PR-ZPRDL-X","Raw Material","1.5"
"","","PEN-EUXK900-X","Raw Material","1.0"
"L-PTMCAB-BULK","FPS.RND.M91.00","BENT-BGISDV-X","Raw Material","22.0"
"","","ALUM-MN10D-X","Raw Material","1.0"
"","","TITA-OTS2CR50-","Raw Material","4.9"
"","","SILI-AXU3-X","Raw Material","18.0"
"","","SILI-BEL803-X","Raw Material","10.0"
"","","SILI-1202-","Raw Material","6.6401"
"","","PEN-SENSC50-X","Raw Material","0.4"
"","","PARF-VMR-X","Raw Material","0.01"
"","","PENG-NPGEHP-X","Raw Material","0.8"
"","","SILC-SP500LS-X","Raw Material","5.0"
"","","PURO-IDD-X","Raw Material","9.0499"
"","","SILI-DC-PSFCS-X","Raw Material","14.0"
"","","WARN-C338--K","Raw Material","5.0"
"","","SAMP-VITEARC-X","Raw Material","0.1"
"","","WARN-C19012-DCR6-K","Raw Material","0.8"
"","","WARN-TOA403-KF","Raw Material","2.3"
"L-PTMCBB-BULK","FPS.RND.M92.00","SILI-1202-","Raw Material","6.6401"
"","","SILI-DC-PSFCS-X","Raw Material","14.0"
"","","SAMP-VITEARC-X","Raw Material","0.1"
"","","PEN-SENSC50-X","Raw Material","0.4"
"","","SILI-BEL803-X","Raw Material","10.0"
"","","SILI-AXU3-X","Raw Material","18.0"
"","","WARN-TOA403-KF","Raw Material","2.1"
"","","WARN-C19011-R7CL-K","Raw Material","0.57"
"","","PURO-IDD-X","Raw Material","11.9099"
"","","PARF-VMR-X","Raw Material","0.01"
"","","TITA-OTS2CR50-","Raw Material","5.0"
"","","BENT-BGISDV-X","Raw Material","22.0"
"","","PENG-NPGEHP-X","Raw Material","0.8"
"","","SILC-SP500LS-X","Raw Material","5.0"
"","","ALUM-MN10D-X","Raw Material","1.0"
"","","WARN-C196619-R6-K","Raw Material","0.95"
"","","WARN-C338--K","Raw Material","1.52"
"B-IPQSP13-BULK","FPS.RND.W115.04","WARN-YLW3AS-X","Raw Material","1.0"
"","","POWD-TDMS-","Raw Material","33.0"
"","","PEN-PRSVPE-X","Raw Material","0.8"
"","","HALL-BHB-X","Raw Material","0.5"
"","","TALC-C-2KPD-X","Raw Material","25.0"
"","","SILI-SP105-X","Raw Material","7.0"
"","","ACTI-ECTC-X","Raw Material","0.01"
"","","WARN-BLCK3AS-X","Raw Material","0.051"
"","","SAMP-LCRDPRS-X","Raw Material","0.05"
"","","AMH-LL-X","Raw Material","4.0"
"","","TALC-OSBRTPD-X","Raw Material","10.979"
"","","POWD-9701-","Raw Material","3.0"
"","","WARN-RED3ASTDMS-BULK","Intermediate","0.55"
"","","TIT-CR50HD-X","Raw Material","0.4"
"","","SILD--SI5H52D-K","Raw Material","4.0"
"","","AJID-ZN100-X","Raw Material","0.01"
"","","SUNS-PTX-X","Raw Material","3.0"
"","","VITA-DL E-MS","Raw Material","0.01"
"","","TOSP-2000B-X","Raw Material","3.0"
"","","UVIN-MC80-BASF","Raw Material","3.0"
"","","PEN-SENSC50-X","Raw Material","0.4"
"","","COSM-222--K","Raw Material","0.24"
"CUS-DM01-BULK","FPS.RND.T96.00","TIT-T85-X","Raw Material","2.5"
"","","SILI-BDP-X","Raw Material","9.405"
"","","POWD-TKLTS-X","Raw Material","1.8"
"","","CRO1-ML-","Raw Material","4.0"
"","","PENG-NPGEHP-X","Raw Material","0.8"
"","","SAMP-8HTS-X","Raw Material","2.0"
"","","SILI-BEL803-X","Raw Material","2.5"
"","","EMUL-KF6017-X","Raw Material","3.0"
"","","SILD--SI5H52D-K","Raw Material","0.7"
"","","SILI-MCMA-X","Raw Material","4.0"
"","","UVIN-MC80-BASF","Raw Material","6.0"
"","","BENT-BGVS5PC-X","Raw Material","5.0"
"","","ORGA-EXD-ARK","Raw Material","1.5"
"","","AIR-RO--L","Raw Material","35.0"
"","","WARN-YLW3AS-X","Raw Material","1.43"
"","","TITA-CROTS-X","Raw Material","7.04"
"","","WARN-RED3AS-X","Raw Material","0.395"
"","","WARN-BLCK3AS-X","Raw Material","0.13"
"","","TALC-C-2KPD-X","Raw Material","1.5"
"","","GLYC--ECOS-K","Raw Material","2.0"
"","","PENG-SYM68-X","Raw Material","0.3"
"","","EMU-LEX7-X","Raw Material","2.5"
"","","THIC-RMGSO4-X","Raw Material","1.0"
"","","STEA-DSP300-X","Raw Material","0.5"
"","","ALAN--AK-K","Raw Material","0.1"
"","","EDT-B--K","Raw Material","0.1"
"","","ABIL-WE09-X","Raw Material","2.0"
"","","SOLV-BGKHN-X","Raw Material","1.0"
"","","PEN-SENSC50-X","Raw Material","0.4"
"","","SILI-KF54HV-X","Raw Material","1.4"
"CUS-DM02-BULK","FPS.RND.T97.00","GLYC--ECOS-K","Raw Material","2.0"
"","","SILD--SI5H52D-K","Raw Material","0.7"
"","","POWD-TKLTS-X","Raw Material","1.8"
"","","PENG-NPGEHP-X","Raw Material","0.8"
"","","SAMP-8HTS-X","Raw Material","2.0"
"","","WARN-YLW3AS-X","Raw Material","1.43"
"","","TITA-CROTS-X","Raw Material","7.04"
"","","ORGA-EXD-ARK","Raw Material","1.5"
"","","EMUL-KF6017-X","Raw Material","3.0"
"","","TIT-T85-X","Raw Material","2.5"
"","","EMU-LEX7-X","Raw Material","2.5"
"","","SILI-BEL803-X","Raw Material","2.5"
"","","WARN-BLCK3AS-X","Raw Material","0.13"
"","","SOLV-BGKHN-X","Raw Material","1.0"
"","","SILI-KF54HV-X","Raw Material","1.4"
"","","CRO1-ML-","Raw Material","4.0"
"","","THIC-RMGSO4-X","Raw Material","1.0"
"","","SILI-BDP-X","Raw Material","9.405"
"","","WARN-RED3AS-X","Raw Material","0.395"
"","","SILI-MCMA-X","Raw Material","4.0"
"","","EDT-B--K","Raw Material","0.1"
"","","AIR-RO--L","Raw Material","35.0"
"","","ALAN--AK-K","Raw Material","0.1"
"","","STEA-DSP300-X","Raw Material","0.5"
"","","PENG-SYM68-X","Raw Material","0.3"
"","","TALC-C-2KPD-X","Raw Material","1.5"
"","","PEN-SENSC50-X","Raw Material","0.4"
"","","UVIN-MC80-BASF","Raw Material","6.0"
"","","ABIL-WE09-X","Raw Material","2.0"
"","","BENT-BGVS5PC-X","Raw Material","5.0"
"CUS-DM03-BULK","FPS.RND.T98.00","POWD-TKLTS-X","Raw Material","1.8"
"","","TALC-C-2KPD-X","Raw Material","1.5"
"","","SILD--SI5H52D-K","Raw Material","0.7"
"","","ALAN--AK-K","Raw Material","0.1"
"","","WARN-YLW3AS-X","Raw Material","1.43"
"","","TITA-CROTS-X","Raw Material","7.04"
"","","WARN-RED3AS-X","Raw Material","0.395"
"","","TIT-T85-X","Raw Material","2.5"
"","","PEN-SENSC50-X","Raw Material","0.4"
"","","SILI-BEL803-X","Raw Material","2.5"
"","","SOLV-BGKHN-X","Raw Material","1.0"
"","","EMUL-KF6017-X","Raw Material","3.0"
"","","SILI-KF54HV-X","Raw Material","1.4"
"","","SAMP-8HTS-X","Raw Material","2.0"
"","","GLYC--ECOS-K","Raw Material","2.0"
"","","PENG-NPGEHP-X","Raw Material","0.8"
"","","CRO1-ML-","Raw Material","4.0"
"","","SILI-BDP-X","Raw Material","9.405"
"","","EDT-B--K","Raw Material","0.1"
"","","WARN-BLCK3AS-X","Raw Material","0.13"
"","","BENT-BGVS5PC-X","Raw Material","5.0"
"","","SILI-MCMA-X","Raw Material","4.0"
"","","STEA-DSP300-X","Raw Material","0.5"
"","","EMU-LEX7-X","Raw Material","2.5"
"","","ABIL-WE09-X","Raw Material","2.0"
"","","AIR-RO--L","Raw Material","35.0"
"","","PENG-SYM68-X","Raw Material","0.3"
"","","UVIN-MC80-BASF","Raw Material","6.0"
"","","THIC-RMGSO4-X","Raw Material","1.0"
"","","ORGA-EXD-ARK","Raw Material","1.5"
"CUS-DM04-BULK","FPS.RND.T99.00","PENG-NPGEHP-X","Raw Material","0.8"
"","","TITA-CROTS-X","Raw Material","7.04"
"","","SILD--SI5H52D-K","Raw Material","0.7"
"","","POWD-TKLTS-X","Raw Material","1.8"
"","","GLYC--ECOS-K","Raw Material","2.0"
"","","WARN-BLCK3AS-X","Raw Material","0.13"
"","","ALAN--AK-K","Raw Material","0.1"
"","","PEN-SENSC50-X","Raw Material","0.4"
"","","SAMP-8HTS-X","Raw Material","2.0"
"","","TIT-T85-X","Raw Material","2.5"
"","","SILI-MCMA-X","Raw Material","4.0"
"","","WARN-YLW3AS-X","Raw Material","1.43"
"","","SILI-BEL803-X","Raw Material","2.5"
"","","EMU-LEX7-X","Raw Material","2.5"
"","","CRO1-ML-","Raw Material","4.0"
"","","AIR-RO--L","Raw Material","35.0"
"","","SILI-BDP-X","Raw Material","9.405"
"","","ORGA-EXD-ARK","Raw Material","1.5"
"","","EDT-B--K","Raw Material","0.1"
"","","EMUL-KF6017-X","Raw Material","3.0"
"","","PENG-SYM68-X","Raw Material","0.3"
"","","BENT-BGVS5PC-X","Raw Material","5.0"
"","","SILI-KF54HV-X","Raw Material","1.4"
"","","THIC-RMGSO4-X","Raw Material","1.0"
"","","SOLV-BGKHN-X","Raw Material","1.0"
"","","STEA-DSP300-X","Raw Material","0.5"
"","","ABIL-WE09-X","Raw Material","2.0"
"","","UVIN-MC80-BASF","Raw Material","6.0"
"","","WARN-RED3AS-X","Raw Material","0.395"
"","","TALC-C-2KPD-X","Raw Material","1.5"
"CUS-DM05-BULK","FPS.RND.T100.00","THIC-RMGSO4-X","Raw Material","1.0"
"","","EMUL-KF6017-X","Raw Material","3.0"
"","","PEN-SENSC50-X","Raw Material","0.4"
"","","WARN-RED3AS-X","Raw Material","0.395"
"","","ABIL-WE09-X","Raw Material","2.0"
"","","UVIN-MC80-BASF","Raw Material","6.0"
"","","TALC-C-2KPD-X","Raw Material","1.5"
"","","POWD-TKLTS-X","Raw Material","1.8"
"","","SILI-BEL803-X","Raw Material","2.5"
"","","TIT-T85-X","Raw Material","2.5"
"","","AIR-RO--L","Raw Material","35.0"
"","","CRO1-ML-","Raw Material","4.0"
"","","PENG-SYM68-X","Raw Material","0.3"
"","","ALAN--AK-K","Raw Material","0.1"
"","","WARN-YLW3AS-X","Raw Material","1.43"
"","","SILD--SI5H52D-K","Raw Material","0.7"
"","","STEA-DSP300-X","Raw Material","0.5"
"","","TITA-CROTS-X","Raw Material","7.04"
"","","SILI-KF54HV-X","Raw Material","1.4"
"","","BENT-BGVS5PC-X","Raw Material","5.0"
"","","SILI-MCMA-X","Raw Material","4.0"
"","","ORGA-EXD-ARK","Raw Material","1.5"
"","","GLYC--ECOS-K","Raw Material","2.0"
"","","EDT-B--K","Raw Material","0.1"
"","","SILI-BDP-X","Raw Material","9.405"
"","","PENG-NPGEHP-X","Raw Material","0.8"
"","","SAMP-8HTS-X","Raw Material","2.0"
"","","EMU-LEX7-X","Raw Material","2.5"
"","","WARN-BLCK3AS-X","Raw Material","0.13"
"","","SOLV-BGKHN-X","Raw Material","1.0"
"CUS-DM06-BULK","FPS.RND.T101.00","SILI-BEL803-X","Raw Material","2.5"
"","","WARN-RED3AS-X","Raw Material","0.395"
"","","GLYC--ECOS-K","Raw Material","2.0"
"","","EDT-B--K","Raw Material","0.1"
"","","EMUL-KF6017-X","Raw Material","3.0"
"","","ORGA-EXD-ARK","Raw Material","1.5"
"","","SAMP-8HTS-X","Raw Material","2.0"
"","","EMU-LEX7-X","Raw Material","2.5"
"","","STEA-DSP300-X","Raw Material","0.5"
"","","PENG-NPGEHP-X","Raw Material","0.8"
"","","THIC-RMGSO4-X","Raw Material","1.0"
"","","TALC-C-2KPD-X","Raw Material","1.5"
"","","WARN-BLCK3AS-X","Raw Material","0.13"
"","","POWD-TKLTS-X","Raw Material","1.8"
"","","CRO1-ML-","Raw Material","4.0"
"","","PENG-SYM68-X","Raw Material","0.3"
"","","SILI-BDP-X","Raw Material","9.405"
"","","TIT-T85-X","Raw Material","2.5"
"","","ALAN--AK-K","Raw Material","0.1"
"","","SOLV-BGKHN-X","Raw Material","1.0"
"","","SILI-MCMA-X","Raw Material","4.0"
"","","AIR-RO--L","Raw Material","35.0"
"","","ABIL-WE09-X","Raw Material","2.0"
"","","BENT-BGVS5PC-X","Raw Material","5.0"
"","","SILD--SI5H52D-K","Raw Material","0.7"
"","","TITA-CROTS-X","Raw Material","7.04"
"","","UVIN-MC80-BASF","Raw Material","6.0"
"","","PEN-SENSC50-X","Raw Material","0.4"
"","","WARN-YLW3AS-X","Raw Material","1.43"
"","","SILI-KF54HV-X","Raw Material","1.4"
"SRM-PG-BULK","1","VITA-B3PC-X","Raw Material","10.0"
"","","GLYC--ECOS-K","Raw Material","3.0"
"","","EDT-B--K","Raw Material","0.1"
"","","ALAN--AK-K","Raw Material","0.2"
"","","PENG-CLRP-X","Raw Material","0.3"
"","","ACTI-HAOL-X","Raw Material","0.001"
"","","EMUL-DERMSOLP-","Raw Material","0.001"
"","","VITA-DL E-MS","Raw Material","0.001"
"","","THIC-ARAVC-","Raw Material","0.3"
"","","PR-ZPRDL-X","Raw Material","3.0"
"","","KOH--PH-K","Raw Material","0.0945"
"","","PENG-PNX-X","Raw Material","0.5"
"","","CARB--94022,68-K","Raw Material","0.175"
"","","AIR-RO--L","Raw Material","82.0665"
"","","LBRJ-IIXD-X","Raw Material","0.25"
"","","SAMP-PCHPS-X","Raw Material","0.01"
"","","STAY--DSMR-K","Raw Material","0.001"
"TC-IPPF06-BULK","1","WARN-YLW3AS-X","Raw Material","0.0365"
"","","ORGA-EXD-ARK","Raw Material","0.025"
"","","SQUA-AMYR-X","Raw Material","0.035"
"","","PEN-SENSC50-X","Raw Material","0.004"
"","","AJID-ZN100-X","Raw Material","0.0001"
"","","UVIN-MC80-BASF","Raw Material","0.04"
"","","TIT-MT60S-X","Raw Material","0.04"
"","","COSM-168ARV-X","Raw Material","0.01"
"","","ZINC-ZNOLYS-X","Raw Material","0.01"
"","","SILD--SI5H52D-K","Raw Material","0.04"
"","","SILI-GRPSQ-X","Raw Material","0.005"
"","","ACTI-ECTC-X","Raw Material","0.0001"
"","","TALC-C-2KPD-X","Raw Material","0.29872"
"","","EUTA-G-X","Raw Material","0.015"
"","","LAR-LICODDC-BULK","Intermediate","0.005"
"","","PEN-PRSVPE-X","Raw Material","0.008"
"","","TITA-OTS2CR50-","Raw Material","0.07"
"","","TALK-C-STJADAITO-K","Raw Material","0.31838"
"","","WARN-RED3ASTDMS-BULK","Intermediate","0.022"
"","","SUNP-EPU-2X-X","Raw Material","0.01"
"","","PARF-AMSKLG-X","Raw Material","0.0001"
"","","VITA-DL E-MS","Raw Material","0.0001"
"","","WARN-BLCK3AS-X","Raw Material","0.007"
"SRM-BA-BULK","2","SAMP-CGIVYL1000-X","Raw Material","0.1"
"","","ALAN--AK-K","Raw Material","0.2"
"","","PR-ZPRDL-X","Raw Material","3.0"
"","","VITA-B3PC-X","Raw Material","5.0"
"","","HUM-GLU20-X","Raw Material","0.8"
"","","SAMP-GRNVYG-X","Raw Material","0.008"
"","","EDT-B--K","Raw Material","0.1"
"","","AIR-RO--L","Raw Material","85.833"
"","","PARF-SPFXTV-X","Raw Material","0.008"
"","","SAMP-GPLMRDP-X","Raw Material","0.001"
"","","A-BGSA200-X","Raw Material","1.25"
"","","EMUL-DERMSOLP-","Raw Material","0.1"
"","","ACTI-MEBSA-X","Raw Material","0.5"
"","","GLYC--ECOS-K","Raw Material","2.0"
"","","THIC-VZNFC-X","Raw Material","0.2"
"","","EXF-GLDL-X","Raw Material","0.1"
"","","PENG-PHC-X","Raw Material","0.8"
"F-RVLPWN40-BULK","1","AIR-RO--L","Raw Material","0.2793"
"","","PWD-SYS-X","Raw Material","0.01"
"","","SILC-SP500LS-X","Raw Material","0.001"
"","","BUTY--DAI1,3","Raw Material","0.03"
"","","SILI-DC749--X","Raw Material","0.07"
"","","SILI-2005-DC-K","Raw Material","0.02"
"","","BENT-BGVS5PC-X","Raw Material","0.03"
"","","WARN-RED3AS-X","Raw Material","0.004"
"","","PWD-MNLGZN-X","Raw Material","0.01"
"","","BHT-CRTL-X","Raw Material","0.001"
"","","UVIN-MC80-BASF","Raw Material","0.05"
"","","EMUL-KF6028-X","Raw Material","0.03"
"","","TIT-MT60S-X","Raw Material","0.031"
"","","ACTI-HFG-X","Raw Material","0.005"
"","","SUN-MP-X","Raw Material","0.04"
"","","WARN-YLW3AS-X","Raw Material","0.018"
"","","ALAN--AK-K","Raw Material","0.001"
"","","SAMP-DEASB-X","Raw Material","0.05"
"","","WARN-BLCK3AS-X","Raw Material","0.0022"
"","","SILS-034-X","Raw Material","0.04"
"","","BASI-LP20H-X","Raw Material","0.0005"
"","","MOIS-TR100-X","Raw Material","0.01"
"","","VITA-B3PC-X","Raw Material","0.03"
"","","MC3-30-SF","Raw Material","0.03"
"","","TITA-CROTS-X","Raw Material","0.044"
"","","PURO-IDD-X","Raw Material","0.06"
"","","PEN-PRSVPE-X","Raw Material","0.008"
"","","SILI-BDP-X","Raw Material","0.06"
"","","CECC---K","Raw Material","0.025"
"","","THIC-RMGSO4-X","Raw Material","0.01"
"HBW-TBWC-BULK","FPS.RND.B10.01","AIR-RO--L","Raw Material","86.575"
"","","PARF-WGTIMP-X","Raw Material","1.0"
"","","PARF-SPFXTV-X","Raw Material","0.1"
"","","EMUL--S660352-K","Raw Material","9.0"
"","","DPG-LO-","Raw Material","2.0"
"","","LAR-SF30-BULK","Intermediate","0.025"
"","","PENG-PHC-X","Raw Material","1.1"
"","","ALAN--AK-K","Raw Material","0.1"
"","","EDT-B--K","Raw Material","0.1"
"HBW-TBWA-BULK","FPS.RND.B09.01","EDT-B--K","Raw Material","0.1"
"","","PARF-CRMOD-X","Raw Material","1.0"
"","","PROP-PGESK-X","Raw Material","1.0"
"","","OIL-OLV300-X","Raw Material","1.0"
"","","EMU-GLY767LS-X","Raw Material","3.0"
"","","ALAN--AK-K","Raw Material","0.1"
"","","LAR-SF30-BULK","Intermediate","0.025"
"","","AIR-RO--L","Raw Material","83.675"
"","","PENG-PHC-X","Raw Material","1.1"
"","","EMUL--S660352-K","Raw Material","9.0"
"HBW-TBWD-BULK","FPS.RND.B11.01","LAR-SF30-BULK","Intermediate","0.025"
"","","PARF-SPFXTV-X","Raw Material","0.1"
"","","DPG-LO-","Raw Material","2.0"
"","","ALAN--AK-K","Raw Material","0.1"
"","","PARF-HGTEA-X","Raw Material","1.0"
"","","EDT-B--K","Raw Material","0.1"
"","","EMUL--S660352-K","Raw Material","9.0"
"","","PENG-PHC-X","Raw Material","1.1"
"","","AIR-RO--L","Raw Material","86.575"
"FT-KFT-BULK","1","SAMP-LPBLCLCR-X","Raw Material","0.4"
"","","ALAN--AK-K","Raw Material","0.1"
"","","ACTI-HDR-X","Raw Material","0.5"
"","","KOH--PH-K","Raw Material","0.06"
"","","GARA-RFS-X","Raw Material","1.0"
"","","PENG-PHC-X","Raw Material","0.7"
"","","SAMP-ALGVPLF-X","Raw Material","0.01"
"","","PR-ZPRDL-X","Raw Material","2.0"
"","","EDT-B--K","Raw Material","0.2"
"","","AIR-RO--L","Raw Material","92.215"
"","","SAMP-KCLCGLA-X","Raw Material","0.25"
"","","MENT-FRGHS-X","Raw Material","0.05"
"","","SAMP-OCNWV1-X","Raw Material","0.005"
"","","ACTI-MEBSA-X","Raw Material","1.0"
"","","EMUL-DERMSOLP-","Raw Material","0.01"
"","","MOIS-PTVT-X","Raw Material","0.5"
"","","PANT--DL-K","Raw Material","0.5"
"","","AJID-ZN100-X","Raw Material","0.5"
"BO-DUB01-BULK","FPS.RND.M93.00","DRYF-PC-X","Raw Material","9.0"
"","","PARF-VMR-X","Raw Material","0.05"
"","","WARN-C19012-DCR6-K","Raw Material","0.49"
"","","WARN-TOA403-KF","Raw Material","1.38"
"","","VITA--TA-K","Raw Material","0.2"
"","","PEN-PRSVPE-X","Raw Material","0.8"
"","","COSM-222--K","Raw Material","7.3"
"","","WARN-CLRG-X","Raw Material","0.32"
"","","POWD-H53-X","Raw Material","2.0"
"","","PERF-PL-","Raw Material","4.0"
"","","SALA-99--K","Raw Material","31.44"
"","","WARN-C338--K","Raw Material","4.7"
"","","SILI-BELEG5-X","Raw Material","4.0"
"","","SFT-S649-X","Raw Material","3.0"
"","","WAX-SBWX--X","Raw Material","3.0"
"","","STEA-DSP300-X","Raw Material","0.5"
"","","TOSP-2000B-X","Raw Material","7.2"
"","","PENG-SYM68-X","Raw Material","0.6"
"","","WARN-UNCO-X","Raw Material","0.1"
"","","EMU-PS-","Raw Material","11.41"
"","","TITA--3328EW-K","Raw Material","8.11"
"","","PEN-SENSC50-X","Raw Material","0.4"
"SRM-DB-BULK","FPS.RND.GR004.01","SAMP-KS15-X","Raw Material","0.55"
"","","PENG-PHC-X","Raw Material","0.8"
"","","SAMP-MKS7-X","Raw Material","0.5"
"","","GLYC--ECOS-K","Raw Material","1.0"
"","","AIR-RO--L","Raw Material","84.14"
"","","HUM-GLU20-X","Raw Material","0.5"
"","","VITA-B3PC-X","Raw Material","5.0"
"","","EXTR-LCRG-X","Raw Material","0.15"
"","","SAMP-CGIVYL1000-X","Raw Material","0.5"
"","","ACTI-BTWH-X","Raw Material","0.5"
"","","PR-ZPRDL-X","Raw Material","6.0"
"","","ALAN--AK-K","Raw Material","0.2"
"","","WARN-TMRHWT-X","Raw Material","0.008"
"","","SAMP-WSGRMOD15A-X","Raw Material","0.01"
"","","EDT-B--K","Raw Material","0.1"
"","","SAMP-TSPL30ID-X","Raw Material","0.025"
"","","PARF-SPFXTV-X","Raw Material","0.015"
"","","SAMP-ACE06-X","Raw Material","0.001"
"","","SAMP-GPLMRDP-X","Raw Material","0.001"
"CON-IP01-BULK","1","PEN-SENSC50-X","Raw Material","0.05"
"","","ACTI-ECTC-X","Raw Material","0.03"
"","","SILI-BEL803-X","Raw Material","7.5"
"","","WARN-BBO12-X","Raw Material","0.4"
"","","PEN-PRSVPE-X","Raw Material","0.8"
"","","EDT-B--K","Raw Material","0.05"
"","","WARN-BRO12-X","Raw Material","1.2"
"","","THIC-RMGSO4-X","Raw Material","1.0"
"","","BUTY--DAI1,3","Raw Material","6.0"
"","","VITA-B3PC-X","Raw Material","0.5"
"","","SILI-345-DC-K","Raw Material","17.5"
"","","AIR-RO--L","Raw Material","16.51"
"","","WARN-BYO12-X","Raw Material","6.35"
"","","NT---K","Raw Material","5.0"
"","","ALAN--AK-K","Raw Material","0.1"
"","","EMUL-KF6017-X","Raw Material","2.0"
"","","ABIL-EM90-X","Raw Material","3.0"
"","","TITA-CROTS-X","Raw Material","20.0"
"","","SILI-556-DC-K","Raw Material","6.0"
"","","BENT-BGVS5PC-X","Raw Material","5.0"
"","","POWD-9701-","Raw Material","1.0"
"","","ACTI-ECFA-X","Raw Material","0.01"
"FMI-BR-BULK","1","SAMP-EDESMRN80-X","Raw Material","10.0"
"","","ACTI-RCLRP-X","Raw Material","0.001"
"","","PEN-RCCB-X","Raw Material","0.05"
"","","AIR-RO--L","Raw Material","89.949"
"S-CSCB-BULK","1","BIO-HYAL-BIL","Raw Material","0.0005"
"","","AIR-RO--L","Raw Material","0.73624"
"","","VITA-B3PC-X","Raw Material","0.04"
"","","SILI-CES1104-X","Raw Material","0.03"
"","","SQUA-AMYR-X","Raw Material","0.03"
"","","ACTI-SRCM-X","Raw Material","0.02"
"","","SAMP-HXCTEC-X","Raw Material","0.02"
"","","SAMP-CGIVYL1000-X","Raw Material","0.02"
"","","EMU-TEGE-","Raw Material","0.02"
"","","GLYC--ECOS-K","Raw Material","0.02"
"","","DRYF-PC-X","Raw Material","0.02"
"","","DPG-LO-","Raw Material","0.01"
"","","ACTI-HDR-X","Raw Material","0.01"
"","","PENG-PHC-X","Raw Material","0.008"
"","","KOH--PH-K","Raw Material","0.00216"
"","","ALAN--AK-K","Raw Material","0.005"
"","","EMUL-PMLEZU-X","Raw Material","0.004"
"","","PARF-C072-GIV","Raw Material","0.0014"
"","","EDT-B--K","Raw Material","0.001"
"","","SAMP-LVDRGC-X","Raw Material","0.001"
"","","SAMP-LVMOD7-X","Raw Material","0.0007"
"L-NLCXCB-BULK","FPS.RND.T95.01","PURO-IDD-X","Raw Material","0.2352"
