Reference,BoM Lines/Product Template/Korporat Code,BoM Lines/Product Template/Material Type,BoM Lines/Quantity
A-DM-BULK/Normal (ref 8),"CARB--94022,68-K",Raw Material,0.00100
A-DM-BULK/Normal (ref 8),GLUC--MC,Raw Material,0.00100
A-DM-BULK/Normal (ref 8),WARN-B-BULK,Intermediate,0.00011
A-DM-BULK/Normal (ref 8),SILI-DC21-,Raw Material,0.01000
A-DM-BULK/Normal (ref 8),UVIN-MC80-BASF,Raw Material,0.07500
A-DM-BULK/Normal (ref 8),SILI-9546-EDC,Raw Material,0.00750
A-DM-BULK/Normal (ref 8),EXTR-WTCHPF-X,Raw Material,0.02000
A-DM-BULK/Normal (ref 8),PROP-PPGULD-X,Raw Material,0.02000
A-DM-BULK/Normal (ref 8),SEPI-305-SF-K,Raw Material,0.02000
A-DM-BULK/Normal (ref 8),PARS-5000-DSM,Raw Material,0.02000
A-DM-BULK/Normal (ref 8),AQUA---K,Raw Material,0.02000
A-FPW3-BULK/Reference 26,WARN-CLRG-X,Raw Material,0.00422
A-FPW3-BULK/Reference 26,WARN-COGO--K,Raw Material,0.00658
A-FPW3-BULK/Reference 26,PARF-AMSKLG-X,Raw Material,0.00050
A-FPW3-BULK/Reference 26,ALAN--AK-K,Raw Material,0.00100
A-FPW3-BULK/Reference 26,EXTR-CNDWLHB-X,Raw Material,0.01000
A-FPW3-BULK/Reference 26,ZINC-STW-X,Raw Material,0.04500
A-FPW3-BULK/Reference 26,ASAM-SCAD-X,Raw Material,0.00500
A-FPW3-BULK/Reference 26,CORN---K,Raw Material,0.29965
A-FPW3-BULK/Reference 26,PWD-KALNPD-X,Raw Material,0.20000
A-FPW3-BULK/Reference 26,SERI-790-,Raw Material,0.09909
A-FPW3-BULK/Reference 26,TITA--3328EW-K,Raw Material,0.01000
A-FPW3-BULK/Reference 26,TIT-CR50HD-X,Raw Material,0.01000
A-FPW3-BULK/Reference 26,POWD-SBK-X,Raw Material,0.05000
A-FPW3-BULK/Reference 26,SILI-DC21-,Raw Material,0.00500
A-FPW3-BULK/Reference 26,WARN-ABIO-X,Raw Material,0.00095
A-FPW3-BULK/Reference 26,SERI-S-D-K,Raw Material,0.24000
